Time, Height, T_lower, T_upper
15.000000, 2.340061, 27.000000, 27.005000
30.000000, 2.340849, 27.000000, 27.070000
45.000000, 2.378393, 27.005000, 27.630000
60.010000, 1.428873, 27.050000, 34.330415
75.010000, 0.958180, 27.545000, 48.356491
90.000000, 0.926327, 30.155000, 62.992078
105.000000, 0.881750, 35.380000, 73.220909
120.000000, 0.835506, 38.995000, 77.873998
135.000000, 0.798965, 40.025000, 81.096922
150.000000, 0.767834, 41.130000, 83.554613
165.000000, 0.758926, 41.535000, 85.117369
180.000000, 0.765422, 41.980000, 86.581902
195.000000, 0.758377, 42.880000, 89.111391
210.000000, 0.764688, 43.890000, 90.123956
225.000000, 0.740478, 43.335000, 90.928787
240.000000, 0.752098, 44.030000, 92.893839
255.000000, 0.746262, 43.300000, 92.410206
270.000000, 0.754729, 43.625000, 92.708189
285.000000, 0.756753, 43.875000, 94.016361
300.000000, 0.751446, 42.890000, 95.410998
315.000000, 0.745768, 43.185000, 96.085461
330.000000, 0.733400, 43.940000, 97.630867
345.000000, 0.726805, 44.835000, 98.236651
360.000000, 0.741138, 45.085000, 98.981330
375.000000, 0.740748, 45.530000, 99.723471
390.000000, 0.729253, 45.015000, 99.933424
405.000000, 0.739914, 46.055000, 100.742275
420.000000, 0.721099, 46.470000, 102.424408
435.000000, 0.722459, 46.355000, 102.600127
450.000000, 0.726170, 47.135000, 105.182638
465.000000, 0.743626, 47.440000, 104.728647
480.000000, 0.720618, 46.050000, 104.752604
495.000000, 0.717423, 46.265000, 103.391274
510.000000, 0.721345, 47.205000, 104.427975
525.000000, 0.732726, 48.010000, 106.603869
540.000000, 0.744706, 48.645000, 108.634834
555.000000, 0.712319, 47.175000, 108.390435
570.000000, 0.717171, 47.010000, 108.762394
585.000000, 0.721432, 47.050000, 107.627344
600.000000, 0.717705, 46.800000, 108.026874
615.000000, 0.719530, 47.690000, 109.346476
630.000000, 0.713965, 49.015000, 111.744902
645.000000, 0.716185, 50.440000, 112.759076
660.000000, 0.705173, 49.030000, 112.152693
675.000000, 0.717279, 48.985000, 111.495356
690.000000, 0.708387, 48.195000, 111.077014
705.000000, 0.705135, 47.760000, 111.911352
720.000000, 0.695088, 47.815000, 113.383507
735.000000, 0.698144, 47.820000, 112.784977
750.000000, 0.700481, 47.120000, 112.979390
765.000000, 0.720455, 50.460000, 115.054724
780.000000, 0.701227, 50.770000, 116.669919
795.000000, 0.705788, 50.495000, 115.678699
810.000000, 0.720969, 50.105000, 114.203847
825.000000, 0.704403, 50.095000, 116.366100
840.000000, 0.715150, 49.200000, 116.749233
855.000000, 0.697082, 48.360000, 116.086417
870.000000, 0.688923, 49.890000, 117.885828
885.000000, 0.685591, 49.030000, 115.900822
900.000000, 0.701313, 50.870000, 118.660316
