s,kW/m2,kg/m2/s
Time,"HRRPUA","MLRPUA"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E+001, 0.0000000E+000, 4.6082610E-009
 2.0000000E+001, 0.0000000E+000, 5.2786350E-007
 3.0000000E+001, 0.0000000E+000, 1.0277663E-005
 4.0000000E+001, 0.0000000E+000, 7.1622888E-005
 5.0000000E+001, 0.0000000E+000, 2.7709568E-004
 6.0000000E+001, 0.0000000E+000, 7.4775348E-004
 7.0000000E+001, 0.0000000E+000, 1.5105008E-003
 8.0000000E+001, 0.0000000E+000, 2.5483667E-003
 9.0000000E+001, 0.0000000E+000, 3.5894923E-003
 1.0000000E+002, 0.0000000E+000, 4.6697156E-003
 1.1000000E+002, 0.0000000E+000, 5.4498572E-003
 1.2000000E+002, 0.0000000E+000, 6.0523918E-003
 1.3000000E+002, 0.0000000E+000, 6.6166334E-003
 1.4000000E+002, 0.0000000E+000, 6.8652179E-003
 1.5000000E+002, 0.0000000E+000, 6.8733008E-003
 1.6000000E+002, 0.0000000E+000, 6.9027250E-003
 1.7000000E+002, 0.0000000E+000, 6.9685901E-003
 1.8000000E+002, 0.0000000E+000, 6.8806784E-003
 1.9000000E+002, 0.0000000E+000, 6.6529712E-003
 2.0000000E+002, 0.0000000E+000, 6.4287138E-003
 2.1000000E+002, 0.0000000E+000, 6.3196459E-003
 2.2000000E+002, 0.0000000E+000, 6.2981275E-003
 2.3000000E+002, 0.0000000E+000, 6.2425079E-003
 2.4000000E+002, 0.0000000E+000, 6.0953127E-003
 2.5000000E+002, 0.0000000E+000, 5.8967283E-003
 2.6000000E+002, 0.0000000E+000, 5.7177230E-003
 2.7000000E+002, 0.0000000E+000, 5.6066321E-003
 2.8000000E+002, 0.0000000E+000, 5.5724393E-003
 2.9000000E+002, 0.0000000E+000, 5.5777757E-003
 3.0000000E+002, 0.0000000E+000, 5.5575063E-003
 3.1000000E+002, 0.0000000E+000, 5.4803674E-003
 3.2000000E+002, 0.0000000E+000, 5.3580267E-003
 3.3000000E+002, 0.0000000E+000, 5.2206330E-003
 3.4000000E+002, 0.0000000E+000, 5.1010986E-003
 3.5000000E+002, 0.0000000E+000, 5.0172001E-003
 3.6000000E+002, 0.0000000E+000, 4.9793370E-003
 3.7000000E+002, 0.0000000E+000, 4.9844761E-003
 3.8000000E+002, 0.0000000E+000, 5.0054404E-003
 3.9000000E+002, 0.0000000E+000, 5.0072895E-003
 4.0000000E+002, 0.0000000E+000, 4.9732194E-003
 4.1000000E+002, 0.0000000E+000, 4.9060281E-003
 4.2000000E+002, 0.0000000E+000, 4.8159065E-003
 4.3000000E+002, 0.0000000E+000, 4.7173199E-003
 4.4000000E+002, 0.0000000E+000, 4.6286192E-003
 4.5000000E+002, 0.0000000E+000, 4.5587901E-003
 4.6000000E+002, 0.0000000E+000, 4.5152626E-003
 4.7000000E+002, 0.0000000E+000, 4.5020275E-003
 4.8000000E+002, 0.0000000E+000, 4.5137235E-003
 4.9000000E+002, 0.0000000E+000, 4.5347844E-003
