s,m
Time,"z_CL"
 0.0000000E+000, 4.0000000E+000
 9.0320151E-001, 4.0000000E+000
 1.8151519E+000, 4.0000000E+000
 2.7167088E+000, 4.0000000E+000
 3.6465515E+000, 4.0000000E+000
 4.5216977E+000, 4.0000000E+000
 5.4515405E+000, 4.0000000E+000
 6.3102776E+000, 4.0000000E+000
 7.2127721E+000, 4.0000000E+000
 8.1152665E+000, 4.0000000E+000
 9.0051576E+000, 4.0000000E+000
 9.9011404E+000, 4.0000000E+000
 1.0815038E+001, 4.0000000E+000
 1.1745638E+001, 4.0000000E+000
 1.2655743E+001, 4.0000000E+000
 1.3513843E+001, 5.2000000E+001
 1.4429148E+001, 7.6000000E+001
 1.5322280E+001, 7.6000000E+001
 1.6239279E+001, 7.6000000E+001
 1.7121179E+001, 7.6000000E+001
 1.8017432E+001, 7.6000000E+001
 1.8913338E+001, 7.6000000E+001
 1.9816024E+001, 7.6000000E+001
 2.0723319E+001, 7.6000000E+001
 2.1608051E+001, 7.6000000E+001
 2.2522431E+001, 7.6000000E+001
 2.3454990E+001, 8.1260870E+001
 2.4342353E+001, 8.4000000E+001
 2.5242330E+001, 8.4000000E+001
 2.6106673E+001, 8.4000000E+001
 2.7045896E+001, 8.4000000E+001
 2.7949477E+001, 8.4000000E+001
 2.8853058E+001, 8.4000000E+001
 2.9700165E+001, 8.4000000E+001
 3.0626639E+001, 8.4000000E+001
 3.1525978E+001, 7.6448953E+001
 3.2400343E+001, 7.6000000E+001
 3.3321278E+001, 7.6000000E+001
 3.4232708E+001, 7.6000000E+001
 3.5136295E+001, 7.6000000E+001
 3.6038638E+001, 7.6000000E+001
 3.6922544E+001, 7.6000000E+001
 3.7822874E+001, 7.6000000E+001
 3.8723203E+001, 7.6000000E+001
 3.9623533E+001, 7.6000000E+001
 4.0545047E+001, 7.6000000E+001
 4.1450729E+001, 7.6000000E+001
 4.2314500E+001, 7.6000000E+001
 4.3225510E+001, 7.6000000E+001
 4.4140022E+001, 7.6000000E+001
 4.5036672E+001, 7.6000000E+001
 4.5925790E+001, 7.6000000E+001
 4.6828462E+001, 7.6000000E+001
 4.7706078E+001, 7.6000000E+001
 4.8633278E+001, 7.6000000E+001
 4.9505936E+001, 7.6000000E+001
 5.0420042E+001, 7.6000000E+001
 5.1305222E+001, 7.6000000E+001
 5.2239147E+001, 7.6000000E+001
 5.3112048E+001, 7.6000000E+001
 5.4028767E+001, 7.6000000E+001
 5.4951670E+001, 7.6000000E+001
 5.5845586E+001, 7.6000000E+001
 5.6751036E+001, 7.6000000E+001
 5.7600458E+001, 7.6000000E+001
 5.8546477E+001, 7.6000000E+001
 5.9440117E+001, 7.6000000E+001
 6.0314579E+001, 7.6000000E+001
 6.1212077E+001, 7.6000000E+001
 6.2143158E+001, 7.6000000E+001
 6.3017370E+001, 7.6000000E+001
 6.3907981E+001, 7.6000000E+001
 6.4827721E+001, 7.6000000E+001
 6.5735670E+001, 7.6000000E+001
 6.6640739E+001, 7.6000000E+001
 6.7540418E+001, 7.6000000E+001
 6.8405218E+001, 7.6000000E+001
 6.9328877E+001, 7.6000000E+001
 7.0243640E+001, 7.6000000E+001
 7.1146287E+001, 7.6000000E+001
 7.2001927E+001, 7.6000000E+001
 7.2919633E+001, 7.6000000E+001
 7.3840692E+001, 7.6000000E+001
 7.4712552E+001, 7.6000000E+001
 7.5621263E+001, 7.6000000E+001
 7.6509780E+001, 7.6000000E+001
 7.7453829E+001, 7.6000000E+001
 7.8342346E+001, 7.6000000E+001
 7.9219893E+001, 7.6000000E+001
 8.0147081E+001, 7.6000000E+001
 8.1030161E+001, 7.6000000E+001
 8.1935742E+001, 7.6000000E+001
 8.2804079E+001, 7.6000000E+001
 8.3710559E+001, 7.6000000E+001
 8.4604722E+001, 7.6000000E+001
 8.5540207E+001, 7.6000000E+001
 8.6409151E+001, 7.6000000E+001
 8.7300090E+001, 7.6000000E+001
 8.8220254E+001, 7.6000000E+001
 8.9123297E+001, 7.6000000E+001
 9.0042521E+001, 7.6000000E+001
 9.0940660E+001, 7.6000000E+001
 9.1801400E+001, 7.6000000E+001
 9.2734383E+001, 7.6000000E+001
 9.3643069E+001, 7.6000000E+001
 9.4551756E+001, 7.6000000E+001
