s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m
Time,"P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11B","P11L","L_F"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0026746E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0002820E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.5002988E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.9741963E+000
 2.0005338E+001, 1.4815218E+001, 7.1684480E+000, 1.7795981E+000, 9.5821802E+000, 7.9446658E+000, 9.8564825E+000, 5.9131661E+000, 3.2726970E+000, 1.2420355E+001, 7.5946666E+000, 3.3942922E+000, 3.3942922E+000, 6.0558718E+000
 2.5003785E+001, 1.3282379E+001, 6.6612679E+000, 2.0475704E+000, 9.2697545E+000, 7.7416224E+000, 9.4593130E+000, 5.6273035E+000, 3.1523635E+000, 1.1161836E+001, 7.3850146E+000, 3.4486346E+000, 3.4486346E+000, 6.0987183E+000
 3.0002301E+001, 1.3492032E+001, 6.7732284E+000, 2.0677324E+000, 9.3835353E+000, 7.8710084E+000, 9.6201788E+000, 5.7518624E+000, 3.2647713E+000, 1.1488714E+001, 7.5854037E+000, 3.5283700E+000, 3.5283700E+000, 6.1390363E+000
 3.5003933E+001, 1.3452078E+001, 6.7549067E+000, 2.0531745E+000, 9.3933088E+000, 7.9207449E+000, 9.7450854E+000, 5.8317944E+000, 3.3224731E+000, 1.1531131E+001, 7.5883906E+000, 3.5206895E+000, 3.5206895E+000, 6.1465759E+000
 4.0005188E+001, 1.3378405E+001, 6.7184203E+000, 2.0321338E+000, 9.3503293E+000, 7.8996643E+000, 9.7605998E+000, 5.8459867E+000, 3.3410202E+000, 1.1457969E+001, 7.5513120E+000, 3.5018988E+000, 3.5018988E+000, 6.1415988E+000
 4.5002632E+001, 1.3420219E+001, 6.7468033E+000, 2.0438147E+000, 9.3662511E+000, 7.9098109E+000, 9.7744029E+000, 5.8575043E+000, 3.3490808E+000, 1.1495243E+001, 7.5722897E+000, 3.5158314E+000, 3.5158314E+000, 6.1114645E+000
 5.0005870E+001, 1.3402720E+001, 6.7465974E+000, 2.0441274E+000, 9.3711214E+000, 7.9110436E+000, 9.7894800E+000, 5.8748788E+000, 3.3673246E+000, 1.1504668E+001, 7.5863729E+000, 3.5254710E+000, 3.5254710E+000, 6.2107142E+000
 5.5001831E+001, 1.3362097E+001, 6.7224498E+000, 2.0314706E+000, 9.3391263E+000, 7.8868101E+000, 9.7638696E+000, 5.8623617E+000, 3.3601235E+000, 1.1500139E+001, 7.5801244E+000, 3.5175446E+000, 3.5175446E+000, 6.1649177E+000
 6.0000000E+001, 1.3350508E+001, 6.7189225E+000, 2.0266871E+000, 9.3297167E+000, 7.8761481E+000, 9.7433856E+000, 5.8477723E+000, 3.3484940E+000, 1.1470032E+001, 7.5614871E+000, 3.5088593E+000, 3.5088593E+000, 6.1485097E+000
