s,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,kW/m2,m,m,deg,m/m,m
Time,"P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","y_max","L_F","tilt","drag","L_F_max"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9900000E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0103085E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.6787916E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0000023E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.4551657E+000, 0.0000000E+000, 5.1814552E+001, 0.0000000E+000, 0.0000000E+000
 1.5002491E+001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 9.0820980E+000, 2.6049032E+000, 5.0873254E+001, 2.3436278E+000, 4.7230354E+000
 2.0006372E+001, 2.5373624E+000, 1.0507244E+000, 4.6376328E-001, 1.7239241E-001, 1.0734581E+000, 5.0201651E-001, 2.0749384E-001, 6.3936962E-002, 1.5464026E+000, 7.1061906E-001, 3.2547265E-001, 1.1120064E-001, 9.0248636E+000, 2.6165058E+000, 5.0915872E+001, 2.5209587E+000, 4.7230354E+000
 2.5005782E+001, 2.5181652E+000, 1.0506194E+000, 4.7999937E-001, 1.8108313E-001, 9.6243345E-001, 4.9092540E-001, 1.9920846E-001, 6.2361055E-002, 1.5524119E+000, 7.4331800E-001, 3.4652068E-001, 1.1813336E-001, 9.0523331E+000, 2.6022579E+000, 5.0926619E+001, 2.6396663E+000, 4.7230354E+000
 3.0008421E+001, 2.5498279E+000, 1.0782625E+000, 4.9092603E-001, 1.8091309E-001, 9.6050625E-001, 4.8926969E-001, 1.9720967E-001, 6.0725778E-002, 1.5598677E+000, 7.5086631E-001, 3.4508775E-001, 1.1399921E-001, 9.6466982E+000, 2.5556081E+000, 5.1387713E+001, 2.6825349E+000, 4.7230354E+000
 3.5002073E+001, 2.5631207E+000, 1.0827041E+000, 4.9193286E-001, 1.8036209E-001, 9.5062121E-001, 4.8168023E-001, 1.9280435E-001, 5.9149690E-002, 1.5544801E+000, 7.4576706E-001, 3.4119398E-001, 1.1237149E-001, 1.1221718E+001, 2.5875589E+000, 5.2604965E+001, 2.6904453E+000, 4.7230354E+000
 4.0001402E+001, 2.5566442E+000, 1.0822932E+000, 4.9313277E-001, 1.8050147E-001, 9.4476917E-001, 4.7712582E-001, 1.9059876E-001, 5.8640515E-002, 1.5515287E+000, 7.4592437E-001, 3.4156271E-001, 1.1190190E-001, 1.1301033E+001, 2.6433628E+000, 5.3297844E+001, 2.6679091E+000, 4.7230354E+000
 4.5006513E+001, 2.5607373E+000, 1.0811967E+000, 4.9216708E-001, 1.8046158E-001, 9.4366768E-001, 4.7666577E-001, 1.9057094E-001, 5.8834865E-002, 1.5581045E+000, 7.4714301E-001, 3.4202485E-001, 1.1222337E-001, 9.6030531E+000, 2.6478088E+000, 5.3226659E+001, 2.6810112E+000, 4.7230354E+000
 5.0005526E+001, 2.5611681E+000, 1.0834108E+000, 4.9263171E-001, 1.8022661E-001, 9.4358366E-001, 4.7680945E-001, 1.9042537E-001, 5.8642586E-002, 1.5549290E+000, 7.4652904E-001, 3.4133641E-001, 1.1166145E-001, 9.3708260E+000, 2.6114305E+000, 5.3049128E+001, 2.7069040E+000, 4.7230354E+000
 5.5007137E+001, 2.5681759E+000, 1.0856120E+000, 4.9303855E-001, 1.8004673E-001, 9.3999267E-001, 4.7408306E-001, 1.8880427E-001, 5.8061091E-002, 1.5509140E+000, 7.4436426E-001, 3.4023062E-001, 1.1115154E-001, 1.1462880E+001, 2.6113116E+000, 5.3578711E+001, 2.7327234E+000, 4.7230354E+000
 6.0000000E+001, 2.5733636E+000, 1.0884957E+000, 4.9401567E-001, 1.8014051E-001, 9.4211103E-001, 4.7535050E-001, 1.8911883E-001, 5.7996730E-002, 1.5493253E+000, 7.4415045E-001, 3.4020924E-001, 1.1104351E-001, 1.1669221E+001, 2.6157213E+000, 5.3998583E+001, 2.7532634E+000, 4.7230354E+000
