s,kW/m2,,
Time,flux,d43,w
 0.0000000E+000, 1.7649859E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-001, 1.7649891E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-001, 1.7650022E+000, 0.0000000E+000, 0.0000000E+000
 3.5000000E-001, 1.7650287E+000, 0.0000000E+000, 0.0000000E+000
 4.5000000E-001, 1.7650687E+000, 0.0000000E+000, 0.0000000E+000
 5.5000000E-001, 1.7651069E+000, 0.0000000E+000, 0.0000000E+000
 6.5000000E-001, 1.7651489E+000, 0.0000000E+000, 0.0000000E+000
 7.0000000E-001, 1.7651891E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-001, 1.7652149E+000, 0.0000000E+000, 0.0000000E+000
 9.0000000E-001, 1.7652595E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E+000, 1.7653042E+000, 0.0000000E+000, 0.0000000E+000
 1.1000000E+000, 1.7653488E+000, 0.0000000E+000, 0.0000000E+000
 1.2000000E+000, 1.7653945E+000, 0.0000000E+000, 0.0000000E+000
 1.3000000E+000, 1.7654412E+000, 0.0000000E+000, 0.0000000E+000
 1.4000000E+000, 1.7654883E+000, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 1.7655353E+000, 0.0000000E+000, 0.0000000E+000
 1.6000000E+000, 1.7655818E+000, 0.0000000E+000, 0.0000000E+000
 1.7000000E+000, 1.7656288E+000, 0.0000000E+000, 0.0000000E+000
 1.8000000E+000, 1.7656767E+000, 0.0000000E+000, 0.0000000E+000
 1.9000000E+000, 1.7657250E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E+000, 1.7657733E+000, 0.0000000E+000, 0.0000000E+000
 2.1000000E+000, 1.7658207E+000, 0.0000000E+000, 0.0000000E+000
 2.2000000E+000, 1.7658681E+000, 0.0000000E+000, 0.0000000E+000
 2.3500000E+000, 1.7659261E+000, 0.0000000E+000, 0.0000000E+000
 2.4500000E+000, 1.7659893E+000, 0.0000000E+000, 0.0000000E+000
 2.5500000E+000, 1.7660389E+000, 0.0000000E+000, 0.0000000E+000
 2.6500000E+000, 1.7660864E+000, 0.0000000E+000, 0.0000000E+000
 2.7500000E+000, 1.7661340E+000, 0.0000000E+000, 0.0000000E+000
 2.8500000E+000, 1.7661827E+000, 0.0000000E+000, 0.0000000E+000
 2.9500000E+000, 1.7662316E+000, 0.0000000E+000, 0.0000000E+000
 3.0500000E+000, 1.7662815E+000, 0.0000000E+000, 0.0000000E+000
 3.1500000E+000, 1.7663305E+000, 0.0000000E+000, 0.0000000E+000
 3.2500000E+000, 1.7663775E+000, 0.0000000E+000, 0.0000000E+000
 3.3500000E+000, 1.7664254E+000, 0.0000000E+000, 0.0000000E+000
 3.4500000E+000, 1.7664743E+000, 0.0000000E+000, 0.0000000E+000
 3.5500000E+000, 1.7665334E+000, 0.0000000E+000, 0.0000000E+000
 3.6500000E+000, 1.7665847E+000, 0.0000000E+000, 0.0000000E+000
 3.7500000E+000, 1.7666496E+000, 0.0000000E+000, 0.0000000E+000
 3.8500000E+000, 1.7667007E+000, 0.0000000E+000, 0.0000000E+000
 3.9500000E+000, 1.7667493E+000, 0.0000000E+000, 0.0000000E+000
 4.0500000E+000, 1.7632940E+000, 0.0000000E+000, 0.0000000E+000
 4.1500000E+000, 1.4430450E+000, 0.0000000E+000, 0.0000000E+000
 4.2500000E+000, 1.0614412E+000, 1.8989135E-004,-2.4151363E+000
 4.3500000E+000, 7.3187482E-001, 3.7197175E-004,-4.8113237E+000
 4.4500000E+000, 3.2338514E-001, 3.4061923E-004,-3.5063974E+000
 4.5098254E+000, 4.3158665E-003, 2.8870464E-004,-1.7808762E+000
 4.6065722E+000, 3.4145528E-003, 2.9275549E-004,-1.9625491E+000
 4.7041480E+000, 1.3924835E-003, 2.7835614E-004,-2.2379976E+000
 4.8072042E+000, 1.1670438E-003, 2.4020393E-004,-4.1843615E+000
 4.9008916E+000, 1.0904613E-003, 2.3742370E-004,-4.8000780E+000
 5.0039478E+000, 1.0326565E-003, 2.3432791E-004,-5.1171078E+000
 5.1059734E+000, 9.9293418E-004, 2.3281543E-004,-5.2732376E+000
 5.2057317E+000, 9.7623527E-004, 2.3340555E-004,-5.4296930E+000
 5.3054901E+000, 9.6775134E-004, 2.3444392E-004,-5.5720809E+000
 5.4052484E+000, 9.6189162E-004, 2.3474352E-004,-5.7117916E+000
 5.5050068E+000, 9.7014440E-004, 2.3764479E-004,-5.8001024E+000
 5.6047652E+000, 9.9455014E-004, 2.3766284E-004,-5.8835100E+000
 5.7045235E+000, 1.0111859E-003, 2.3541165E-004,-5.9705940E+000
 5.8042819E+000, 1.0307950E-003, 2.3461016E-004,-6.0375512E+000
 5.9040402E+000, 1.0439930E-003, 2.3452057E-004,-6.1133313E+000
 6.0037986E+000, 1.0503108E-003, 2.3365748E-004,-6.1645985E+000
 6.1035570E+000, 1.0548597E-003, 2.3200049E-004,-6.2040781E+000
 6.2033153E+000, 1.0550235E-003, 2.3109832E-004,-6.2492986E+000
 6.3030737E+000, 1.0454824E-003, 2.3064117E-004,-6.2804974E+000
 6.4028321E+000, 1.0275965E-003, 2.2909805E-004,-6.3201526E+000
 6.5025904E+000, 1.0069738E-003, 2.2819121E-004,-6.3488753E+000
 6.6023488E+000, 9.9275022E-004, 2.2808524E-004,-6.3638479E+000
 6.7021071E+000, 9.7816905E-004, 2.2771596E-004,-6.3894835E+000
 6.8018655E+000, 9.6303062E-004, 2.2756743E-004,-6.4074172E+000
 6.9016239E+000, 9.5142790E-004, 2.2861335E-004,-6.4338161E+000
 7.0013822E+000, 9.3663214E-004, 2.2890304E-004,-6.4478629E+000
 7.1011406E+000, 9.1783332E-004, 2.2883898E-004,-6.4617971E+000
 7.2008989E+000, 8.9979386E-004, 2.2954741E-004,-6.4821593E+000
 7.3006573E+000, 8.8632181E-004, 2.2931930E-004,-6.4918359E+000
 7.4004157E+000, 8.6969791E-004, 2.2913076E-004,-6.5097514E+000
 7.5001740E+000, 8.5695749E-004, 2.2933069E-004,-6.5174033E+000
 7.6124022E+000, 8.4729934E-004, 2.2868459E-004,-6.5312862E+000
 7.7121605E+000, 8.3617922E-004, 2.2860635E-004,-6.5439658E+000
 7.8119189E+000, 8.1903013E-004, 2.2889541E-004,-6.5601280E+000
 7.9116773E+000, 8.0034473E-004, 2.2901779E-004,-6.5657182E+000
 8.0114356E+000, 7.8507268E-004, 2.2845119E-004,-6.5689044E+000
 8.1111940E+000, 7.6836694E-004, 2.2828041E-004,-6.5837409E+000
 8.2109524E+000, 7.5136575E-004, 2.2807988E-004,-6.5901849E+000
 8.3107107E+000, 7.3851907E-004, 2.2822825E-004,-6.5979811E+000
 8.4104691E+000, 7.2911924E-004, 2.2763034E-004,-6.6033363E+000
 8.5102274E+000, 7.1594833E-004, 2.2827572E-004,-6.6134799E+000
 8.6099858E+000, 6.9241942E-004, 2.2796764E-004,-6.6167242E+000
 8.7097442E+000, 6.6807999E-004, 2.2728646E-004,-6.6261419E+000
 8.8095025E+000, 6.4575312E-004, 2.2705248E-004,-6.6344020E+000
