s,kW/m2,,
Time,"flux","d43","w"
 0.0000000E+000, 1.6754403E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E-001, 1.6754546E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E-001, 1.6754699E+000, 0.0000000E+000, 0.0000000E+000
 3.5000000E-001, 1.6754977E+000, 0.0000000E+000, 0.0000000E+000
 4.5000000E-001, 1.6755408E+000, 0.0000000E+000, 0.0000000E+000
 5.5000000E-001, 1.6755843E+000, 0.0000000E+000, 0.0000000E+000
 6.0000000E-001, 1.6756293E+000, 0.0000000E+000, 0.0000000E+000
 7.0000000E-001, 1.6756577E+000, 0.0000000E+000, 0.0000000E+000
 8.0000000E-001, 1.6757083E+000, 0.0000000E+000, 0.0000000E+000
 9.0000000E-001, 1.6757595E+000, 0.0000000E+000, 0.0000000E+000
 1.0000000E+000, 1.6758106E+000, 0.0000000E+000, 0.0000000E+000
 1.1000000E+000, 1.6758615E+000, 0.0000000E+000, 0.0000000E+000
 1.2000000E+000, 1.6759136E+000, 0.0000000E+000, 0.0000000E+000
 1.3000000E+000, 1.6759669E+000, 0.0000000E+000, 0.0000000E+000
 1.4000000E+000, 1.6760207E+000, 0.0000000E+000, 0.0000000E+000
 1.5000000E+000, 1.6760743E+000, 0.0000000E+000, 0.0000000E+000
 1.6000000E+000, 1.6761270E+000, 0.0000000E+000, 0.0000000E+000
 1.7000000E+000, 1.6761804E+000, 0.0000000E+000, 0.0000000E+000
 1.8000000E+000, 1.6762347E+000, 0.0000000E+000, 0.0000000E+000
 1.9000000E+000, 1.6762894E+000, 0.0000000E+000, 0.0000000E+000
 2.0000000E+000, 1.6763443E+000, 0.0000000E+000, 0.0000000E+000
 2.1000000E+000, 1.6763978E+000, 0.0000000E+000, 0.0000000E+000
 2.2500000E+000, 1.6764616E+000, 0.0000000E+000, 0.0000000E+000
 2.3500000E+000, 1.6765327E+000, 0.0000000E+000, 0.0000000E+000
 2.4500000E+000, 1.6765876E+000, 0.0000000E+000, 0.0000000E+000
 2.5500000E+000, 1.6766438E+000, 0.0000000E+000, 0.0000000E+000
 2.6500000E+000, 1.6766975E+000, 0.0000000E+000, 0.0000000E+000
 2.7500000E+000, 1.6767504E+000, 0.0000000E+000, 0.0000000E+000
 2.8500000E+000, 1.6768048E+000, 0.0000000E+000, 0.0000000E+000
 2.9500000E+000, 1.6768597E+000, 0.0000000E+000, 0.0000000E+000
 3.0500000E+000, 1.6769154E+000, 0.0000000E+000, 0.0000000E+000
 3.1500000E+000, 1.6769707E+000, 0.0000000E+000, 0.0000000E+000
 3.2500000E+000, 1.6770229E+000, 0.0000000E+000, 0.0000000E+000
 3.3500000E+000, 1.6770885E+000, 0.0000000E+000, 0.0000000E+000
 3.4500000E+000, 1.6771564E+000, 0.0000000E+000, 0.0000000E+000
 3.5500000E+000, 1.6772166E+000, 0.0000000E+000, 0.0000000E+000
 3.6500000E+000, 1.6772763E+000, 0.0000000E+000, 0.0000000E+000
 3.7500000E+000, 1.6773267E+000, 0.0000000E+000, 0.0000000E+000
 3.8500000E+000, 1.6773622E+000, 0.0000000E+000, 0.0000000E+000
 3.9500000E+000, 1.6774010E+000, 0.0000000E+000, 0.0000000E+000
 4.0500000E+000, 1.6741402E+000, 0.0000000E+000, 0.0000000E+000
 4.1500000E+000, 1.3702676E+000, 0.0000000E+000, 0.0000000E+000
 4.2500000E+000, 1.0077226E+000, 0.0000000E+000, 0.0000000E+000
 4.3500000E+000, 6.9387236E-001, 3.0763697E-004,-1.9265740E+000
 4.4500000E+000, 3.0571078E-001, 2.9271699E-004,-1.8276978E+000
 4.5500000E+000, 2.5955889E-003, 2.7456096E-004,-1.6027744E+000
 4.6500000E+000, 2.5737948E-003, 2.6060257E-004,-1.4829643E+000
 4.7500000E+000, 2.4612778E-003, 2.4504381E-004,-1.3686045E+000
 4.8500000E+000, 2.2816198E-003, 2.1470340E-004,-1.2396776E+000
 4.9500000E+000, 2.0858775E-003, 1.7524710E-004,-1.1695670E+000
 5.0397481E+000, 1.9259005E-003, 1.4848664E-004,-1.2347180E+000
 5.1294963E+000, 1.8842261E-003, 1.3876979E-004,-1.4442372E+000
 5.2192444E+000, 1.8387704E-003, 1.3576730E-004,-1.5919619E+000
 5.3089926E+000, 1.7982785E-003, 1.3270439E-004,-1.7018873E+000
 5.4332938E+000, 1.7612859E-003, 1.2927007E-004,-1.7653101E+000
 5.5127210E+000, 1.7314783E-003, 1.2671811E-004,-1.7902646E+000
 5.6318618E+000, 1.6995086E-003, 1.2558806E-004,-1.8243151E+000
 5.7112889E+000, 1.6641795E-003, 1.2487061E-004,-1.8648864E+000
 5.8304297E+000, 1.6351088E-003, 1.2379201E-004,-1.8928660E+000
 5.9098569E+000, 1.6131673E-003, 1.2333294E-004,-1.9049206E+000
 6.0289976E+000, 1.5928707E-003, 1.2294335E-004,-1.9117750E+000
 6.1084248E+000, 1.5645996E-003, 1.2233008E-004,-1.9197796E+000
 6.2275655E+000, 1.5414513E-003, 1.2206563E-004,-1.9301419E+000
 6.3069927E+000, 1.5268724E-003, 1.2147621E-004,-1.9386641E+000
 6.4340762E+000, 1.5153578E-003, 1.2113700E-004,-1.9430455E+000
 6.5214461E+000, 1.5047606E-003, 1.2012239E-004,-1.9468695E+000
 6.6088160E+000, 1.4949408E-003, 1.1986496E-004,-1.9506029E+000
 6.7398708E+000, 1.4818231E-003, 1.1999607E-004,-1.9542660E+000
 6.8272407E+000, 1.4712595E-003, 1.2007838E-004,-1.9568582E+000
 6.9233476E+000, 1.4622418E-003, 1.2016738E-004,-1.9585191E+000
 7.0194544E+000, 1.4519749E-003, 1.2008776E-004,-1.9602284E+000
 7.1155613E+000, 1.4400745E-003, 1.2009096E-004,-1.9626336E+000
 7.2116682E+000, 1.4272078E-003, 1.2028633E-004,-1.9646720E+000
 7.3077751E+000, 1.4143230E-003, 1.2022487E-004,-1.9666391E+000
 7.4038820E+000, 1.4023413E-003, 1.1997560E-004,-1.9679173E+000
 7.5480423E+000, 1.3868281E-003, 1.1963913E-004,-1.9690204E+000
 7.6441491E+000, 1.3670987E-003, 1.1959410E-004,-1.9703134E+000
 7.7402560E+000, 1.3535209E-003, 1.1981143E-004,-1.9714624E+000
 7.8363629E+000, 1.3402827E-003, 1.1988363E-004,-1.9724523E+000
 7.9324698E+000, 1.3272196E-003, 1.1989765E-004,-1.9730927E+000
 8.0285767E+000, 1.3120925E-003, 1.2019243E-004,-1.9737797E+000
 8.1246835E+000, 1.2962664E-003, 1.2048030E-004,-1.9736850E+000
 8.2207904E+000, 1.2787945E-003, 1.2066125E-004,-1.9735382E+000
 8.3168973E+000, 1.2618016E-003, 1.2081024E-004,-1.9729413E+000
 8.4130042E+000, 1.2441465E-003, 1.2104838E-004,-1.9724679E+000
 8.5091110E+000, 1.2241407E-003, 1.2147110E-004,-1.9727102E+000
 8.6052179E+000, 1.2023339E-003, 1.2170060E-004,-1.9733466E+000
 8.7013248E+000, 1.1798925E-003, 1.2151098E-004,-1.9743159E+000
 8.8454851E+000, 1.1476468E-003, 1.2136893E-004,-1.9751886E+000
 8.9415920E+000, 1.1164529E-003, 1.2173579E-004,-1.9759921E+000
 9.0328619E+000, 7.9520694E-003, 1.2171603E-004,-1.9764968E+000
 9.1192950E+000, 1.4895201E-001, 1.2181747E-004,-1.9769234E+000
 9.2057280E+000, 4.4402337E-001, 1.2198644E-004,-1.9774461E+000
 9.3353776E+000, 7.9085901E-001, 1.2208477E-004,-1.9782296E+000
 9.4261323E+000, 1.2116937E+000, 1.2197583E-004,-1.9784028E+000
 9.5261323E+000, 1.4556178E+000, 1.2198054E-004,-1.9782575E+000
 9.6261323E+000, 1.4549429E+000, 1.2192951E-004,-1.9777286E+000
 9.7261323E+000, 1.4543179E+000, 1.2220979E-004,-1.9778183E+000
 9.8261323E+000, 1.4565787E+000, 1.2213454E-004,-1.9780106E+000
 9.9261323E+000, 1.4573577E+000, 1.2196029E-004,-1.9781755E+000
 1.0026132E+001, 1.4557379E+000, 1.2181079E-004,-1.9783201E+000
 1.0126132E+001, 1.4531190E+000, 1.2177424E-004,-1.9783274E+000
 1.0226132E+001, 1.4535582E+000, 1.2165281E-004,-1.9779486E+000
 1.0326132E+001, 1.4540866E+000, 1.2150947E-004,-1.9776718E+000
 1.0426132E+001, 1.4578850E+000, 1.2137273E-004,-1.9779420E+000
 1.0526132E+001, 1.4589854E+000, 1.2128662E-004,-1.9779693E+000
 1.0626132E+001, 1.4591647E+000, 1.2123716E-004,-1.9777491E+000
 1.0726132E+001, 1.4600125E+000, 1.2124264E-004,-1.9771018E+000
 1.0826132E+001, 1.4591806E+000, 1.2103405E-004,-1.9764064E+000
 1.0926132E+001, 1.4558947E+000, 1.2099527E-004,-1.9762282E+000
 1.1026132E+001, 1.4547678E+000, 1.2071619E-004,-1.9760120E+000
 1.1126132E+001, 1.4579338E+000, 1.2056313E-004,-1.9757805E+000
 1.1226132E+001, 1.4596072E+000, 1.2033589E-004,-1.9756656E+000
 1.1326132E+001, 1.4600627E+000, 1.2022592E-004,-1.9757674E+000
 1.1426132E+001, 1.4595258E+000, 1.2015132E-004,-1.9757939E+000
 1.1526132E+001, 1.4588037E+000, 1.2004590E-004,-1.9756124E+000
 1.1626132E+001, 1.4590150E+000, 1.1993349E-004,-1.9751761E+000
 1.1726132E+001, 1.4570705E+000, 1.1970789E-004,-1.9746882E+000
 1.1826132E+001, 1.4557175E+000, 1.1956577E-004,-1.9747675E+000
 1.1926132E+001, 1.4554084E+000, 1.1945208E-004,-1.9751122E+000
 1.2026132E+001, 1.4562459E+000, 1.1931120E-004,-1.9753464E+000
 1.2126132E+001, 1.4563175E+000, 1.1931169E-004,-1.9752593E+000
 1.2226132E+001, 1.4571146E+000, 1.1929011E-004,-1.9749259E+000
 1.2326132E+001, 1.4582909E+000, 1.1923426E-004,-1.9746244E+000
 1.2426132E+001, 1.4605483E+000, 1.1906773E-004,-1.9738662E+000
 1.2526132E+001, 1.4602278E+000, 1.1906563E-004,-1.9729345E+000
 1.2626132E+001, 1.4555448E+000, 1.1903082E-004,-1.9721231E+000
 1.2726132E+001, 1.4521047E+000, 1.1911255E-004,-1.9717027E+000
 1.2826132E+001, 1.4500904E+000, 1.1901048E-004,-1.9713627E+000
 1.2926132E+001, 1.4473576E+000, 1.1901063E-004,-1.9712548E+000
 1.3026132E+001, 1.4483450E+000, 1.1895004E-004,-1.9709818E+000
