s,,,,,,,
Time,"O2 EXHAUST","CO2 EXHAUST","H2O EXHAUST","CO EXHAUST","FUEL EXHAUST","SOOT EXHAUST","TEMP EXHAUST"
 0.0000000E+000, 2.3099745E-001, 5.9146511E-004, 5.9409840E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001
 1.0058701E+000, 2.3099745E-001, 5.9146511E-004, 5.9409840E-003, 3.7839287E-030, 4.1974475E-029, 1.2595888E-030, 2.0304113E+001
 2.0050032E+000, 2.2464498E-001, 6.3806726E-003, 8.3949180E-003, 5.4091417E-005, 1.5233315E-004, 4.6565290E-005, 8.6640590E+001
 3.0028488E+000, 2.1845394E-001, 1.2009093E-002, 1.0792057E-002, 1.1871587E-004, 2.9422549E-004, 9.4441359E-005, 1.4550813E+002
 4.0021802E+000, 2.1327896E-001, 1.6755415E-002, 1.2794392E-002, 1.5243752E-004, 3.3876238E-004, 1.3031889E-004, 1.8565871E+002
 5.0005766E+000, 2.0970408E-001, 2.0022277E-002, 1.4174373E-002, 1.7781009E-004, 4.1268558E-004, 1.5548115E-004, 2.1870897E+002
 6.0002276E+000, 2.0145170E-001, 2.7642267E-002, 1.7356035E-002, 1.9669078E-004, 4.5137570E-004, 2.0545196E-004, 2.8022561E+002
 7.0044992E+000, 1.9747433E-001, 3.1360207E-002, 1.8887556E-002, 1.8324365E-004, 3.9181628E-004, 2.2493059E-004, 3.0868608E+002
 8.0032571E+000, 1.8892672E-001, 3.9330377E-002, 2.2179203E-002, 1.6369555E-004, 3.0140818E-004, 2.6869480E-004, 3.5702282E+002
 9.0078195E+000, 1.8509327E-001, 4.2922975E-002, 2.3654070E-002, 1.4530155E-004, 2.3330604E-004, 2.8634828E-004, 3.7960397E+002
 1.0006026E+001, 1.7535099E-001, 5.2017306E-002, 2.7403911E-002, 1.1648202E-004, 1.2137862E-004, 3.3487573E-004, 4.1201411E+002
 1.1000325E+001, 1.7236322E-001, 5.4819588E-002, 2.8552522E-002, 1.0021913E-004, 6.9235061E-005, 3.4823131E-004, 4.2690297E+002
 1.2006204E+001, 1.6295095E-001, 6.3568873E-002, 3.2178193E-002, 9.2068154E-005, 1.7126683E-005, 3.9915326E-004, 4.5322613E+002
 1.3000426E+001, 1.6019889E-001, 6.6122889E-002, 3.3238650E-002, 9.1938817E-005, 8.0906219E-006, 4.1450481E-004, 4.4869158E+002
 1.4001790E+001, 1.5180895E-001, 7.3894223E-002, 3.6473011E-002, 9.9761492E-005, 1.2251943E-006, 4.6299419E-004, 4.7149630E+002
 1.5000208E+001, 1.4889424E-001, 7.6593089E-002, 3.7596710E-002, 1.0297060E-004, 2.9193088E-007, 4.7994036E-004, 4.6843368E+002
 1.6003482E+001, 1.4050669E-001, 8.4357391E-002, 4.0830629E-002, 1.1346689E-004, 1.1569366E-007, 5.2896590E-004, 4.9330568E+002
 1.7002258E+001, 1.3840145E-001, 8.6306247E-002, 4.1642309E-002, 1.1605872E-004, 7.2237677E-008, 5.4126217E-004, 4.8428786E+002
 1.8001261E+001, 1.3507380E-001, 8.9386640E-002, 4.2925308E-002, 1.2020298E-004, 4.6317325E-008, 5.6070813E-004, 4.9210558E+002
 1.9010276E+001, 1.2761369E-001, 9.6292319E-002, 4.5801639E-002, 1.2958081E-004, 6.9724017E-008, 6.0432129E-004, 4.9376625E+002
 2.0006714E+001, 1.2814955E-001, 9.5796376E-002, 4.5595013E-002, 1.2884665E-004, 1.9697219E-008, 6.0117600E-004, 4.8478440E+002
 2.1003944E+001, 1.2443092E-001, 9.9238589E-002, 4.7028781E-002, 1.3355140E-004, 6.1382939E-008, 6.2292202E-004, 4.9157536E+002
 2.2005384E+001, 1.2081703E-001, 1.0258390E-001, 4.8422155E-002, 1.3809120E-004, 1.1521005E-007, 6.4404881E-004, 4.9116781E+002
 2.3006460E+001, 1.1592038E-001, 1.0711664E-001, 5.0310109E-002, 1.4423507E-004, 1.4079189E-007, 6.7267310E-004, 4.9729671E+002
 2.4009943E+001, 1.1182916E-001, 1.1089728E-001, 5.1888992E-002, 1.5384023E-004, 4.2107812E-006, 6.9751732E-004, 5.0573812E+002
 2.5009217E+001, 1.1106294E-001, 1.1161295E-001, 5.2182983E-002, 1.5043154E-004, 2.0782126E-007, 7.0108936E-004, 4.9082470E+002
 2.6003526E+001, 1.0766777E-001, 1.1475596E-001, 5.3491992E-002, 1.5458787E-004, 1.0457072E-007, 7.2091496E-004, 4.9537446E+002
 2.7007808E+001, 1.0449006E-001, 1.1769725E-001, 5.4717238E-002, 1.5874351E-004, 3.8656169E-007, 7.3952573E-004, 5.0524818E+002
 2.8000086E+001, 1.0452445E-001, 1.1766570E-001, 5.4703926E-002, 1.5851540E-004, 1.0231440E-007, 7.3928642E-004, 4.8935798E+002
 2.9007514E+001, 1.0247579E-001, 1.1956175E-001, 5.5493857E-002, 1.6130099E-004, 5.4362250E-007, 7.5130660E-004, 4.9405585E+002
 3.0006368E+001, 9.7236930E-002, 1.2440890E-001, 5.7514299E-002, 1.6950674E-004, 1.9656116E-006, 7.8227031E-004, 5.0570694E+002
 3.1008433E+001, 9.5980564E-002, 1.2556017E-001, 5.8000750E-002, 1.7849922E-004, 1.2818859E-005, 7.9114867E-004, 4.9547785E+002
 3.2010161E+001, 9.5181654E-002, 1.2630306E-001, 5.8308232E-002, 1.7742364E-004, 9.4978681E-006, 7.9538938E-004, 4.8859792E+002
 3.3006799E+001, 9.3187612E-002, 1.2808514E-001, 5.9087718E-002, 2.1977106E-004, 7.1285704E-005, 8.1528354E-004, 4.9025933E+002
 3.4008930E+001, 9.0545982E-002, 1.3046865E-001, 6.0114517E-002, 2.5960867E-004, 1.4355982E-004, 8.3825627E-004, 4.9256438E+002
 3.5007800E+001, 8.5029352E-002, 1.3449611E-001, 6.2411904E-002, 9.3056784E-004, 1.2501968E-003, 1.0076878E-003, 5.0502639E+002
 3.6000462E+001, 8.7236466E-002, 1.3322898E-001, 6.1439972E-002, 4.5194489E-004, 4.4507275E-004, 8.9649502E-004, 4.8109750E+002
 3.7005588E+001, 8.6812123E-002, 1.3367872E-001, 6.1600336E-002, 4.2333759E-004, 3.5191585E-004, 8.9301317E-004, 4.8302505E+002
 3.8003219E+001, 8.5428794E-002, 1.3493315E-001, 6.2144879E-002, 4.4837980E-004, 3.3589939E-004, 9.0598533E-004, 4.8854776E+002
 3.9006741E+001, 8.3740253E-002, 1.3638460E-001, 6.2809961E-002, 5.1550589E-004, 4.7199546E-004, 9.2925006E-004, 4.8508657E+002
 4.0008894E+001, 8.2796222E-002, 1.3713618E-001, 6.3197830E-002, 5.9663633E-004, 5.6967864E-004, 9.5133040E-004, 4.7604101E+002
 4.1003931E+001, 8.2232245E-002, 1.3745395E-001, 6.3450124E-002, 7.2570574E-004, 7.6346804E-004, 9.8117136E-004, 4.8372763E+002
 4.2009300E+001, 7.9417607E-002, 1.3967955E-001, 6.4586717E-002, 9.5415017E-004, 1.2050452E-003, 1.0440033E-003, 4.8078272E+002
 4.3006907E+001, 7.8825702E-002, 1.4025863E-001, 6.4798101E-002, 9.2349603E-004, 1.2452001E-003, 1.0408579E-003, 4.7742512E+002
 4.4001492E+001, 7.8233502E-002, 1.4057839E-001, 6.5069136E-002, 1.0716059E-003, 1.4392337E-003, 1.0748306E-003, 4.6993170E+002
 4.5002264E+001, 7.7075453E-002, 1.4149835E-001, 6.5525392E-002, 1.1519861E-003, 1.6813770E-003, 1.0977631E-003, 4.7684566E+002
 4.6007434E+001, 7.6032901E-002, 1.4203460E-001, 6.5952978E-002, 1.3739650E-003, 2.3759062E-003, 1.1490242E-003, 4.7844767E+002
 4.7007693E+001, 7.5002513E-002, 1.4307595E-001, 6.6356539E-002, 1.3420243E-003, 2.1644129E-003, 1.1483832E-003, 4.7528293E+002
 4.8009237E+001, 7.4533771E-002, 1.4324034E-001, 6.6579826E-002, 1.5084554E-003, 2.4407604E-003, 1.1853848E-003, 4.6859247E+002
 4.9003708E+001, 7.2912061E-002, 1.4398698E-001, 6.7261224E-002, 1.9101180E-003, 3.5959153E-003, 1.2767926E-003, 4.7556634E+002
 5.0002860E+001, 7.2812909E-002, 1.4427016E-001, 6.7315024E-002, 1.8394609E-003, 3.1224396E-003, 1.2632081E-003, 4.6888807E+002
 5.1003064E+001, 7.3103193E-002, 1.4381157E-001, 6.7217509E-002, 1.9399530E-003, 3.4114275E-003, 1.2821911E-003, 4.6074717E+002
 5.2000359E+001, 7.2352375E-002, 1.4452809E-001, 6.7489264E-002, 1.9129563E-003, 3.4761857E-003, 1.2806647E-003, 4.6699160E+002
 5.3003602E+001, 7.1551398E-002, 1.4521325E-001, 6.7831581E-002, 1.9738456E-003, 3.3849488E-003, 1.2979648E-003, 4.6077925E+002
 5.4001014E+001, 7.1889989E-002, 1.4512162E-001, 6.7664430E-002, 1.8353185E-003, 3.1670942E-003, 1.2674392E-003, 4.5796170E+002
 5.5001414E+001, 7.1267895E-002, 1.4512449E-001, 6.7985728E-002, 2.1794040E-003, 3.8092916E-003, 1.3419085E-003, 4.6071442E+002
 5.6009350E+001, 7.1516477E-002, 1.4477992E-001, 6.7823840E-002, 2.1632055E-003, 4.4359134E-003, 1.3363310E-003, 4.5434658E+002
 5.7009166E+001, 7.1263509E-002, 1.4514164E-001, 6.7938297E-002, 2.1230730E-003, 4.0807618E-003, 1.3298244E-003, 4.5446310E+002
 5.8005502E+001, 7.0967091E-002, 1.4499448E-001, 6.8053331E-002, 2.3152940E-003, 4.9114334E-003, 1.3705321E-003, 4.5582250E+002
 5.9003548E+001, 7.0164776E-002, 1.4544440E-001, 6.8409217E-002, 2.4967740E-003, 5.2097165E-003, 1.4125092E-003, 4.5175239E+002
 6.0007551E+001, 6.9560716E-002, 1.4605557E-001, 6.8645766E-002, 2.4777042E-003, 5.0846132E-003, 1.4120629E-003, 4.5631133E+002
 6.1004056E+001, 6.9899549E-002, 1.4527397E-001, 6.8492656E-002, 2.6663386E-003, 6.1477752E-003, 1.4481749E-003, 4.5395910E+002
 6.2000998E+001, 6.9800374E-002, 1.4559646E-001, 6.8531655E-002, 2.5626750E-003, 5.6861115E-003, 1.4276856E-003, 4.5037869E+002
 6.3003512E+001, 6.9995061E-002, 1.4498866E-001, 6.8391927E-002, 2.6898991E-003, 6.9247680E-003, 1.4515574E-003, 4.4358422E+002
 6.4004376E+001, 6.9167864E-002, 1.4537265E-001, 6.8793121E-002, 2.9483841E-003, 7.1830889E-003, 1.5097990E-003, 4.5632275E+002
 6.5002349E+001, 6.9583969E-002, 1.4544610E-001, 6.8592601E-002, 2.6988322E-003, 6.5170898E-003, 1.4562434E-003, 4.4256966E+002
 6.6002144E+001, 6.9521521E-002, 1.4534334E-001, 6.8710721E-002, 2.8681926E-003, 6.2658686E-003, 1.4922682E-003, 4.5140303E+002
 6.7005113E+001, 6.9739750E-002, 1.4527456E-001, 6.8514305E-002, 2.6923172E-003, 6.6816255E-003, 1.4538014E-003, 4.4812619E+002
 6.8007884E+001, 6.9597227E-002, 1.4489527E-001, 6.8592028E-002, 2.9475952E-003, 7.5566377E-003, 1.5067550E-003, 4.4225767E+002
 6.9003197E+001, 6.9389774E-002, 1.4543642E-001, 6.8701586E-002, 2.8199517E-003, 6.6859251E-003, 1.4823923E-003, 4.4078573E+002
 7.0006201E+001, 6.9165410E-002, 1.4549067E-001, 6.8783307E-002, 2.8848752E-003, 7.0188887E-003, 1.4967677E-003, 4.4076829E+002
 7.1001252E+001, 6.8746636E-002, 1.4557488E-001, 6.8914021E-002, 2.9913969E-003, 7.8062489E-003, 1.5203257E-003, 4.4126755E+002
 7.2005910E+001, 6.9031873E-002, 1.4571065E-001, 6.8839482E-002, 2.8461691E-003, 6.7995713E-003, 1.4897168E-003, 4.4796607E+002
 7.3010480E+001, 6.8252779E-002, 1.4571904E-001, 6.9149130E-002, 3.1797642E-003, 8.1557963E-003, 1.5619520E-003, 4.4343048E+002
 7.4001428E+001, 6.8639885E-002, 1.4508874E-001, 6.8945151E-002, 3.2463973E-003, 9.0259352E-003, 1.5725770E-003, 4.4517098E+002
 7.5005919E+001, 6.8838418E-002, 1.4511841E-001, 6.8862497E-002, 3.1431266E-003, 8.6400136E-003, 1.5504096E-003, 4.3733238E+002
 7.6007860E+001, 6.9191102E-002, 1.4514711E-001, 6.8739942E-002, 2.9954640E-003, 7.8550311E-003, 1.5186299E-003, 4.3580936E+002
 7.7000280E+001, 6.8513351E-002, 1.4538130E-001, 6.9017109E-002, 3.1908143E-003, 8.5380921E-003, 1.5623105E-003, 4.4618222E+002
 7.8005280E+001, 6.8259673E-002, 1.4575068E-001, 6.9154508E-002, 3.1707621E-003, 8.0318054E-003, 1.5601943E-003, 4.3697707E+002
 7.9004283E+001, 6.8064247E-002, 1.4578655E-001, 6.9142680E-002, 3.1472958E-003, 8.8469255E-003, 1.5553358E-003, 4.3976542E+002
 8.0000117E+001, 6.8335030E-002, 1.4529877E-001, 6.8988709E-002, 3.2035811E-003, 9.6168228E-003, 1.5645797E-003, 4.4901902E+002
 8.1009648E+001, 6.8620065E-002, 1.4496644E-001, 6.8818087E-002, 3.1719541E-003, 1.0120133E-002, 1.5557372E-003, 4.3418173E+002
 8.2008181E+001, 6.8005788E-002, 1.4536383E-001, 6.9049976E-002, 3.2452655E-003, 1.0489383E-002, 1.5739938E-003, 4.3713516E+002
 8.3006868E+001, 6.8393489E-002, 1.4458911E-001, 6.8836819E-002, 3.3679356E-003, 1.1698762E-002, 1.5958751E-003, 4.3172153E+002
 8.4004213E+001, 6.7662604E-002, 1.4549204E-001, 6.9139562E-002, 3.2877293E-003, 1.1123469E-002, 1.5839561E-003, 4.3302786E+002
 8.5002988E+001, 6.8123263E-002, 1.4513122E-001, 6.8954501E-002, 3.2497700E-003, 1.1038583E-002, 1.5735697E-003, 4.3435180E+002
 8.6000123E+001, 6.7723762E-002, 1.4519515E-001, 6.9233185E-002, 3.5168353E-003, 1.0889976E-002, 1.6317390E-003, 4.3962842E+002
 8.7007717E+001, 6.7787756E-002, 1.4556641E-001, 6.9124323E-002, 3.2352255E-003, 1.0546728E-002, 1.5730416E-003, 4.3504079E+002
 8.8000907E+001, 6.7736306E-002, 1.4549696E-001, 6.9211676E-002, 3.3576380E-003, 1.0369926E-002, 1.5991091E-003, 4.4051896E+002
 8.9003378E+001, 6.7983801E-002, 1.4470028E-001, 6.8945441E-002, 3.4393368E-003, 1.2528579E-002, 1.6119966E-003, 4.2966350E+002
 9.0004624E+001, 6.8498339E-002, 1.4450992E-001, 6.8816669E-002, 3.3805085E-003, 1.1540604E-002, 1.5981181E-003, 4.2340798E+002
 9.1008502E+001, 6.7519414E-002, 1.4528017E-001, 6.9156933E-002, 3.4052092E-003, 1.2034945E-002, 1.6081026E-003, 4.3984148E+002
 9.2002126E+001, 6.7563533E-002, 1.4510914E-001, 6.9131815E-002, 3.4558467E-003, 1.2341971E-002, 1.6180302E-003, 4.3627135E+002
 9.3011275E+001, 6.7848066E-002, 1.4466745E-001, 6.8964597E-002, 3.4772999E-003, 1.3043432E-002, 1.6200148E-003, 4.2415696E+002
 9.4009251E+001, 6.7741485E-002, 1.4439643E-001, 6.9057170E-002, 3.6978292E-003, 1.3464205E-002, 1.6661002E-003, 4.3335642E+002
 9.5005494E+001, 6.8309351E-002, 1.4370179E-001, 6.8691261E-002, 3.6229146E-003, 1.4688737E-002, 1.6457123E-003, 4.2814587E+002
 9.6007925E+001, 6.7837376E-002, 1.4467639E-001, 6.8874265E-002, 3.3808251E-003, 1.3617155E-002, 1.5991964E-003, 4.2982110E+002
 9.7002784E+001, 6.7760481E-002, 1.4455139E-001, 6.8946899E-002, 3.5139597E-003, 1.3745607E-002, 1.6272504E-003, 4.3022778E+002
 9.8010111E+001, 6.7519264E-002, 1.4482959E-001, 6.9077222E-002, 3.5276622E-003, 1.3410870E-002, 1.6318893E-003, 4.3111498E+002
 9.9003442E+001, 6.8044742E-002, 1.4382973E-001, 6.8749017E-002, 3.6308574E-003, 1.5188534E-002, 1.6482031E-003, 4.3159659E+002
 1.0000870E+002, 6.8141141E-002, 1.4411544E-001, 6.8720908E-002, 3.4700729E-003, 1.4390822E-002, 1.6151318E-003, 4.2838616E+002
 1.0100707E+002, 6.8162828E-002, 1.4392675E-001, 6.8788970E-002, 3.6248977E-003, 1.4262219E-002, 1.6474945E-003, 4.2487861E+002
 1.0200011E+002, 6.8771883E-002, 1.4365533E-001, 6.8519511E-002, 3.4560699E-003, 1.3892618E-002, 1.6093295E-003, 4.2414875E+002
 1.0300317E+002, 6.9215311E-002, 1.4275426E-001, 6.8229937E-002, 3.5561918E-003, 1.5582675E-002, 1.6255729E-003, 4.2419932E+002
 1.0400868E+002, 6.8056953E-002, 1.4380838E-001, 6.8870187E-002, 3.7645632E-003, 1.4446360E-002, 1.6770018E-003, 4.3027450E+002
 1.0500366E+002, 6.8372130E-002, 1.4354909E-001, 6.8622699E-002, 3.6201930E-003, 1.5144668E-002, 1.6442056E-003, 4.3141101E+002
 1.0600214E+002, 6.8171036E-002, 1.4403440E-001, 6.8784879E-002, 3.5716960E-003, 1.4039492E-002, 1.6366307E-003, 4.3116337E+002
 1.0700823E+002, 6.7730679E-002, 1.4394414E-001, 6.8830170E-002, 3.6701955E-003, 1.5779662E-002, 1.6574057E-003, 4.3324824E+002
 1.0800479E+002, 6.7745081E-002, 1.4415122E-001, 6.8813866E-002, 3.5592352E-003, 1.5408051E-002, 1.6346429E-003, 4.2944862E+002
