s,,,,,,,
Time,"O2 EXHAUST","CO2 EXHAUST","H2O EXHAUST","CO EXHAUST","FUEL EXHAUST","SOOT EXHAUST","TEMP EXHAUST"
 0.0000000E+000, 2.3099739E-001, 5.9146498E-004, 5.9412092E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001
 1.0016061E+000, 2.3099739E-001, 5.9146498E-004, 5.9412092E-003, 9.7513172E-030, 5.7426243E-029, 2.5340344E-030, 2.0872227E+001
 2.0014311E+000, 2.2195765E-001, 7.9162656E-003, 1.0557607E-002, 5.0519317E-005, 9.6011958E-005, 4.1179638E-005, 1.0871093E+002
 3.0027571E+000, 2.1315045E-001, 1.5044827E-002, 1.5068747E-002, 1.1227476E-004, 1.3794777E-004, 8.3955145E-005, 1.8447921E+002
 4.0016332E+000, 2.0938709E-001, 1.8123738E-002, 1.6984908E-002, 1.1651822E-004, 1.4686144E-004, 9.7621441E-005, 2.2031004E+002
 5.0003406E+000, 2.0319620E-001, 2.3137926E-002, 2.0154129E-002, 1.5726626E-004, 1.7880070E-004, 1.2713266E-004, 2.7141844E+002
 6.0011480E+000, 1.9660435E-001, 2.8577822E-002, 2.3499555E-002, 1.3676810E-004, 1.5412876E-004, 1.4527619E-004, 3.1937292E+002
 7.0031288E+000, 1.9242836E-001, 3.2015179E-002, 2.5622454E-002, 1.3006036E-004, 1.3867505E-004, 1.5807957E-004, 3.4835259E+002
 8.0027389E+000, 1.8703659E-001, 3.6484450E-002, 2.8354138E-002, 1.0147205E-004, 1.0203456E-004, 1.7046705E-004, 3.8085759E+002
 9.0012778E+000, 1.8294211E-001, 3.9891673E-002, 3.0424946E-002, 7.1495383E-005, 6.5491694E-005, 1.7815661E-004, 4.0866470E+002
 1.0001014E+001, 1.7658830E-001, 4.5149188E-002, 3.3647176E-002, 4.3958188E-005, 2.5250891E-005, 1.9403528E-004, 4.3437063E+002
 1.1002245E+001, 1.7372236E-001, 4.7522002E-002, 3.5100059E-002, 3.0579589E-005, 6.9834306E-006, 2.0099782E-004, 4.4786523E+002
 1.2004312E+001, 1.6838818E-001, 5.1901530E-002, 3.7813494E-002, 2.8095090E-005, 9.6174930E-007, 2.1861028E-004, 4.6862564E+002
 1.3000586E+001, 1.6743036E-001, 5.2687369E-002, 3.8300864E-002, 2.7988151E-005, 3.3174265E-007, 2.2184321E-004, 4.6609146E+002
 1.4003984E+001, 1.6413397E-001, 5.5389184E-002, 3.9978864E-002, 2.9267664E-005, 1.1497253E-007, 2.3331164E-004, 4.7996963E+002
 1.5002675E+001, 1.6185272E-001, 5.7258661E-002, 4.1140209E-002, 3.0347865E-005, 1.3157198E-007, 2.4128881E-004, 4.8046661E+002
 1.6004826E+001, 1.6020737E-001, 5.8607280E-002, 4.1977738E-002, 3.0951956E-005, 6.2505915E-008, 2.4700589E-004, 4.8095160E+002
 1.7001181E+001, 1.5959435E-001, 5.9109743E-002, 4.2289786E-002, 3.1180091E-005, 3.5950582E-008, 2.4913660E-004, 4.7642983E+002
