s,,,,,,,
Time,"O2 EXHAUST","CO2 EXHAUST","H2O EXHAUST","CO EXHAUST","FUEL EXHAUST","SOOT EXHAUST","TEMP EXHAUST"
 0.0000000E+000, 2.3099739E-001, 5.9146498E-004, 5.9412091E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001
 1.0042538E+000, 2.3099739E-001, 5.9146498E-004, 5.9412091E-003, 3.1111753E-033, 5.0807865E-032, 1.0553851E-033, 2.0230228E+001
 2.0028312E+000, 2.2489892E-001, 5.3502337E-003, 9.9064349E-003, 5.1795162E-006, 1.9338871E-004, 2.8716262E-005, 8.2590237E+001
 3.0024181E+000, 2.2089231E-001, 8.4886965E-003, 1.2534481E-002, 1.5060170E-005, 2.0396522E-004, 4.9053347E-005, 1.1904443E+002
 4.0033179E+000, 2.1682638E-001, 1.1670912E-002, 1.5188388E-002, 1.9578779E-005, 2.7260489E-004, 6.8484148E-005, 1.5920433E+002
 5.0014220E+000, 2.1408822E-001, 1.3811263E-002, 1.6980719E-002, 2.6422894E-005, 3.0380762E-004, 8.2376484E-005, 1.8260480E+002
 6.0032684E+000, 2.0943917E-001, 1.7456617E-002, 2.0024287E-002, 3.3249654E-005, 3.3230408E-004, 1.0499219E-004, 2.2156288E+002
 7.0052743E+000, 2.0517304E-001, 2.0822005E-002, 2.2822643E-002, 3.3344905E-005, 2.9542819E-004, 1.2452771E-004, 2.5432303E+002
 8.0010546E+000, 2.0091682E-001, 2.4177650E-002, 2.5614597E-002, 3.4343323E-005, 2.6211943E-004, 1.4420215E-004, 2.8489791E+002
 9.0029770E+000, 1.9552739E-001, 2.8434863E-002, 2.9154283E-002, 3.4257115E-005, 1.8595903E-004, 1.6886974E-004, 3.1618178E+002
 1.0003365E+001, 1.9138184E-001, 3.1712763E-002, 3.1876358E-002, 3.2415254E-005, 1.2341423E-004, 1.8747872E-004, 3.3857640E+002
 1.1005517E+001, 1.8651856E-001, 3.5555038E-002, 3.5068065E-002, 3.0796741E-005, 6.2969903E-005, 2.0940869E-004, 3.6024342E+002
 1.2003380E+001, 1.8276620E-001, 3.8516449E-002, 3.7529545E-002, 3.0363881E-005, 2.7368452E-005, 2.2648738E-004, 3.7620879E+002
 1.3004706E+001, 1.7545098E-001, 4.4277453E-002, 4.2323680E-002, 3.2628899E-005, 8.5189988E-007, 2.6038398E-004, 4.0294576E+002
 1.4006465E+001, 1.7296940E-001, 4.6229421E-002, 4.3949176E-002, 3.4011656E-005, 4.3841358E-008, 2.7200214E-004, 4.0316356E+002
 1.5007404E+001, 1.6597497E-001, 5.1730407E-002, 4.8530494E-002, 3.8119197E-005, 2.9194945E-008, 3.0478972E-004, 4.2359999E+002
 1.6004071E+001, 1.6389423E-001, 5.3366889E-002, 4.9893361E-002, 3.9328689E-005, 1.2866341E-008, 3.1454097E-004, 4.2147082E+002
 1.7001352E+001, 1.5751755E-001, 5.8382017E-002, 5.4070049E-002, 4.3073759E-005, 1.7284779E-008, 3.4443276E-004, 4.3521038E+002
 1.8005660E+001, 1.5418649E-001, 6.1001822E-002, 5.6251877E-002, 4.5034668E-005, 3.0575514E-008, 3.6004863E-004, 4.3862629E+002
 1.9001292E+001, 1.4945021E-001, 6.4726850E-002, 5.9354098E-002, 4.7791090E-005, 1.1887227E-008, 3.8224554E-004, 4.4307818E+002
 2.0006515E+001, 1.4642862E-001, 6.7103236E-002, 6.1333237E-002, 4.9587906E-005, 3.2919008E-008, 3.9641438E-004, 4.4220509E+002
 2.1004992E+001, 1.4236365E-001, 7.0300290E-002, 6.3995757E-002, 5.1952579E-005, 1.5817564E-008, 4.1546493E-004, 4.4836267E+002
 2.2002678E+001, 1.3933750E-001, 7.2680302E-002, 6.5977871E-002, 5.3729480E-005, 1.9288502E-008, 4.2965049E-004, 4.4950190E+002
 2.3005137E+001, 1.3537929E-001, 7.5793348E-002, 6.8570479E-002, 5.6058110E-005, 2.9775203E-008, 4.4820611E-004, 4.5310725E+002
 2.4000439E+001, 1.3262347E-001, 7.7960754E-002, 7.0375525E-002, 5.7672296E-005, 2.5923007E-008, 4.6112361E-004, 4.5180434E+002
 2.5005049E+001, 1.2999148E-001, 8.0030767E-002, 7.2099458E-002, 5.9212678E-005, 2.8968365E-008, 4.7346039E-004, 4.5298192E+002
 2.6007544E+001, 1.2683276E-001, 8.2515038E-002, 7.4168398E-002, 6.1065354E-005, 2.9449360E-008, 4.8826692E-004, 4.5174533E+002
 2.7001130E+001, 1.2397795E-001, 8.4760284E-002, 7.6038289E-002, 6.2747439E-005, 2.9645070E-008, 5.0165049E-004, 4.5398855E+002
 2.8001997E+001, 1.2151247E-001, 8.6699366E-002, 7.7653146E-002, 6.4171959E-005, 2.2744626E-008, 5.1320296E-004, 4.5145105E+002
 2.9003952E+001, 1.1901017E-001, 8.8667386E-002, 7.9292139E-002, 6.5636946E-005, 2.4968576E-008, 5.2493199E-004, 4.5180069E+002
 3.0003416E+001, 1.1670737E-001, 9.0478495E-002, 8.0800461E-002, 6.6988231E-005, 2.9664104E-008, 5.3572653E-004, 4.4843429E+002
 3.1004664E+001, 1.1255113E-001, 9.3747283E-002, 8.3522773E-002, 6.9433284E-005, 3.8656297E-008, 5.5521045E-004, 4.5495597E+002
 3.2000456E+001, 1.1048054E-001, 9.5375779E-002, 8.4878993E-002, 7.0638724E-005, 2.4216752E-008, 5.6491451E-004, 4.5151678E+002
 3.3001991E+001, 1.0784466E-001, 9.7448855E-002, 8.6605475E-002, 7.2180159E-005, 2.3901484E-008, 5.7726928E-004, 4.5239522E+002
 3.4005861E+001, 1.0605632E-001, 9.8855335E-002, 8.7776832E-002, 7.3238925E-005, 3.6071232E-008, 5.8565419E-004, 4.5313762E+002
 3.5002493E+001, 1.0402802E-001, 1.0045055E-001, 8.9105362E-002, 7.4434114E-005, 4.3799723E-008, 5.9516304E-004, 4.5374051E+002
 3.6000108E+001, 1.0107520E-001, 1.0277292E-001, 9.1039428E-002, 7.6144176E-005, 3.8710927E-008, 6.0899989E-004, 4.5236869E+002
 3.7004617E+001, 9.8705304E-002, 1.0463664E-001, 9.2591720E-002, 7.7616575E-005, 2.5684243E-007, 6.2012572E-004, 4.5199132E+002
 3.8001258E+001, 9.6896588E-002, 1.0605933E-001, 9.3776391E-002, 7.8588166E-005, 1.9294136E-008, 6.2858577E-004, 4.4840196E+002
 3.9003786E+001, 9.3820624E-002, 1.0847849E-001, 9.5791136E-002, 8.0408732E-005, 5.1203097E-008, 6.4300778E-004, 4.5367522E+002
 4.0002245E+001, 9.0852822E-002, 1.1081260E-001, 9.7735034E-002, 8.2158272E-005, 5.6612777E-008, 6.5692123E-004, 4.5461192E+002
 4.1007404E+001, 8.8992770E-002, 1.1227553E-001, 9.8953343E-002, 8.3226115E-005, 3.9539308E-008, 6.6563546E-004, 4.5329438E+002
 4.2003484E+001, 8.7038436E-002, 1.1381257E-001, 1.0023343E-001, 8.4379427E-005, 3.1636284E-008, 6.7479790E-004, 4.5564431E+002
 4.3003994E+001, 8.5536980E-002, 1.1499344E-001, 1.0121687E-001, 8.5253444E-005, 4.3110988E-008, 6.8183461E-004, 4.5256117E+002
 4.4005946E+001, 8.2866709E-002, 1.1709290E-001, 1.0296602E-001, 8.7184590E-005, 7.9856793E-007, 6.9442669E-004, 4.5385682E+002
 4.5000182E+001, 8.0371301E-002, 1.1905367E-001, 1.0460084E-001, 8.9632352E-005, 3.1249673E-006, 7.0632631E-004, 4.5685312E+002
 4.6000562E+001, 7.8598187E-002, 1.2043443E-001, 1.0576458E-001, 9.7981518E-005, 2.1489203E-005, 7.1613955E-004, 4.5695689E+002
 4.7000926E+001, 7.7156035E-002, 1.2156525E-001, 1.0670883E-001, 1.0015507E-004, 2.9757820E-005, 7.2316724E-004, 4.5390481E+002
 4.8007391E+001, 7.5004407E-002, 1.2317809E-001, 1.0812734E-001, 1.4130073E-004, 1.5333573E-004, 7.4142289E-004, 4.5177809E+002
 4.9009752E+001, 7.3111769E-002, 1.2468913E-001, 1.0936672E-001, 1.3229425E-004, 1.0891511E-004, 7.4823615E-004, 4.5500846E+002
 5.0002746E+001, 7.1559035E-002, 1.2583664E-001, 1.1039413E-001, 1.7117478E-004, 2.1625732E-004, 7.6330330E-004, 4.5269063E+002
 5.1008857E+001, 6.9790865E-002, 1.2712918E-001, 1.1156778E-001, 2.2362939E-004, 3.5236501E-004, 7.8214857E-004, 4.5153059E+002
 5.2005838E+001, 6.9075469E-002, 1.2761010E-001, 1.1204529E-001, 2.6483432E-004, 4.8178787E-004, 7.9385334E-004, 4.4740185E+002
 5.3007170E+001, 6.7342318E-002, 1.2884689E-001, 1.1319222E-001, 3.2781393E-004, 6.9012007E-004, 8.1465292E-004, 4.4871307E+002
 5.4000538E+001, 6.6575088E-002, 1.2931176E-001, 1.1370317E-001, 3.9394575E-004, 9.3651223E-004, 8.3165850E-004, 4.4456205E+002
 5.5000292E+001, 6.5057160E-002, 1.3028741E-001, 1.1470565E-001, 4.9569538E-004, 1.3446044E-003, 8.5933324E-004, 4.4364737E+002
 5.6001734E+001, 6.4426066E-002, 1.3069438E-001, 1.1514126E-001, 5.4709250E-004, 1.4359915E-003, 8.7281434E-004, 4.4398024E+002
 5.7004742E+001, 6.4140109E-002, 1.3083463E-001, 1.1533848E-001, 5.8984454E-004, 1.5673527E-003, 8.8287844E-004, 4.3802787E+002
 5.8000623E+001, 6.3498296E-002, 1.3118559E-001, 1.1576638E-001, 6.6220721E-004, 1.8482319E-003, 9.0057177E-004, 4.3543247E+002
 5.9003146E+001, 6.2599344E-002, 1.3155753E-001, 1.1634983E-001, 8.0837259E-004, 2.5473673E-003, 9.3435702E-004, 4.3551307E+002
 6.0003730E+001, 6.1897352E-002, 1.3203515E-001, 1.1685229E-001, 8.6370531E-004, 2.5266992E-003, 9.4909901E-004, 4.3526687E+002
 6.1004093E+001, 6.1282344E-002, 1.3229673E-001, 1.1729950E-001, 9.8524863E-004, 2.7976931E-003, 9.7691536E-004, 4.3297865E+002
 6.2003605E+001, 6.1098798E-002, 1.3218246E-001, 1.1739023E-001, 1.0847329E-003, 3.4391027E-003, 9.9778054E-004, 4.2691456E+002
 6.3004290E+001, 6.0676245E-002, 1.3252322E-001, 1.1765786E-001, 1.0765445E-003, 3.4587904E-003, 9.9798485E-004, 4.2295733E+002
 6.4009890E+001, 6.0197343E-002, 1.3265466E-001, 1.1800945E-001, 1.2049119E-003, 3.8024214E-003, 1.0265234E-003, 4.2283555E+002
 6.5008937E+001, 5.9962222E-002, 1.3250073E-001, 1.1809455E-001, 1.3196868E-003, 4.7643507E-003, 1.0504681E-003, 4.2127029E+002
 6.6000313E+001, 5.9512383E-002, 1.3274023E-001, 1.1843937E-001, 1.3963666E-003, 4.7939955E-003, 1.0684484E-003, 4.2005271E+002
 6.7006944E+001, 5.9230772E-002, 1.3292621E-001, 1.1863263E-001, 1.4167836E-003, 4.8304149E-003, 1.0739446E-003, 4.1818432E+002
 6.8007118E+001, 5.8908743E-002, 1.3287515E-001, 1.1877782E-001, 1.5179441E-003, 5.7098536E-003, 1.0955399E-003, 4.1393596E+002
 6.9001761E+001, 5.8351086E-002, 1.3315504E-001, 1.1914702E-001, 1.5905804E-003, 6.0149611E-003, 1.1128804E-003, 4.1090374E+002
 7.0000475E+001, 5.8166271E-002, 1.3305194E-001, 1.1924703E-001, 1.6898952E-003, 6.6019324E-003, 1.1337735E-003, 4.1425982E+002
 7.1005101E+001, 5.7946816E-002, 1.3310464E-001, 1.1939017E-001, 1.7428170E-003, 6.8467959E-003, 1.1455307E-003, 4.0832737E+002
 7.2005869E+001, 5.7787483E-002, 1.3314800E-001, 1.1946251E-001, 1.7627342E-003, 7.1411240E-003, 1.1500927E-003, 4.0719234E+002
 7.3006387E+001, 5.7770703E-002, 1.3288782E-001, 1.1948688E-001, 1.8906993E-003, 7.6402419E-003, 1.1762737E-003, 4.0379447E+002
 7.4010166E+001, 5.7402563E-002, 1.3300941E-001, 1.1973395E-001, 1.9683413E-003, 7.9560502E-003, 1.1937795E-003, 4.0575703E+002
 7.5004047E+001, 5.7111102E-002, 1.3303928E-001, 1.1986274E-001, 2.0248615E-003, 8.6086337E-003, 1.2061843E-003, 4.0180193E+002
 7.6010086E+001, 5.7064086E-002, 1.3304609E-001, 1.1990434E-001, 2.0438075E-003, 8.6262211E-003, 1.2103233E-003, 4.0250704E+002
 7.7003639E+001, 5.6612953E-002, 1.3318547E-001, 1.2022502E-001, 2.1524292E-003, 8.9607268E-003, 1.2346353E-003, 3.9936139E+002
 7.8007538E+001, 5.6534280E-002, 1.3301951E-001, 1.2020260E-001, 2.2153471E-003, 9.7184683E-003, 1.2472892E-003, 3.9645619E+002
 7.9004416E+001, 5.6479517E-002, 1.3292364E-001, 1.2015486E-001, 2.2339196E-003, 1.0335174E-002, 1.2507540E-003, 3.9583451E+002
 8.0003179E+001, 5.6128630E-002, 1.3301021E-001, 1.2042669E-001, 2.3396004E-003, 1.0549538E-002, 1.2741231E-003, 3.9506669E+002
 8.1005182E+001, 5.6213455E-002, 1.3293553E-001, 1.2034802E-001, 2.3311961E-003, 1.0658453E-002, 1.2718720E-003, 3.9174708E+002
 8.2003086E+001, 5.6023803E-002, 1.3290057E-001, 1.2044423E-001, 2.3984398E-003, 1.1143265E-002, 1.2862206E-003, 3.9361991E+002
 8.3005575E+001, 5.5781647E-002, 1.3286688E-001, 1.2051100E-001, 2.4506250E-003, 1.1965329E-002, 1.2973194E-003, 3.9351300E+002
 8.4007564E+001, 5.5575072E-002, 1.3300830E-001, 1.2062896E-001, 2.4511470E-003, 1.2077559E-002, 1.2982528E-003, 3.9064843E+002
 8.5000185E+001, 5.5115734E-002, 1.3304885E-001, 1.2088244E-001, 2.5690850E-003, 1.2916391E-002, 1.3240093E-003, 3.9111812E+002
 8.6000081E+001, 5.5373980E-002, 1.3285446E-001, 1.2068209E-001, 2.5490252E-003, 1.3024048E-002, 1.3185421E-003, 3.9019877E+002
 8.7002187E+001, 5.5132237E-002, 1.3288543E-001, 1.2079530E-001, 2.5964486E-003, 1.3527115E-002, 1.3289845E-003, 3.8756689E+002
 8.8009408E+001, 5.5116114E-002, 1.3279984E-001, 1.2071515E-001, 2.5933343E-003, 1.4090099E-002, 1.3278163E-003, 3.8727087E+002
 8.9010121E+001, 5.5047414E-002, 1.3281822E-001, 1.2085510E-001, 2.6579883E-003, 1.3780913E-002, 1.3419111E-003, 3.9389592E+002
 9.0000792E+001, 5.4937525E-002, 1.3256597E-001, 1.2079507E-001, 2.7401629E-003, 1.4995867E-002, 1.3582329E-003, 3.8508036E+002
 9.1005802E+001, 5.4861639E-002, 1.3258513E-001, 1.2078240E-001, 2.7260831E-003, 1.5328288E-002, 1.3552986E-003, 3.8572678E+002
 9.2009601E+001, 5.4827136E-002, 1.3239829E-001, 1.2077584E-001, 2.8058686E-003, 1.5878141E-002, 1.3714804E-003, 3.8221490E+002
 9.3003202E+001, 5.5025466E-002, 1.3241674E-001, 1.2067062E-001, 2.7411962E-003, 1.5426229E-002, 1.3575926E-003, 3.8184255E+002
 9.4009742E+001, 5.4746249E-002, 1.3233810E-001, 1.2085749E-001, 2.8754891E-003, 1.6013361E-002, 1.3861958E-003, 3.8332617E+002
 9.5003499E+001, 5.4641742E-002, 1.3228956E-001, 1.2079454E-001, 2.8658774E-003, 1.6805412E-002, 1.3838373E-003, 3.8059857E+002
 9.6008937E+001, 5.4612318E-002, 1.3201273E-001, 1.2081118E-001, 2.9973915E-003, 1.7422600E-002, 1.4106901E-003, 3.8526596E+002
 9.7003102E+001, 5.4606093E-002, 1.3203249E-001, 1.2075069E-001, 2.9576107E-003, 1.7651814E-002, 1.4021980E-003, 3.8268034E+002
 9.8007631E+001, 5.4691082E-002, 1.3184922E-001, 1.2066777E-001, 2.9951059E-003, 1.7996675E-002, 1.4092494E-003, 3.7504720E+002
 9.9006428E+001, 5.4416525E-002, 1.3187000E-001, 1.2078367E-001, 3.0488214E-003, 1.8648045E-002, 1.4209947E-003, 3.8320569E+002
 1.0000014E+002, 5.4805477E-002, 1.3160653E-001, 1.2040600E-001, 2.9665975E-003, 1.9055779E-002, 1.4016774E-003, 3.7825296E+002
 1.0100319E+002, 5.4575833E-002, 1.3173887E-001, 1.2061706E-001, 3.0192971E-003, 1.8909903E-002, 1.4138469E-003, 3.7865193E+002
 1.0200800E+002, 5.5027771E-002, 1.3128141E-001, 1.2016106E-001, 2.9819475E-003, 1.9758610E-002, 1.4031158E-003, 3.7486969E+002
 1.0300143E+002, 5.4822585E-002, 1.3135811E-001, 1.2024537E-001, 2.9938162E-003, 2.0130959E-002, 1.4061298E-003, 3.7670743E+002
 1.0400636E+002, 5.4696256E-002, 1.3130948E-001, 1.2036195E-001, 3.0768243E-003, 2.0294356E-002, 1.4238091E-003, 3.7644200E+002
 1.0500845E+002, 5.5433976E-002, 1.3050998E-001, 1.1971785E-001, 3.0907780E-003, 2.1383923E-002, 1.4221959E-003, 3.7404269E+002
 1.0600118E+002, 5.5456429E-002, 1.3042933E-001, 1.1964798E-001, 3.0902909E-003, 2.1732842E-002, 1.4216240E-003, 3.7341745E+002
 1.0700261E+002, 5.5425652E-002, 1.3048098E-001, 1.1964609E-001, 3.0668190E-003, 2.1765860E-002, 1.4168450E-003, 3.7067452E+002
 1.0800590E+002, 5.5310652E-002, 1.3036178E-001, 1.1964546E-001, 3.1206728E-003, 2.2494824E-002, 1.4278087E-003, 3.7329530E+002
 1.0900821E+002, 5.5417216E-002, 1.3015035E-001, 1.1962808E-001, 3.2040818E-003, 2.2542428E-002, 1.4446302E-003, 3.7238206E+002
 1.1000581E+002, 5.5898112E-002, 1.2960422E-001, 1.1918148E-001, 3.2104889E-003, 2.3410491E-002, 1.4428527E-003, 3.7210370E+002
 1.1100380E+002, 5.5736138E-002, 1.2973538E-001, 1.1926869E-001, 3.1992003E-003, 2.3478700E-002, 1.4411709E-003, 3.6894439E+002
 1.1200593E+002, 5.5901099E-002, 1.2971039E-001, 1.1921018E-001, 3.1781913E-003, 2.3067949E-002, 1.4364788E-003, 3.6919949E+002
