s,,,,,,,
Time,"O2 EXHAUST","CO2 EXHAUST","H2O EXHAUST","CO EXHAUST","FUEL EXHAUST","SOOT EXHAUST","TEMP EXHAUST"
 0.0000000E+000, 2.3099739E-001, 5.9146498E-004, 5.9412092E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001
 1.0036537E+000, 2.3099739E-001, 5.9146498E-004, 5.9412092E-003, 2.6283006E-025, 1.7006031E-025, 6.6771686E-025, 2.3033600E+001
 2.0012247E+000, 2.1787779E-001, 1.0321557E-002, 1.1627398E-002, 1.8859426E-004, 2.5557847E-004, 1.1742412E-004, 1.4611696E+002
 3.0029976E+000, 2.0667483E-001, 1.8795857E-002, 1.6462282E-002, 2.6033681E-004, 2.7110011E-004, 1.9985750E-004, 2.4216592E+002
 4.0043903E+000, 1.8961984E-001, 3.1955192E-002, 2.3759586E-002, 2.0694401E-004, 1.6969993E-004, 2.9253048E-004, 3.6671256E+002
 5.0025253E+000, 1.7982509E-001, 3.9562935E-002, 2.7938632E-002, 1.4498256E-004, 8.4293763E-005, 3.3944034E-004, 4.2133109E+002
 6.0030559E+000, 1.6352479E-001, 5.2140416E-002, 3.4910380E-002, 9.1757870E-005, 2.7840899E-006, 4.2754563E-004, 4.9153713E+002
 7.0008078E+000, 1.4501755E-001, 6.6281660E-002, 4.2856354E-002, 1.1610612E-004, 4.4770318E-007, 5.4465619E-004, 5.3762756E+002
 8.0039922E+000, 1.2802074E-001, 7.9270704E-002, 5.0152896E-002, 1.3691128E-004, 2.5633354E-007, 6.5189051E-004, 5.7445303E+002
 9.0022306E+000, 1.1305914E-001, 9.0694313E-002, 5.6578822E-002, 1.6204859E-004, 1.2646861E-006, 7.4766743E-004, 5.9305285E+002
 1.0008392E+001, 9.6665903E-002, 1.0322153E-001, 6.3616399E-002, 1.8247530E-004, 1.3336646E-006, 8.5116652E-004, 6.1296925E+002
 1.1001220E+001, 8.6067832E-002, 1.1125497E-001, 6.8186471E-002, 2.4007867E-004, 5.9534255E-006, 9.2708012E-004, 6.1268798E+002
 1.2003789E+001, 7.1960747E-002, 1.2198588E-001, 7.4258305E-002, 2.9143274E-004, 7.4208704E-006, 1.0229971E-003, 6.2267563E+002
 1.3006480E+001, 5.9684980E-002, 1.3135651E-001, 7.9531079E-002, 3.1336874E-004, 1.0318447E-005, 1.1018438E-003, 6.3447629E+002
 1.4003946E+001, 4.7472951E-002, 1.4042519E-001, 8.4857534E-002, 5.0903058E-004, 1.7811738E-005, 1.2155488E-003, 6.4491337E+002
 1.5004233E+001, 4.5932585E-002, 1.4198369E-001, 8.5398344E-002, 2.5038376E-004, 1.0675988E-006, 1.1724254E-003, 6.2605568E+002
 1.6004715E+001, 3.3631079E-002, 1.5133035E-001, 9.0695982E-002, 3.0219056E-004, 5.6960633E-006, 1.2574868E-003, 6.4167770E+002
 1.7006344E+001, 3.6287321E-002, 1.4933559E-001, 8.9544993E-002, 2.7523192E-004, 1.6628379E-006, 1.2359236E-003, 6.2602055E+002
 1.8000484E+001, 2.5556119E-002, 1.5728981E-001, 9.4230368E-002, 4.5737353E-004, 8.0816313E-006, 1.3379118E-003, 6.3160424E+002
 1.9004768E+001, 2.1780983E-002, 1.6018286E-001, 9.5849145E-002, 4.5700908E-004, 3.3621522E-006, 1.3607244E-003, 6.2758998E+002
 2.0010031E+001, 1.5334149E-002, 1.6509957E-001, 9.8619712E-002, 4.7161726E-004, 4.6051322E-006, 1.4027591E-003, 6.4153760E+002
 2.1001222E+001, 1.2296902E-002, 1.6552156E-001, 1.0052947E-001, 1.7773325E-003, 5.0536376E-005, 1.6860477E-003, 6.3758269E+002
 2.2005473E+001, 9.5326753E-003, 1.6798659E-001, 1.0159502E-001, 1.5324991E-003, 9.5037829E-005, 1.6530589E-003, 6.3371928E+002
