s,,,,,,,
Time,O2 EXHAUST,CO2 EXHAUST,H2O EXHAUST,CO EXHAUST,FUEL EXHAUST,SOOT EXHAUST,TEMP EXHAUST
 0.0000000E+000, 2.3099739E-001, 5.9146498E-004, 5.9412092E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001
 1.0002586E+000, 2.3099739E-001, 5.9146498E-004, 5.9412092E-003, 7.6066822E-036, 7.8055019E-034, 4.2507396E-035, 2.0145269E+001
 2.0031679E+000, 2.2583557E-001, 4.7876925E-003, 7.8849385E-003, 2.7689731E-005, 3.7255199E-005, 1.4472179E-004, 7.4297751E+001
 3.0052616E+000, 2.2450054E-001, 5.8645014E-003, 8.3904975E-003, 4.1824492E-005, 4.3254523E-005, 1.8336645E-004, 8.6996014E+001
 4.0003538E+000, 2.2158521E-001, 8.2215606E-003, 9.4919252E-003, 6.7387271E-005, 6.3569136E-005, 2.6680411E-004, 1.1640432E+002
 5.0035613E+000, 2.2035534E-001, 9.2164792E-003, 9.9570282E-003, 7.8348942E-005, 6.7954743E-005, 3.0205999E-004, 1.2748456E+002
 6.0058827E+000, 2.1919698E-001, 1.0153315E-002, 1.0394809E-002, 8.8508130E-005, 7.4461046E-005, 3.3522282E-004, 1.3853841E+002
 7.0047556E+000, 2.1733772E-001, 1.1665724E-002, 1.1095477E-002, 9.8565725E-005, 8.2269242E-005, 3.8740018E-004, 1.5596026E+002
 8.0034691E+000, 2.1615346E-001, 1.2621768E-002, 1.1543435E-002, 1.1018743E-004, 8.9505723E-005, 4.2151191E-004, 1.6623943E+002
 9.0018538E+000, 2.1443359E-001, 1.4017103E-002, 1.2192372E-002, 1.2208614E-004, 9.8187300E-005, 4.7021196E-004, 1.8201118E+002
 1.0005474E+001, 2.1386281E-001, 1.4483821E-002, 1.2406178E-002, 1.2270174E-004, 1.0501834E-004, 4.8578007E-004, 1.8755532E+002
 1.1005266E+001, 2.1280999E-001, 1.5331362E-002, 1.2805368E-002, 1.3514895E-004, 1.0936501E-004, 5.1648017E-004, 1.9637906E+002
 1.2000793E+001, 2.1182786E-001, 1.6126026E-002, 1.3176585E-002, 1.4362803E-004, 1.1394715E-004, 5.4458065E-004, 2.0367456E+002
 1.3000797E+001, 2.1013560E-001, 1.7498580E-002, 1.3815423E-002, 1.5583922E-004, 1.2102256E-004, 5.9259423E-004, 2.1579260E+002
