s,,,,,,,
Time,"O2 EXHAUST","CO2 EXHAUST","H2O EXHAUST","CO EXHAUST","FUEL EXHAUST","SOOT EXHAUST","TEMP EXHAUST"
 0.0000000E+000, 2.3118142E-001, 5.9193618E-004, 5.1492695E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001
 1.0043524E+000, 2.3118142E-001, 5.9193618E-004, 5.1492695E-003, 2.3547833E-032, 3.6585472E-030, 3.6708187E-032, 2.0116592E+001
 2.0020637E+000, 2.2498277E-001, 6.2284365E-003, 7.5089641E-003, 2.0318843E-005, 3.9619900E-004, 3.8339241E-005, 8.6142818E+001
 3.0020209E+000, 2.2000573E-001, 1.0757916E-002, 9.4130498E-003, 4.4632968E-005, 6.4942962E-004, 7.0876255E-005, 1.2613998E+002
 4.0028572E+000, 2.1438044E-001, 1.5862532E-002, 1.1571888E-002, 8.5759829E-005, 9.2412347E-004, 1.1051443E-004, 1.7932172E+002
 5.0079643E+000, 2.1038093E-001, 1.9520696E-002, 1.3107555E-002, 1.0275555E-004, 1.0574463E-003, 1.3622072E-004, 2.1153995E+002
 6.0047370E+000, 2.0690599E-001, 2.2694589E-002, 1.4441852E-002, 1.1958832E-004, 1.1819013E-003, 1.5897557E-004, 2.4638319E+002
 7.0045004E+000, 1.9906083E-001, 3.0011816E-002, 1.7482804E-002, 1.1852062E-004, 9.8731116E-004, 2.0280617E-004, 2.9892534E+002
 8.0077286E+000, 1.9767569E-001, 3.1284396E-002, 1.8016911E-002, 1.2418378E-004, 1.0084680E-003, 2.1169471E-004, 3.1264863E+002
 9.0004985E+000, 1.9058441E-001, 3.7927437E-002, 2.0766645E-002, 1.1117022E-004, 7.6891736E-004, 2.4888066E-004, 3.5501433E+002
 1.0001908E+001, 1.8120118E-001, 4.6714927E-002, 2.4409083E-002, 9.9227747E-005, 4.3301996E-004, 2.9921131E-004, 4.0029507E+002
 1.1001339E+001, 1.7796017E-001, 4.9764164E-002, 2.5668514E-002, 9.0136912E-005, 2.8114866E-004, 3.1560545E-004, 4.0746833E+002
 1.2005309E+001, 1.7185946E-001, 5.5454605E-002, 2.8030872E-002, 8.6702601E-005, 1.4393958E-004, 3.4912814E-004, 4.3231491E+002
 1.3006909E+001, 1.6688523E-001, 6.0089582E-002, 2.9955838E-002, 8.4818656E-005, 4.8734011E-005, 3.7663072E-004, 4.4896788E+002
 1.4000044E+001, 1.6199694E-001, 6.4621926E-002, 3.1843487E-002, 8.8971781E-005, 2.4665705E-005, 4.0482176E-004, 4.5187694E+002
 1.5000367E+001, 1.6102002E-001, 6.5527920E-002, 3.2220650E-002, 8.9623182E-005, 1.9932768E-005, 4.1041833E-004, 4.3396971E+002
 1.6009265E+001, 1.6002584E-001, 6.6447700E-002, 3.2604186E-002, 9.0989171E-005, 2.1319720E-005, 4.1625256E-004, 4.1695853E+002
 1.7013384E+001, 1.6121695E-001, 6.5342684E-002, 3.2144200E-002, 9.0234342E-005, 2.8605935E-005, 4.0943516E-004, 3.9343156E+002
 1.8009637E+001, 1.6201615E-001, 6.4601452E-002, 3.1835661E-002, 8.9737387E-005, 3.2524543E-005, 4.0486415E-004, 3.8535540E+002
 1.9012388E+001, 1.5950630E-001, 6.6923124E-002, 3.2804129E-002, 9.3567001E-005, 3.5398751E-005, 4.1967324E-004, 3.8240306E+002
 2.0003092E+001, 1.5879495E-001, 6.7582419E-002, 3.3078779E-002, 9.4243133E-005, 3.2658138E-005, 4.2378962E-004, 3.8189427E+002
 2.1006653E+001, 1.5855962E-001, 6.7799321E-002, 3.3169334E-002, 9.4697648E-005, 3.6024896E-005, 4.2519410E-004, 3.7246065E+002
 2.2008179E+001, 1.5723095E-001, 6.9028137E-002, 3.3681718E-002, 9.6516863E-005, 3.9847345E-005, 4.3298732E-004, 3.7391483E+002
 2.3007809E+001, 1.5694934E-001, 6.9287263E-002, 3.3789984E-002, 9.7155060E-005, 4.5311126E-005, 4.3468581E-004, 3.6197553E+002
 2.4005196E+001, 1.5676930E-001, 6.9449307E-002, 3.3858070E-002, 9.8033925E-005, 6.2905773E-005, 4.3585182E-004, 3.5625659E+002
 2.5005614E+001, 1.5363120E-001, 7.2353067E-002, 3.5068630E-002, 1.0205770E-004, 6.6573816E-005, 4.5420810E-004, 3.7821044E+002
 2.6003092E+001, 1.5329901E-001, 7.2661702E-002, 3.5197096E-002, 1.0224828E-004, 6.2560950E-005, 4.5610783E-004, 3.6659109E+002
 2.7006251E+001, 1.5317127E-001, 7.2780254E-002, 3.5246220E-002, 1.0209577E-004, 6.2942596E-005, 4.5678872E-004, 3.6532825E+002
 2.8009501E+001, 1.5159282E-001, 7.4241692E-002, 3.5855026E-002, 1.0362806E-004, 6.3679989E-005, 4.6592064E-004, 3.6921963E+002
 2.9000646E+001, 1.5314538E-001, 7.2798633E-002, 3.5253678E-002, 1.0204229E-004, 8.9442227E-005, 4.5688792E-004, 3.5641073E+002
 3.0007983E+001, 1.5355995E-001, 7.2411450E-002, 3.5092159E-002, 1.0148205E-004, 1.0570588E-004, 4.5443525E-004, 3.5027535E+002
 3.1009557E+001, 1.5444151E-001, 7.1588596E-002, 3.4749092E-002, 1.0048469E-004, 1.3706396E-004, 4.4926456E-004, 3.4181542E+002
 3.2006605E+001, 1.5418725E-001, 7.1815232E-002, 3.4843351E-002, 1.0077048E-004, 1.7776276E-004, 4.5069128E-004, 3.3962394E+002
 3.3003767E+001, 1.5252157E-001, 7.3361737E-002, 3.5487703E-002, 1.0240334E-004, 1.5847062E-004, 4.6035714E-004, 3.5301510E+002
 3.4001978E+001, 1.5208329E-001, 7.3769408E-002, 3.5657908E-002, 1.0317611E-004, 1.4788321E-004, 4.6297919E-004, 3.5667285E+002
 3.5000509E+001, 1.5072734E-001, 7.5025936E-002, 3.6181526E-002, 1.0464589E-004, 1.4251618E-004, 4.7086365E-004, 3.5912001E+002
 3.6005773E+001, 1.5100100E-001, 7.4769711E-002, 3.6074517E-002, 1.0416562E-004, 1.5692024E-004, 4.6921687E-004, 3.5587087E+002
 3.7001072E+001, 1.5092196E-001, 7.4839694E-002, 3.6103683E-002, 1.0432648E-004, 1.7133078E-004, 4.6967314E-004, 3.5079767E+002
 3.8001562E+001, 1.5134867E-001, 7.4442451E-002, 3.5937820E-002, 1.0356999E-004, 1.8319924E-004, 4.6711742E-004, 3.4503622E+002
 3.9002808E+001, 1.5047380E-001, 7.5250623E-002, 3.6274400E-002, 1.0437013E-004, 1.9251670E-004, 4.7215717E-004, 3.5611333E+002
 4.0007065E+001, 1.5000747E-001, 7.5678877E-002, 3.6452879E-002, 1.0498115E-004, 2.0812107E-004, 4.7486825E-004, 3.6117276E+002
 4.1008460E+001, 1.4888256E-001, 7.6725100E-002, 3.6888746E-002, 1.0599940E-004, 1.8719545E-004, 4.8138856E-004, 3.6750739E+002
 4.2012135E+001, 1.4828421E-001, 7.7283712E-002, 3.7121651E-002, 1.0668158E-004, 1.6542337E-004, 4.8489989E-004, 3.7156633E+002
 4.3003419E+001, 1.5010440E-001, 7.5588133E-002, 3.6415226E-002, 1.0506248E-004, 2.1166078E-004, 4.7433943E-004, 3.4691832E+002
 4.4003770E+001, 1.5102399E-001, 7.4726590E-002, 3.6056288E-002, 1.0436123E-004, 2.5722652E-004, 4.6899989E-004, 3.1914602E+002
 4.5016540E+001, 1.5273581E-001, 7.3118547E-002, 3.5386233E-002, 1.0303663E-004, 3.6196053E-004, 4.5903047E-004, 2.9526276E+002
 4.6022770E+001, 1.5392416E-001, 7.1994230E-002, 3.4917654E-002, 1.0220701E-004, 4.7143891E-004, 4.5208103E-004, 2.7840119E+002
 4.7029001E+001, 1.5463537E-001, 7.1313184E-002, 3.4633678E-002, 1.0174992E-004, 5.7466139E-004, 4.4788142E-004, 2.6362103E+002
 4.8035232E+001, 1.5519231E-001, 7.0778835E-002, 3.4410834E-002, 1.0137716E-004, 6.6037481E-004, 4.4458337E-004, 2.5014306E+002
 4.9041462E+001, 1.5587883E-001, 7.0127949E-002, 3.4139375E-002, 1.0073159E-004, 7.3090566E-004, 4.4052449E-004, 2.3970605E+002
 5.0047693E+001, 1.5627161E-001, 6.9752568E-002, 3.3982688E-002, 1.0029362E-004, 7.8558762E-004, 4.3816948E-004, 2.2843047E+002
 5.1053923E+001, 1.5691951E-001, 6.9131447E-002, 3.3723371E-002, 9.9554349E-005, 8.8477408E-004, 4.3426966E-004, 2.1857451E+002
 5.2004252E+001, 1.5814246E-001, 6.7971935E-002, 3.3239458E-002, 9.8068947E-005, 1.0125635E-003, 4.2696646E-004, 2.0935737E+002
 5.3010483E+001, 1.5939245E-001, 6.6783358E-002, 3.2743278E-002, 9.6484598E-005, 1.1595706E-003, 4.1946689E-004, 2.0155842E+002
 5.4016713E+001, 1.6044955E-001, 6.5768511E-002, 3.2319425E-002, 9.5148593E-005, 1.3288642E-003, 4.1306730E-004, 1.9444437E+002
 5.5022944E+001, 1.6188553E-001, 6.4382280E-002, 3.1740327E-002, 9.3358706E-005, 1.5943167E-003, 4.0433347E-004, 1.8740515E+002
 5.6029175E+001, 1.6303236E-001, 6.3271684E-002, 3.1276332E-002, 9.1959461E-005, 1.8223804E-003, 3.9734383E-004, 1.8025927E+002
 5.7035405E+001, 1.6496512E-001, 6.1392598E-002, 3.0491120E-002, 8.9601703E-005, 2.2411916E-003, 3.8551984E-004, 1.7412724E+002
 5.8041636E+001, 1.6687725E-001, 5.9517566E-002, 2.9707225E-002, 8.7220019E-005, 2.7302299E-003, 3.7371533E-004, 1.6910314E+002
 5.9047866E+001, 1.6843659E-001, 5.7981321E-002, 2.9064837E-002, 8.5294946E-005, 3.1622279E-003, 3.6404950E-004, 1.6383927E+002
 6.0054097E+001, 1.7026348E-001, 5.6153367E-002, 2.8299882E-002, 8.3019203E-005, 3.7993426E-003, 3.5255194E-004, 1.5911818E+002
 6.1004426E+001, 1.7195066E-001, 5.4436168E-002, 2.7580614E-002, 8.0833177E-005, 4.5233196E-003, 3.4174103E-004, 1.5367223E+002
 6.2010656E+001, 1.7327108E-001, 5.3070300E-002, 2.7008043E-002, 7.9088734E-005, 5.1922426E-003, 3.3314109E-004, 1.4913758E+002
 6.3016887E+001, 1.7439289E-001, 5.1924372E-002, 2.6527965E-002, 7.7623000E-005, 5.6930146E-003, 3.2592528E-004, 1.4433479E+002
 6.4023118E+001, 1.7611353E-001, 5.0147191E-002, 2.5782975E-002, 7.5299965E-005, 6.5524956E-003, 3.1472401E-004, 1.3990415E+002
 6.5029348E+001, 1.7769611E-001, 4.8492451E-002, 2.5088916E-002, 7.3153407E-005, 7.4368404E-003, 3.0429833E-004, 1.3645823E+002
 6.6035579E+001, 1.7928788E-001, 4.6815381E-002, 2.4385208E-002, 7.0952781E-005, 8.3858007E-003, 2.9372671E-004, 1.3251636E+002
 6.7041809E+001, 1.8127464E-001, 4.4745557E-002, 2.3517145E-002, 6.8211588E-005, 9.4612873E-003, 2.8067353E-004, 1.2853393E+002
 6.8048040E+001, 1.8326941E-001, 4.2668152E-002, 2.2645891E-002, 6.5433571E-005, 1.0537694E-002, 2.6756673E-004, 1.2466957E+002
 6.9054271E+001, 1.8462054E-001, 4.1254688E-002, 2.2052933E-002, 6.3513568E-005, 1.1296626E-002, 2.5864251E-004, 1.2099189E+002
 7.0004599E+001, 1.8619346E-001, 3.9627731E-002, 2.1370794E-002, 6.1309870E-005, 1.2093718E-002, 2.4837146E-004, 1.1772526E+002
 7.1012128E+001, 1.8833423E-001, 3.7441438E-002, 2.0454675E-002, 5.8309153E-005, 1.3048216E-002, 2.3456034E-004, 1.1443017E+002
 7.2017322E+001, 1.9215361E-001, 3.3609108E-002, 1.8850095E-002, 5.2905759E-005, 1.4433904E-002, 2.1031892E-004, 1.1062214E+002
 7.3000068E+001, 1.9700852E-001, 2.8770209E-002, 1.6824665E-002, 4.5992382E-005, 1.6044423E-002, 1.7969030E-004, 1.0688625E+002
 7.4021222E+001, 2.0167340E-001, 2.4138200E-002, 1.4886202E-002, 3.9372845E-005, 1.7510442E-002, 1.5037059E-004, 1.0274133E+002
 7.5036211E+001, 2.0286471E-001, 2.2898207E-002, 1.4366112E-002, 3.7656529E-005, 1.8150524E-002, 1.4253461E-004, 1.0005779E+002
