s,,,,,,,
Time,"O2 EXHAUST","CO2 EXHAUST","H2O EXHAUST","CO EXHAUST","FUEL EXHAUST","SOOT EXHAUST","TEMP EXHAUST"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0005093E+000, 2.3000000E-001, 6.0000000E-004, 5.2000000E-003, 4.2007286E-032, 2.8681029E-033, 1.1256911E-032, 2.0226354E+001
 2.0011062E+000, 2.2678645E-001, 2.4207485E-003, 7.0311435E-003, 6.4082975E-004, 6.5201176E-009, 2.1371500E-005, 5.2738647E+001
 3.0026589E+000, 2.2000501E-001, 6.7442826E-003, 1.0814267E-002, 1.7138028E-003, 1.9039240E-008, 6.5754355E-005, 1.1219229E+002
 4.0072943E+000, 2.1400161E-001, 1.1259740E-002, 1.4109809E-002, 2.1774077E-003, 2.7626096E-008, 1.0486170E-004, 1.5885394E+002
 5.0031111E+000, 2.0890021E-001, 1.5180810E-002, 1.6835266E-002, 2.4424752E-003, 2.2732208E-008, 1.3721474E-004, 1.9860673E+002
 6.0026867E+000, 2.0324058E-001, 1.9873015E-002, 1.9728855E-002, 2.4258829E-003, 4.3347511E-008, 1.7177450E-004, 2.4047827E+002
 7.0000036E+000, 1.9675873E-001, 2.5755644E-002, 2.2995124E-002, 1.9895949E-003, 5.8652878E-008, 2.1052092E-004, 2.8654902E+002
 8.0056084E+000, 1.9038258E-001, 3.1914957E-002, 2.6061959E-002, 1.1940296E-003, 4.1607612E-008, 2.4685368E-004, 3.2766010E+002
 9.0074335E+000, 1.8329751E-001, 3.8537432E-002, 2.9504853E-002, 4.8576012E-004, 5.8029637E-008, 2.8772070E-004, 3.7149535E+002
 1.0005895E+001, 1.7542760E-001, 4.5778376E-002, 3.3726131E-002, 1.3157632E-004, 1.1010659E-007, 3.3728373E-004, 4.1455008E+002
 1.1001480E+001, 1.6940374E-001, 5.0476325E-002, 3.6559106E-002, 2.7355377E-005, 6.1066093E-008, 3.7116425E-004, 4.3808664E+002
 1.2002329E+001, 1.6303367E-001, 5.5572207E-002, 3.9749966E-002, 2.0859595E-005, 1.8450744E-007, 4.0891652E-004, 4.5809613E+002
 1.3007866E+001, 1.5531712E-001, 6.1880803E-002, 4.3724912E-002, 9.0009409E-006, 1.2040740E-007, 4.5576435E-004, 4.7665479E+002
 1.4004701E+001, 1.4890362E-001, 6.7048729E-002, 4.6922471E-002, 5.4448851E-006, 8.7540869E-008, 4.9384853E-004, 4.8862155E+002
