s,,,,,,,
Time,"O2 EXHAUST","CO2 EXHAUST","H2O EXHAUST","CO EXHAUST","FUEL EXHAUST","SOOT EXHAUST","TEMP EXHAUST"
 0.0000000E+000, 2.3118142E-001, 5.9193618E-004, 5.1492695E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001
 1.0042513E+000, 2.3118142E-001, 5.9193618E-004, 5.1492695E-003, 4.0619845E-033, 6.8528660E-033, 1.0428634E-033, 2.0398532E+001
 2.0040720E+000, 2.2493433E-001, 5.4372282E-003, 9.2366635E-003, 2.9913163E-005, 1.6429755E-004, 3.4569569E-005, 8.6813764E+001
 3.0006807E+000, 2.2179918E-001, 7.8482382E-003, 1.1288477E-002, 5.4317328E-005, 2.8642485E-004, 5.3831209E-005, 1.1175013E+002
 4.0042920E+000, 2.1864414E-001, 1.0289854E-002, 1.3350334E-002, 7.0575958E-005, 3.9033164E-004, 7.1507794E-005, 1.4237710E+002
 5.0027872E+000, 2.1558441E-001, 1.2609061E-002, 1.5369334E-002, 1.1786372E-004, 5.1151567E-004, 9.5188462E-005, 1.6785433E+002
 6.0018702E+000, 2.1291451E-001, 1.4674761E-002, 1.7130457E-002, 1.4024091E-004, 5.3477441E-004, 1.1200882E-004, 1.9132709E+002
 7.0058626E+000, 2.0827219E-001, 1.8335100E-002, 2.0163743E-002, 1.3394536E-004, 5.5236469E-004, 1.3187208E-004, 2.2866503E+002
 8.0037997E+000, 2.0595010E-001, 2.0140411E-002, 2.1691436E-002, 1.4749158E-004, 5.7104358E-004, 1.4527171E-004, 2.4753277E+002
 9.0044029E+000, 2.0057795E-001, 2.4440328E-002, 2.5211799E-002, 1.1712112E-004, 4.2034362E-004, 1.6363402E-004, 2.8356047E+002
 1.0000040E+001, 1.9585675E-001, 2.8202748E-002, 2.8307028E-002, 9.8449661E-005, 3.1552628E-004, 1.8141101E-004, 3.1156427E+002
 1.1005340E+001, 1.9303712E-001, 3.0463976E-002, 3.0153352E-002, 7.9868658E-005, 2.3313959E-004, 1.9050261E-004, 3.2723222E+002
 1.2009155E+001, 1.8643324E-001, 3.5733860E-002, 3.4478476E-002, 4.8340454E-005, 8.9774724E-005, 2.1423903E-004, 3.5949055E+002
 1.3001613E+001, 1.8106040E-001, 3.9992941E-002, 3.7998473E-002, 3.5838978E-005, 2.6250066E-005, 2.3623119E-004, 3.7817386E+002
 1.4001985E+001, 1.7733523E-001, 4.2935036E-002, 4.0439439E-002, 3.2199679E-005, 2.5194137E-006, 2.5250414E-004, 3.8950472E+002
 1.5009821E+001, 1.6974750E-001, 4.8903304E-002, 4.5412297E-002, 3.6049263E-005, 5.4500508E-008, 2.8794556E-004, 4.1469794E+002
 1.6004235E+001, 1.6500949E-001, 5.2629211E-002, 4.8517541E-002, 3.8854910E-005, 7.6206731E-008, 3.1015822E-004, 4.1985756E+002
 1.7004253E+001, 1.6149932E-001, 5.5389669E-002, 5.0818039E-002, 4.0869176E-005, 4.2741646E-008, 3.2660125E-004, 4.2597580E+002
 1.8000020E+001, 1.5930707E-001, 5.7113704E-002, 5.2254786E-002, 4.2115248E-005, 5.4079373E-009, 3.3686812E-004, 4.2685195E+002
 1.9003215E+001, 1.5649017E-001, 5.9328852E-002, 5.4100967E-002, 4.3800429E-005, 3.2456089E-008, 3.5007783E-004, 4.2700710E+002
 2.0005784E+001, 1.5309873E-001, 6.1995929E-002, 5.6323656E-002, 4.5753474E-005, 5.1977180E-009, 3.6596612E-004, 4.2866138E+002
 2.1009134E+001, 1.4865646E-001, 6.5489287E-002, 5.9235069E-002, 4.8373226E-005, 1.9340126E-008, 3.8679007E-004, 4.3529119E+002
 2.2004228E+001, 1.4605010E-001, 6.7538878E-002, 6.0943264E-002, 4.9929839E-005, 4.4660413E-008, 3.9901194E-004, 4.3917581E+002
 2.3005476E+001, 1.4159716E-001, 7.1040688E-002, 6.3861652E-002, 5.2519310E-005, 2.7283653E-008, 4.1987835E-004, 4.4223582E+002
 2.4010088E+001, 1.3734757E-001, 7.4382053E-002, 6.6646969E-002, 5.5328270E-005, 2.4997341E-007, 4.3986187E-004, 4.4438482E+002
 2.5000342E+001, 1.3484873E-001, 7.6347652E-002, 6.8284477E-002, 5.6460398E-005, 1.6170467E-008, 4.5150484E-004, 4.4299677E+002
 2.6008057E+001, 1.2898173E-001, 8.0961298E-002, 7.2129684E-002, 5.9988627E-005, 1.0206899E-007, 4.7902163E-004, 4.5431736E+002
