s,,,,,,,
Time,"O2 EXHAUST","CO2 EXHAUST","H2O EXHAUST","CO EXHAUST","FUEL EXHAUST","SOOT EXHAUST","TEMP EXHAUST"
 0.0000000E+000, 2.3118142E-001, 5.9193618E-004, 5.1492695E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0000000E+001
 1.0034311E+000, 2.3118142E-001, 5.9193618E-004, 5.1492695E-003, 1.7637496E-024, 1.0557759E-023, 5.4776008E-025, 2.0871930E+001
 2.0014928E+000, 2.1732845E-001, 1.0874982E-002, 1.1150735E-002, 1.9996381E-004, 2.5556663E-004, 1.2457254E-004, 1.6314160E+002
 3.0053208E+000, 1.9330727E-001, 2.9194774E-002, 2.1470138E-002, 2.5996615E-004, 2.7285899E-004, 2.8240484E-004, 3.3325398E+002
 4.0060194E+000, 1.8739357E-001, 3.3814783E-002, 2.3988756E-002, 2.0852264E-004, 1.9555008E-004, 3.0780279E-004, 3.8379563E+002
 5.0003170E+000, 1.7334322E-001, 4.4778193E-002, 2.9975004E-002, 9.4001812E-005, 2.3987451E-005, 3.6970779E-004, 4.6221587E+002
 6.0007230E+000, 1.5086424E-001, 6.1990961E-002, 3.9616188E-002, 1.0702094E-004, 8.1800865E-007, 5.0862122E-004, 5.5378615E+002
 7.0052185E+000, 1.3694126E-001, 7.2606297E-002, 4.5598049E-002, 1.4363242E-004, 1.3095878E-005, 6.0047543E-004, 5.9338789E+002
 8.0049929E+000, 1.2491325E-001, 8.1828529E-002, 5.0752902E-002, 1.4215962E-004, 1.3225222E-006, 6.7307435E-004, 6.0509219E+002
 9.0018264E+000, 1.1738538E-001, 8.7584514E-002, 5.3983058E-002, 1.5138382E-004, 8.7607409E-007, 7.2058117E-004, 6.0809419E+002
 1.0003321E+001, 9.7630880E-002, 1.0248684E-001, 6.2507114E-002, 3.0308450E-004, 1.0497267E-004, 8.7123369E-004, 6.4694142E+002
 1.1007441E+001, 9.2406037E-002, 1.0667390E-001, 6.4704215E-002, 1.8873892E-004, 3.2748797E-006, 8.7959819E-004, 6.4391966E+002
 1.2002878E+001, 8.0001934E-002, 1.1491998E-001, 7.0297997E-002, 9.6891449E-004, 7.6797420E-004, 1.1136077E-003, 6.6246136E+002
 1.3008119E+001, 8.4080569E-002, 1.1294064E-001, 6.8299618E-002, 2.6115350E-004, 5.6006450E-005, 9.4481615E-004, 6.2894133E+002
 1.4003723E+001, 7.4597269E-002, 1.1704815E-001, 7.3084748E-002, 2.2356045E-003, 1.8287456E-003, 1.4045131E-003, 6.3240350E+002
 1.5000859E+001, 7.5911608E-002, 1.1748491E-001, 7.2231676E-002, 1.3638969E-003, 7.7161507E-004, 1.2193502E-003, 6.1986503E+002
 1.6003777E+001, 7.3722637E-002, 1.1724610E-001, 7.3528778E-002, 2.5011226E-003, 2.3336034E-003, 1.4635306E-003, 6.1402108E+002
 1.7003378E+001, 7.0825850E-002, 1.1943363E-001, 7.4884949E-002, 2.6038178E-003, 1.6839832E-003, 1.5030439E-003, 6.2399287E+002
 1.8000848E+001, 7.1025525E-002, 1.1907414E-001, 7.4793793E-002, 2.6923756E-003, 2.1275690E-003, 1.5193649E-003, 6.0567844E+002
 1.9007856E+001, 7.2124620E-002, 1.1958619E-001, 7.4030748E-002, 1.8592953E-003, 1.2617298E-003, 1.3431560E-003, 6.0773710E+002
 2.0006435E+001, 6.9039260E-002, 1.2062742E-001, 7.5606107E-002, 2.6486166E-003, 2.3076645E-003, 1.5221789E-003, 6.1653788E+002
 2.1001562E+001, 6.7132612E-002, 1.1979269E-001, 7.6880036E-002, 4.0315512E-003, 4.0130421E-003, 1.8148122E-003, 6.0538061E+002
 2.2003585E+001, 6.7433446E-002, 1.2089549E-001, 7.6481517E-002, 3.2251450E-003, 3.0492233E-003, 1.6490453E-003, 5.8427039E+002
 2.3004091E+001, 6.5791302E-002, 1.2054142E-001, 7.7582084E-002, 4.2547354E-003, 3.7746160E-003, 1.8690214E-003, 5.8295708E+002
 2.4003534E+001, 6.3928182E-002, 1.2181979E-001, 7.8453079E-002, 4.3776451E-003, 3.6191719E-003, 1.9057224E-003, 5.8549867E+002
 2.5004644E+001, 6.3264832E-002, 1.2031217E-001, 7.9205197E-002, 5.6431048E-003, 4.7019886E-003, 2.1676145E-003, 5.7760729E+002
 2.6003857E+001, 6.4396686E-002, 1.2068588E-001, 7.8391193E-002, 4.8326256E-003, 4.2899405E-003, 1.9952041E-003, 5.8573397E+002
 2.7003120E+001, 6.2630990E-002, 1.1843968E-001, 7.9853447E-002, 6.9925056E-003, 7.0297380E-003, 2.4447897E-003, 5.7890137E+002
 2.8005449E+001, 6.4249908E-002, 1.2066849E-001, 7.8496210E-002, 4.9233414E-003, 4.2852350E-003, 2.0146947E-003, 5.8096190E+002
 2.9000687E+001, 6.5175705E-002, 1.2002069E-001, 7.8082430E-002, 4.8825085E-003, 4.2690708E-003, 2.0007377E-003, 5.6988683E+002
 3.0007956E+001, 6.2043588E-002, 1.1944723E-001, 8.0202205E-002, 6.8162907E-003, 5.3226729E-003, 2.4146206E-003, 5.6731437E+002
