s,,,,,,,
Time,"O2 EXHAUST","CO2 EXHAUST","H2O EXHAUST","CO EXHAUST","FUEL EXHAUST","SOOT EXHAUST","TEMP EXHAUST"
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0043452E+000, 2.3000000E-001, 6.0000000E-004, 7.3000000E-003, 3.1302495E-040, 7.9536930E-041, 1.1718542E-040, 2.0084758E+001
 2.0053851E+000, 2.2981506E-001, 6.7630869E-004, 7.3565349E-003, 6.7809755E-005, 8.7585037E-012, 1.6160701E-005, 2.7251041E+001
 3.0040128E+000, 2.2228163E-001, 4.7139085E-003, 9.9331294E-003, 2.6078549E-003, 1.2535417E-009, 7.1797240E-004, 7.7064511E+001
 4.0007227E+000, 2.2050813E-001, 6.0102915E-003, 1.0443793E-002, 2.9697810E-003, 6.1258482E-010, 8.7916410E-004, 9.1329415E+001
 5.0039269E+000, 2.1771610E-001, 7.8535855E-003, 1.1366227E-002, 3.6921362E-003, 1.1986259E-009, 1.1397266E-003, 1.1024468E+002
 6.0015387E+000, 2.1528368E-001, 9.5404109E-003, 1.2182241E-002, 4.2892377E-003, 9.8078986E-010, 1.3681258E-003, 1.2797837E+002
 7.0076402E+000, 2.1239090E-001, 1.1790965E-002, 1.3100121E-002, 4.7825707E-003, 1.2460258E-009, 1.6257476E-003, 1.4697329E+002
 8.0076871E+000, 2.1037972E-001, 1.3328381E-002, 1.3652479E-002, 5.0222106E-003, 9.2235568E-010, 1.7979968E-003, 1.6291921E+002
 9.0083613E+000, 2.0758460E-001, 1.5889421E-002, 1.4468862E-002, 5.0765484E-003, 1.2952430E-009, 2.0274368E-003, 1.8163199E+002
 1.0001191E+001, 2.0546078E-001, 1.7778505E-002, 1.5040243E-002, 5.0957274E-003, 1.3615261E-009, 2.1954991E-003, 1.9729219E+002
 1.1006206E+001, 2.0205102E-001, 2.1217201E-002, 1.5951125E-002, 4.7807352E-003, 1.0112856E-009, 2.4536850E-003, 2.1835413E+002
 1.2001776E+001, 1.9879438E-001, 2.4672406E-002, 1.6723167E-002, 4.2649824E-003, 1.0640300E-009, 2.6825962E-003, 2.4002076E+002
 1.3006850E+001, 1.9446653E-001, 2.9439853E-002, 1.7832157E-002, 3.5508065E-003, 3.2100382E-009, 2.9975517E-003, 2.6537980E+002
 1.4003110E+001, 1.9074310E-001, 3.3830212E-002, 1.8720515E-002, 2.7212991E-003, 2.9586209E-009, 3.2570814E-003, 2.8868725E+002
 1.5003353E+001, 1.8662199E-001, 3.8597521E-002, 1.9748083E-002, 1.8066276E-003, 4.8647187E-009, 3.5480272E-003, 3.1174288E+002
 1.6003463E+001, 1.8258173E-001, 4.3164627E-002, 2.0803483E-002, 1.0515098E-003, 4.2091510E-009, 3.8470516E-003, 3.3381391E+002
 1.7009209E+001, 1.7946870E-001, 4.6471854E-002, 2.1579260E-002, 5.0473148E-004, 2.8614721E-009, 4.0669496E-003, 3.4657228E+002
 1.8003876E+001, 1.7543219E-001, 5.0359380E-002, 2.2658320E-002, 2.5866152E-004, 4.8208924E-009, 4.3701855E-003, 3.6205471E+002
 1.9002310E+001, 1.7251660E-001, 5.3161203E-002, 2.3424255E-002, 1.2116819E-004, 4.4818705E-009, 4.5928965E-003, 3.6888883E+002
 2.0002796E+001, 1.7008603E-001, 5.5373496E-002, 2.4069679E-002, 7.6045259E-005, 2.8302439E-009, 4.7784266E-003, 3.7430028E+002
 2.1011500E+001, 1.6769436E-001, 5.7579632E-002, 2.4738804E-002, 5.7712085E-005, 3.0178580E-009, 4.9679971E-003, 3.7931925E+002
 2.2003187E+001, 1.6528808E-001, 5.9751626E-002, 2.5405824E-002, 4.9069301E-005, 2.8621540E-009, 5.1556940E-003, 3.8270044E+002
 2.3009646E+001, 1.6224507E-001, 6.2594945E-002, 2.6252864E-002, 5.0843162E-005, 5.2371047E-009, 5.4023341E-003, 3.8795743E+002
 2.4008088E+001, 1.6012361E-001, 6.4530014E-002, 2.6836122E-002, 5.2114400E-005, 6.1475583E-009, 5.5654553E-003, 3.8889254E+002
