s,status,status
Time,"Act1","Act2"
 0.0000000E+000,-1,-1
 2.7216554E-001,-1,-1
 5.4433107E-001,-1,-1
 7.4845523E-001,-1,-1
 1.0206207E+000,-1,-1
 1.2247449E+000,-1,-1
 1.4969105E+000,-1,-1
 1.7010345E+000,-1,-1
 1.9732001E+000,-1,-1
 2.1773243E+000,-1,-1
 2.4494898E+000,-1,-1
 2.6536138E+000,-1,-1
 2.9257793E+000,-1,-1
 3.1299036E+000,-1,-1
 3.4020691E+000,-1,-1
 3.6061933E+000,-1,-1
 3.8783588E+000,-1,-1
 4.0824828E+000,-1,-1
 4.3546486E+000,-1,-1
 4.6268139E+000,-1,-1
 4.8309383E+000,-1,-1
 5.1031036E+000,-1,-1
 5.3072276E+000,-1,-1
 5.5793934E+000,-1,-1
 5.7835174E+000,-1,-1
 6.0556831E+000,-1,-1
 6.2598071E+000,-1,-1
 6.5319729E+000,-1,-1
 6.7360969E+000,-1,-1
 7.0082622E+000,-1,-1
 7.2123866E+000,-1,-1
 7.4845519E+000,-1,-1
 7.6886764E+000,-1,-1
 7.9608417E+000,-1,-1
 8.1649656E+000,-1,-1
 8.4371309E+000,-1,-1
 8.6412554E+000,-1,-1
 8.9134207E+000,-1,-1
 9.1855869E+000,-1,-1
 9.3897104E+000,-1,-1
 9.6618767E+000,-1,-1
 9.8660002E+000,-1,-1
 1.0138165E+001,-1,-1
 1.0342290E+001,-1,-1
 1.0614455E+001,-1,-1
 1.0818580E+001,-1,-1
 1.1090745E+001,-1,-1
 1.1294869E+001,-1,-1
 1.1567035E+001,-1,-1
 1.1771159E+001,-1,-1
 1.2043324E+001,-1,-1
 1.2247449E+001,-1,-1
 1.2519614E+001,-1,-1
 1.2723739E+001,-1,-1
 1.2995904E+001,-1,-1
 1.3200028E+001,-1,-1
 1.3472194E+001,-1,-1
 1.3744359E+001,-1,-1
 1.3948483E+001,-1,-1
 1.4220649E+001,-1,-1
 1.4424773E+001,-1,-1
 1.4696939E+001,-1,-1
 1.4901063E+001,-1,-1
 1.5173228E+001,-1,-1
 1.5377353E+001,-1,-1
 1.5649518E+001,-1,-1
 1.5853642E+001,-1,-1
 1.6125807E+001,-1,-1
 1.6329931E+001,-1,-1
 1.6602097E+001,-1,-1
 1.6806221E+001,-1,-1
 1.7078386E+001,-1,-1
 1.7282511E+001,-1,-1
 1.7554676E+001,-1,-1
 1.7826841E+001,-1,-1
 1.8030966E+001,-1,-1
 1.8303131E+001,-1,-1
 1.8507256E+001,-1,-1
 1.8779421E+001,-1,-1
 1.8983545E+001,-1,-1
 1.9248728E+001,-1,-1
 1.9492962E+001,-1,-1
 1.9737196E+001,-1,-1
 1.9920372E+001,-1,-1
 2.0182924E+001,-1,-1
 2.0451580E+001,-1,-1
 2.0653074E+001,-1,-1
 2.0921732E+001,-1,-1
 2.1123224E+001,-1,-1
 2.1391882E+001,-1,-1
 2.1660540E+001,-1,-1
 2.1862032E+001,-1,-1
 2.2130690E+001,-1,-1
 2.2332184E+001,-1,-1
 2.2600840E+001,-1,-1
 2.2802334E+001,-1,-1
 2.3070992E+001,-1,-1
 2.3339649E+001,-1,-1
 2.3531733E+001,-1,-1
 2.3762756E+001,-1,-1
 2.4051537E+001,-1,-1
 2.4282560E+001,-1,-1
 2.4513582E+001,-1,-1
 2.4744606E+001,-1,-1
 2.4975630E+001,-1,-1
 2.5206654E+001,-1,-1
 2.5455004E+001,-1,-1
 2.5709129E+001,-1,-1
 2.5963255E+001,-1,-1
 2.6217381E+001,-1,-1
 2.6407976E+001,-1,-1
 2.6662102E+001,-1,-1
 2.6916227E+001,-1,-1
 2.7150061E+001,-1,-1
 2.7377409E+001,-1,-1
 2.7606319E+001,-1,-1
 2.7859554E+001,-1,-1
 2.8084070E+001,-1,-1
 2.8344151E+001,-1,-1
 2.8568071E+001,-1,-1
 2.8819984E+001,-1,-1
 2.9043907E+001,-1,-1
 2.9295820E+001,-1,-1
 2.9547731E+001,-1,-1
 2.9771654E+001,-1,-1
 3.0023567E+001,-1,-1
 3.0247490E+001,-1,-1
 3.0499401E+001,-1,-1
 3.0723324E+001,-1,-1
 3.0975237E+001,-1,-1
 3.1227150E+001,-1,-1
 3.1451071E+001,-1,-1
 3.1702984E+001,-1,-1
 3.1926907E+001,-1,-1
 3.2178818E+001,-1,-1
 3.2402740E+001,-1,-1
 3.2654655E+001,-1,-1
 3.2906567E+001,-1,-1
 3.3130489E+001,-1,-1
 3.3382401E+001,-1,-1
 3.3606323E+001,-1,-1
 3.3858234E+001,-1,-1
 3.4082157E+001,-1,-1
 3.4334072E+001,-1,-1
 3.4585983E+001,-1,-1
 3.4809906E+001,-1,-1
 3.5061817E+001,-1,-1
 3.5285740E+001,-1,-1
 3.5537655E+001,-1,-1
 3.5761574E+001,-1,-1
 3.6013489E+001,-1,-1
 3.6252838E+001,-1,-1
 3.6497005E+001,-1,-1
 3.6741169E+001,-1,-1
 3.6985336E+001,-1,-1
 3.7202374E+001,-1,-1
 3.7446541E+001,-1,-1
 3.7690708E+001,-1,-1
 3.7934875E+001,-1,-1
 3.8179039E+001,-1,-1
 3.8423206E+001,-1,-1
 3.8640244E+001,-1,-1
 3.8884411E+001,-1,-1
 3.9128578E+001,-1,-1
 3.9372746E+001,-1,-1
 3.9616909E+001,-1,-1
 3.9861076E+001,-1,-1
 4.0105244E+001,-1,-1
 4.0322281E+001,-1,-1
 4.0566448E+001,-1,-1
 4.0810616E+001,-1,-1
 4.1054779E+001,-1,-1
 4.1298946E+001,-1,-1
 4.1543114E+001,-1,-1
 4.1779953E+001,-1,-1
 4.2005974E+001,-1,-1
 4.2259724E+001,-1,-1
 4.2490784E+001,-1,-1
 4.2739799E+001,-1,-1
 4.2981491E+001,-1,-1
 4.3223183E+001,-1,-1
 4.3463039E+001,-1,-1
 4.3688503E+001,-1,-1
 4.3925961E+001,-1,-1
 4.4163418E+001,-1,-1
 4.4416786E+001,-1,-1
 4.4647808E+001,-1,-1
 4.4898640E+001,-1,-1
 4.5121601E+001,-1,-1
 4.5372597E+001,-1,-1
 4.5620514E+001,-1,-1
 4.5858517E+001,-1,-1
 4.6103954E+001,-1,-1
 4.6322121E+001,-1,-1
 4.6567558E+001,-1,-1
 4.6813000E+001,-1,-1
 4.7058437E+001,-1,-1
 4.7303875E+001,-1,-1
 4.7522041E+001,-1,-1
 4.7767479E+001,-1,-1
 4.8012917E+001,-1,-1
 4.8258358E+001,-1,-1
 4.8481258E+001,-1,-1
 4.8745361E+001,-1,-1
 4.8960552E+001,-1,-1
 4.9202648E+001,-1,-1
 4.9444740E+001,-1,-1
 4.9686832E+001,-1,-1
 4.9928925E+001,-1,-1
 5.0165405E+001,-1,-1
 5.0406334E+001,-1,-1
 5.0656902E+001,-1,-1
 5.0898071E+001,-1,-1
 5.1131290E+001,-1,-1
 5.1366062E+001,-1,-1
 5.1610237E+001,-1,-1
 5.1857048E+001,-1,-1
 5.2101559E+001,-1,-1
 5.2321617E+001,-1,-1
 5.2563683E+001,-1,-1
 5.2805748E+001,-1,-1
 5.3048023E+001,-1,-1
 5.3292709E+001,-1,-1
 5.3531395E+001,-1,-1
 5.3782776E+001,-1,-1
 5.4012985E+001,-1,-1
 5.4242374E+001,-1,-1
 5.4482338E+001,-1,-1
 5.4722305E+001,-1,-1
 5.4962269E+001,-1,-1
 5.5202232E+001,-1,-1
 5.5442200E+001,-1,-1
 5.5682163E+001,-1,-1
 5.5932793E+001,-1,-1
 5.6162216E+001,-1,-1
 5.6417530E+001,-1,-1
 5.6664677E+001,-1,-1
 5.6881138E+001,-1,-1
 5.7123531E+001,-1,-1
 5.7363503E+001,-1,-1
 5.7603470E+001,-1,-1
 5.7843441E+001,-1,-1
 5.8083408E+001,-1,-1
 5.8323380E+001,-1,-1
 5.8563347E+001,-1,-1
 5.8803318E+001,-1,-1
 5.9045952E+001,-1,-1
 5.9280590E+001,-1,-1
 5.9544556E+001,-1,-1
 5.9767788E+001,-1,-1
 6.0005203E+001,-1,-1
 6.0257931E+001,-1,-1
 6.0482582E+001,-1,-1
 6.0738968E+001,-1,-1
 6.0986744E+001,-1,-1
 6.1206989E+001,-1,-1
 6.1454765E+001,-1,-1
 6.1696945E+001,-1,-1
 6.1926964E+001,-1,-1
 6.2171818E+001,-1,-1
 6.2416676E+001,-1,-1
 6.2662781E+001,-1,-1
 6.2881680E+001,-1,-1
 6.3144363E+001,-1,-1
 6.3385151E+001,-1,-1
 6.3625942E+001,-1,-1
 6.3866734E+001,-1,-1
 6.4080772E+001,-1,-1
 6.4321556E+001,-1,-1
 6.4562286E+001,-1,-1
 6.4820938E+001,-1,-1
 6.5054932E+001,-1,-1
 6.5286186E+001,-1,-1
 6.5540565E+001,-1,-1
 6.5774834E+001,-1,-1
 6.6004921E+001,-1,-1
 6.6253242E+001,-1,-1
 6.6501572E+001,-1,-1
 6.6737411E+001,-1,-1
 6.6973251E+001,-1,-1
 6.7209091E+001,-1,-1
 6.7446899E+001,-1,-1
 6.7684708E+001,-1,-1
 6.7922516E+001,-1,-1
 6.8160316E+001,-1,-1
 6.8419746E+001,-1,-1
 6.8657555E+001,-1,-1
 6.8895355E+001,-1,-1
 6.9133163E+001,-1,-1
 6.9370972E+001,-1,-1
 6.9608780E+001,-1,-1
 6.9846581E+001,-1,-1
 7.0084389E+001,-1,-1
 7.0322197E+001,-1,-1
 7.0563805E+001,-1,-1
 7.0817833E+001,-1,-1
 7.1052467E+001,-1,-1
 7.1286629E+001,-1,-1
 7.1524773E+001,-1,-1
 7.1770355E+001,-1,-1
 7.2015945E+001,-1,-1
 7.2243111E+001,-1,-1
 7.2490738E+001,-1,-1
 7.2738052E+001,-1,-1
 7.2960564E+001,-1,-1
 7.3203300E+001,-1,-1
 7.3446045E+001,-1,-1
 7.3688782E+001,-1,-1
 7.3931526E+001,-1,-1
 7.4174263E+001,-1,-1
 7.4410713E+001,-1,-1
 7.4646400E+001,-1,-1
 7.4882095E+001,-1,-1
 7.5135918E+001,-1,-1
 7.5377045E+001,-1,-1
 7.5606491E+001,-1,-1
 7.5844147E+001,-1,-1
 7.6094040E+001,-1,-1
 7.6324707E+001,-1,-1
 7.6574600E+001,-1,-1
 7.6808990E+001,-1,-1
 7.7052444E+001,-1,-1
 7.7282883E+001,-1,-1
 7.7522308E+001,-1,-1
 7.7764885E+001,-1,-1
 7.8014397E+001,-1,-1
 7.8243111E+001,-1,-1
 7.8488091E+001,-1,-1
 7.8723915E+001,-1,-1
 7.8974373E+001,-1,-1
 7.9206940E+001,-1,-1
 7.9441299E+001,-1,-1
 7.9697121E+001,-1,-1
 7.9923019E+001,-1,-1
 8.0169815E+001,-1,-1
 8.0414856E+001,-1,-1
 8.0647552E+001,-1,-1
 8.0880249E+001,-1,-1
 8.1129387E+001,-1,-1
 8.1374626E+001,-1,-1
 8.1612656E+001,-1,-1
 8.1850693E+001,-1,-1
 8.2088722E+001,-1,-1
 8.2326752E+001,-1,-1
 8.2564781E+001,-1,-1
 8.2802811E+001,-1,-1
 8.3040840E+001,-1,-1
 8.3298706E+001,-1,-1
 8.3536743E+001,-1,-1
 8.3774773E+001,-1,-1
 8.4005150E+001,-1,-1
 8.4253975E+001,-1,-1
 8.4483665E+001,-1,-1
 8.4732491E+001,-1,-1
 8.4962173E+001,-1,-1
 8.5211006E+001,-1,-1
 8.5440689E+001,-1,-1
 8.5689514E+001,-1,-1
 8.5938339E+001,-1,-1
 8.6160728E+001,-1,-1
 8.6401237E+001,-1,-1
 8.6643440E+001,-1,-1
 8.6885643E+001,-1,-1
 8.7129272E+001,-1,-1
 8.7360649E+001,-1,-1
 8.7609825E+001,-1,-1
 8.7841194E+001,-1,-1
 8.8090370E+001,-1,-1
 8.8321739E+001,-1,-1
 8.8570915E+001,-1,-1
 8.8802292E+001,-1,-1
 8.9051460E+001,-1,-1
 8.9282837E+001,-1,-1
 8.9532005E+001,-1,-1
 8.9767372E+001,-1,-1
 9.0001213E+001,-1,-1
 9.0251762E+001,-1,-1
 9.0480049E+001,-1,-1
 9.0732529E+001,-1,-1
 9.0964211E+001,-1,-1
 9.1209259E+001,-1,-1
 9.1454315E+001,-1,-1
 9.1683029E+001,-1,-1
 9.1928078E+001,-1,-1
 9.2160461E+001,-1,-1
 9.2412239E+001,-1,-1
 9.2643837E+001,-1,-1
 9.2881569E+001,-1,-1
 9.3123543E+001,-1,-1
 9.3372627E+001,-1,-1
 9.3614388E+001,-1,-1
 9.3856140E+001,-1,-1
 9.4084732E+001,-1,-1
 9.4322388E+001,-1,-1
 9.4560043E+001,-1,-1
 9.4813538E+001,-1,-1
 9.5041031E+001,-1,-1
 9.5294975E+001,-1,-1
 9.5529144E+001,-1,-1
 9.5763321E+001,-1,-1
 9.6014221E+001,-1,-1
 9.6248390E+001,-1,-1
 9.6480743E+001,-1,-1
 9.6734131E+001,-1,-1
 9.6963676E+001,-1,-1
 9.7209610E+001,-1,-1
 9.7442383E+001,-1,-1
 9.7682076E+001,-1,-1
 9.7921776E+001,-1,-1
 9.8176361E+001,-1,-1
 9.8402145E+001,-1,-1
 9.8643471E+001,-1,-1
 9.8886215E+001,-1,-1
 9.9123009E+001,-1,-1
 9.9375938E+001,-1,-1
 9.9615791E+001,-1,-1
 9.9855644E+001,-1,-1
 1.0009549E+002,-1,-1
 1.0033534E+002,-1,-1
 1.0057519E+002,-1,-1
 1.0081504E+002,-1,-1
 1.0105489E+002,-1,-1
 1.0129474E+002,-1,-1
 1.0153459E+002,-1,-1
 1.0176324E+002,-1,-1
 1.0200558E+002,-1,-1
 1.0224727E+002,-1,-1
 1.0248895E+002,-1,-1
 1.0272133E+002,-1,-1
 1.0296007E+002,-1,-1
 1.0320599E+002,-1,-1
 1.0345036E+002,-1,-1
 1.0368201E+002,-1,-1
 1.0392283E+002,-1,-1
 1.0416882E+002,-1,-1
 1.0441479E+002,-1,-1
 1.0464541E+002,-1,-1
 1.0489139E+002,-1,-1
 1.0512200E+002,-1,-1
 1.0536952E+002,-1,-1
 1.0560628E+002,-1,-1
 1.0584304E+002,-1,-1
 1.0609433E+002,-1,-1
 1.0633213E+002,-1,-1
 1.0656487E+002,-1,-1
 1.0681554E+002,-1,-1
 1.0704873E+002,-1,-1
 1.0729137E+002,-1,-1
 1.0752645E+002,-1,-1
 1.0777311E+002,-1,-1
 1.0801668E+002,-1,-1
 1.0825409E+002,-1,-1
 1.0849270E+002,-1,-1
 1.0873251E+002,-1,-1
 1.0897232E+002,-1,-1
 1.0921214E+002,-1,-1
 1.0945195E+002,-1,-1
 1.0969176E+002,-1,-1
 1.0993157E+002,-1,-1
 1.1017439E+002,-1,-1
 1.1040520E+002,-1,-1
 1.1065369E+002,-1,-1
 1.1089027E+002,-1,-1
 1.1112981E+002,-1,-1
 1.1137378E+002,-1,-1
 1.1160014E+002,-1,-1
 1.1184602E+002,-1,-1
 1.1208643E+002,-1,-1
 1.1233134E+002,-1,-1
 1.1256555E+002,-1,-1
 1.1280851E+002,-1,-1
 1.1305285E+002,-1,-1
 1.1329298E+002,-1,-1
 1.1353316E+002,-1,-1
 1.1376013E+002,-1,-1
 1.1400386E+002,-1,-1
 1.1424680E+002,-1,-1
 1.1448128E+002,-1,-1
 1.1473042E+002,-1,-1
 1.1496635E+002,-1,-1
 1.1520816E+002,-1,-1
 1.1544997E+002,-1,-1
 1.1569177E+002,-1,-1
 1.1593358E+002,-1,-1
 1.1617538E+002,-1,-1
 1.1640179E+002,-1,-1
 1.1665355E+002,-1,-1
 1.1688958E+002,-1,-1
 1.1712562E+002,-1,-1
 1.1736165E+002,-1,-1
 1.1761261E+002,-1,-1
 1.1784191E+002,-1,-1
 1.1808651E+002,-1,-1
 1.1833110E+002,-1,-1
 1.1856815E+002,-1,-1
 1.1880988E+002,-1,-1
 1.1904451E+002,-1,-1
 1.1928447E+002,-1,-1
 1.1952976E+002,-1,-1
 1.1976439E+002,-1,-1
 1.2001369E+002,-1,-1
 1.2024680E+002,-1,-1
 1.2048759E+002,-1,-1
 1.2073365E+002,-1,-1
 1.2096523E+002,-1,-1
 1.2120694E+002,-1,-1
 1.2144576E+002,-1,-1
 1.2168758E+002,-1,-1
 1.2193130E+002,-1,-1
 1.2216151E+002,-1,-1
 1.2240855E+002,-1,-1
 1.2264016E+002,-1,-1
 1.2288720E+002,-1,-1
 1.2313425E+002,-1,-1
 1.2336585E+002,-1,-1
 1.2360150E+002,-1,-1
 1.2385101E+002,-1,-1
 1.2408944E+002,-1,-1
 1.2433340E+002,-1,-1
 1.2456213E+002,-1,-1
 1.2480610E+002,-1,-1
 1.2505006E+002,-1,-1
 1.2528172E+002,-1,-1
 1.2553004E+002,-1,-1
 1.2576375E+002,-1,-1
 1.2600719E+002,-1,-1
 1.2624390E+002,-1,-1
 1.2648061E+002,-1,-1
 1.2673123E+002,-1,-1
 1.2696098E+002,-1,-1
 1.2720854E+002,-1,-1
 1.2744264E+002,-1,-1
 1.2769360E+002,-1,-1
 1.2793200E+002,-1,-1
 1.2816518E+002,-1,-1
 1.2840576E+002,-1,-1
 1.2864232E+002,-1,-1
 1.2888631E+002,-1,-1
 1.2912363E+002,-1,-1
 1.2936198E+002,-1,-1
 1.2960423E+002,-1,-1
 1.2984364E+002,-1,-1
 1.3008484E+002,-1,-1
 1.3032117E+002,-1,-1
 1.3056023E+002,-1,-1
 1.3081493E+002,-1,-1
 1.3104140E+002,-1,-1
 1.3129150E+002,-1,-1
 1.3152026E+002,-1,-1
 1.3176457E+002,-1,-1
 1.3200233E+002,-1,-1
 1.3224516E+002,-1,-1
 1.3249213E+002,-1,-1
 1.3272563E+002,-1,-1
 1.3297166E+002,-1,-1
 1.3320644E+002,-1,-1
 1.3344341E+002,-1,-1
 1.3368881E+002,-1,-1
 1.3393030E+002,-1,-1
 1.3416797E+002,-1,-1
 1.3440338E+002,-1,-1
 1.3464740E+002,-1,-1
 1.3489143E+002,-1,-1
 1.3512190E+002,-1,-1
 1.3536729E+002,-1,-1
 1.3561234E+002,-1,-1
 1.3584210E+002,-1,-1
 1.3608401E+002,-1,-1
 1.3633066E+002,-1,-1
 1.3656827E+002,-1,-1
 1.3680705E+002,-1,-1
 1.3704704E+002,-1,-1
 1.3728381E+002,-1,-1
 1.3752058E+002,-1,-1
 1.3777127E+002,-1,-1
 1.3800298E+002,-1,-1
 1.3824425E+002,-1,-1
 1.3848552E+002,-1,-1
 1.3873215E+002,-1,-1
 1.3896474E+002,-1,-1
 1.3920114E+002,-1,-1
 1.3944989E+002,-1,-1
 1.3968478E+002,-1,-1
 1.3992615E+002,-1,-1
 1.4016750E+002,-1,-1
 1.4040175E+002,-1,-1
 1.4064450E+002,-1,-1
 1.4088725E+002,-1,-1
 1.4113000E+002,-1,-1
 1.4137022E+002,-1,-1
 1.4160472E+002,-1,-1
 1.4185034E+002,-1,-1
 1.4208336E+002,-1,-1
 1.4232529E+002,-1,-1
 1.4256406E+002,-1,-1
 1.4280269E+002,-1,-1
 1.4304037E+002,-1,-1
 1.4328676E+002,-1,-1
 1.4352428E+002,-1,-1
 1.4376036E+002,-1,-1
 1.4400462E+002,-1,-1
 1.4424605E+002,-1,-1
 1.4448152E+002,-1,-1
 1.4472165E+002,-1,-1
 1.4496178E+002,-1,-1
 1.4520790E+002,-1,-1
 1.4544273E+002,-1,-1
 1.4568834E+002,-1,-1
 1.4592754E+002,-1,-1
 1.4616084E+002,-1,-1
 1.4640643E+002,-1,-1
 1.4665202E+002,-1,-1
 1.4689037E+002,-1,-1
 1.4713037E+002,-1,-1
 1.4736214E+002,-1,-1
 1.4760623E+002,-1,-1
 1.4784297E+002,-1,-1
 1.4808931E+002,-1,-1
 1.4832994E+002,-1,-1
 1.4856306E+002,-1,-1
 1.4880347E+002,-1,-1
 1.4904655E+002,-1,-1
 1.4928754E+002,-1,-1
 1.4952084E+002,-1,-1
 1.4976503E+002,-1,-1
 1.5001192E+002,-1,-1
 1.5024754E+002,-1,-1
 1.5048315E+002,-1,-1
 1.5073242E+002,-1,-1
 1.5096977E+002,-1,-1
 1.5120987E+002,-1,-1
 1.5144656E+002,-1,-1
 1.5169199E+002,-1,-1
 1.5192313E+002,-1,-1
 1.5217108E+002,-1,-1
 1.5240479E+002,-1,-1
 1.5264613E+002,-1,-1
 1.5288622E+002,-1,-1
 1.5312686E+002,-1,-1
 1.5336751E+002,-1,-1
 1.5360385E+002,-1,-1
 1.5384749E+002,-1,-1
 1.5408080E+002,-1,-1
 1.5432835E+002,-1,-1
 1.5456129E+002,-1,-1
 1.5480164E+002,-1,-1
