s,status,status
Time,"Act1","Act2"
 0.0000000E+000,-1,-1
 3.4999999E-001,-1,-1
 6.9999999E-001,-1,-1
 1.0500000E+000,-1,-1
 1.4000000E+000,-1,-1
 1.7000000E+000,-1,-1
 2.0500000E+000,-1,-1
 2.4000001E+000,-1,-1
 2.7500000E+000,-1,-1
 3.0999999E+000,-1,-1
 3.4000001E+000,-1,-1
 3.7500000E+000,-1,-1
 4.0999999E+000,-1,-1
 4.4499998E+000,-1,-1
 4.7500000E+000,-1,-1
 5.0999999E+000,-1,-1
 5.4499998E+000,-1,-1
 5.7680597E+000,-1,-1
 6.1041794E+000,-1,-1
 6.4823141E+000,-1,-1
 6.8070574E+000,-1,-1
 7.1376309E+000,-1,-1
 7.4652982E+000,-1,-1
 7.8169413E+000,-1,-1
 8.1685839E+000,-1,-1
 8.4849815E+000,-1,-1
 8.8409290E+000,-1,-1
 9.1889668E+000,-1,-1
 9.5196028E+000,-1,-1
 9.8728580E+000,-1,-1
 1.0173327E+001,-1,-1
 1.0536841E+001,-1,-1
 1.0882113E+001,-1,-1
 1.1200529E+001,-1,-1
 1.1538127E+001,-1,-1
 1.1909485E+001,-1,-1
 1.2234423E+001,-1,-1
 1.2548756E+001,-1,-1
 1.2900167E+001,-1,-1
 1.3228281E+001,-1,-1
 1.3592851E+001,-1,-1
 1.3899089E+001,-1,-1
 1.4260014E+001,-1,-1
 1.4588856E+001,-1,-1
 1.4941759E+001,-1,-1
 1.5294663E+001,-1,-1
 1.5603454E+001,-1,-1
 1.5956357E+001,-1,-1
 1.6310341E+001,-1,-1
 1.6631832E+001,-1,-1
 1.6972689E+001,-1,-1
 1.7313545E+001,-1,-1
 1.7654404E+001,-1,-1
 1.7995260E+001,-1,-1
 1.8336119E+001,-1,-1
 1.8676975E+001,-1,-1
 1.9017834E+001,-1,-1
 1.9358690E+001,-1,-1
 1.9699549E+001,-1,-1
 2.0040405E+001,-1,-1
 2.0381264E+001,-1,-1
 2.0679514E+001,-1,-1
 2.1020370E+001,-1,-1
 2.1361227E+001,-1,-1
 2.1702085E+001,-1,-1
 2.2042942E+001,-1,-1
 2.2383801E+001,-1,-1
 2.2724657E+001,-1,-1
 2.3065516E+001,-1,-1
 2.3406372E+001,-1,-1
 2.3747231E+001,-1,-1
 2.4088087E+001,-1,-1
 2.4428944E+001,-1,-1
 2.4769802E+001,-1,-1
 2.5110659E+001,-1,-1
 2.5451517E+001,-1,-1
 2.5792374E+001,-1,-1
 2.6133232E+001,-1,-1
 2.6474089E+001,-1,-1
 2.6814947E+001,-1,-1
 2.7154573E+001,-1,-1
 2.7467785E+001,-1,-1
 2.7799864E+001,-1,-1
 2.8177502E+001,-1,-1
 2.8502546E+001,-1,-1
 2.8827593E+001,-1,-1
 2.9193270E+001,-1,-1
 2.9518316E+001,-1,-1
 2.9843363E+001,-1,-1
 3.0209040E+001,-1,-1
 3.0534084E+001,-1,-1
 3.0859131E+001,-1,-1
 3.1224808E+001,-1,-1
 3.1549854E+001,-1,-1
 3.1874901E+001,-1,-1
 3.2240578E+001,-1,-1
 3.2560627E+001,-1,-1
 3.2916969E+001,-1,-1
 3.3244804E+001,-1,-1
 3.3597588E+001,-1,-1
 3.3911167E+001,-1,-1
 3.4263950E+001,-1,-1
 3.4593212E+001,-1,-1
 3.4938152E+001,-1,-1
 3.5283092E+001,-1,-1
 3.5616249E+001,-1,-1
 3.5951290E+001,-1,-1
 3.6286331E+001,-1,-1
 3.6621372E+001,-1,-1
 3.6989918E+001,-1,-1
 3.7308971E+001,-1,-1
 3.7653755E+001,-1,-1
 3.7976528E+001,-1,-1
 3.8339653E+001,-1,-1
 3.8646126E+001,-1,-1
 3.8995251E+001,-1,-1
 3.9341232E+001,-1,-1
 3.9679188E+001,-1,-1
 4.0017139E+001,-1,-1
 4.0365780E+001,-1,-1
 4.0705406E+001,-1,-1
 4.1019913E+001,-1,-1
 4.1375538E+001,-1,-1
 4.1718750E+001,-1,-1
 4.2043510E+001,-1,-1
 4.2408867E+001,-1,-1
 4.2733627E+001,-1,-1
 4.3069210E+001,-1,-1
 4.3396286E+001,-1,-1
 4.3759701E+001,-1,-1
 4.4086777E+001,-1,-1
 4.4413849E+001,-1,-1
 4.4777267E+001,-1,-1
 4.5104343E+001,-1,-1
 4.5431416E+001,-1,-1
 4.5794834E+001,-1,-1
 4.6121906E+001,-1,-1
 4.6448982E+001,-1,-1
 4.6812401E+001,-1,-1
 4.7139473E+001,-1,-1
 4.7466549E+001,-1,-1
 4.7829964E+001,-1,-1
 4.8157040E+001,-1,-1
 4.8484116E+001,-1,-1
 4.8847530E+001,-1,-1
 4.9174606E+001,-1,-1
 4.9501682E+001,-1,-1
 4.9865097E+001,-1,-1
 5.0192173E+001,-1,-1
 5.0519249E+001,-1,-1
 5.0882664E+001,-1,-1
 5.1209740E+001,-1,-1
 5.1536812E+001,-1,-1
 5.1900230E+001,-1,-1
 5.2227306E+001,-1,-1
 5.2566616E+001,-1,-1
 5.2915714E+001,-1,-1
 5.3235722E+001,-1,-1
 5.3591286E+001,-1,-1
 5.3911293E+001,-1,-1
 5.4266857E+001,-1,-1
 5.4586864E+001,-1,-1
 5.4942429E+001,-1,-1
 5.5262436E+001,-1,-1
 5.5618000E+001,-1,-1
 5.5938007E+001,-1,-1
 5.6293568E+001,-1,-1
 5.6613575E+001,-1,-1
 5.6969139E+001,-1,-1
 5.7296070E+001,-1,-1
 5.7644447E+001,-1,-1
 5.7992828E+001,-1,-1
 5.8341209E+001,-1,-1
 5.8654751E+001,-1,-1
 5.9003132E+001,-1,-1
 5.9341061E+001,-1,-1
 5.9685955E+001,-1,-1
 6.0008549E+001,-1,-1
 6.0347157E+001,-1,-1
 6.0685764E+001,-1,-1
 6.1024372E+001,-1,-1
 6.1362984E+001,-1,-1
 6.1701591E+001,-1,-1
 6.2067287E+001,-1,-1
 6.2402512E+001,-1,-1
 6.2737736E+001,-1,-1
 6.3072956E+001,-1,-1
 6.3408180E+001,-1,-1
 6.3743401E+001,-1,-1
 6.4078621E+001,-1,-1
 6.4413849E+001,-1,-1
 6.4778435E+001,-1,-1
 6.5111511E+001,-1,-1
 6.5437927E+001,-1,-1
 6.5774773E+001,-1,-1
 6.6133888E+001,-1,-1
 6.6464455E+001,-1,-1
 6.6799973E+001,-1,-1
 6.7154846E+001,-1,-1
 6.7474236E+001,-1,-1
 6.7829109E+001,-1,-1
 6.8148499E+001,-1,-1
 6.8487961E+001,-1,-1
 6.8835953E+001,-1,-1
 6.9183952E+001,-1,-1
 6.9500305E+001,-1,-1
 6.9864120E+001,-1,-1
 7.0184273E+001,-1,-1
 7.0540749E+001,-1,-1
 7.0879677E+001,-1,-1
 7.1218605E+001,-1,-1
 7.1557526E+001,-1,-1
 7.1896454E+001,-1,-1
 7.2235382E+001,-1,-1
 7.2574310E+001,-1,-1
 7.2913239E+001,-1,-1
 7.3252159E+001,-1,-1
 7.3591087E+001,-1,-1
 7.3916145E+001,-1,-1
 7.4269073E+001,-1,-1
 7.4603745E+001,-1,-1
 7.4938416E+001,-1,-1
 7.5273094E+001,-1,-1
 7.5607765E+001,-1,-1
 7.5942436E+001,-1,-1
 7.6277115E+001,-1,-1
 7.6645256E+001,-1,-1
 7.6979927E+001,-1,-1
 7.7314598E+001,-1,-1
 7.7649277E+001,-1,-1
 7.7983948E+001,-1,-1
 7.8325310E+001,-1,-1
 7.8656639E+001,-1,-1
 7.8987968E+001,-1,-1
 7.9356110E+001,-1,-1
 7.9694794E+001,-1,-1
 8.0026115E+001,-1,-1
 8.0357445E+001,-1,-1
 8.0688766E+001,-1,-1
 8.1053223E+001,-1,-1
 8.1384544E+001,-1,-1
 8.1715866E+001,-1,-1
 8.2047188E+001,-1,-1
 8.2378517E+001,-1,-1
 8.2742973E+001,-1,-1
 8.3074295E+001,-1,-1
 8.3415558E+001,-1,-1
 8.3743568E+001,-1,-1
 8.4108025E+001,-1,-1
 8.4416374E+001,-1,-1
 8.4774040E+001,-1,-1
 8.5099182E+001,-1,-1
 8.5456841E+001,-1,-1
 8.5781990E+001,-1,-1
 8.6107132E+001,-1,-1
 8.6464790E+001,-1,-1
 8.6789940E+001,-1,-1
 8.7147598E+001,-1,-1
 8.7472740E+001,-1,-1
 8.7830399E+001,-1,-1
 8.8171806E+001,-1,-1
 8.8494507E+001,-1,-1
 8.8823929E+001,-1,-1
 8.9157715E+001,-1,-1
 8.9510635E+001,-1,-1
 8.9845329E+001,-1,-1
 9.0178871E+001,-1,-1
 9.0516289E+001,-1,-1
 9.0860870E+001,-1,-1
 9.1198212E+001,-1,-1
 9.1535561E+001,-1,-1
 9.1872910E+001,-1,-1
 9.2211662E+001,-1,-1
 9.2547836E+001,-1,-1
 9.2894714E+001,-1,-1
 9.3227715E+001,-1,-1
 9.3571823E+001,-1,-1
 9.3910583E+001,-1,-1
 9.4246971E+001,-1,-1
 9.4583351E+001,-1,-1
 9.4934357E+001,-1,-1
 9.5270737E+001,-1,-1
 9.5610046E+001,-1,-1
 9.5948494E+001,-1,-1
 9.6288490E+001,-1,-1
 9.6620903E+001,-1,-1
 9.6964798E+001,-1,-1
 9.7293747E+001,-1,-1
 9.7644653E+001,-1,-1
 9.7977570E+001,-1,-1
 9.8323799E+001,-1,-1
 9.8660713E+001,-1,-1
 9.8996857E+001,-1,-1
 9.9329659E+001,-1,-1
 9.9676918E+001,-1,-1
 1.0000972E+002,-1,-1
 1.0035151E+002,-1,-1
 1.0068902E+002,-1,-1
 1.0103100E+002,-1,-1
 1.0136807E+002,-1,-1
 1.0170110E+002,-1,-1
 1.0204223E+002,-1,-1
 1.0238840E+002,-1,-1
 1.0272075E+002,-1,-1
 1.0306638E+002,-1,-1
 1.0340138E+002,-1,-1
 1.0373771E+002,-1,-1
 1.0407812E+002,-1,-1
 1.0442002E+002,-1,-1
 1.0475880E+002,-1,-1
 1.0509151E+002,-1,-1
 1.0543524E+002,-1,-1
 1.0577587E+002,-1,-1
 1.0611000E+002,-1,-1
 1.0645805E+002,-1,-1
 1.0679218E+002,-1,-1
 1.0712491E+002,-1,-1
 1.0747308E+002,-1,-1
 1.0781121E+002,-1,-1
 1.0814935E+002,-1,-1
 1.0849154E+002,-1,-1
 1.0881987E+002,-1,-1
 1.0916130E+002,-1,-1
 1.0949839E+002,-1,-1
 1.0984770E+002,-1,-1
 1.1018037E+002,-1,-1
 1.1051568E+002,-1,-1
 1.1086557E+002,-1,-1
 1.1120088E+002,-1,-1
 1.1153619E+002,-1,-1
 1.1187965E+002,-1,-1
 1.1221066E+002,-1,-1
 1.1256058E+002,-1,-1
 1.1289278E+002,-1,-1
 1.1323031E+002,-1,-1
 1.1357734E+002,-1,-1
 1.1391401E+002,-1,-1
 1.1424693E+002,-1,-1
 1.1458285E+002,-1,-1
 1.1492953E+002,-1,-1
 1.1526247E+002,-1,-1
 1.1561053E+002,-1,-1
 1.1594347E+002,-1,-1
 1.1629153E+002,-1,-1
 1.1662907E+002,-1,-1
 1.1695524E+002,-1,-1
 1.1730959E+002,-1,-1
 1.1763569E+002,-1,-1
 1.1797966E+002,-1,-1
 1.1831146E+002,-1,-1
 1.1865968E+002,-1,-1
 1.1899948E+002,-1,-1
 1.1933122E+002,-1,-1
 1.1967709E+002,-1,-1
 1.2001019E+002,-1,-1
 1.2035300E+002,-1,-1
 1.2068423E+002,-1,-1
 1.2102991E+002,-1,-1
 1.2136285E+002,-1,-1
 1.2170451E+002,-1,-1
 1.2204616E+002,-1,-1
 1.2238715E+002,-1,-1
 1.2272498E+002,-1,-1
 1.2305717E+002,-1,-1
 1.2340714E+002,-1,-1
 1.2373548E+002,-1,-1
 1.2407749E+002,-1,-1
 1.2441951E+002,-1,-1
 1.2476562E+002,-1,-1
 1.2509963E+002,-1,-1
 1.2543801E+002,-1,-1
 1.2577482E+002,-1,-1
 1.2610999E+002,-1,-1
 1.2645952E+002,-1,-1
 1.2678725E+002,-1,-1
 1.2713141E+002,-1,-1
 1.2746619E+002,-1,-1
 1.2780627E+002,-1,-1
 1.2815262E+002,-1,-1
 1.2848279E+002,-1,-1
 1.2882806E+002,-1,-1
 1.2916566E+002,-1,-1
 1.2950597E+002,-1,-1
 1.2984152E+002,-1,-1
 1.3018352E+002,-1,-1
 1.3052550E+002,-1,-1
 1.3085570E+002,-1,-1
 1.3119768E+002,-1,-1
 1.3153967E+002,-1,-1
 1.3187483E+002,-1,-1
 1.3221271E+002,-1,-1
 1.3255768E+002,-1,-1
 1.3289651E+002,-1,-1
 1.3322809E+002,-1,-1
 1.3357108E+002,-1,-1
 1.3391278E+002,-1,-1
 1.3424792E+002,-1,-1
 1.3459329E+002,-1,-1
 1.3492850E+002,-1,-1
 1.3526274E+002,-1,-1
 1.3560835E+002,-1,-1
 1.3594864E+002,-1,-1
 1.3628386E+002,-1,-1
 1.3661969E+002,-1,-1
 1.3696153E+002,-1,-1
 1.3729993E+002,-1,-1
 1.3764299E+002,-1,-1
 1.3798360E+002,-1,-1
 1.3831435E+002,-1,-1
 1.3865392E+002,-1,-1
 1.3899438E+002,-1,-1
 1.3932953E+002,-1,-1
 1.3967755E+002,-1,-1
 1.4000911E+002,-1,-1
 1.4034697E+002,-1,-1
 1.4069330E+002,-1,-1
 1.4102522E+002,-1,-1
 1.4136775E+002,-1,-1
 1.4170409E+002,-1,-1
 1.4204651E+002,-1,-1
 1.4238719E+002,-1,-1
 1.4272481E+002,-1,-1
 1.4306241E+002,-1,-1
 1.4340903E+002,-1,-1
 1.4374327E+002,-1,-1
 1.4407751E+002,-1,-1
 1.4442413E+002,-1,-1
 1.4475455E+002,-1,-1
 1.4509607E+002,-1,-1
 1.4543188E+002,-1,-1
 1.4577899E+002,-1,-1
 1.4611681E+002,-1,-1
 1.4645236E+002,-1,-1
 1.4679651E+002,-1,-1
 1.4713570E+002,-1,-1
 1.4747371E+002,-1,-1
 1.4781314E+002,-1,-1
 1.4814354E+002,-1,-1
 1.4848279E+002,-1,-1
 1.4882730E+002,-1,-1
 1.4916730E+002,-1,-1
 1.4951007E+002,-1,-1
 1.4984631E+002,-1,-1
 1.5018375E+002,-1,-1
 1.5052408E+002,-1,-1
 1.5085609E+002,-1,-1
 1.5120444E+002,-1,-1
 1.5154117E+002,-1,-1
 1.5187791E+002,-1,-1
 1.5221465E+002,-1,-1
 1.5255022E+002,-1,-1
 1.5289738E+002,-1,-1
 1.5323666E+002,-1,-1
 1.5356848E+002,-1,-1
 1.5390863E+002,-1,-1
 1.5425508E+002,-1,-1
 1.5458682E+002,-1,-1
 1.5493063E+002,-1,-1
 1.5526454E+002,-1,-1
 1.5560339E+002,-1,-1
 1.5594362E+002,-1,-1
 1.5628140E+002,-1,-1
 1.5661955E+002,-1,-1
 1.5695770E+002,-1,-1
 1.5729611E+002,-1,-1
 1.5764362E+002,-1,-1
 1.5798483E+002,-1,-1
 1.5831561E+002,-1,-1
 1.5866118E+002,-1,-1
 1.5899550E+002,-1,-1
 1.5933902E+002,-1,-1
 1.5967815E+002,-1,-1
 1.6001726E+002,-1,-1
 1.6035638E+002,-1,-1
 1.6069412E+002,-1,-1
 1.6102563E+002,-1,-1
 1.6136858E+002,-1,-1
 1.6171150E+002,-1,-1
 1.6204301E+002,-1,-1
 1.6238596E+002,-1,-1
 1.6272888E+002,-1,-1
 1.6306039E+002,-1,-1
 1.6340334E+002,-1,-1
 1.6374188E+002,-1,-1
 1.6407768E+002,-1,-1
 1.6442358E+002,-1,-1
 1.6475658E+002,-1,-1
 1.6509833E+002,-1,-1
 1.6543549E+002,-1,-1
 1.6577458E+002,-1,-1
 1.6611288E+002,-1,-1
 1.6645848E+002,-1,-1
 1.6679898E+002,-1,-1
 1.6712878E+002,-1,-1
 1.6747087E+002,-1,-1
 1.6780685E+002,-1,-1
 1.6815518E+002,-1,-1
 1.6848409E+002,-1,-1
 1.6883289E+002,-1,-1
 1.6917122E+002,-1,-1
 1.6950447E+002,-1,-1
 1.6984795E+002,-1,-1
 1.7018800E+002,-1,-1
 1.7052805E+002,-1,-1
 1.7086809E+002,-1,-1
 1.7119670E+002,-1,-1
 1.7154308E+002,-1,-1
 1.7187709E+002,-1,-1
 1.7222047E+002,-1,-1
 1.7255310E+002,-1,-1
 1.7289873E+002,-1,-1
 1.7323602E+002,-1,-1
 1.7356886E+002,-1,-1
 1.7390916E+002,-1,-1
 1.7425150E+002,-1,-1
 1.7459151E+002,-1,-1
 1.7493465E+002,-1,-1
 1.7526503E+002,-1,-1
 1.7560249E+002,-1,-1
 1.7594572E+002,-1,-1
 1.7628114E+002,-1,-1
 1.7662704E+002,-1,-1
 1.7696535E+002,-1,-1
 1.7729787E+002,-1,-1
 1.7764265E+002,-1,-1
 1.7798128E+002,-1,-1
 1.7831714E+002,-1,-1
 1.7865588E+002,-1,-1
 1.7899730E+002,-1,-1
 1.7933305E+002,-1,-1
 1.7967239E+002,-1,-1
 1.8001637E+002,-1,-1
 1.8035233E+002,-1,-1
 1.8069624E+002,-1,-1
 1.8103073E+002,-1,-1
 1.8137724E+002,-1,-1
 1.8171419E+002,-1,-1
 1.8204588E+002,-1,-1
 1.8238962E+002,-1,-1
 1.8272676E+002,-1,-1
 1.8306400E+002,-1,-1
 1.8340041E+002,-1,-1
 1.8374101E+002,-1,-1
 1.8408185E+002,-1,-1
 1.8441885E+002,-1,-1
 1.8475807E+002,-1,-1
 1.8510278E+002,-1,-1
 1.8543442E+002,-1,-1
 1.8578067E+002,-1,-1
 1.8611324E+002,-1,-1
 1.8645493E+002,-1,-1
 1.8679338E+002,-1,-1
 1.8713191E+002,-1,-1
 1.8746873E+002,-1,-1
 1.8780624E+002,-1,-1
 1.8814851E+002,-1,-1
 1.8849077E+002,-1,-1
 1.8882671E+002,-1,-1
 1.8916397E+002,-1,-1
 1.8950890E+002,-1,-1
 1.8984869E+002,-1,-1
 1.9018158E+002,-1,-1
 1.9052370E+002,-1,-1
 1.9086284E+002,-1,-1
 1.9120332E+002,-1,-1
 1.9153989E+002,-1,-1
 1.9187575E+002,-1,-1
 1.9222087E+002,-1,-1
 1.9256065E+002,-1,-1
 1.9289525E+002,-1,-1
 1.9323900E+002,-1,-1
 1.9357253E+002,-1,-1
 1.9391283E+002,-1,-1
 1.9425406E+002,-1,-1
 1.9459029E+002,-1,-1
 1.9493002E+002,-1,-1
 1.9526974E+002,-1,-1
 1.9561015E+002,-1,-1
 1.9594572E+002,-1,-1
 1.9628384E+002,-1,-1
 1.9662671E+002,-1,-1
 1.9696330E+002,-1,-1
 1.9730481E+002,-1,-1
 1.9764270E+002,-1,-1
 1.9797696E+002,-1,-1
 1.9831927E+002,-1,-1
 1.9866078E+002,-1,-1
 1.9900081E+002,-1,-1
 1.9933847E+002,-1,-1
 1.9967952E+002,-1,-1
 2.0001784E+002,-1,-1
 2.0034990E+002,-1,-1
 2.0068907E+002,-1,-1
 2.0103259E+002,-1,-1
 2.0136632E+002,-1,-1
 2.0170764E+002,-1,-1
 2.0204721E+002,-1,-1
 2.0238753E+002,-1,-1
 2.0272243E+002,-1,-1
 2.0306476E+002,-1,-1
 2.0340701E+002,-1,-1
 2.0373965E+002,-1,-1
 2.0408575E+002,-1,-1
 2.0442209E+002,-1,-1
 2.0475841E+002,-1,-1
 2.0510121E+002,-1,-1
 2.0543402E+002,-1,-1
 2.0577751E+002,-1,-1
 2.0611243E+002,-1,-1
 2.0645409E+002,-1,-1
 2.0679575E+002,-1,-1
 2.0713739E+002,-1,-1
 2.0747462E+002,-1,-1
 2.0781082E+002,-1,-1
 2.0814946E+002,-1,-1
 2.0848787E+002,-1,-1
 2.0882857E+002,-1,-1
 2.0917128E+002,-1,-1
 2.0950478E+002,-1,-1
 2.0984286E+002,-1,-1
 2.1018112E+002,-1,-1
 2.1052065E+002,-1,-1
 2.1086221E+002,-1,-1
 2.1120523E+002,-1,-1
 2.1154407E+002,-1,-1
 2.1187900E+002,-1,-1
 2.1221738E+002,-1,-1
 2.1255597E+002,-1,-1
 2.1289522E+002,-1,-1
 2.1323679E+002,-1,-1
 2.1357603E+002,-1,-1
 2.1391528E+002,-1,-1
 2.1425453E+002,-1,-1
 2.1459372E+002,-1,-1
 2.1493135E+002,-1,-1
 2.1527003E+002,-1,-1
 2.1561217E+002,-1,-1
 2.1594734E+002,-1,-1
 2.1628651E+002,-1,-1
 2.1662836E+002,-1,-1
 2.1696544E+002,-1,-1
 2.1730206E+002,-1,-1
 2.1764314E+002,-1,-1
 2.1797786E+002,-1,-1
 2.1832387E+002,-1,-1
 2.1865988E+002,-1,-1
