s,kg/s,kW
Time,"mdot","hdot"
 0.0000000E+000,-1.6189861E-010,-1.4605186E-015
 1.0127034E+000,-1.5423324E-005, 1.5195924E-005
 2.0254068E+000, 3.6163686E-004, 7.1288632E-004
 3.0114601E+000, 2.0432173E-003, 3.3475051E-003
 4.0241635E+000, 4.8139165E-003, 1.6644478E-002
 5.0102168E+000, 8.4954953E-003, 3.2695268E-002
 6.0229202E+000, 1.2731088E-002, 6.1566773E-002
 7.0089736E+000, 1.6916820E-002, 8.0072980E-002
 8.0216770E+000, 2.0747807E-002, 1.0660764E-001
 9.0077303E+000, 2.4103112E-002, 1.5147844E-001
 1.0020434E+001, 2.6532220E-002, 1.7897640E-001
 1.1006487E+001, 2.8263019E-002, 1.7441903E-001
 1.2019190E+001, 3.0283583E-002, 1.6798110E-001
 1.3005244E+001, 3.2899054E-002, 1.4283298E-001
 1.4017947E+001, 3.5515549E-002, 1.1979780E-001
 1.5004000E+001, 3.7898729E-002, 1.0861226E-001
 1.6016704E+001, 4.0250349E-002, 1.2144590E-001
 1.7002757E+001, 4.2317295E-002, 1.3032298E-001
 1.8015461E+001, 4.4252055E-002, 1.3434327E-001
 1.9001514E+001, 4.6008947E-002, 1.3852486E-001
 2.0014217E+001, 4.7510132E-002, 1.4652973E-001
 2.1000271E+001, 4.8608221E-002, 1.4284109E-001
 2.2012974E+001, 4.9876326E-002, 1.3940518E-001
 2.3025677E+001, 5.1075852E-002, 1.2877950E-001
 2.4011731E+001, 5.2370927E-002, 1.2016877E-001
 2.5024434E+001, 5.3592767E-002, 1.2514084E-001
 2.6010487E+001, 5.4946940E-002, 1.3815757E-001
 2.7023191E+001, 5.6180998E-002, 1.4529606E-001
 2.8009244E+001, 5.7291354E-002, 1.5039844E-001
 2.9021948E+001, 5.8698195E-002, 1.5097446E-001
 3.0008001E+001, 5.9657145E-002, 1.5377650E-001
 3.1020704E+001, 6.0205793E-002, 1.5089534E-001
 3.2006758E+001, 6.0793374E-002, 1.4644499E-001
 3.3019461E+001, 6.1418774E-002, 1.4737642E-001
 3.4005514E+001, 6.1450578E-002, 1.5148833E-001
 3.5018218E+001, 6.2523495E-002, 1.5157349E-001
 3.6004271E+001, 6.2665649E-002, 1.5704046E-001
 3.7016974E+001, 6.3486474E-002, 1.5636145E-001
 3.8003028E+001, 6.4699089E-002, 1.5601889E-001
 3.9015731E+001, 6.5495284E-002, 1.6013212E-001
 4.0001784E+001, 6.5556739E-002, 1.6481823E-001
 4.1014488E+001, 6.7032567E-002, 1.6138770E-001
 4.2000541E+001, 6.7136392E-002, 1.6669035E-001
 4.3013245E+001, 6.7925673E-002, 1.6856098E-001
 4.4025948E+001, 6.9097419E-002, 1.7923974E-001
 4.5012001E+001, 7.0556764E-002, 1.7832753E-001
 4.6024705E+001, 7.0498352E-002, 1.8728037E-001
 4.7010758E+001, 7.1455141E-002, 1.7913692E-001
 4.8023461E+001, 7.1235687E-002, 1.7659199E-001
 4.9009515E+001, 7.1565997E-002, 1.7987486E-001
 5.0022218E+001, 7.1017659E-002, 1.8669461E-001
 5.1008271E+001, 7.0702850E-002, 1.7712256E-001
 5.2020975E+001, 7.0809924E-002, 1.7160574E-001
 5.3007028E+001, 7.0868763E-002, 1.7121890E-001
 5.4019732E+001, 7.1874497E-002, 1.7300666E-001
 5.5018715E+001, 7.2208238E-002, 1.7718532E-001
 5.6022775E+001, 7.2147613E-002, 1.8410788E-001
 5.7002929E+001, 7.2894392E-002, 1.7814003E-001
 5.8006989E+001, 7.3314422E-002, 1.7721793E-001
 5.9011049E+001, 7.3316802E-002, 1.8198886E-001
 6.0015109E+001, 7.3340457E-002, 1.8109238E-001
 6.1019168E+001, 7.2979897E-002, 1.8442304E-001
 6.2023228E+001, 7.3120640E-002, 1.8903652E-001
 6.3003382E+001, 7.4080445E-002, 1.9159255E-001
 6.4007442E+001, 7.3271625E-002, 1.8657221E-001
 6.5011502E+001, 7.3558951E-002, 1.7572797E-001
 6.6015562E+001, 7.3492393E-002, 1.7406138E-001
 6.7019621E+001, 7.3169885E-002, 1.7862615E-001
 6.8023681E+001, 7.2930963E-002, 1.7711683E-001
 6.9003835E+001, 7.2877258E-002, 1.7713490E-001
 7.0007895E+001, 7.2741191E-002, 1.7868209E-001
 7.1011955E+001, 7.2527629E-002, 1.8352841E-001
 7.2016014E+001, 7.2621673E-002, 1.9689256E-001
 7.3020074E+001, 7.2918837E-002, 1.9572187E-001
 7.4000228E+001, 7.3052367E-002, 1.8825391E-001
 7.5004288E+001, 7.3597590E-002, 1.8644359E-001
 7.6008348E+001, 7.3651229E-002, 1.8785781E-001
 7.7012408E+001, 7.2980769E-002, 1.8249143E-001
 7.8016467E+001, 7.3224332E-002, 1.8997761E-001
 7.9008574E+001, 7.3832840E-002, 1.9027203E-001
 8.0007853E+001, 7.4413789E-002, 1.8850435E-001
 8.1007131E+001, 7.5210176E-002, 1.7433857E-001
 8.2006410E+001, 7.5077800E-002, 1.8143373E-001
 8.3005689E+001, 7.5246914E-002, 1.9325187E-001
 8.4004967E+001, 7.5120571E-002, 1.9070207E-001
 8.5004246E+001, 7.5136347E-002, 1.9162360E-001
 8.6003525E+001, 7.5492673E-002, 1.9922721E-001
 8.7002803E+001, 7.5405488E-002, 1.8846859E-001
 8.8002082E+001, 7.4842021E-002, 1.8271523E-001
 8.9001360E+001, 7.5266984E-002, 1.8522885E-001
 9.0000639E+001, 7.5534802E-002, 1.8861720E-001
 9.1026215E+001, 7.5557310E-002, 1.9646595E-001
 9.2025493E+001, 7.5515215E-002, 1.9049589E-001
 9.3024772E+001, 7.5061649E-002, 1.9357626E-001
 9.4020949E+001, 7.5012453E-002, 1.8718302E-001
 9.5014024E+001, 7.5169246E-002, 1.8615874E-001
 9.6007099E+001, 7.4930809E-002, 1.8955732E-001
 9.7000175E+001, 7.4705244E-002, 1.8826058E-001
 9.8016895E+001, 7.5174651E-002, 1.8215676E-001
 9.9009970E+001, 7.5456263E-002, 1.8938510E-001
 1.0000305E+002, 7.5047688E-002, 1.8641674E-001
 1.0101977E+002, 7.4316045E-002, 1.8539703E-001
 1.0201757E+002, 7.2182792E-002, 1.8599792E-001
 1.0301040E+002, 7.1724925E-002, 1.8167913E-001
 1.0402311E+002, 7.2331549E-002, 1.8072763E-001
 1.0501343E+002, 7.2264947E-002, 1.8346099E-001
 1.0601337E+002, 7.3018825E-002, 1.7870009E-001
 1.0701330E+002, 7.4168811E-002, 1.8428508E-001
 1.0801324E+002, 7.4816040E-002, 1.9529181E-001
 1.0901318E+002, 7.5756677E-002, 1.9434135E-001
 1.1002074E+002, 7.6614063E-002, 1.9415909E-001
 1.1101500E+002, 7.6869033E-002, 1.9663216E-001
 1.1200926E+002, 7.6904090E-002, 2.1113759E-001
 1.1300352E+002, 7.6668291E-002, 2.0139213E-001
 1.1402145E+002, 7.5728469E-002, 1.9248326E-001
 1.1501571E+002, 7.5629516E-002, 1.9616066E-001
 1.1600050E+002, 7.5052609E-002, 1.9453204E-001
 1.1701606E+002, 7.4718901E-002, 1.8766263E-001
 1.1800559E+002, 7.4872672E-002, 1.7420126E-001
 1.1902115E+002, 7.5101822E-002, 1.7811576E-001
 1.2001068E+002, 7.5906884E-002, 1.8428425E-001
 1.2100634E+002, 7.6629618E-002, 1.9750486E-001
 1.2201215E+002, 7.7145875E-002, 1.9562787E-001
 1.2301796E+002, 7.6758981E-002, 1.9418326E-001
 1.2400038E+002, 7.6860867E-002, 1.9402400E-001
 1.2500620E+002, 7.6396056E-002, 1.9249337E-001
 1.2601201E+002, 7.6172458E-002, 1.8999750E-001
 1.2701782E+002, 7.5327524E-002, 1.8572630E-001
 1.2800024E+002, 7.3664355E-002, 1.9273761E-001
 1.2900137E+002, 7.3744891E-002, 1.8762384E-001
 1.3000484E+002, 7.4755836E-002, 1.7421842E-001
 1.3100832E+002, 7.5292152E-002, 1.8053950E-001
 1.3201179E+002, 7.5737254E-002, 1.7520321E-001
 1.3301526E+002, 7.5619052E-002, 1.7824146E-001
 1.3401873E+002, 7.6053870E-002, 1.9218092E-001
 1.3502220E+002, 7.6162536E-002, 2.0000231E-001
 1.3602568E+002, 7.6801891E-002, 1.9828823E-001
 1.3700342E+002, 7.6928832E-002, 1.9584992E-001
 1.3800689E+002, 7.5981915E-002, 1.8600626E-001
 1.3901036E+002, 7.5886120E-002, 1.9045617E-001
 1.4001383E+002, 7.5685119E-002, 1.9094530E-001
 1.4101731E+002, 7.5568066E-002, 1.9554046E-001
 1.4202078E+002, 7.5388300E-002, 2.0133327E-001
 1.4302425E+002, 7.4400935E-002, 1.8774627E-001
 1.4400199E+002, 7.3636193E-002, 1.8230872E-001
 1.4500547E+002, 7.2492438E-002, 1.8071558E-001
 1.4600894E+002, 7.0469474E-002, 1.7546387E-001
 1.4701241E+002, 7.0283058E-002, 1.8320127E-001
 1.4801680E+002, 7.0809681E-002, 1.8690231E-001
 1.4900285E+002, 7.1104045E-002, 1.9480677E-001
 1.5001556E+002, 7.2565179E-002, 1.9154032E-001
 1.5100161E+002, 7.3655260E-002, 1.9159069E-001
 1.5201431E+002, 7.4464679E-002, 1.8272608E-001
 1.5300037E+002, 7.4469731E-002, 1.8175269E-001
 1.5401307E+002, 7.4329787E-002, 1.9234969E-001
 1.5502578E+002, 7.4501823E-002, 1.9183231E-001
 1.5601183E+002, 7.5106342E-002, 1.8783587E-001
 1.5702453E+002, 7.5485335E-002, 1.9106827E-001
 1.5801059E+002, 7.5375604E-002, 1.9616463E-001
 1.5902329E+002, 7.6126320E-002, 1.8891540E-001
 1.6000028E+002, 7.6989075E-002, 1.9457879E-001
 1.6100629E+002, 7.7731584E-002, 2.0072057E-001
 1.6201230E+002, 7.8320582E-002, 1.9770209E-001
 1.6301831E+002, 7.8583248E-002, 1.9648967E-001
 1.6400037E+002, 7.8509553E-002, 1.8897219E-001
 1.6500638E+002, 7.8178712E-002, 1.8999584E-001
 1.6601239E+002, 7.7519609E-002, 1.9078990E-001
 1.6701840E+002, 7.7199662E-002, 1.8677779E-001
 1.6800046E+002, 7.6909751E-002, 1.8070997E-001
 1.6900647E+002, 7.6885030E-002, 1.8843051E-001
 1.7001248E+002, 7.6956038E-002, 1.9446386E-001
 1.7101849E+002, 7.6447094E-002, 1.9318174E-001
 1.7200055E+002, 7.6347887E-002, 1.8792788E-001
 1.7300656E+002, 7.5944677E-002, 1.8177741E-001
 1.7401257E+002, 7.6020556E-002, 1.7901178E-001
 1.7501858E+002, 7.5856853E-002, 1.8487422E-001
 1.7600064E+002, 7.5187336E-002, 1.8277125E-001
 1.7700665E+002, 7.5229019E-002, 1.8617576E-001
 1.7801266E+002, 7.4238267E-002, 2.0264599E-001
 1.7901867E+002, 7.2926319E-002, 1.9190386E-001
 1.8000552E+002, 7.2874191E-002, 1.8039911E-001
 1.8100674E+002, 7.3021360E-002, 1.9304869E-001
 1.8200796E+002, 7.4062825E-002, 1.8796842E-001
 1.8300386E+002, 7.4813224E-002, 1.8797698E-001
 1.8402250E+002, 7.5418827E-002, 1.8757900E-001
 1.8501746E+002, 7.5471047E-002, 1.9207404E-001
 1.8601241E+002, 7.5301293E-002, 1.9067876E-001
 1.8700736E+002, 7.4968750E-002, 1.9306119E-001
 1.8800231E+002, 7.4631627E-002, 1.9607056E-001
 1.8902095E+002, 7.4757355E-002, 1.9983001E-001
 1.9001590E+002, 7.5071659E-002, 1.9221989E-001
 1.9101086E+002, 7.5160015E-002, 1.9490575E-001
 1.9200581E+002, 7.5450044E-002, 1.9653100E-001
 1.9300076E+002, 7.4798357E-002, 1.9075485E-001
 1.9401940E+002, 7.5016896E-002, 1.8933880E-001
 1.9501435E+002, 7.5336744E-002, 1.8294225E-001
 1.9600930E+002, 7.5056256E-002, 1.8694423E-001
 1.9700426E+002, 7.5536331E-002, 1.9227816E-001
 1.9802290E+002, 7.5524126E-002, 1.9300966E-001
 1.9901785E+002, 7.5739589E-002, 2.0064977E-001
 2.0001280E+002, 7.5622734E-002, 1.8259856E-001
 2.0100775E+002, 7.5243013E-002, 1.8569183E-001
 2.0200270E+002, 7.4503128E-002, 1.9023534E-001
 2.0302135E+002, 7.4899709E-002, 2.0197240E-001
 2.0401630E+002, 7.5573118E-002, 1.9251438E-001
 2.0501125E+002, 7.5060661E-002, 1.9422268E-001
 2.0600620E+002, 7.4797273E-002, 1.9325368E-001
 2.0700115E+002, 7.4170222E-002, 1.8632987E-001
 2.0801979E+002, 7.4200479E-002, 1.7272524E-001
 2.0901475E+002, 7.4878336E-002, 1.7802029E-001
 2.1000970E+002, 7.4726787E-002, 1.8091264E-001
 2.1100465E+002, 7.4922740E-002, 1.8004220E-001
 2.1202329E+002, 7.5536269E-002, 1.8938207E-001
 2.1301824E+002, 7.6090154E-002, 1.9589657E-001
 2.1400839E+002, 7.6167509E-002, 2.0251524E-001
 2.1500900E+002, 7.6049859E-002, 2.0513350E-001
 2.1600961E+002, 7.5412950E-002, 1.9519803E-001
 2.1701022E+002, 7.5431242E-002, 1.9668417E-001
 2.1801721E+002, 7.4598553E-002, 1.8958663E-001
 2.1900078E+002, 7.4786022E-002, 1.8985810E-001
 2.2000778E+002, 7.4957248E-002, 1.9235124E-001
 2.2101477E+002, 7.3875848E-002, 1.8684009E-001
 2.2202177E+002, 7.4305490E-002, 1.8704699E-001
 2.2300534E+002, 7.4500334E-002, 1.8828861E-001
 2.2401754E+002, 7.4838371E-002, 1.9386601E-001
 2.2500000E+002, 7.5819456E-002, 1.9179125E-001
 2.2600465E+002, 7.5664937E-002, 1.9575644E-001
 2.2701171E+002, 7.4445598E-002, 1.8799491E-001
 2.2800014E+002, 7.3447581E-002, 1.9941915E-001
 2.2902019E+002, 7.3047124E-002, 1.9864978E-001
 2.3002038E+002, 7.3662326E-002, 1.9280620E-001
 2.3102057E+002, 7.3732336E-002, 1.9094041E-001
 2.3202077E+002, 7.3470031E-002, 1.9191526E-001
 2.3302096E+002, 7.3547833E-002, 1.9097360E-001
 2.3402115E+002, 7.4486701E-002, 1.8740918E-001
 2.3501880E+002, 7.5151252E-002, 1.8691051E-001
 2.3601838E+002, 7.4628384E-002, 1.9041627E-001
 2.3700673E+002, 7.5431064E-002, 1.9847316E-001
 2.3800659E+002, 7.6573866E-002, 1.9535180E-001
 2.3900621E+002, 7.6861942E-002, 1.9571128E-001
 2.4000582E+002, 7.7143143E-002, 1.9549386E-001
 2.4100544E+002, 7.7254601E-002, 2.0003575E-001
 2.4200506E+002, 7.6999233E-002, 2.0258941E-001
 2.4300467E+002, 7.6884478E-002, 1.9376882E-001
 2.4401540E+002, 7.6540865E-002, 1.8915233E-001
 2.4500395E+002, 7.6142752E-002, 1.8695274E-001
 2.4602018E+002, 7.5219643E-002, 1.8649854E-001
 2.4701007E+002, 7.3529148E-002, 1.8252582E-001
 2.4802411E+002, 7.3117963E-002, 1.7602377E-001
 2.4901400E+002, 7.2317331E-002, 1.8145100E-001
 2.5000000E+002, 7.2854034E-002, 1.8771752E-001
