s,kg/m2,kW
Time,"null","null"
 0.0000000E+000, 3.1540800E+001, 0.0000000E+000
 1.5000000E+000, 3.1540800E+001, 0.0000000E+000
 3.0000000E+000, 3.1540800E+001, 0.0000000E+000
 4.5000000E+000, 3.1540800E+001, 0.0000000E+000
 6.1000000E+000, 3.1540800E+001, 0.0000000E+000
 7.6000000E+000, 3.1540800E+001, 0.0000000E+000
 9.1000000E+000, 3.1540800E+001, 2.3566730E-008
 1.0600000E+001, 3.1540800E+001, 1.9778110E-007
 1.2100000E+001, 3.1540800E+001, 1.0664480E-006
 1.3600000E+001, 3.1540800E+001, 4.7041854E-006
 1.5100000E+001, 3.1540800E+001, 1.7357126E-005
 1.6600000E+001, 3.1540799E+001, 5.6181550E-005
 1.8100000E+001, 3.1540798E+001, 1.6304065E-004
 1.9500000E+001, 3.1540795E+001, 4.1624657E-004
 2.1000000E+001, 3.1540788E+001, 9.9447659E-004
 2.2500000E+001, 3.1540771E+001, 2.2747809E-003
 2.4000000E+001, 3.1540733E+001, 4.8868671E-003
 2.5500000E+001, 3.1540654E+001, 9.9171539E-003
 2.7000000E+001, 3.1540502E+001, 1.9067714E-002
 2.8500000E+001, 3.1540219E+001, 3.4786923E-002
 3.0000000E+001, 3.1539723E+001, 6.0059967E-002
 3.1500000E+001, 3.1538897E+001, 9.7975345E-002
 3.3000000E+001, 3.1537595E+001, 1.5173654E-001
 3.4500000E+001, 3.1535673E+001, 2.2010991E-001
 3.6000000E+001, 3.1533031E+001, 2.9957614E-001
 3.7500000E+001, 3.1529583E+001, 3.8255592E-001
 3.9000000E+001, 3.1525258E+001, 4.6555141E-001
 4.0559485E+001, 3.1519986E+001, 5.4710903E-001
 4.2082501E+001, 3.1513985E+001, 6.2131736E-001
 4.3510965E+001, 3.1507525E+001, 6.8947359E-001
 4.5038716E+001, 3.1500310E+001, 7.4526046E-001
 4.6527651E+001, 3.1492575E+001, 7.9956781E-001
 4.8041936E+001, 3.1484244E+001, 8.3998141E-001
 4.9511583E+001, 3.1475647E+001, 9.1252292E-001
 5.1014234E+001, 3.1466565E+001, 9.0165946E-001
 5.2519866E+001, 3.1456626E+001, 9.5483063E-001
 5.4012257E+001, 3.1446411E+001, 1.0016437E+000
 5.5519033E+001, 3.1435968E+001, 9.9259059E-001
 5.7021905E+001, 3.1425111E+001, 1.0368217E+000
 5.8545225E+001, 3.1413855E+001, 1.0697961E+000
 6.0037728E+001, 3.1402331E+001, 1.0980320E+000
 6.1508896E+001, 3.1391133E+001, 1.1742915E+000
 6.3010819E+001, 3.1379695E+001, 1.1423037E+000
 6.4519588E+001, 3.1367629E+001, 1.1582410E+000
 6.6001006E+001, 3.1355654E+001, 1.2042057E+000
 6.7546358E+001, 3.1343777E+001, 1.1605833E+000
 6.9054775E+001, 3.1331724E+001, 1.1649803E+000
 7.0501495E+001, 3.1320252E+001, 1.1730125E+000
 7.2037383E+001, 3.1308527E+001, 1.2363046E+000
 7.3541036E+001, 3.1296392E+001, 1.2210379E+000
 7.5036995E+001, 3.1283751E+001, 1.2413834E+000
 7.6554317E+001, 3.1270516E+001, 1.2467633E+000
 7.8035629E+001, 3.1257245E+001, 1.2759923E+000
 7.9533622E+001, 3.1243805E+001, 1.2927629E+000
 8.1022811E+001, 3.1230605E+001, 1.3014604E+000
 8.2525690E+001, 3.1217829E+001, 1.2775057E+000
 8.4013540E+001, 3.1204941E+001, 1.2649894E+000
 8.5510720E+001, 3.1191534E+001, 1.2866708E+000
 8.7051669E+001, 3.1177977E+001, 1.3000610E+000
 8.8548214E+001, 3.1164339E+001, 1.3093067E+000
 9.0018236E+001, 3.1151326E+001, 1.2993405E+000
 9.1529526E+001, 3.1138371E+001, 1.3015642E+000
 9.3023449E+001, 3.1125065E+001, 1.2895584E+000
 9.4503030E+001, 3.1112008E+001, 1.2993388E+000
 9.6051792E+001, 3.1099093E+001, 1.2537006E+000
 9.7562940E+001, 3.1086067E+001, 1.2473715E+000
 9.9060508E+001, 3.1073120E+001, 1.2238421E+000
 1.0050472E+002, 3.1060376E+001, 1.2427152E+000
 1.0204696E+002, 3.1047482E+001, 1.2404565E+000
 1.0353088E+002, 3.1034612E+001, 1.2409182E+000
 1.0500598E+002, 3.1022396E+001, 1.2293192E+000
