s,m
Time,"x"
 0.000E+00,-1.950E+01
 1.095E+00, 9.283E+01
 2.068E+00,-5.000E-01
 3.042E+00,-5.000E-01
 4.015E+00,-2.500E-01
 5.110E+00, 5.000E-01
 6.027E+00, 5.000E-01
 7.049E+00, 5.000E-01
 8.071E+00, 9.189E-01
 9.031E+00, 1.500E+00
 1.003E+01, 1.500E+00
 1.103E+01, 1.500E+00
 1.203E+01, 1.777E+00
 1.300E+01, 2.500E+00
 1.406E+01, 2.880E+00
 1.501E+01, 5.976E+00
 1.605E+01, 1.000E+01
 1.703E+01, 1.044E+01
 1.805E+01, 1.079E+01
 1.903E+01, 1.124E+01
 2.002E+01, 1.268E+01
 2.104E+01, 1.459E+01
 2.203E+01, 1.640E+01
 2.303E+01, 1.707E+01
 2.401E+01, 1.867E+01
 2.504E+01, 1.986E+01
 2.603E+01, 2.140E+01
 2.700E+01, 2.131E+01
 2.803E+01, 2.289E+01
 2.901E+01, 2.464E+01
 3.004E+01, 2.572E+01
 3.104E+01, 2.593E+01
 3.204E+01, 2.836E+01
 3.302E+01, 2.980E+01
 3.400E+01, 3.072E+01
 3.503E+01, 3.421E+01
 3.604E+01, 3.518E+01
 3.700E+01, 3.728E+01
 3.804E+01, 3.840E+01
 3.902E+01, 4.014E+01
 4.004E+01, 4.107E+01
 4.102E+01, 4.192E+01
 4.201E+01, 4.430E+01
 4.302E+01, 4.720E+01
 4.402E+01, 4.833E+01
 4.500E+01, 4.992E+01
 4.601E+01, 5.142E+01
 4.700E+01, 5.376E+01
 4.803E+01, 5.494E+01
 4.901E+01, 5.733E+01
 5.003E+01, 5.888E+01
 5.103E+01, 6.089E+01
 5.201E+01, 6.293E+01
 5.304E+01, 6.504E+01
 5.401E+01, 6.594E+01
 5.503E+01, 6.932E+01
 5.601E+01, 6.902E+01
 5.702E+01, 7.081E+01
 5.802E+01, 7.253E+01
 5.900E+01, 7.354E+01
 6.004E+01, 7.499E+01
 6.100E+01, 7.608E+01
 6.202E+01, 7.728E+01
 6.301E+01, 7.911E+01
 6.401E+01, 8.174E+01
 6.503E+01, 8.234E+01
 6.602E+01, 8.431E+01
 6.702E+01, 8.606E+01
 6.802E+01, 8.722E+01
 6.901E+01, 8.858E+01
 7.003E+01, 8.946E+01
 7.104E+01, 9.035E+01
 7.203E+01, 9.287E+01
 7.304E+01, 9.546E+01
 7.403E+01, 9.592E+01
 7.502E+01, 9.680E+01
 7.604E+01, 9.853E+01
 7.704E+01, 1.004E+02
 7.803E+01, 1.019E+02
 7.902E+01, 1.023E+02
 8.002E+01, 1.041E+02
 8.102E+01, 1.074E+02
 8.204E+01, 1.086E+02
 8.301E+01, 1.105E+02
 8.403E+01, 1.116E+02
 8.501E+01, 1.153E+02
 8.600E+01, 1.160E+02
 8.701E+01, 1.176E+02
 8.801E+01, 1.181E+02
 8.904E+01, 1.191E+02
 9.004E+01, 1.206E+02
 9.104E+01, 1.229E+02
 9.200E+01, 1.250E+02
 9.301E+01, 1.271E+02
 9.402E+01, 1.282E+02
 9.502E+01, 1.299E+02
 9.600E+01, 1.311E+02
 9.704E+01, 1.320E+02
 9.803E+01, 1.333E+02
 9.904E+01, 1.346E+02
 1.000E+02, 1.380E+02
 1.010E+02, 1.383E+02
 1.020E+02, 1.390E+02
 1.030E+02, 1.416E+02
 1.040E+02, 1.420E+02
 1.050E+02, 1.419E+02
 1.060E+02, 1.434E+02
 1.070E+02, 1.450E+02
 1.080E+02, 1.461E+02
 1.090E+02, 1.506E+02
 1.100E+02, 1.520E+02
 1.110E+02, 1.528E+02
 1.120E+02, 1.554E+02
 1.130E+02, 1.582E+02
 1.140E+02, 1.590E+02
 1.150E+02, 1.604E+02
 1.160E+02, 1.603E+02
 1.170E+02, 1.622E+02
 1.180E+02, 1.650E+02
 1.190E+02, 1.653E+02
 1.200E+02, 1.673E+02
 1.210E+02, 1.672E+02
 1.220E+02, 1.680E+02
 1.230E+02, 1.705E+02
 1.240E+02, 1.729E+02
 1.250E+02, 1.747E+02
 1.260E+02, 1.751E+02
 1.270E+02, 1.770E+02
 1.280E+02, 1.783E+02
 1.290E+02, 1.795E+02
 1.300E+02, 1.809E+02
 1.310E+02, 1.820E+02
 1.320E+02, 1.849E+02
 1.330E+02, 1.871E+02
 1.340E+02, 1.894E+02
 1.350E+02, 1.903E+02
 1.360E+02, 1.918E+02
 1.370E+02, 1.942E+02
 1.380E+02, 1.967E+02
 1.390E+02, 1.971E+02
 1.400E+02, 1.966E+02
 1.410E+02, 1.978E+02
 1.420E+02, 1.996E+02
 1.430E+02, 2.006E+02
 1.440E+02, 2.101E+02
 1.450E+02, 2.167E+02
 1.460E+02, 2.098E+02
 1.470E+02, 2.035E+02
 1.480E+02, 2.085E+02
 1.490E+02, 2.153E+02
 1.500E+02, 2.139E+02
 1.510E+02, 2.124E+02
 1.520E+02, 2.155E+02
 1.531E+02, 2.091E+02
 1.540E+02, 2.047E+02
 1.550E+02, 2.005E+02
 1.560E+02, 2.012E+02
 1.571E+02, 2.023E+02
 1.580E+02, 2.035E+02
 1.590E+02, 2.049E+02
 1.601E+02, 2.062E+02
 1.610E+02, 2.081E+02
 1.620E+02, 2.108E+02
 1.630E+02, 2.041E+02
 1.641E+02, 2.015E+02
 1.650E+02, 2.018E+02
 1.660E+02, 2.013E+02
 1.671E+02, 2.005E+02
 1.680E+02, 2.022E+02
 1.691E+02, 2.039E+02
 1.701E+02, 2.027E+02
 1.711E+02, 2.015E+02
 1.720E+02, 2.015E+02
 1.730E+02, 2.015E+02
 1.741E+02, 2.008E+02
 1.751E+02, 2.018E+02
 1.760E+02, 2.045E+02
 1.770E+02, 2.062E+02
 1.781E+02, 2.015E+02
 1.790E+02, 2.015E+02
 1.800E+02, 2.022E+02
