s,m
Time,"x"
 0.000E+00, 2.500E-01
 1.047E+00, 2.154E+01
 2.007E+00, 8.429E-01
 3.006E+00, 1.041E+00
 4.013E+00, 1.059E+00
 5.007E+00, 8.294E-01
 6.003E+00, 1.869E+00
 7.008E+00, 2.387E+00
 8.014E+00, 2.187E+00
 9.021E+00, 4.326E+00
 1.002E+01, 5.108E+00
 1.101E+01, 4.722E+00
 1.202E+01, 5.085E+00
 1.302E+01, 4.615E+00
 1.401E+01, 4.260E+00
 1.501E+01, 3.772E+00
 1.602E+01, 4.579E+00
 1.701E+01, 7.500E+00
 1.801E+01, 9.706E+00
 1.901E+01, 1.827E+01
 2.001E+01, 2.287E+01
 2.101E+01, 2.630E+01
 2.200E+01, 2.831E+01
 2.301E+01, 2.966E+01
 2.401E+01, 3.081E+01
 2.501E+01, 3.193E+01
 2.600E+01, 3.302E+01
 2.700E+01, 3.490E+01
 2.801E+01, 3.520E+01
 2.901E+01, 3.837E+01
 3.000E+01, 4.168E+01
 3.101E+01, 3.944E+01
 3.202E+01, 4.123E+01
 3.301E+01, 4.301E+01
 3.400E+01, 4.454E+01
 3.501E+01, 4.574E+01
 3.600E+01, 4.840E+01
 3.700E+01, 4.939E+01
 3.802E+01, 4.965E+01
 3.900E+01, 5.036E+01
 4.002E+01, 5.085E+01
 4.100E+01, 5.140E+01
 4.201E+01, 5.213E+01
 4.301E+01, 5.256E+01
 4.401E+01, 5.310E+01
 4.501E+01, 5.353E+01
 4.601E+01, 5.455E+01
 4.701E+01, 5.547E+01
 4.801E+01, 5.592E+01
 4.900E+01, 5.644E+01
 5.001E+01, 5.726E+01
 5.100E+01, 5.846E+01
 5.200E+01, 5.919E+01
 5.300E+01, 6.024E+01
 5.400E+01, 6.091E+01
 5.501E+01, 6.153E+01
 5.601E+01, 6.233E+01
 5.700E+01, 6.301E+01
 5.801E+01, 6.476E+01
 5.901E+01, 7.032E+01
 6.001E+01, 7.112E+01
 6.100E+01, 7.027E+01
 6.201E+01, 7.358E+01
 6.301E+01, 7.581E+01
 6.402E+01, 7.576E+01
 6.501E+01, 7.726E+01
 6.601E+01, 7.874E+01
 6.701E+01, 8.025E+01
 6.801E+01, 8.206E+01
 6.901E+01, 8.333E+01
 7.001E+01, 8.447E+01
 7.101E+01, 8.671E+01
 7.200E+01, 8.626E+01
 7.301E+01, 8.770E+01
 7.401E+01, 8.854E+01
 7.500E+01, 8.986E+01
 7.602E+01, 9.183E+01
 7.700E+01, 9.399E+01
 7.801E+01, 9.618E+01
 7.901E+01, 9.798E+01
 8.000E+01, 9.963E+01
 8.101E+01, 1.015E+02
 8.200E+01, 1.032E+02
 8.301E+01, 1.067E+02
 8.400E+01, 1.069E+02
 8.501E+01, 1.127E+02
 8.601E+01, 1.147E+02
 8.700E+01, 1.150E+02
 8.801E+01, 1.167E+02
 8.900E+01, 1.184E+02
 9.001E+01, 1.202E+02
 9.100E+01, 1.217E+02
 9.201E+01, 1.231E+02
 9.300E+01, 1.248E+02
 9.400E+01, 1.268E+02
 9.500E+01, 1.306E+02
 9.601E+01, 1.338E+02
 9.700E+01, 1.355E+02
 9.801E+01, 1.370E+02
 9.900E+01, 1.410E+02
 1.000E+02, 1.427E+02
 1.010E+02, 1.444E+02
 1.020E+02, 1.478E+02
 1.030E+02, 1.477E+02
 1.040E+02, 1.489E+02
 1.050E+02, 1.511E+02
 1.060E+02, 1.541E+02
 1.070E+02, 1.585E+02
 1.080E+02, 1.636E+02
 1.090E+02, 1.637E+02
 1.100E+02, 1.658E+02
 1.110E+02, 1.677E+02
 1.120E+02, 1.699E+02
 1.130E+02, 1.716E+02
 1.140E+02, 1.731E+02
 1.150E+02, 1.756E+02
 1.160E+02, 1.769E+02
 1.170E+02, 1.797E+02
 1.180E+02, 1.835E+02
 1.190E+02, 1.901E+02
 1.200E+02, 1.900E+02
 1.210E+02, 1.936E+02
 1.220E+02, 1.959E+02
 1.230E+02, 1.966E+02
 1.240E+02, 1.980E+02
 1.250E+02, 2.013E+02
 1.260E+02, 1.918E+02
 1.270E+02, 1.841E+02
 1.280E+02, 1.850E+02
 1.290E+02, 1.839E+02
 1.300E+02, 1.877E+02
 1.310E+02, 1.896E+02
 1.320E+02, 1.884E+02
 1.330E+02, 1.841E+02
 1.340E+02, 1.859E+02
 1.350E+02, 1.894E+02
 1.360E+02, 1.953E+02
 1.370E+02, 1.855E+02
 1.380E+02, 1.728E+02
 1.390E+02, 1.789E+02
 1.400E+02, 1.917E+02
 1.410E+02, 1.874E+02
 1.420E+02, 1.888E+02
 1.430E+02, 1.900E+02
 1.440E+02, 1.884E+02
 1.450E+02, 1.919E+02
 1.460E+02, 1.957E+02
 1.470E+02, 1.961E+02
 1.480E+02, 1.818E+02
 1.490E+02, 1.856E+02
 1.500E+02, 1.937E+02
 1.510E+02, 1.976E+02
 1.520E+02, 1.991E+02
 1.530E+02, 1.862E+02
 1.540E+02, 1.841E+02
 1.550E+02, 1.869E+02
 1.560E+02, 1.892E+02
 1.570E+02, 1.901E+02
 1.580E+02, 1.879E+02
 1.590E+02, 1.898E+02
 1.600E+02, 1.917E+02
 1.610E+02, 1.563E+02
