s,m,m,m,m,m,m,C,C,C,C,C,C
Time,"x1","x2","x3","x4","x5","x6","T1","T2","T3","T4","T5","T6"
 0.000E+00,-9.750E+00, 1.025E+01, 3.025E+01, 5.025E+01, 7.025E+01, 9.025E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.018E+00, 2.518E+00, 1.993E+01, 3.482E+01, 5.798E+01, 8.264E+01, 1.015E+02, 4.923E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 2.037E+00, 7.885E-01, 2.263E+01, 4.187E+01, 6.637E+01, 8.813E+01, 1.048E+02, 3.739E+02, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.201E+01
 3.024E+00, 1.087E+00, 1.083E+01, 3.630E+01, 5.763E+01, 7.181E+01, 1.086E+02, 7.358E+02, 3.204E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.201E+01
 4.010E+00, 1.341E+00, 1.025E+01, 3.428E+01, 6.790E+01, 7.330E+01, 1.098E+02, 7.630E+02, 3.313E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.201E+01
 5.015E+00, 1.761E+00, 1.025E+01, 3.270E+01, 6.870E+01, 7.314E+01, 1.098E+02, 8.465E+02, 3.462E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 6.036E+00, 2.250E+00, 1.025E+01, 3.274E+01, 6.705E+01, 7.205E+01, 1.095E+02, 9.189E+02, 3.842E+01, 3.200E+01, 3.200E+01, 3.200E+01, 3.200E+01
 7.014E+00, 2.664E+00, 1.025E+01, 3.025E+01, 6.475E+01, 7.391E+01, 1.097E+02, 9.037E+02, 4.436E+01, 3.201E+01, 3.200E+01, 3.200E+01, 3.200E+01
 8.032E+00, 4.344E+00, 1.025E+01, 3.025E+01, 5.110E+01, 7.332E+01, 1.098E+02, 8.281E+02, 8.212E+01, 3.202E+01, 3.200E+01, 3.200E+01, 3.200E+01
 9.017E+00, 3.908E+00, 1.034E+01, 3.025E+01, 5.270E+01, 7.945E+01, 1.098E+02, 7.942E+02, 2.118E+02, 3.213E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.002E+01, 5.510E+00, 1.034E+01, 3.025E+01, 5.062E+01, 8.221E+01, 1.097E+02, 7.773E+02, 2.667E+02, 3.243E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.102E+01, 6.971E+00, 1.025E+01, 3.025E+01, 5.039E+01, 7.612E+01, 1.094E+02, 7.636E+02, 5.215E+02, 3.258E+01, 3.200E+01, 3.200E+01, 3.200E+01
 1.201E+01, 7.862E+00, 1.030E+01, 3.025E+01, 5.025E+01, 7.255E+01, 1.096E+02, 7.566E+02, 6.568E+02, 3.303E+01, 3.201E+01, 3.200E+01, 3.200E+01
 1.301E+01, 7.828E+00, 1.054E+01, 3.031E+01, 5.025E+01, 7.125E+01, 1.098E+02, 7.081E+02, 7.591E+02, 3.327E+01, 3.201E+01, 3.200E+01, 3.200E+01
 1.403E+01, 9.247E+00, 1.127E+01, 3.025E+01, 5.025E+01, 7.199E+01, 1.092E+02, 7.275E+02, 8.330E+02, 3.380E+01, 3.204E+01, 3.200E+01, 3.200E+01
 1.500E+01, 9.282E+00, 1.201E+01, 3.025E+01, 5.025E+01, 7.134E+01, 1.098E+02, 6.908E+02, 8.492E+02, 4.031E+01, 3.219E+01, 3.200E+01, 3.200E+01
 1.601E+01, 9.629E+00, 1.319E+01, 3.040E+01, 5.025E+01, 7.120E+01, 1.098E+02, 6.537E+02, 8.478E+02, 4.874E+01, 3.247E+01, 3.200E+01, 3.200E+01
 1.702E+01, 9.750E+00, 1.395E+01, 3.039E+01, 5.136E+01, 7.056E+01, 1.095E+02, 4.542E+02, 8.152E+02, 5.280E+01, 3.257E+01, 3.200E+01, 3.200E+01
 1.801E+01, 9.750E+00, 1.554E+01, 3.025E+01, 5.196E+01, 7.025E+01, 1.098E+02, 2.960E+02, 8.951E+02, 6.106E+01, 3.257E+01, 3.201E+01, 3.200E+01
 1.900E+01, 9.750E+00, 1.748E+01, 3.143E+01, 5.030E+01, 7.025E+01, 1.098E+02, 1.906E+02, 9.361E+02, 6.166E+01, 3.267E+01, 3.203E+01, 3.200E+01
 2.001E+01, 9.750E+00, 1.846E+01, 3.128E+01, 5.085E+01, 7.025E+01, 1.097E+02, 1.354E+02, 9.346E+02, 8.106E+01, 3.269E+01, 3.209E+01, 3.200E+01
 2.101E+01, 8.714E+00, 2.010E+01, 3.025E+01, 5.025E+01, 7.025E+01, 1.097E+02, 1.107E+02, 9.151E+02, 8.015E+01, 3.284E+01, 3.227E+01, 3.200E+01
 2.200E+01, 8.250E+00, 2.226E+01, 3.073E+01, 5.025E+01, 7.038E+01, 1.092E+02, 9.600E+01, 9.376E+02, 6.436E+01, 3.319E+01, 3.244E+01, 3.200E+01
 2.302E+01, 8.250E+00, 2.314E+01, 3.070E+01, 5.025E+01, 7.031E+01, 9.105E+01, 8.524E+01, 9.327E+02, 6.575E+01, 3.357E+01, 3.250E+01, 3.201E+01
 2.401E+01, 9.002E+00, 2.441E+01, 3.025E+01, 5.025E+01, 7.174E+01, 9.025E+01, 7.703E+01, 9.599E+02, 1.187E+02, 3.374E+01, 3.258E+01, 3.202E+01
 2.501E+01, 9.394E+00, 2.567E+01, 3.092E+01, 5.236E+01, 7.535E+01, 9.025E+01, 7.162E+01, 9.603E+02, 1.488E+02, 3.414E+01, 3.257E+01, 3.211E+01
 2.601E+01, 9.727E+00, 2.699E+01, 3.028E+01, 5.107E+01, 7.025E+01, 9.025E+01, 6.801E+01, 9.244E+02, 2.819E+02, 3.450E+01, 3.272E+01, 3.225E+01
 2.702E+01, 9.617E+00, 2.869E+01, 3.027E+01, 5.072E+01, 7.168E+01, 9.025E+01, 6.474E+01, 9.182E+02, 6.212E+02, 3.472E+01, 3.305E+01, 3.237E+01
 2.800E+01, 9.250E+00, 2.943E+01, 3.035E+01, 5.283E+01, 7.375E+01, 9.089E+01, 6.181E+01, 8.763E+02, 8.490E+02, 3.422E+01, 3.299E+01, 3.243E+01
 2.901E+01, 9.250E+00, 2.940E+01, 3.128E+01, 5.163E+01, 7.100E+01, 9.169E+01, 5.928E+01, 8.312E+02, 9.235E+02, 3.400E+01, 3.310E+01, 3.245E+01
 3.002E+01, 9.250E+00, 2.938E+01, 3.315E+01, 5.025E+01, 7.269E+01, 9.404E+01, 5.705E+01, 7.228E+02, 9.547E+02, 3.429E+01, 3.309E+01, 3.248E+01
 3.100E+01, 9.250E+00, 2.970E+01, 3.417E+01, 5.025E+01, 7.298E+01, 9.466E+01, 5.512E+01, 5.840E+02, 8.968E+02, 3.437E+01, 3.302E+01, 3.251E+01
 3.200E+01, 9.250E+00, 2.975E+01, 3.575E+01, 5.025E+01, 7.025E+01, 1.002E+02, 5.341E+01, 3.475E+02, 9.028E+02, 3.444E+01, 3.309E+01, 3.262E+01
 3.300E+01, 9.250E+00, 2.975E+01, 3.649E+01, 5.074E+01, 7.092E+01, 9.100E+01, 5.195E+01, 2.408E+02, 9.304E+02, 3.997E+01, 3.306E+01, 3.268E+01
 3.402E+01, 9.250E+00, 2.975E+01, 3.812E+01, 5.157E+01, 7.128E+01, 9.037E+01, 5.050E+01, 1.950E+02, 9.136E+02, 4.880E+01, 3.306E+01, 3.277E+01
 3.501E+01, 9.250E+00, 2.975E+01, 3.957E+01, 5.025E+01, 7.170E+01, 9.163E+01, 4.906E+01, 1.436E+02, 9.018E+02, 7.720E+01, 3.308E+01, 3.279E+01
 3.600E+01, 9.250E+00, 2.975E+01, 4.081E+01, 5.057E+01, 7.337E+01, 9.831E+01, 4.775E+01, 1.120E+02, 9.358E+02, 1.235E+02, 3.304E+01, 3.275E+01
 3.700E+01, 9.484E+00, 2.975E+01, 4.292E+01, 5.025E+01, 7.025E+01, 1.059E+02, 4.649E+01, 9.714E+01, 9.724E+02, 1.616E+02, 3.304E+01, 3.286E+01
 3.800E+01, 8.878E+00, 2.975E+01, 4.481E+01, 5.065E+01, 7.031E+01, 1.080E+02, 4.558E+01, 8.727E+01, 9.526E+02, 1.587E+02, 3.844E+01, 3.281E+01
 3.902E+01, 1.750E+00, 2.975E+01, 4.641E+01, 5.049E+01, 7.059E+01, 1.067E+02, 4.508E+01, 8.084E+01, 9.374E+02, 3.800E+02, 5.258E+01, 3.270E+01
 4.002E+01, 1.750E+00, 2.975E+01, 4.799E+01, 5.051E+01, 7.194E+01, 9.205E+01, 4.480E+01, 7.543E+01, 9.246E+02, 6.123E+02, 5.075E+01, 3.277E+01
 4.102E+01, 1.750E+00, 2.975E+01, 4.939E+01, 5.035E+01, 7.606E+01, 9.699E+01, 4.455E+01, 7.122E+01, 9.192E+02, 9.013E+02, 4.950E+01, 3.301E+01
 4.202E+01, 1.750E+00, 2.966E+01, 4.965E+01, 5.133E+01, 8.059E+01, 9.641E+01, 4.434E+01, 6.773E+01, 8.095E+02, 9.434E+02, 4.742E+01, 3.323E+01
 4.301E+01, 1.750E+00, 2.968E+01, 4.963E+01, 5.291E+01, 8.510E+01, 9.287E+01, 4.414E+01, 6.518E+01, 7.093E+02, 9.342E+02, 4.585E+01, 3.498E+01
 4.401E+01, 1.750E+00, 2.971E+01, 4.975E+01, 5.423E+01, 8.792E+01, 9.051E+01, 4.394E+01, 6.182E+01, 5.231E+02, 9.347E+02, 4.340E+01, 3.825E+01
 4.502E+01, 1.750E+00, 2.967E+01, 4.975E+01, 5.550E+01, 7.810E+01, 9.073E+01, 4.374E+01, 5.755E+01, 3.469E+02, 8.959E+02, 3.991E+01, 3.893E+01
 4.602E+01, 1.750E+00, 2.933E+01, 4.975E+01, 5.702E+01, 7.069E+01, 9.428E+01, 4.355E+01, 5.524E+01, 2.156E+02, 9.297E+02, 3.867E+01, 3.685E+01
 4.701E+01, 1.750E+00, 2.925E+01, 4.975E+01, 5.848E+01, 7.105E+01, 1.040E+02, 4.336E+01, 5.416E+01, 1.455E+02, 8.841E+02, 3.944E+01, 3.606E+01
 4.802E+01, 1.750E+00, 2.925E+01, 4.975E+01, 5.974E+01, 7.030E+01, 1.071E+02, 4.321E+01, 5.330E+01, 1.108E+02, 9.109E+02, 3.977E+01, 3.549E+01
 4.902E+01, 1.750E+00, 2.803E+01, 4.975E+01, 6.088E+01, 7.066E+01, 9.738E+01, 4.305E+01, 5.208E+01, 9.576E+01, 9.347E+02, 4.225E+01, 3.461E+01
 5.001E+01, 1.750E+00, 2.710E+01, 4.939E+01, 6.274E+01, 7.070E+01, 9.025E+01, 4.291E+01, 5.175E+01, 8.681E+01, 9.031E+02, 6.846E+01, 3.438E+01
 5.101E+01, 1.750E+00, 2.813E+01, 4.975E+01, 6.366E+01, 7.048E+01, 9.025E+01, 4.277E+01, 5.100E+01, 8.209E+01, 9.270E+02, 1.392E+02, 3.430E+01
 5.201E+01, 1.750E+00, 2.925E+01, 4.975E+01, 6.524E+01, 7.069E+01, 9.025E+01, 4.264E+01, 5.065E+01, 7.752E+01, 9.360E+02, 1.291E+02, 3.429E+01
 5.301E+01, 1.750E+00, 2.925E+01, 4.949E+01, 6.665E+01, 7.028E+01, 9.025E+01, 4.251E+01, 4.996E+01, 6.962E+01, 9.184E+02, 2.874E+02, 3.425E+01
 5.402E+01, 1.750E+00, 2.833E+01, 4.958E+01, 6.841E+01, 7.025E+01, 9.025E+01, 4.239E+01, 4.869E+01, 6.597E+01, 9.054E+02, 4.940E+02, 3.420E+01
 5.501E+01, 1.750E+00, 2.841E+01, 4.810E+01, 6.906E+01, 7.032E+01, 9.025E+01, 4.227E+01, 4.807E+01, 6.298E+01, 8.794E+02, 7.566E+02, 3.423E+01
 5.600E+01, 1.750E+00, 2.925E+01, 4.770E+01, 6.966E+01, 7.048E+01, 9.025E+01, 4.216E+01, 4.786E+01, 6.103E+01, 8.601E+02, 9.218E+02, 3.442E+01
 5.702E+01, 1.750E+00, 2.925E+01, 4.864E+01, 6.975E+01, 7.151E+01, 9.170E+01, 4.207E+01, 4.748E+01, 5.989E+01, 7.421E+02, 9.352E+02, 3.615E+01
 5.801E+01, 1.750E+00, 2.925E+01, 4.835E+01, 6.965E+01, 7.297E+01, 9.075E+01, 4.197E+01, 4.701E+01, 5.893E+01, 6.812E+02, 9.062E+02, 3.720E+01
 5.901E+01, 1.750E+00, 2.925E+01, 4.852E+01, 6.975E+01, 7.469E+01, 9.025E+01, 4.188E+01, 4.675E+01, 5.782E+01, 5.813E+02, 9.003E+02, 4.115E+01
 6.002E+01, 1.750E+00, 2.925E+01, 4.875E+01, 6.975E+01, 7.615E+01, 9.556E+01, 4.177E+01, 4.646E+01, 5.722E+01, 4.084E+02, 8.755E+02, 4.591E+01
