s, m
Time, Front
0.000000, -9.750000
1.018000, 2.518000
2.037000, 0.788500
3.006000, 1.107000
4.022000, 1.518000
5.031000, 2.160000
6.011000, 2.250000
7.007000, 2.570000
8.022000, 3.541000
9.001000, 4.019000
10.010000, 5.531000
11.030000, 5.592000
12.010000, 6.666000
13.000000, 7.820000
14.010000, 9.052000
15.010000, 10.740000
16.010000, 11.260000
17.010000, 12.350000
18.010000, 12.930000
19.010000, 14.500000
20.000000, 15.790000
21.000000, 17.370000
22.010000, 18.990000
23.000000, 19.550000
24.010000, 21.700000
25.010000, 23.330000
26.010000, 24.820000
27.020000, 25.860000
28.010000, 26.110000
29.000000, 27.930000
30.000000, 29.420000
31.020000, 30.580000
32.010000, 32.270000
33.010000, 32.810000
34.010000, 34.730000
35.010000, 35.680000
36.000000, 37.070000
37.010000, 38.410000
38.020000, 39.810000
39.020000, 40.890000
40.020000, 42.240000
41.010000, 43.490000
42.020000, 45.170000
43.010000, 46.120000
44.020000, 47.750000
45.020000, 49.080000
46.010000, 50.850000
47.000000, 51.650000
48.000000, 53.630000
49.020000, 54.110000
50.020000, 55.720000
51.030000, 57.020000
52.000000, 58.190000
53.000000, 59.550000
54.020000, 60.740000
55.030000, 62.270000
56.020000, 63.840000
57.020000, 65.160000
58.030000, 67.160000
59.000000, 68.540000
60.020000, 70.540000
61.020000, 71.560000
62.010000, 72.120000
63.020000, 73.930000
64.030000, 75.170000
65.010000, 76.480000
66.010000, 78.140000
67.010000, 79.440000
68.030000, 80.440000
69.010000, 82.050000
70.030000, 83.660000
71.010000, 84.800000
72.020000, 85.370000
73.010000, 87.030000
74.030000, 87.440000
75.020000, 88.470000
76.000000, 89.600000
77.030000, 91.290000
78.000000, 92.350000
79.000000, 93.170000
80.010000, 94.120000
81.020000, 95.360000
82.010000, 95.270000
83.020000, 96.760000
84.030000, 97.260000
85.010000, 98.040000
86.000000, 98.000000
87.030000, 98.290000
88.000000, 98.720000
89.020000, 98.740000
90.020000, 99.700000
91.000000, 99.720000
92.000000, 99.570000
93.030000, 99.570000
94.000000, 99.600000
95.010000, 100.800000
96.020000, 101.500000
97.020000, 100.500000
98.030000, 99.800000
99.020000, 99.420000
100.000000, 97.440000
101.000000, 97.750000
102.000000, 99.430000
103.000000, 99.940000
104.000000, 99.390000
105.000000, 98.250000
106.000000, 98.250000
107.000000, 98.250000
108.000000, 98.250000
109.000000, 98.250000
110.000000, 96.890000
111.000000, 97.540000
112.000000, 98.040000
113.000000, 97.670000
114.000000, 97.150000
115.000000, 96.630000
116.000000, 97.200000
117.000000, 97.750000
118.000000, 98.010000
119.000000, 97.770000
120.000000, 97.750000
