s, m
Time, Front
0.000000, -9.875000
1.041000, 1.394000
2.012000, 0.587500
3.020000, 0.877300
4.007000, 0.921300
5.004000, 0.834500
6.019000, 1.030000
7.003000, 1.227000
8.009000, 1.849000
9.007000, 3.715000
10.020000, 5.024000
11.010000, 5.815000
12.010000, 6.598000
13.000000, 7.663000
14.000000, 8.307000
15.010000, 9.371000
16.010000, 10.630000
17.000000, 11.140000
18.010000, 12.110000
19.000000, 12.660000
20.010000, 13.140000
21.000000, 14.720000
22.010000, 15.200000
23.000000, 15.490000
24.000000, 16.560000
25.010000, 17.610000
26.010000, 18.430000
27.000000, 18.450000
28.010000, 19.660000
29.010000, 21.050000
30.000000, 21.970000
31.010000, 22.480000
32.000000, 23.180000
33.000000, 24.120000
34.010000, 24.730000
35.000000, 25.520000
36.010000, 25.760000
37.000000, 27.130000
38.000000, 27.930000
39.010000, 28.130000
40.010000, 29.340000
41.010000, 30.340000
42.000000, 31.040000
43.020000, 32.180000
44.010000, 32.580000
45.010000, 34.150000
46.010000, 34.760000
47.000000, 35.180000
48.010000, 36.240000
49.000000, 37.660000
50.010000, 38.220000
51.000000, 39.240000
52.000000, 40.240000
53.000000, 40.950000
54.010000, 41.720000
55.010000, 42.320000
56.000000, 43.300000
57.000000, 43.920000
58.010000, 44.820000
59.000000, 45.800000
60.000000, 46.520000
61.000000, 47.890000
62.010000, 48.890000
63.010000, 49.200000
64.000000, 50.490000
65.000000, 51.120000
66.010000, 52.080000
67.010000, 52.660000
68.000000, 54.170000
69.000000, 54.920000
70.000000, 55.520000
71.010000, 56.630000
72.000000, 57.680000
73.010000, 58.350000
74.010000, 59.320000
75.010000, 59.850000
76.000000, 60.110000
77.000000, 61.190000
78.000000, 61.910000
79.010000, 62.800000
80.000000, 63.710000
81.000000, 64.300000
82.010000, 65.330000
83.010000, 65.400000
84.010000, 67.120000
85.000000, 67.910000
86.000000, 68.820000
87.010000, 69.740000
88.010000, 70.960000
89.010000, 71.280000
90.010000, 71.860000
91.000000, 73.250000
92.010000, 74.010000
93.010000, 75.050000
94.010000, 75.770000
95.010000, 77.020000
96.000000, 77.640000
97.000000, 78.500000
98.000000, 79.160000
99.010000, 80.020000
100.000000, 80.590000
101.000000, 81.160000
102.000000, 82.220000
103.000000, 83.470000
104.000000, 84.340000
105.000000, 84.970000
106.000000, 85.400000
107.000000, 85.800000
108.000000, 87.340000
109.000000, 87.860000
110.000000, 88.480000
111.000000, 88.880000
112.000000, 89.390000
113.000000, 90.210000
114.000000, 90.710000
115.000000, 90.930000
116.000000, 91.390000
117.000000, 91.810000
118.000000, 91.910000
119.000000, 92.760000
120.000000, 93.010000
