s, m
Time, Front
0.000000, -9.750000
1.044000, 2.745000
2.014000, 1.000000
3.014000, 1.223000
4.033000, 1.975000
5.041000, 2.351000
6.041000, 2.682000
7.020000, 3.006000
8.023000, 3.692000
9.003000, 4.041000
10.010000, 5.729000
11.020000, 8.487000
12.010000, 10.410000
13.000000, 11.040000
14.010000, 12.270000
15.000000, 12.630000
16.030000, 14.390000
17.020000, 15.710000
18.000000, 18.470000
19.010000, 18.980000
20.020000, 21.560000
21.020000, 23.390000
22.010000, 24.650000
23.000000, 25.950000
24.020000, 28.600000
25.010000, 30.400000
26.020000, 31.550000
27.020000, 32.890000
28.010000, 34.990000
29.020000, 37.420000
30.000000, 39.170000
31.020000, 40.400000
32.020000, 42.540000
33.010000, 43.960000
34.020000, 45.720000
35.010000, 47.660000
36.000000, 48.770000
37.010000, 51.260000
38.000000, 52.980000
39.000000, 54.370000
40.010000, 55.910000
41.020000, 57.450000
42.020000, 59.570000
43.010000, 60.420000
44.020000, 62.320000
45.010000, 64.420000
46.010000, 66.070000
47.020000, 67.660000
48.000000, 69.350000
49.010000, 72.170000
50.020000, 73.790000
51.010000, 75.460000
52.010000, 76.520000
53.010000, 78.900000
54.020000, 80.760000
55.020000, 81.500000
56.010000, 83.490000
57.020000, 84.560000
58.000000, 85.710000
59.000000, 87.280000
60.010000, 88.380000
61.020000, 89.110000
62.020000, 91.610000
63.020000, 92.960000
64.020000, 92.970000
65.010000, 94.150000
66.010000, 95.240000
67.000000, 96.440000
68.020000, 96.700000
69.020000, 97.860000
70.020000, 98.540000
71.000000, 98.860000
72.010000, 99.450000
73.020000, 99.580000
74.000000, 99.090000
75.020000, 98.750000
76.000000, 98.750000
77.020000, 98.770000
78.000000, 99.150000
79.010000, 98.280000
80.020000, 97.750000
81.010000, 97.970000
82.010000, 99.180000
83.010000, 98.130000
84.010000, 98.030000
85.000000, 89.330000
86.020000, 90.510000
87.020000, 91.550000
88.020000, 91.810000
89.000000, 93.780000
90.000000, 96.900000
91.030000, 96.070000
92.020000, 96.560000
93.010000, 97.190000
94.000000, 97.090000
95.020000, 96.160000
96.030000, 95.750000
97.020000, 95.930000
98.000000, 96.250000
99.020000, 96.650000
100.000000, 97.450000
101.000000, 97.440000
102.000000, 97.750000
103.000000, 97.750000
104.000000, 97.850000
105.000000, 97.600000
106.000000, 96.750000
107.000000, 96.750000
108.000000, 96.750000
109.000000, 97.040000
110.000000, 98.030000
111.000000, 97.850000
112.000000, 97.750000
113.000000, 97.560000
114.000000, 97.750000
115.000000, 94.410000
116.000000, 96.070000
117.000000, 97.480000
118.000000, 93.740000
119.000000, 94.720000
120.000000, 96.650000
