s,m,m,m,m,m,m,C,C,C,C,C,C
Time,"x1","x2","x3","x4","x5","x6","T1","T2","T3","T4","T5","T6"
 0.000E+00, 2.500E-01, 2.025E+01, 6.025E+01, 1.002E+02, 1.402E+02, 1.802E+02, 3.434E+01, 3.434E+01, 3.434E+01, 3.434E+01, 3.434E+01, 3.434E+01
 1.047E+00, 4.515E+00, 2.431E+01, 6.513E+01, 1.048E+02, 1.435E+02, 1.815E+02, 7.016E+01, 3.432E+01, 3.433E+01, 3.433E+01, 3.433E+01, 3.432E+01
 2.033E+00, 7.813E-01, 2.419E+01, 6.175E+01, 1.018E+02, 1.418E+02, 1.813E+02, 3.562E+02, 3.430E+01, 3.430E+01, 3.430E+01, 3.430E+01, 3.430E+01
 3.043E+00, 1.421E+00, 2.765E+01, 6.175E+01, 1.018E+02, 1.418E+02, 1.812E+02, 4.841E+02, 3.428E+01, 3.429E+01, 3.429E+01, 3.429E+01, 3.429E+01
 4.040E+00, 1.540E+00, 3.094E+01, 6.219E+01, 1.023E+02, 1.422E+02, 1.812E+02, 6.544E+02, 3.427E+01, 3.427E+01, 3.427E+01, 3.427E+01, 3.428E+01
 5.044E+00, 1.821E+00, 3.436E+01, 6.456E+01, 1.042E+02, 1.447E+02, 1.812E+02, 7.918E+02, 3.426E+01, 3.426E+01, 3.426E+01, 3.426E+01, 3.427E+01
 6.004E+00, 2.158E+00, 2.553E+01, 7.294E+01, 1.129E+02, 1.792E+02, 1.812E+02, 8.956E+02, 3.427E+01, 3.425E+01, 3.425E+01, 3.425E+01, 3.426E+01
 7.015E+00, 2.296E+00, 2.025E+01, 8.257E+01, 1.211E+02, 1.792E+02, 1.812E+02, 9.460E+02, 3.465E+01, 3.424E+01, 3.424E+01, 3.425E+01, 3.425E+01
 8.029E+00, 2.537E+00, 2.025E+01, 9.925E+01, 1.392E+02, 1.792E+02, 1.812E+02, 9.572E+02, 3.565E+01, 3.424E+01, 3.424E+01, 3.424E+01, 3.425E+01
 9.025E+00, 2.594E+00, 2.025E+01, 9.925E+01, 1.393E+02, 1.793E+02, 1.812E+02, 9.641E+02, 3.795E+01, 3.423E+01, 3.423E+01, 3.423E+01, 3.424E+01
 1.000E+01, 2.568E+00, 2.028E+01, 9.344E+01, 1.392E+02, 1.792E+02, 1.812E+02, 9.725E+02, 6.709E+01, 3.423E+01, 3.423E+01, 3.423E+01, 3.424E+01
 1.100E+01, 2.545E+00, 2.239E+01, 6.025E+01, 1.392E+02, 1.793E+02, 1.812E+02, 9.887E+02, 7.513E+01, 3.423E+01, 3.422E+01, 3.422E+01, 3.423E+01
 1.200E+01, 2.433E+00, 2.157E+01, 6.025E+01, 1.393E+02, 1.797E+02, 1.813E+02, 1.005E+03, 7.843E+01, 3.423E+01, 3.422E+01, 3.422E+01, 3.423E+01
 1.300E+01, 2.475E+00, 2.100E+01, 6.025E+01, 1.392E+02, 1.798E+02, 1.812E+02, 1.014E+03, 2.127E+02, 3.423E+01, 3.422E+01, 3.422E+01, 3.423E+01
 1.401E+01, 3.984E+00, 2.105E+01, 6.025E+01, 1.393E+02, 1.798E+02, 1.812E+02, 1.021E+03, 2.655E+02, 3.424E+01, 3.421E+01, 3.421E+01, 3.422E+01
 1.500E+01, 8.736E+00, 2.096E+01, 6.025E+01, 1.061E+02, 1.798E+02, 1.812E+02, 9.838E+02, 5.247E+02, 3.425E+01, 3.421E+01, 3.421E+01, 3.422E+01
 1.602E+01, 1.690E+01, 2.091E+01, 6.025E+01, 1.007E+02, 1.713E+02, 1.812E+02, 9.538E+02, 5.456E+02, 3.427E+01, 3.421E+01, 3.421E+01, 3.421E+01
 1.701E+01, 1.772E+01, 2.109E+01, 6.025E+01, 1.008E+02, 1.408E+02, 1.812E+02, 9.433E+02, 8.329E+02, 3.439E+01, 3.420E+01, 3.420E+01, 3.421E+01
 1.800E+01, 1.871E+01, 2.206E+01, 6.025E+01, 1.007E+02, 1.408E+02, 1.812E+02, 8.211E+02, 9.974E+02, 3.488E+01, 3.420E+01, 3.420E+01, 3.421E+01
 1.900E+01, 1.934E+01, 2.366E+01, 6.147E+01, 1.005E+02, 1.413E+02, 1.813E+02, 8.179E+02, 9.701E+02, 3.497E+01, 3.420E+01, 3.420E+01, 3.421E+01
 2.001E+01, 1.688E+01, 2.568E+01, 6.114E+01, 1.003E+02, 1.412E+02, 1.813E+02, 7.176E+02, 1.013E+03, 3.501E+01, 3.420E+01, 3.420E+01, 3.420E+01
 2.100E+01, 4.401E+00, 2.771E+01, 6.025E+01, 1.003E+02, 1.413E+02, 1.813E+02, 6.070E+02, 1.016E+03, 3.547E+01, 3.421E+01, 3.420E+01, 3.420E+01
 2.201E+01, 4.586E+00, 3.005E+01, 6.058E+01, 1.003E+02, 1.412E+02, 1.813E+02, 4.866E+02, 9.678E+02, 3.651E+01, 3.421E+01, 3.419E+01, 3.420E+01
 2.301E+01, 4.750E+00, 3.207E+01, 6.240E+01, 1.003E+02, 1.413E+02, 1.980E+02, 3.706E+02, 1.003E+03, 3.668E+01, 3.422E+01, 3.419E+01, 3.419E+01
 2.400E+01, 5.058E+00, 3.403E+01, 6.332E+01, 1.003E+02, 1.410E+02, 2.032E+02, 2.784E+02, 9.524E+02, 3.663E+01, 3.424E+01, 3.419E+01, 3.419E+01
 2.501E+01, 5.250E+00, 3.521E+01, 6.025E+01, 1.003E+02, 1.408E+02, 2.033E+02, 2.162E+02, 9.817E+02, 3.886E+01, 3.425E+01, 3.419E+01, 3.419E+01
 2.601E+01, 5.722E+00, 3.670E+01, 6.025E+01, 1.003E+02, 1.407E+02, 2.033E+02, 1.724E+02, 9.987E+02, 4.295E+01, 3.427E+01, 3.419E+01, 3.419E+01
 2.701E+01, 5.750E+00, 3.849E+01, 6.122E+01, 1.002E+02, 1.407E+02, 2.038E+02, 1.428E+02, 1.007E+03, 4.478E+01, 3.429E+01, 3.419E+01, 3.419E+01
 2.801E+01, 6.196E+00, 4.070E+01, 6.115E+01, 1.002E+02, 1.408E+02, 2.040E+02, 1.210E+02, 9.482E+02, 5.407E+01, 3.432E+01, 3.419E+01, 3.419E+01
 2.901E+01, 6.250E+00, 4.257E+01, 6.116E+01, 1.002E+02, 1.408E+02, 2.040E+02, 1.058E+02, 9.757E+02, 8.277E+01, 3.435E+01, 3.419E+01, 3.419E+01
 3.001E+01, 6.471E+00, 4.358E+01, 6.568E+01, 1.003E+02, 1.408E+02, 2.039E+02, 9.439E+01, 9.637E+02, 7.933E+01, 3.437E+01, 3.419E+01, 3.418E+01
 3.100E+01, 6.750E+00, 4.570E+01, 6.418E+01, 1.003E+02, 1.408E+02, 2.040E+02, 8.588E+01, 9.980E+02, 7.141E+01, 3.442E+01, 3.419E+01, 3.418E+01
 3.202E+01, 7.063E+00, 4.751E+01, 6.154E+01, 1.003E+02, 1.408E+02, 2.043E+02, 7.881E+01, 9.693E+02, 7.736E+01, 3.445E+01, 3.419E+01, 3.418E+01
 3.301E+01, 7.627E+00, 4.892E+01, 6.073E+01, 1.003E+02, 1.407E+02, 2.045E+02, 7.319E+01, 9.754E+02, 1.116E+02, 3.448E+01, 3.420E+01, 3.418E+01
 3.401E+01, 1.197E+01, 5.140E+01, 6.143E+01, 1.003E+02, 1.408E+02, 2.053E+02, 6.947E+01, 9.436E+02, 1.187E+02, 3.451E+01, 3.420E+01, 3.418E+01
 3.501E+01, 1.302E+01, 5.321E+01, 6.153E+01, 1.003E+02, 1.408E+02, 2.057E+02, 6.719E+01, 9.543E+02, 2.119E+02, 3.491E+01, 3.420E+01, 3.418E+01
 3.600E+01, 1.437E+01, 5.444E+01, 6.191E+01, 1.004E+02, 1.408E+02, 1.947E+02, 6.539E+01, 9.654E+02, 2.496E+02, 3.519E+01, 3.421E+01, 3.418E+01
 3.701E+01, 1.691E+01, 5.652E+01, 6.089E+01, 1.003E+02, 1.407E+02, 1.807E+02, 6.429E+01, 9.958E+02, 4.359E+02, 3.631E+01, 3.422E+01, 3.418E+01
 3.800E+01, 1.718E+01, 5.832E+01, 6.095E+01, 1.002E+02, 1.407E+02, 1.807E+02, 6.354E+01, 9.613E+02, 7.179E+02, 3.842E+01, 3.423E+01, 3.418E+01
 3.900E+01, 1.714E+01, 5.949E+01, 6.049E+01, 1.004E+02, 1.407E+02, 1.808E+02, 6.297E+01, 9.806E+02, 9.497E+02, 4.891E+01, 3.424E+01, 3.418E+01
