s,m/s,
Time,Ub,FORCE X
 0.0000000E+000,-5.6920614E-021,-6.2000000E-001
 1.2622625E-002, 9.1183602E-003,-6.1908816E-001
 2.5245250E-002, 3.0304347E-002,-6.1696957E-001
 3.5786303E-002, 6.3035563E-002,-6.1369644E-001
 4.2177013E-002, 9.1918988E-002,-6.1080810E-001
 5.1483826E-002, 1.3596107E-001,-6.0472834E-001
 6.0221073E-002, 2.0797197E-001,-5.9604418E-001
 7.0464223E-002, 3.2380689E-001,-5.8124421E-001
 8.0013560E-002, 4.9578457E-001,-5.6137094E-001
 9.0500647E-002, 7.4429188E-001,-5.3084078E-001
 1.0014723E-001, 1.0872507E+000,-4.9268013E-001
 1.1038788E-001, 1.5396861E+000,-4.3977941E-001
 1.2007513E-001, 2.1196761E+000,-3.7680701E-001
 1.3008449E-001, 2.8263589E+000,-2.9811617E-001
 1.4005156E-001, 3.6586628E+000,-2.1228559E-001
 1.5010650E-001, 4.5063009E+000,-1.2818895E-001
 1.6009142E-001, 5.3474357E+000,-4.4036889E-002
 1.7005226E-001, 6.1439257E+000, 3.0450417E-002
 1.8008905E-001, 6.8064316E+000, 8.6433972E-002
 1.9004191E-001, 7.2413381E+000, 1.1763280E-001
 2.0004574E-001, 7.4770139E+000, 1.3550641E-001
 2.1006995E-001, 7.5794139E+000, 1.3571696E-001
 2.2006039E-001, 7.4230002E+000, 1.1153093E-001
 2.3006867E-001, 7.2547413E+000, 1.0429542E-001
 2.4000206E-001, 7.1943766E+000, 8.9508453E-002
 2.5008555E-001, 6.9577330E+000, 5.8792581E-002
 2.6010536E-001, 6.6628891E+000, 3.3642878E-002
 2.7002964E-001, 6.3359137E+000,-5.6882891E-003
 2.8013022E-001, 5.9419882E+000,-4.3956339E-002
 2.9012457E-001, 5.6195244E+000,-6.8900242E-002
 3.0001280E-001, 5.4549376E+000,-7.5988443E-002
 3.1004030E-001, 5.4468720E+000,-7.6404158E-002
 3.2009190E-001, 5.4134735E+000,-7.9535400E-002
 3.3006366E-001, 5.4774915E+000,-6.3429571E-002
 3.4007162E-001, 5.6406876E+000,-4.8508319E-002
 3.5011410E-001, 5.8120840E+000,-2.6684735E-002
 3.6009363E-001, 6.0067762E+000,-1.6102402E-002
 3.7005047E-001, 6.0932065E+000,-9.0734896E-004
 3.8002635E-001, 6.2926037E+000, 1.7079764E-002
 3.9001204E-001, 6.4114703E+000, 2.5273275E-002
 4.0004395E-001, 6.4548442E+000, 2.6765166E-002
 4.1010423E-001, 6.5054108E+000, 3.0244083E-002
 4.2006700E-001, 6.4486592E+000, 1.8637655E-002
 4.3011447E-001, 6.3016432E+000, 1.5788423E-003
 4.4006143E-001, 6.1984847E+000, 7.3625113E-004
 4.5004454E-001, 6.2452232E+000, 5.3652761E-003
 4.6011547E-001, 6.2579632E+000, 5.8670168E-003
 4.7000702E-001, 6.2906791E+000, 1.4297573E-002
 4.8005131E-001, 6.4069552E+000, 2.4363726E-002
 4.9001292E-001, 6.3917497E+000, 1.0443225E-002
 5.0009752E-001, 6.1973330E+000,-9.3399615E-003
 5.1006296E-001, 6.0243776E+000,-2.5167818E-002
 5.2003651E-001, 5.9752129E+000,-1.8995611E-002
 5.3009100E-001, 6.0033550E+000,-2.0670833E-002
 5.4001020E-001, 6.0049340E+000,-1.6998427E-002
 5.5003803E-001, 6.0489752E+000,-1.3107597E-002
 5.6002372E-001, 6.0840836E+000,-1.2822187E-002
 5.7007541E-001, 6.0682036E+000,-9.2134096E-003
 5.8012143E-001, 6.1711086E+000, 6.2155665E-004
 5.9000194E-001, 6.1895413E+000,-1.4425479E-003
 6.0005190E-001, 6.1840945E+000,-8.1815185E-004
 6.1009899E-001, 6.2465744E+000, 1.2046800E-002
 6.2008748E-001, 6.3214351E+000, 7.3501858E-003
 6.3003329E-001, 6.1792890E+000,-7.5177311E-003
 6.4008961E-001, 6.1787142E+000, 5.0842485E-003
 6.5003542E-001, 6.3232710E+000, 1.8449281E-002
 6.6005432E-001, 6.3763132E+000, 1.5857254E-002
 6.7006135E-001, 6.3482521E+000, 1.3123521E-002
 6.8000323E-001, 6.3145953E+000, 8.4671067E-003
 6.9002088E-001, 6.2051003E+000,-1.1142167E-002
 7.0009266E-001, 5.9727230E+000,-3.3214769E-002
 7.1004029E-001, 5.8697917E+000,-2.9844214E-002
 7.2005047E-001, 5.9646713E+000,-1.5231600E-002
 7.3007425E-001, 6.0740962E+000,-1.5124689E-002
 7.4001793E-001, 6.0843033E+000,-2.4609716E-003
 7.5005715E-001, 6.2659947E+000, 1.6695116E-002
 7.6008401E-001, 6.4291508E+000, 2.6876668E-002
 7.7008961E-001, 6.4473974E+000, 2.2024773E-002
 7.8010321E-001, 6.4079273E+000, 2.3328661E-002
 7.9001623E-001, 6.4355060E+000, 2.1842481E-002
 8.0004452E-001, 6.3949606E+000, 1.9282912E-002
 8.1001686E-001, 6.3410992E+000, 4.6230946E-003
 8.2001673E-001, 6.1677785E+000,-1.0101221E-002
 8.3005472E-001, 6.0120256E+000,-2.5333434E-002
 8.4006523E-001, 5.8998604E+000,-3.2028813E-002
 8.5009129E-001, 5.8531337E+000,-3.9772243E-002
 8.6008752E-001, 5.7624429E+000,-4.2565892E-002
 8.7002032E-001, 5.8627931E+000,-2.5681382E-002
 8.8001098E-001, 6.0778604E+000, 2.4067268E-003
 8.9006984E-001, 6.2907899E+000, 1.3757386E-002
 9.0001104E-001, 6.3370151E+000, 1.3150845E-002
 9.1012378E-001, 6.3932022E+000, 2.7078121E-002
 9.2000413E-001, 6.5095216E+000, 3.2581574E-002
 9.3004847E-001, 6.5172495E+000, 3.1900385E-002
 9.4003386E-001, 6.5077303E+000, 2.4278005E-002
 9.5007275E-001, 6.2494618E+000,-1.2687120E-002
 9.6007641E-001, 5.9299577E+000,-4.1124108E-002
 9.7003163E-001, 5.6933755E+000,-5.6074060E-002
 9.8003951E-001, 5.6564600E+000,-4.8252972E-002
 9.9006972E-001, 5.8478061E+000,-2.2155029E-002
 1.0000468E+000, 6.0698857E+000,-4.0526205E-003
 1.0100317E+000, 6.2243583E+000, 6.4743373E-003
 1.0200080E+000, 6.3047573E+000, 1.5786835E-002
