m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
u_strm_bot-x,u_strm_bot,u_strm_rib-x,u_strm_rib,urms_strm_bot-x,urms_strm_bot,urms_strm_rib-x,urms_strm_rib,u_prof_rib-z,u_prof_rib,urms_prof_rib-z,urms_prof_rib
-1.2500000E-001,-2.3512570E-001,-1.5000000E-002, 8.0509880E+000,-1.2500000E-001, 1.0533786E+000,-1.5000000E-002, 1.4407861E+000, 3.0000000E-002, 7.8789128E+000, 3.0000000E-002, 1.6432831E+000
-1.2000000E-001,-2.3512570E-001,-1.0000000E-002, 8.5479651E+000,-1.2000000E-001, 1.0533786E+000,-1.0000000E-002, 1.6092453E+000, 3.5000000E-002, 7.8789128E+000, 3.5000000E-002, 1.6432831E+000
-1.1500000E-001,-7.6716152E-002,-5.0000000E-003, 8.2134390E+000,-1.1500000E-001, 1.0701642E+000,-5.0000000E-003, 1.5922551E+000, 4.0000000E-002, 9.0518564E+000, 4.0000000E-002, 1.4041399E+000
-1.1000000E-001, 8.1693396E-002, 0.0000000E+000, 7.8789128E+000,-1.1000000E-001, 1.1259945E+000, 0.0000000E+000, 1.6432831E+000, 4.5000000E-002, 1.0224800E+001, 4.5000000E-002, 1.3692106E+000
-1.0500000E-001, 1.5283908E-001, 5.0000000E-003, 7.7701791E+000,-1.0500000E-001, 1.1202507E+000, 5.0000000E-003, 1.6048805E+000, 5.0000000E-002, 1.0355806E+001, 5.0000000E-002, 1.0995137E+000
-1.0000000E-001, 2.2398477E-001, 1.0000000E-002, 7.6614453E+000,-1.0000000E-001, 1.1478664E+000, 1.0000000E-002, 1.6342154E+000, 5.5000000E-002, 1.0486812E+001, 5.5000000E-002, 1.0914401E+000
-9.5000000E-002, 3.3969457E-001, 1.5000000E-002, 6.7404704E+000,-9.5000000E-002, 1.1345486E+000, 1.5000000E-002, 1.4533315E+000, 6.0000000E-002, 1.0471101E+001, 6.0000000E-002, 9.6227112E-001
-9.0000000E-002, 4.5540436E-001,NaN,NaN,-9.0000000E-002, 1.1563943E+000,NaN,NaN, 6.5000000E-002, 1.0455389E+001, 6.5000000E-002, 1.0674483E+000
-8.5000000E-002, 5.2940802E-001,NaN,NaN,-8.5000000E-002, 1.1497733E+000,NaN,NaN, 7.0000000E-002, 1.0260067E+001, 7.0000000E-002, 1.0256085E+000
-8.0000000E-002, 6.0341169E-001,NaN,NaN,-8.0000000E-002, 1.1785183E+000,NaN,NaN, 7.5000000E-002, 1.0064746E+001, 7.5000000E-002, 1.1685252E+000
-7.5000000E-002, 6.2537446E-001,NaN,NaN,-7.5000000E-002, 1.1556442E+000,NaN,NaN, 8.0000000E-002, 9.7982815E+000, 8.0000000E-002, 1.1397534E+000
-7.0000000E-002, 6.4733723E-001,NaN,NaN,-7.0000000E-002, 1.1774517E+000,NaN,NaN, 8.5000000E-002, 9.5318174E+000, 8.5000000E-002, 1.2595743E+000
-6.5000000E-002, 6.4993140E-001,NaN,NaN,-6.5000000E-002, 1.1608612E+000,NaN,NaN, 9.0000000E-002, 9.0780611E+000, 9.0000000E-002, 1.1737209E+000
-6.0000000E-002, 6.5252558E-001,NaN,NaN,-6.0000000E-002, 1.1999797E+000,NaN,NaN, 9.5000000E-002, 8.6243047E+000, 9.5000000E-002, 1.2489575E+000
-5.5000000E-002, 5.2444851E-001,NaN,NaN,-5.5000000E-002, 1.1480156E+000,NaN,NaN, 1.0000000E-001, 0.0000000E+000, 1.0000000E-001, 0.0000000E+000
-5.0000000E-002, 3.9637145E-001,NaN,NaN,-5.0000000E-002, 1.1638034E+000,NaN,NaN,NaN,NaN,NaN,NaN
-4.5000000E-002, 2.5676174E-001,NaN,NaN,-4.5000000E-002, 1.1275660E+000,NaN,NaN,NaN,NaN,NaN,NaN
