m,kW/m2,W/m2/K,C,C,kg/m/s,m2/s,kg/m3,m,C,m/s
x,q_wall,h_wall,T_wall,T_gas,mu_wall,nu_wall,rho_wall,z,Tz,Uz
 5.0000000E-002,-1.3372914E-001, 2.0271700E+002, 2.1000000E+001, 2.0340316E+001, 1.0000000E-003, 8.3463062E-004, 1.1981348E+000, 0.0000000E+000, 2.1000000E+001, 0.0000000E+000
 1.5000000E-001,-4.7554991E-002, 1.7475233E+002, 2.1000000E+001, 2.0727872E+001, 1.0000000E-003, 8.3573276E-004, 1.1965548E+000, 2.0408163E-002, 2.0865353E+001, 1.1875818E-001
 2.5000000E-001,-3.0161085E-002, 1.6354351E+002, 2.1000000E+001, 2.0815578E+001, 1.0000000E-003, 8.3598217E-004, 1.1961978E+000, 4.0816327E-002, 2.0731393E+001, 2.3763458E-001
 3.5000000E-001,-2.5413340E-002, 1.6200899E+002, 2.1000000E+001, 2.0843136E+001, 1.0000000E-003, 8.3606055E-004, 1.1960856E+000, 6.1224490E-002, 2.0600417E+001, 3.5538428E-001
 4.5000000E-001,-2.1880757E-002, 1.6120532E+002, 2.1000000E+001, 2.0864268E+001, 1.0000000E-003, 8.3612064E-004, 1.1959997E+000, 8.1632653E-002, 2.0475235E+001, 4.7039126E-001
 5.5000000E-001,-2.0035581E-002, 1.6089651E+002, 2.1000000E+001, 2.0875475E+001, 1.0000000E-003, 8.3615251E-004, 1.1959541E+000, 1.0204082E-001, 2.0361153E+001, 5.7955666E-001
 6.5000000E-001,-1.8433070E-002, 1.6068331E+002, 2.1000000E+001, 2.0885283E+001, 1.0000000E-003, 8.3618040E-004, 1.1959142E+000, 1.2244898E-001, 2.0261088E+001, 6.8070484E-001
 7.5000000E-001,-1.7169963E-002, 1.6054477E+002, 2.1000000E+001, 2.0893052E+001, 1.0000000E-003, 8.3620250E-004, 1.1958826E+000, 1.4285714E-001, 2.0178032E+001, 7.7131959E-001
 8.5000000E-001,-1.6019828E-002, 1.6043789E+002, 2.1000000E+001, 2.0900149E+001, 1.0000000E-003, 8.3622268E-004, 1.1958537E+000, 1.6326531E-001, 2.0114943E+001, 8.4809934E-001
 9.5000000E-001,-1.5169077E-002, 1.6036928E+002, 2.1000000E+001, 2.0905412E+001, 1.0000000E-003, 8.3623765E-004, 1.1958323E+000, 1.8367347E-001, 2.0068922E+001, 9.1134734E-001
 1.0500000E+000,-1.4524477E-002, 1.6032266E+002, 2.1000000E+001, 2.0909405E+001, 1.0000000E-003, 8.3624900E-004, 1.1958161E+000, 2.0408163E-001, 2.0038627E+001, 9.6003952E-001
 1.1500000E+000,-1.3802578E-002, 1.6027551E+002, 2.1000000E+001, 2.0913882E+001, 1.0000000E-003, 8.3626173E-004, 1.1957979E+000, 2.2448980E-001, 2.0020279E+001, 9.9513522E-001
 1.2498750E+000,-1.3308201E-002, 1.6024610E+002, 2.1000000E+001, 2.0916951E+001, 1.0000000E-003, 8.3627046E-004, 1.1957854E+000, 2.4489796E-001, 2.0009678E+001, 1.0192699E+000
 1.3500000E+000,-1.2801816E-002, 1.6021825E+002, 2.1000000E+001, 2.0920098E+001, 1.0000000E-003, 8.3627941E-004, 1.1957726E+000, 2.6530612E-001, 2.0004412E+001, 1.0336515E+000
 1.4500000E+000,-1.2347724E-002, 1.6019514E+002, 2.1000000E+001, 2.0922921E+001, 1.0000000E-003, 8.3628744E-004, 1.1957611E+000, 2.8571429E-001, 2.0001847E+001, 1.0413734E+000
 1.5500000E+000,-1.1937602E-002, 1.6017571E+002, 2.1000000E+001, 2.0925472E+001, 1.0000000E-003, 8.3629469E-004, 1.1957507E+000, 3.0612245E-001, 2.0000694E+001, 1.0445102E+000
 1.6500000E+000,-1.1564894E-002, 1.6015920E+002, 2.1000000E+001, 2.0927791E+001, 1.0000000E-003, 8.3630129E-004, 1.1957413E+000, 3.2653061E-001, 2.0000262E+001, 1.0444184E+000
 1.7500000E+000,-1.1224347E-002, 1.6014503E+002, 2.1000000E+001, 2.0929911E+001, 1.0000000E-003, 8.3630732E-004, 1.1957327E+000, 3.4693878E-001, 2.0000087E+001, 1.0427584E+000
 1.8500000E+000,-1.0911688E-002, 1.6013276E+002, 2.1000000E+001, 2.0931858E+001, 1.0000000E-003, 8.3631286E-004, 1.1957248E+000, 3.6734694E-001, 2.0000027E+001, 1.0402475E+000
 1.9500000E+000,-1.0623397E-002, 1.6012207E+002, 2.1000000E+001, 2.0933654E+001, 1.0000000E-003, 8.3631796E-004, 1.1957175E+000, 3.8775510E-001, 2.0000008E+001, 1.0374351E+000
 2.0500000E+000,-1.0356543E-002, 1.6011269E+002, 2.1000000E+001, 2.0935317E+001, 1.0000000E-003, 8.3632269E-004, 1.1957107E+000, 4.0816327E-001, 2.0000002E+001, 1.0346257E+000
 2.1500000E+000,-1.0108659E-002, 1.6010441E+002, 2.1000000E+001, 2.0936862E+001, 1.0000000E-003, 8.3632708E-004, 1.1957044E+000, 4.2857143E-001, 2.0000001E+001, 1.0319651E+000
 2.2500000E+000,-9.8776558E-003, 1.6009707E+002, 2.1000000E+001, 2.0938302E+001, 1.0000000E-003, 8.3633118E-004, 1.1956986E+000, 4.4897959E-001, 2.0000000E+001, 1.0295083E+000
 2.3500000E+000,-9.6617433E-003, 1.6009052E+002, 2.1000000E+001, 2.0939648E+001, 1.0000000E-003, 8.3633501E-004, 1.1956931E+000, 4.6938776E-001, 2.0000000E+001, 1.0272500E+000
 2.4500000E+000,-9.4593827E-003, 1.6008465E+002, 2.1000000E+001, 2.0940910E+001, 1.0000000E-003, 8.3633860E-004, 1.1956880E+000, 4.8979592E-001, 2.0000000E+001, 1.0251994E+000
 2.5500000E+000,-9.2692413E-003, 1.6007938E+002, 2.1000000E+001, 2.0942096E+001, 1.0000000E-003, 8.3634197E-004, 1.1956832E+000, 5.1020408E-001, 2.0000000E+001, 1.0233146E+000
 2.6500000E+000,-9.0901582E-003, 1.6007462E+002, 2.1000000E+001, 2.0943213E+001, 1.0000000E-003, 8.3634515E-004, 1.1956786E+000, 5.3061224E-001, 2.0000000E+001, 1.0215756E+000
 2.7500000E+000,-8.9211175E-003, 1.6007031E+002, 2.1000000E+001, 2.0944268E+001, 1.0000000E-003, 8.3634814E-004, 1.1956743E+000, 5.5102041E-001, 2.0000000E+001, 1.0199737E+000
 2.8500000E+000,-8.7612262E-003, 1.6006639E+002, 2.1000000E+001, 2.0945265E+001, 1.0000000E-003, 8.3635098E-004, 1.1956703E+000, 5.7142857E-001, 2.0000000E+001, 1.0184766E+000
 2.9500000E+000,-8.6096956E-003, 1.6006281E+002, 2.1000000E+001, 2.0946211E+001, 1.0000000E-003, 8.3635367E-004, 1.1956664E+000, 5.9183673E-001, 2.0000000E+001, 1.0170763E+000
 3.0500000E+000,-8.4658269E-003, 1.6005955E+002, 2.1000000E+001, 2.0947108E+001, 1.0000000E-003, 8.3635622E-004, 1.1956628E+000, 6.1224490E-001, 2.0000000E+001, 1.0157613E+000
 3.1500000E+000,-8.3289981E-003, 1.6005655E+002, 2.1000000E+001, 2.0947962E+001, 1.0000000E-003, 8.3635865E-004, 1.1956593E+000, 6.3265306E-001, 2.0000000E+001, 1.0145152E+000
 3.2500000E+000,-8.1986542E-003, 1.6005380E+002, 2.1000000E+001, 2.0948776E+001, 1.0000000E-003, 8.3636096E-004, 1.1956560E+000, 6.5306122E-001, 2.0000000E+001, 1.0133356E+000
