m,W/m2/K,kW/m2
HTC-x,HTC,QCONV
 1.0000000E-003, 1.8719119E+001,-1.8689228E-001
 5.1612903E-001, 1.8584919E+001,-1.8434745E-001
 1.0322581E+000, 1.8464105E+001,-1.8203948E-001
 1.5483871E+000, 1.8332702E+001,-1.7975527E-001
 2.0645161E+000, 1.8198507E+001,-1.7749354E-001
 2.5806452E+000, 1.8049722E+001,-1.7514695E-001
 3.0967742E+000, 1.7937499E+001,-1.7320931E-001
 3.6129032E+000, 1.7888085E+001,-1.7177328E-001
 4.1290323E+000, 1.7860682E+001,-1.7075027E-001
 4.6451613E+000, 1.7802275E+001,-1.6949809E-001
 5.1612903E+000, 1.7704376E+001,-1.6788663E-001
 5.6774194E+000, 1.7616021E+001,-1.6637600E-001
 6.1935484E+000, 1.7548120E+001,-1.6509185E-001
 6.7096774E+000, 1.7482639E+001,-1.6373707E-001
 7.2258065E+000, 1.7424063E+001,-1.6264548E-001
 7.7419355E+000, 1.7345940E+001,-1.6137304E-001
 8.2580645E+000, 1.7276193E+001,-1.6016778E-001
 8.7741935E+000, 1.7224609E+001,-1.5913869E-001
 9.2903226E+000, 1.7188578E+001,-1.5823790E-001
 9.8064516E+000, 1.7136305E+001,-1.5711745E-001
 1.0322581E+001, 1.7064591E+001,-1.5593820E-001
 1.0838710E+001, 1.7009827E+001,-1.5498009E-001
 1.1354839E+001, 1.6965155E+001,-1.5417926E-001
 1.1870968E+001, 1.6908716E+001,-1.5326717E-001
 1.2387097E+001, 1.6853764E+001,-1.5235047E-001
 1.2903226E+001, 1.6794128E+001,-1.5130840E-001
 1.3419355E+001, 1.6768491E+001,-1.5066062E-001
 1.3935484E+001, 1.6712367E+001,-1.4975203E-001
 1.4451613E+001, 1.6666824E+001,-1.4895471E-001
 1.4967742E+001, 1.6620562E+001,-1.4816202E-001
 1.5483871E+001, 1.6586667E+001,-1.4756375E-001
 1.5999000E+001, 1.6603988E+001,-1.4722949E-001
