m,W/m2/K,kW/m2
HTC-x,HTC,QCONV
 2.5000000E-004, 2.9671748E+000,-2.9596668E-002
 5.1612903E-001, 2.8066519E+000,-2.6917687E-002
 1.0322581E+000, 2.6512766E+000,-2.4582490E-002
 1.5483871E+000, 2.5095045E+000,-2.2580732E-002
 2.0645161E+000, 2.3876831E+000,-2.0912964E-002
 2.5806452E+000, 2.3036486E+000,-1.9768279E-002
 3.0967742E+000, 2.2493487E+000,-1.8986252E-002
 3.6129032E+000, 2.2120651E+000,-1.8427455E-002
 4.1290323E+000, 2.1954907E+000,-1.8110319E-002
 4.6451613E+000, 2.1840752E+000,-1.7858501E-002
 5.1612903E+000, 2.1933042E+000,-1.7793282E-002
 5.6774194E+000, 2.1844739E+000,-1.7579035E-002
 6.1935484E+000, 2.1822764E+000,-1.7435351E-002
 6.7096774E+000, 2.1780100E+000,-1.7278558E-002
 7.2258065E+000, 2.1674107E+000,-1.7066914E-002
 7.7419355E+000, 2.1584772E+000,-1.6899848E-002
 8.2580645E+000, 2.1509758E+000,-1.6732463E-002
 8.7741935E+000, 2.1399971E+000,-1.6576245E-002
 9.2903226E+000, 2.1342178E+000,-1.6448439E-002
 9.8064516E+000, 2.1151606E+000,-1.6178993E-002
 1.0322581E+001, 2.1009573E+000,-1.5954451E-002
 1.0838710E+001, 2.0791469E+000,-1.5671878E-002
 1.1354839E+001, 2.0645074E+000,-1.5469458E-002
 1.1870968E+001, 2.0549158E+000,-1.5318962E-002
 1.2387097E+001, 2.0397143E+000,-1.5119245E-002
 1.2903226E+001, 2.0226296E+000,-1.4926609E-002
 1.3419355E+001, 2.0124942E+000,-1.4792615E-002
 1.3935484E+001, 2.0116170E+000,-1.4729941E-002
 1.4451613E+001, 2.0037805E+000,-1.4616698E-002
 1.4967742E+001, 1.9927490E+000,-1.4469987E-002
 1.5483871E+001, 1.9911775E+000,-1.4403673E-002
 1.5999750E+001, 2.0093065E+000,-1.4504990E-002
