s,kW,kW
Time,qdot1,qdot2
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.2622625E+000, 8.6834685E-001, 6.2476312E+000
 2.2089593E+000, 1.4408976E+000, 1.0789166E+001
 3.1556562E+000, 1.5160950E+000, 1.1348395E+001
 4.1023531E+000, 1.5268265E+000, 1.1368784E+001
 5.0490499E+000, 1.5274491E+000, 1.1305600E+001
 6.3113124E+000, 1.5263587E+000, 1.1218862E+001
 7.2580093E+000, 1.5250330E+000, 1.1132663E+001
 8.2047062E+000, 1.5238796E+000, 1.1060972E+001
 9.1514030E+000, 1.5227312E+000, 1.0991711E+001
 1.0098100E+001, 1.5215900E+000, 1.0925375E+001
 1.1044797E+001, 1.5204580E+000, 1.0862549E+001
 1.2307059E+001, 1.5191504E+000, 1.0794477E+001
 1.3253756E+001, 1.5178572E+000, 1.0732039E+001
 1.4200453E+001, 1.5167621E+000, 1.0683596E+001
 1.5147150E+001, 1.5156799E+000, 1.0640003E+001
 1.6093847E+001, 1.5146114E+000, 1.0601637E+001
 1.7040544E+001, 1.5135575E+000, 1.0568937E+001
 1.8302806E+001, 1.5123480E+000, 1.0538743E+001
 1.9249503E+001, 1.5111595E+000, 1.0517076E+001
 2.0196200E+001, 1.5101594E+000, 1.0506317E+001
 2.1142897E+001, 1.5091769E+000, 1.0502963E+001
 2.2089593E+001, 1.5082121E+000, 1.0506923E+001
 2.3036290E+001, 1.5072654E+000, 1.0517770E+001
 2.4298553E+001, 1.5061850E+000, 1.0539217E+001
 2.5245250E+001, 1.5051293E+000, 1.0569657E+001
 2.6191947E+001, 1.5042459E+000, 1.0602505E+001
 2.7138643E+001, 1.5033820E+000, 1.0639307E+001
 2.8085340E+001, 1.5025379E+000, 1.0678244E+001
 2.9032037E+001, 1.5017137E+000, 1.0718610E+001
 3.0294300E+001, 1.5007781E+000, 1.0766190E+001
 3.1240997E+001, 1.4998687E+000, 1.0810745E+001
 3.2187693E+001, 1.4991116E+000, 1.0844730E+001
 3.3134390E+001, 1.4983748E+000, 1.0874739E+001
 3.4081087E+001, 1.4976585E+000, 1.0901228E+001
 3.5027784E+001, 1.4969637E+000, 1.0925087E+001
 3.6290046E+001, 1.4961837E+000, 1.0949218E+001
 3.7236743E+001, 1.4954381E+000, 1.0968897E+001
 3.8183440E+001, 1.4948304E+000, 1.0982738E+001
 3.9130137E+001, 1.4942517E+000, 1.0994343E+001
 4.0076834E+001, 1.4937018E+000, 1.1003190E+001
 4.1023531E+001, 1.4931787E+000, 1.1008501E+001
 4.2285793E+001, 1.4925982E+000, 1.1010353E+001
 4.3232490E+001, 1.4920423E+000, 1.1008705E+001
 4.4179187E+001, 1.4915848E+000, 1.1005522E+001
 4.5125884E+001, 1.4911433E+000, 1.1001161E+001
 4.6072581E+001, 1.4907177E+000, 1.0995865E+001
 4.7019278E+001, 1.4903081E+000, 1.0989670E+001
 4.8281540E+001, 1.4898504E+000, 1.0980694E+001
 4.9228237E+001, 1.4894122E+000, 1.0969808E+001
 5.0174934E+001, 1.4890528E+000, 1.0959155E+001
 5.1121631E+001, 1.4887075E+000, 1.0947307E+001
 5.2068328E+001, 1.4883757E+000, 1.0934202E+001
 5.3015024E+001, 1.4880565E+000, 1.0920072E+001
 5.4277287E+001, 1.4876990E+000, 1.0902731E+001
 5.5223984E+001, 1.4873544E+000, 1.0885173E+001
 5.6170681E+001, 1.4870685E+000, 1.0870758E+001
 5.7117377E+001, 1.4867900E+000, 1.0857903E+001
 5.8064074E+001, 1.4865182E+000, 1.0847416E+001
 5.9010771E+001, 1.4862524E+000, 1.0839612E+001
 6.0273034E+001, 1.4859490E+000, 1.0833439E+001
 6.1219731E+001, 1.4856510E+000, 1.0829419E+001
 6.2166427E+001, 1.4853993E+000, 1.0827377E+001
 6.3113124E+001, 1.4851501E+000, 1.0826756E+001
 6.4059821E+001, 1.4849032E+000, 1.0827903E+001
 6.5006518E+001, 1.4846586E+000, 1.0830403E+001
 6.6268780E+001, 1.4843763E+000, 1.0833693E+001
 6.7215477E+001, 1.4840977E+000, 1.0836426E+001
 6.8162174E+001, 1.4838625E+000, 1.0837955E+001
 6.9108871E+001, 1.4836309E+000, 1.0838666E+001
 7.0055568E+001, 1.4834035E+000, 1.0838814E+001
 7.1002265E+001, 1.4831814E+000, 1.0837847E+001
 7.2264527E+001, 1.4829305E+000, 1.0834794E+001
 7.3211224E+001, 1.4826893E+000, 1.0829962E+001
 7.4157921E+001, 1.4824924E+000, 1.0824438E+001
 7.5104618E+001, 1.4823061E+000, 1.0818023E+001
 7.6051315E+001, 1.4821326E+000, 1.0811517E+001
 7.7313577E+001, 1.4819502E+000, 1.0805735E+001
 7.8260274E+001, 1.4817910E+000, 1.0804059E+001
 7.9206971E+001, 1.4816765E+000, 1.0807045E+001
 8.0153668E+001, 1.4815829E+000, 1.0813336E+001
 8.1100365E+001, 1.4815106E+000, 1.0821766E+001
 8.2047062E+001, 1.4814593E+000, 1.0831514E+001
 8.3309324E+001, 1.4814254E+000, 1.0844122E+001
 8.4256021E+001, 1.4814151E+000, 1.0858122E+001
 8.5202718E+001, 1.4814240E+000, 1.0871274E+001
 8.6149415E+001, 1.4814637E+000, 1.0884885E+001
 8.7096112E+001, 1.4815623E+000, 1.0898188E+001
 8.8042808E+001, 1.4816720E+000, 1.0910569E+001
 8.9305071E+001, 1.4818925E+000, 1.0922862E+001
 9.0251768E+001, 1.4822165E+000, 1.0932046E+001
 9.1198465E+001, 1.4824309E+000, 1.0937059E+001
 9.2145161E+001, 1.4825089E+000, 1.0939923E+001
 9.3091858E+001, 1.4824510E+000, 1.0941075E+001
 9.4038555E+001, 1.4822870E+000, 1.0940842E+001
 9.5300818E+001, 1.4820453E+000, 1.0939227E+001
 9.6247515E+001, 1.4818833E+000, 1.0937135E+001
 9.7194211E+001, 1.4817743E+000, 1.0935963E+001
 9.8140908E+001, 1.4816762E+000, 1.0935471E+001
 9.9087605E+001, 1.4816020E+000, 1.0934823E+001
 1.0003430E+002, 1.4815108E+000, 1.0932966E+001
 1.0129656E+002, 1.4813836E+000, 1.0928458E+001
 1.0224326E+002, 1.4812376E+000, 1.0922200E+001
 1.0318996E+002, 1.4810979E+000, 1.0916392E+001
 1.0413666E+002, 1.4809471E+000, 1.0910858E+001
 1.0508335E+002, 1.4807877E+000, 1.0905763E+001
 1.0603005E+002, 1.4806224E+000, 1.0901048E+001
 1.0729231E+002, 1.4804262E+000, 1.0896013E+001
 1.0823901E+002, 1.4802305E+000, 1.0891426E+001
 1.0918571E+002, 1.4800662E+000, 1.0887814E+001
 1.1013240E+002, 1.4799075E+000, 1.0884461E+001
 1.1107910E+002, 1.4797565E+000, 1.0881315E+001
 1.1202580E+002, 1.4796145E+000, 1.0878427E+001
 1.1328806E+002, 1.4794610E+000, 1.0875737E+001
 1.1423475E+002, 1.4793190E+000, 1.0874099E+001
 1.1518145E+002, 1.4792060E+000, 1.0873423E+001
 1.1612815E+002, 1.4790995E+000, 1.0872892E+001
 1.1707485E+002, 1.4789982E+000, 1.0872155E+001
 1.1802154E+002, 1.4789006E+000, 1.0871078E+001
 1.1928380E+002, 1.4787892E+000, 1.0869574E+001
 1.2023050E+002, 1.4786777E+000, 1.0868086E+001
 1.2117720E+002, 1.4785805E+000, 1.0866977E+001
 1.2212390E+002, 1.4784806E+000, 1.0866069E+001
 1.2307059E+002, 1.4783776E+000, 1.0865377E+001
 1.2401729E+002, 1.4782708E+000, 1.0865041E+001
 1.2527955E+002, 1.4781410E+000, 1.0865431E+001
 1.2622625E+002, 1.4780057E+000, 1.0866670E+001
 1.2717295E+002, 1.4778853E+000, 1.0868510E+001
 1.2811964E+002, 1.4777615E+000, 1.0871004E+001
 1.2906634E+002, 1.4776348E+000, 1.0874053E+001
 1.3001304E+002, 1.4775059E+000, 1.0877696E+001
 1.3127530E+002, 1.4773538E+000, 1.0882803E+001
 1.3222200E+002, 1.4772010E+000, 1.0888873E+001
 1.3316869E+002, 1.4770706E+000, 1.0894773E+001
