s,kW,kW,Pa,kg/m3
Time,"Q1-0","Q2-0","p0","rho"
 0.0000000E+000,-3.5760704E+002, 0.0000000E+000, 1.0132500E+005, 8.8318715E-001
 1.0062211E+001,-2.7820531E+002, 5.4272082E+001, 1.0232222E+005, 1.0050735E+000
 2.0025074E+001,-2.1836145E+002, 5.8962903E+001, 1.0374631E+005, 1.0514444E+000
 3.0032287E+001,-2.0084037E+002, 5.9315273E+001, 1.0492360E+005, 1.0567225E+000
 4.0075605E+001,-1.9421204E+002, 6.4234550E+001, 1.0599433E+005, 1.0571866E+000
 5.0074121E+001,-1.9073255E+002, 6.9859239E+001, 1.0698961E+005, 1.0574389E+000
 6.0059327E+001,-1.8463833E+002, 7.4297962E+001, 1.0790172E+005, 1.0523255E+000
 7.0009950E+001,-1.8029721E+002, 7.8808888E+001, 1.0873553E+005, 1.0490645E+000
 8.0044927E+001,-1.7608846E+002, 8.2732254E+001, 1.0950353E+005, 1.0503880E+000
 9.0064172E+001,-1.7151847E+002, 8.5872379E+001, 1.1021286E+005, 1.0480946E+000
 1.0004519E+002,-1.6810845E+002, 8.9787037E+001, 1.1085997E+005, 1.0513909E+000
 1.1006910E+002,-1.6418750E+002, 9.2555868E+001, 1.1145258E+005, 1.0549582E+000
 1.2005661E+002,-1.6117008E+002, 9.5425125E+001, 1.1199541E+005, 1.0497007E+000
 1.3001738E+002,-1.5790330E+002, 9.7559335E+001, 1.1249151E+005, 1.0488868E+000
 1.4003626E+002,-1.5565721E+002, 9.9990802E+001, 1.1294923E+005, 1.0557763E+000
 1.5004299E+002,-1.5450972E+002, 1.0259052E+002, 1.1337440E+005, 1.0530647E+000
 1.6003121E+002,-1.5137478E+002, 1.0410056E+002, 1.1376709E+005, 1.0531317E+000
 1.7000128E+002,-1.5035384E+002, 1.0636863E+002, 1.1412638E+005, 1.0548997E+000
 1.8001179E+002,-1.4752134E+002, 1.0752096E+002, 1.1445817E+005, 1.0550196E+000
 1.9004511E+002,-1.4566199E+002, 1.0906909E+002, 1.1476170E+005, 1.0521973E+000
 2.0002130E+002,-1.4433056E+002, 1.1069677E+002, 1.1503873E+005, 1.0481955E+000
 2.1004909E+002,-1.4330018E+002, 1.1227207E+002, 1.1529360E+005, 1.0508634E+000
 2.2001561E+002,-1.4223870E+002, 1.1364632E+002, 1.1552985E+005, 1.0483813E+000
 2.3005278E+002,-1.4051048E+002, 1.1467466E+002, 1.1574443E+005, 1.0465849E+000
 2.4000647E+002,-1.3993441E+002, 1.1580677E+002, 1.1594139E+005, 1.0470149E+000
 2.5004865E+002,-1.3836409E+002, 1.1646514E+002, 1.1612370E+005, 1.0460333E+000
 2.6006625E+002,-1.3832038E+002, 1.1789585E+002, 1.1629168E+005, 1.0476043E+000
 2.7000920E+002,-1.3720513E+002, 1.1850688E+002, 1.1644545E+005, 1.0481316E+000
 2.8000522E+002,-1.3635114E+002, 1.1915318E+002, 1.1658693E+005, 1.0487957E+000
 2.9002703E+002,-1.3522755E+002, 1.1975310E+002, 1.1671745E+005, 1.0524229E+000
 3.0002138E+002,-1.3425534E+002, 1.2003302E+002, 1.1683291E+005, 1.0531645E+000
 3.1003427E+002,-1.3434508E+002, 1.2094590E+002, 1.1694300E+005, 1.0489417E+000
 3.2001640E+002,-1.3453851E+002, 1.2196359E+002, 1.1704550E+005, 1.0516547E+000
 3.3006069E+002,-1.3333487E+002, 1.2202318E+002, 1.1714085E+005, 1.0423829E+000
 3.4006025E+002,-1.3302546E+002, 1.2297758E+002, 1.1722456E+005, 1.0392414E+000
 3.5003139E+002,-1.3271961E+002, 1.2337030E+002, 1.1730154E+005, 1.0382240E+000
 3.6006213E+002,-1.3182618E+002, 1.2339816E+002, 1.1737169E+005, 1.0438501E+000
 3.7001532E+002,-1.3219360E+002, 1.2436333E+002, 1.1743554E+005, 1.0394783E+000
 3.8006760E+002,-1.3233738E+002, 1.2496243E+002, 1.1749524E+005, 1.0412812E+000
 3.9005334E+002,-1.3124665E+002, 1.2483419E+002, 1.1755088E+005, 1.0395451E+000
 4.0008779E+002,-1.3064129E+002, 1.2511301E+002, 1.1759742E+005, 1.0399341E+000
 4.1002056E+002,-1.3095710E+002, 1.2561479E+002, 1.1764058E+005, 1.0379145E+000
 4.2004297E+002,-1.2941608E+002, 1.2482182E+002, 1.1767989E+005, 1.0352609E+000
 4.3001778E+002,-1.3067967E+002, 1.2612442E+002, 1.1771582E+005, 1.0314208E+000
 4.4001387E+002,-1.3012135E+002, 1.2604890E+002, 1.1775077E+005, 1.0417487E+000
 4.5006493E+002,-1.2994761E+002, 1.2614212E+002, 1.1778115E+005, 1.0456584E+000
 4.6006865E+002,-1.2971513E+002, 1.2650174E+002, 1.1780843E+005, 1.0412652E+000
 4.7003460E+002,-1.2960190E+002, 1.2639378E+002, 1.1783478E+005, 1.0477244E+000
 4.8008815E+002,-1.2897445E+002, 1.2624883E+002, 1.1785777E+005, 1.0454809E+000
 4.9002108E+002,-1.2889954E+002, 1.2622986E+002, 1.1787951E+005, 1.0425638E+000
 5.0002903E+002,-1.2933747E+002, 1.2678818E+002, 1.1789927E+005, 1.0517546E+000
 5.1002994E+002,-1.2949303E+002, 1.2687640E+002, 1.1791999E+005, 1.0512482E+000
 5.2005251E+002,-1.2907080E+002, 1.2688004E+002, 1.1793910E+005, 1.0477334E+000
 5.3004875E+002,-1.2928913E+002, 1.2718472E+002, 1.1795585E+005, 1.0509407E+000
 5.4004629E+002,-1.2968736E+002, 1.2767300E+002, 1.1797286E+005, 1.0491828E+000
 5.5003778E+002,-1.2892377E+002, 1.2742372E+002, 1.1798614E+005, 1.0380130E+000
 5.6006369E+002,-1.2796337E+002, 1.2680715E+002, 1.1799656E+005, 1.0393728E+000
 5.7005003E+002,-1.2828421E+002, 1.2700427E+002, 1.1800659E+005, 1.0399713E+000
 5.8000463E+002,-1.2878443E+002, 1.2757574E+002, 1.1801647E+005, 1.0422979E+000
 5.9003779E+002,-1.2840640E+002, 1.2763514E+002, 1.1802411E+005, 1.0487853E+000
 6.0002824E+002,-1.2851159E+002, 1.2774128E+002, 1.1803027E+005, 1.0433691E+000
 6.1007327E+002,-1.2855384E+002, 1.2764195E+002, 1.1803722E+005, 1.0470008E+000
 6.2002083E+002,-1.2833902E+002, 1.2748057E+002, 1.1804402E+005, 1.0434628E+000
 6.3002974E+002,-1.2820575E+002, 1.2759626E+002, 1.1805024E+005, 1.0414166E+000
 6.4003089E+002,-1.2801089E+002, 1.2719121E+002, 1.1805585E+005, 1.0390510E+000
 6.5004241E+002,-1.2823425E+002, 1.2784333E+002, 1.1806025E+005, 1.0422525E+000
 6.6000632E+002,-1.2852491E+002, 1.2786728E+002, 1.1806469E+005, 1.0518359E+000
 6.7005014E+002,-1.2866733E+002, 1.2788107E+002, 1.1807034E+005, 1.0464127E+000
 6.8001905E+002,-1.2838969E+002, 1.2772311E+002, 1.1807688E+005, 1.0370225E+000
 6.9005042E+002,-1.2808059E+002, 1.2750084E+002, 1.1808128E+005, 1.0379476E+000
 7.0005809E+002,-1.2717366E+002, 1.2718330E+002, 1.1808418E+005, 1.0446548E+000
 7.1000952E+002,-1.2791285E+002, 1.2805259E+002, 1.1808342E+005, 1.0401952E+000
 7.2002488E+002,-1.2836100E+002, 1.2799969E+002, 1.1808398E+005, 1.0396645E+000
 7.3000642E+002,-1.2834493E+002, 1.2792260E+002, 1.1808720E+005, 1.0420600E+000
 7.4001620E+002,-1.2795282E+002, 1.2755462E+002, 1.1809094E+005, 1.0408821E+000
 7.5005930E+002,-1.2775363E+002, 1.2765068E+002, 1.1809252E+005, 1.0409562E+000
 7.6007168E+002,-1.2814368E+002, 1.2780815E+002, 1.1809436E+005, 1.0386561E+000
 7.7004281E+002,-1.2813953E+002, 1.2799352E+002, 1.1809699E+005, 1.0419155E+000
 7.8000608E+002,-1.2856084E+002, 1.2805923E+002, 1.1809832E+005, 1.0414272E+000
 7.9002163E+002,-1.2841051E+002, 1.2812074E+002, 1.1810241E+005, 1.0432407E+000
 8.0005162E+002,-1.2857085E+002, 1.2796381E+002, 1.1810610E+005, 1.0415584E+000
 8.1006771E+002,-1.2861961E+002, 1.2805476E+002, 1.1811081E+005, 1.0365958E+000
 8.2002820E+002,-1.2797429E+002, 1.2748948E+002, 1.1811445E+005, 1.0386994E+000
 8.3001354E+002,-1.2838688E+002, 1.2778266E+002, 1.1811916E+005, 1.0457126E+000
 8.4005373E+002,-1.2837815E+002, 1.2801182E+002, 1.1812270E+005, 1.0422083E+000
 8.5008212E+002,-1.2847258E+002, 1.2823577E+002, 1.1812597E+005, 1.0405242E+000
 8.6004808E+002,-1.2779699E+002, 1.2785266E+002, 1.1812571E+005, 1.0448911E+000
 8.7001916E+002,-1.2795928E+002, 1.2757393E+002, 1.1812772E+005, 1.0389727E+000
 8.8005101E+002,-1.2796688E+002, 1.2792595E+002, 1.1812953E+005, 1.0360704E+000
 8.9006089E+002,-1.2785125E+002, 1.2800667E+002, 1.1812875E+005, 1.0388655E+000
 9.0007521E+002,-1.2825729E+002, 1.2838470E+002, 1.1812776E+005, 1.0419803E+000
 9.1007961E+002,-1.2833873E+002, 1.2839656E+002, 1.1812737E+005, 1.0418080E+000
 9.2002780E+002,-1.2739585E+002, 1.2771441E+002, 1.1812541E+005, 1.0390624E+000
 9.3005589E+002,-1.2783700E+002, 1.2762208E+002, 1.1812485E+005, 1.0464710E+000
 9.4004192E+002,-1.2745822E+002, 1.2747200E+002, 1.1812631E+005, 1.0485155E+000
 9.5001166E+002,-1.2833803E+002, 1.2800486E+002, 1.1812717E+005, 1.0492302E+000
 9.6007246E+002,-1.2865150E+002, 1.2828104E+002, 1.1813044E+005, 1.0439311E+000
 9.7004428E+002,-1.2784089E+002, 1.2800704E+002, 1.1813179E+005, 1.0394179E+000
 9.8007924E+002,-1.2799829E+002, 1.2824979E+002, 1.1812987E+005, 1.0378298E+000
 9.9003350E+002,-1.2855532E+002, 1.2795747E+002, 1.1813071E+005, 1.0369418E+000
 1.0000542E+003,-1.2816059E+002, 1.2799489E+002, 1.1813422E+005, 1.0394806E+000
 1.0100314E+003,-1.2829120E+002, 1.2807170E+002, 1.1813534E+005, 1.0386220E+000
 1.0200501E+003,-1.2844313E+002, 1.2830678E+002, 1.1813774E+005, 1.0362316E+000
 1.0300526E+003,-1.2796262E+002, 1.2797352E+002, 1.1813761E+005, 1.0419922E+000
 1.0400210E+003,-1.2795752E+002, 1.2785782E+002, 1.1813828E+005, 1.0473913E+000
