s,kW/m2,kW/m2,Pa,kg/m3
Time,"Q1-0","Q2-0","p0","rho"
 0.0000000E+000,-4.4612470E-001, 4.8736822E-001, 1.0132500E+005, 8.8318715E-001
 1.0002720E+002,-4.2221123E-001, 4.6371183E-001, 1.0128039E+005, 8.8598242E-001
 2.0014898E+002,-4.4558389E-001, 4.7120361E-001, 1.0119927E+005, 8.8595262E-001
 3.0027105E+002,-4.3827031E-001, 4.8215115E-001, 1.0112950E+005, 8.8051346E-001
 4.0021732E+002,-4.5710947E-001, 4.8124738E-001, 1.0106595E+005, 8.8247904E-001
 5.0028585E+002,-4.2984104E-001, 4.7794000E-001, 1.0100785E+005, 8.8047519E-001
 6.0012072E+002,-4.5218567E-001, 4.7652456E-001, 1.0095428E+005, 8.8360086E-001
 7.0039501E+002,-4.4823362E-001, 4.7609329E-001, 1.0090682E+005, 8.8239036E-001
 8.0005588E+002,-4.4379984E-001, 4.7543847E-001, 1.0086336E+005, 8.8084224E-001
 9.0045365E+002,-4.3071582E-001, 4.7488464E-001, 1.0082191E+005, 8.7954137E-001
 1.0004119E+003,-4.3757121E-001, 4.7466044E-001, 1.0078485E+005, 8.7933280E-001
 1.1000779E+003,-4.4058212E-001, 4.7726534E-001, 1.0075182E+005, 8.7937761E-001
 1.2001499E+003,-4.5449017E-001, 4.7466524E-001, 1.0072462E+005, 8.7904980E-001
 1.3004792E+003,-4.3851369E-001, 4.7266386E-001, 1.0069944E+005, 8.8071169E-001
 1.4002808E+003,-4.4491833E-001, 4.7176422E-001, 1.0067354E+005, 8.8021815E-001
 1.5002556E+003,-4.4524951E-001, 4.6506769E-001, 1.0064839E+005, 8.8217286E-001
 1.6004366E+003,-4.3862661E-001, 4.6551822E-001, 1.0062804E+005, 8.8180926E-001
 1.7001209E+003,-4.5384573E-001, 4.6008322E-001, 1.0060713E+005, 8.8456266E-001
 1.8003816E+003,-4.5022626E-001, 4.6632236E-001, 1.0058919E+005, 8.8139220E-001
 1.9002961E+003,-4.5861150E-001, 4.6117452E-001, 1.0057307E+005, 8.8266197E-001
 2.0002992E+003,-4.5408530E-001, 4.6098163E-001, 1.0056004E+005, 8.8585822E-001
 2.1000192E+003,-4.6614037E-001, 4.6077830E-001, 1.0054598E+005, 8.8531480E-001
 2.2000358E+003,-4.7121611E-001, 4.5171367E-001, 1.0053179E+005, 8.8894961E-001
 2.3003006E+003,-4.6558693E-001, 4.6416631E-001, 1.0051872E+005, 8.8385495E-001
 2.4000401E+003,-4.6356879E-001, 4.4776557E-001, 1.0050806E+005, 8.8747005E-001
 2.5004425E+003,-4.6314317E-001, 4.5351549E-001, 1.0049965E+005, 8.8424547E-001
 2.6000753E+003,-4.6431022E-001, 4.5787305E-001, 1.0049182E+005, 8.8617866E-001
 2.7003499E+003,-4.7063257E-001, 4.5280464E-001, 1.0048638E+005, 8.8716693E-001
 2.8000602E+003,-4.5097483E-001, 4.6514284E-001, 1.0048070E+005, 8.8169300E-001
 2.9003852E+003,-4.5801138E-001, 4.5353356E-001, 1.0047321E+005, 8.8562269E-001
 3.0004062E+003,-4.6008054E-001, 4.6106275E-001, 1.0046871E+005, 8.8271265E-001
 3.1000388E+003,-4.4739557E-001, 4.6481435E-001, 1.0046735E+005, 8.8070113E-001
 3.2001846E+003,-4.6292743E-001, 4.5671149E-001, 1.0046498E+005, 8.8386100E-001
 3.3003656E+003,-4.5855748E-001, 4.6198848E-001, 1.0046053E+005, 8.8334734E-001
