m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-x,Q1-1,YP1-1,ZP1-1,Q1-2-x,Q1-2,YP1-2,ZP1-2,Q1-3-x,Q1-3,YP1-3,ZP1-3,Q1-4-x,Q1-4,YP1-4,ZP1-4,Q1-5-x,Q1-5,YP1-5,ZP1-5,Q2-1-x,Q2-1,YP2-1,ZP2-1,Q2-2-x,Q2-2,YP2-2,ZP2-2,Q2-3-x,Q2-3,YP2-3,ZP2-3,Q2-4-x,Q2-4,YP2-4,ZP2-4,Q2-5-x,Q2-5,YP2-5,ZP2-5
-4.0000000E-001,-9.1508391E-003, 6.6547825E+000, 3.2569366E+000,-4.0000000E-001,-8.2498457E-003, 5.5958231E+000, 3.2352983E+000,-4.0000000E-001,-8.9632336E-003, 6.1470326E+000, 3.2524348E+000,-4.0000000E-001,-9.9352263E-003, 6.3322096E+000, 3.2742633E+000,-4.0000000E-001,-1.0974138E-002, 6.2804702E+000, 3.2953524E+000,-4.0000000E-001, 1.0013915E-002, 6.6634355E+000, 3.2814362E+000,-4.0000000E-001, 1.0812470E-002, 5.4742138E+000, 3.2966746E+000,-4.0000000E-001, 1.0631392E-002, 6.4999781E+000, 3.2934757E+000,-4.0000000E-001, 9.2369654E-003, 6.4407771E+000, 3.2649108E+000,-4.0000000E-001, 8.5204524E-003, 6.0898678E+000, 3.2488224E+000
-3.7241379E-001,-9.2385842E-003, 6.5411532E+000, 3.2588811E+000,-3.7241379E-001,-8.3608897E-003, 5.4956224E+000, 3.2381743E+000,-3.7241379E-001,-8.9470603E-003, 6.2762265E+000, 3.2522032E+000,-3.7241379E-001,-9.7982575E-003, 6.3734494E+000, 3.2713823E+000,-3.7241379E-001,-1.0865713E-002, 6.2585048E+000, 3.2931924E+000,-3.7241379E-001, 9.9630469E-003, 6.7426759E+000, 3.2804756E+000,-3.7241379E-001, 1.0729494E-002, 5.4112803E+000, 3.2949857E+000,-3.7241379E-001, 1.0649769E-002, 6.6197316E+000, 3.2938278E+000,-3.7241379E-001, 9.3790084E-003, 6.3905964E+000, 3.2680482E+000,-3.7241379E-001, 8.5857187E-003, 6.0459631E+000, 3.2502479E+000
-3.4482759E-001,-9.3270189E-003, 6.6204700E+000, 3.2609789E+000,-3.4482759E-001,-8.4977523E-003, 5.5831488E+000, 3.2416632E+000,-3.4482759E-001,-8.8459556E-003, 6.4081797E+000, 3.2499160E+000,-3.4482759E-001,-9.6772940E-003, 6.2454583E+000, 3.2687347E+000,-3.4482759E-001,-1.0749408E-002, 6.1273851E+000, 3.2908417E+000,-3.4482759E-001, 9.8834955E-003, 6.7635004E+000, 3.2788896E+000,-3.4482759E-001, 1.0724960E-002, 5.5667276E+000, 3.2951004E+000,-3.4482759E-001, 1.0662379E-002, 6.4949154E+000, 3.2940729E+000,-3.4482759E-001, 9.5271248E-003, 6.5014151E+000, 3.2713033E+000,-3.4482759E-001, 8.6808301E-003, 5.8908543E+000, 3.2525276E+000
-3.1724138E-001,-9.4375854E-003, 6.6812817E+000, 3.2634023E+000,-3.1724138E-001,-8.5841845E-003, 5.7173437E+000, 3.2437620E+000,-3.1724138E-001,-8.7281264E-003, 6.3793550E+000, 3.2470912E+000,-3.1724138E-001,-9.5955003E-003, 6.3310451E+000, 3.2668661E+000,-3.1724138E-001,-1.0585860E-002, 6.1043682E+000, 3.2876154E+000,-3.1724138E-001, 9.7562920E-003, 6.7784678E+000, 3.2762635E+000,-3.1724138E-001, 1.0761920E-002, 5.5873605E+000, 3.2958480E+000,-3.1724138E-001, 1.0615819E-002, 6.3978415E+000, 3.2931938E+000,-3.1724138E-001, 9.5727120E-003, 6.5083339E+000, 3.2724136E+000,-3.1724138E-001, 8.7041048E-003, 6.0230590E+000, 3.2531685E+000
-2.8965517E-001,-9.6033376E-003, 6.5746638E+000, 3.2670964E+000,-2.8965517E-001,-8.5954836E-003, 5.9842545E+000, 3.2439681E+000,-2.8965517E-001,-8.6499408E-003, 6.2325206E+000, 3.2450198E+000,-2.8965517E-001,-9.5874636E-003, 6.2581498E+000, 3.2667170E+000,-2.8965517E-001,-1.0405645E-002, 6.2269436E+000, 3.2841168E+000,-2.8965517E-001, 9.6622880E-003, 6.8031275E+000, 3.2741882E+000,-2.8965517E-001, 1.0754432E-002, 5.7216829E+000, 3.2957127E+000,-2.8965517E-001, 1.0557155E-002, 6.2643524E+000, 3.2920365E+000,-2.8965517E-001, 9.5476487E-003, 6.3640892E+000, 3.2718595E+000,-2.8965517E-001, 8.7705956E-003, 5.9909565E+000, 3.2547681E+000
-2.6206897E-001,-9.7665906E-003, 6.6233290E+000, 3.2706780E+000,-2.6206897E-001,-8.5900254E-003, 6.0294962E+000, 3.2436602E+000,-2.6206897E-001,-8.5728927E-003, 5.9950945E+000, 3.2429884E+000,-2.6206897E-001,-9.6353755E-003, 6.0410348E+000, 3.2678437E+000,-2.6206897E-001,-1.0243106E-002, 6.3691495E+000, 3.2808993E+000,-2.6206897E-001, 9.5951479E-003, 6.7160053E+000, 3.2727118E+000,-2.6206897E-001, 1.0713038E-002, 5.7960405E+000, 3.2949500E+000,-2.6206897E-001, 1.0537458E-002, 6.0912430E+000, 3.2915570E+000,-2.6206897E-001, 9.5350011E-003, 6.1817833E+000, 3.2714572E+000,-2.6206897E-001, 8.8333573E-003, 5.8863185E+000, 3.2563663E+000
-2.3448276E-001,-9.8684207E-003, 6.6798629E+000, 3.2728705E+000,-2.3448276E-001,-8.5816239E-003, 5.9466019E+000, 3.2433921E+000,-2.3448276E-001,-8.5444175E-003, 6.1677088E+000, 3.2421758E+000,-2.3448276E-001,-9.5665689E-003, 6.0062333E+000, 3.2663340E+000,-2.3448276E-001,-1.0054226E-002, 6.4192615E+000, 3.2769763E+000,-2.3448276E-001, 9.5296708E-003, 6.8407872E+000, 3.2714939E+000,-2.3448276E-001, 1.0736711E-002, 5.8271946E+000, 3.2953585E+000,-2.3448276E-001, 1.0620955E-002, 5.9620350E+000, 3.2931400E+000,-2.3448276E-001, 9.6052731E-003, 6.0285730E+000, 3.2728284E+000,-2.3448276E-001, 8.9190677E-003, 5.8821188E+000, 3.2583256E+000
-2.0689655E-001,-9.9254601E-003, 6.6568836E+000, 3.2740882E+000,-2.0689655E-001,-8.5537863E-003, 5.9945314E+000, 3.2427606E+000,-2.0689655E-001,-8.5412857E-003, 6.1012490E+000, 3.2422819E+000,-2.0689655E-001,-9.5032823E-003, 6.1946178E+000, 3.2650442E+000,-2.0689655E-001,-9.9501136E-003, 6.3703205E+000, 3.2747055E+000,-2.0689655E-001, 9.4963349E-003, 6.8930958E+000, 3.2708871E+000,-2.0689655E-001, 1.0827695E-002, 5.8345179E+000, 3.2969827E+000,-2.0689655E-001, 1.0708006E-002, 5.9596259E+000, 3.2949577E+000,-2.0689655E-001, 9.6845823E-003, 5.8709413E+000, 3.2744076E+000,-2.0689655E-001, 8.9754911E-003, 5.8558608E+000, 3.2595723E+000
-1.7931034E-001,-1.0001544E-002, 6.4741124E+000, 3.2756483E+000,-1.7931034E-001,-8.5263991E-003, 6.1304291E+000, 3.2420985E+000,-1.7931034E-001,-8.4523410E-003, 6.0043924E+000, 3.2402525E+000,-1.7931034E-001,-9.3950841E-003, 6.2762507E+000, 3.2627214E+000,-1.7931034E-001,-9.8987904E-003, 6.2449198E+000, 3.2735132E+000,-1.7931034E-001, 9.4846123E-003, 6.8486352E+000, 3.2706151E+000,-1.7931034E-001, 1.0831308E-002, 6.0103564E+000, 3.2970424E+000,-1.7931034E-001, 1.0705475E-002, 5.7417448E+000, 3.2949378E+000,-1.7931034E-001, 9.7754794E-003, 5.9812274E+000, 3.2763659E+000,-1.7931034E-001, 8.9786920E-003, 5.8626426E+000, 3.2595890E+000
