s,Pa,kg/m3,kW,kW
Time,"p0","rho","Q1-0","Q2-0"
 0.0000000E+000, 1.0132500E+005, 1.1794096E+000,-5.7026111E+000, 0.0000000E+000
 1.0023291E+001, 1.0134404E+005, 1.1795680E+000,-4.7141480E+000, 5.2391442E-001
 2.0011288E+001, 1.0136492E+005, 1.1828500E+000,-3.0734729E+000, 1.5498932E+000
 3.0034579E+001, 1.0137505E+005, 1.1839366E+000,-2.8227825E+000, 1.6447483E+000
 4.0022577E+001, 1.0138427E+005, 1.1845014E+000,-2.7586776E+000, 1.5969937E+000
 5.0010574E+001, 1.0139334E+005, 1.1845494E+000,-2.6842808E+000, 1.5543198E+000
 6.0033865E+001, 1.0140215E+005, 1.1839179E+000,-2.6297315E+000, 1.5271355E+000
 7.0021862E+001, 1.0141082E+005, 1.1837555E+000,-2.6125641E+000, 1.5241133E+000
 8.0009860E+001, 1.0141925E+005, 1.1838874E+000,-2.5968183E+000, 1.5529438E+000
 9.0033151E+001, 1.0142736E+005, 1.1837683E+000,-2.5965886E+000, 1.5857317E+000
 1.0002115E+002, 1.0143522E+005, 1.1840577E+000,-2.5979642E+000, 1.6201450E+000
 1.1000915E+002, 1.0144284E+005, 1.1839722E+000,-2.5945120E+000, 1.6408541E+000
 1.2003244E+002, 1.0145030E+005, 1.1847354E+000,-2.5895323E+000, 1.6555258E+000
 1.3002043E+002, 1.0145760E+005, 1.1844352E+000,-2.5814743E+000, 1.6696876E+000
 1.4000843E+002, 1.0146475E+005, 1.1842749E+000,-2.5734097E+000, 1.6744458E+000
 1.5003172E+002, 1.0147177E+005, 1.1844452E+000,-2.5505811E+000, 1.6783372E+000
 1.6001972E+002, 1.0147852E+005, 1.1845213E+000,-2.5275070E+000, 1.6897154E+000
 1.7000772E+002, 1.0148505E+005, 1.1845623E+000,-2.5159108E+000, 1.6997733E+000
 1.8003101E+002, 1.0149143E+005, 1.1845947E+000,-2.5078616E+000, 1.7135889E+000
 1.9001901E+002, 1.0149762E+005, 1.1845009E+000,-2.5007233E+000, 1.7300619E+000
 2.0000700E+002, 1.0150364E+005, 1.1844858E+000,-2.4955212E+000, 1.7403665E+000
 2.1003029E+002, 1.0150957E+005, 1.1844526E+000,-2.4943705E+000, 1.7509986E+000
 2.2001829E+002, 1.0151542E+005, 1.1844793E+000,-2.4955212E+000, 1.7612404E+000
 2.3000629E+002, 1.0152112E+005, 1.1844397E+000,-2.4807494E+000, 1.7723062E+000
 2.4002958E+002, 1.0152664E+005, 1.1844980E+000,-2.4698364E+000, 1.7813802E+000
 2.5001758E+002, 1.0153201E+005, 1.1846028E+000,-2.4570206E+000, 1.7868164E+000
 2.6000558E+002, 1.0153725E+005, 1.1845507E+000,-2.4468773E+000, 1.7913327E+000
 2.7002887E+002, 1.0154237E+005, 1.1844514E+000,-2.4380172E+000, 1.7977193E+000
 2.8001686E+002, 1.0154738E+005, 1.1845979E+000,-2.4278680E+000, 1.8040755E+000
 2.9000486E+002, 1.0155224E+005, 1.1843391E+000,-2.4209319E+000, 1.8120601E+000
 3.0002815E+002, 1.0155700E+005, 1.1841635E+000,-2.4151114E+000, 1.8210801E+000
 3.1001615E+002, 1.0156164E+005, 1.1843483E+000,-2.4086108E+000, 1.8308016E+000
 3.2000415E+002, 1.0156614E+005, 1.1846331E+000,-2.4014263E+000, 1.8383888E+000
 3.3002744E+002, 1.0157054E+005, 1.1843806E+000,-2.3915243E+000, 1.8445583E+000
 3.4001544E+002, 1.0157481E+005, 1.1844541E+000,-2.3839334E+000, 1.8508552E+000
 3.5000343E+002, 1.0157896E+005, 1.1843078E+000,-2.3765152E+000, 1.8572998E+000
 3.6002672E+002, 1.0158303E+005, 1.1843566E+000,-2.3721357E+000, 1.8633336E+000
 3.7001472E+002, 1.0158699E+005, 1.1844587E+000,-2.3655939E+000, 1.8741334E+000
 3.8000272E+002, 1.0159082E+005, 1.1847160E+000,-2.3597973E+000, 1.8819816E+000
 3.9002601E+002, 1.0159455E+005, 1.1844721E+000,-2.3533318E+000, 1.8901968E+000
 4.0001401E+002, 1.0159816E+005, 1.1849152E+000,-2.3478824E+000, 1.8970737E+000
 4.1000200E+002, 1.0160170E+005, 1.1848319E+000,-2.3456664E+000, 1.9018506E+000
 4.2002530E+002, 1.0160518E+005, 1.1846585E+000,-2.3438013E+000, 1.9073738E+000
 4.3001329E+002, 1.0160860E+005, 1.1847492E+000,-2.3397675E+000, 1.9142767E+000
 4.4000129E+002, 1.0161190E+005, 1.1844481E+000,-2.3311825E+000, 1.9208212E+000
 4.5002458E+002, 1.0161509E+005, 1.1845148E+000,-2.3220041E+000, 1.9263244E+000
 4.6001258E+002, 1.0161819E+005, 1.1848021E+000,-2.3187154E+000, 1.9300697E+000
 4.7000058E+002, 1.0162123E+005, 1.1846870E+000,-2.3145020E+000, 1.9337578E+000
 4.8002387E+002, 1.0162421E+005, 1.1845798E+000,-2.3118061E+000, 1.9379981E+000
 4.9001186E+002, 1.0162713E+005, 1.1844142E+000,-2.3070457E+000, 1.9438744E+000
 5.0003516E+002, 1.0162997E+005, 1.1846126E+000,-2.3014781E+000, 1.9485671E+000
 5.1002315E+002, 1.0163270E+005, 1.1845590E+000,-2.2935439E+000, 1.9545406E+000
 5.2001115E+002, 1.0163534E+005, 1.1847106E+000,-2.2895430E+000, 1.9607219E+000
 5.3003444E+002, 1.0163791E+005, 1.1847543E+000,-2.2861610E+000, 1.9640656E+000
 5.4002244E+002, 1.0164045E+005, 1.1847379E+000,-2.2860426E+000, 1.9677610E+000
 5.5001044E+002, 1.0164292E+005, 1.1848206E+000,-2.2805308E+000, 1.9734119E+000
 5.6003373E+002, 1.0164533E+005, 1.1846515E+000,-2.2777247E+000, 1.9770765E+000
 5.7002172E+002, 1.0164766E+005, 1.1842605E+000,-2.2723794E+000, 1.9825903E+000
 5.8000972E+002, 1.0164992E+005, 1.1843347E+000,-2.2680764E+000, 1.9835682E+000
 5.9003301E+002, 1.0165215E+005, 1.1846751E+000,-2.2629622E+000, 1.9862401E+000
 6.0002101E+002, 1.0165432E+005, 1.1848258E+000,-2.2612944E+000, 1.9884565E+000
 6.1000901E+002, 1.0165645E+005, 1.1849300E+000,-2.2581385E+000, 1.9911852E+000
 6.2003230E+002, 1.0165853E+005, 1.1846824E+000,-2.2533521E+000, 1.9959823E+000
 6.3002030E+002, 1.0166054E+005, 1.1847682E+000,-2.2502507E+000, 1.9989236E+000
 6.4000829E+002, 1.0166251E+005, 1.1846825E+000,-2.2507297E+000, 2.0037184E+000
 6.5003158E+002, 1.0166443E+005, 1.1847863E+000,-2.2438749E+000, 2.0077698E+000
