m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,,m,kW/m2,,
Q1-1-z,Q1-1,YP1-1,ZP1-1,Q1-2-z,Q1-2,YP1-2,ZP1-2,Q1-3-z,Q1-3,YP1-3,ZP1-3,Q1-4-z,Q1-4,YP1-4,ZP1-4,Q1-5-z,Q1-5,YP1-5,ZP1-5,Q2-1-z,Q2-1,YP2-1,ZP2-1,Q2-2-z,Q2-2,YP2-2,ZP2-2,Q2-3-z,Q2-3,YP2-3,ZP2-3,Q2-4-z,Q2-4,YP2-4,ZP2-4,Q2-5-z,Q2-5,YP2-5,ZP2-5
 2.0000000E+001,-6.2689857E-002, 1.0459584E+003, 4.9015478E+000, 2.0000000E+001,-6.2526977E-002, 1.0377187E+003, 4.7030647E+000, 2.0000000E+001,-6.2614384E-002, 1.0438198E+003, 4.8872996E+000, 2.0000000E+001,-6.2554090E-002, 1.0304602E+003, 4.6864341E+000, 2.0000000E+001,-6.2742410E-002, 1.0615042E+003, 5.0754226E+000, 2.0000000E+001, 4.5026926E-002, 1.1631865E+003, 7.5567006E+000, 2.0000000E+001, 4.4749249E-002, 1.1506627E+003, 7.3994733E+000, 2.0000000E+001, 4.4487904E-002, 1.1240699E+003, 7.2025240E+000, 2.0000000E+001, 4.4939252E-002, 1.1542999E+003, 7.4443559E+000, 2.0000000E+001, 4.4357352E-002, 1.1264444E+003, 7.1418976E+000
 2.9655172E+001,-6.2992159E-002, 1.1909803E+003, 6.6368620E+000, 2.9655172E+001,-6.2586313E-002, 1.1527795E+003, 6.1249942E+000, 2.9655172E+001,-6.2776966E-002, 1.1704311E+003, 6.4178842E+000, 2.9655172E+001,-6.2847348E-002, 1.1741442E+003, 6.4740495E+000, 2.9655172E+001,-6.2988652E-002, 1.2015068E+003, 6.6765234E+000, 2.9655172E+001, 4.6814151E-002, 1.2303795E+003, 8.2777367E+000, 2.9655172E+001, 4.6979278E-002, 1.2206069E+003, 8.2132226E+000, 2.9655172E+001, 4.6606308E-002, 1.1972230E+003, 7.9890349E+000, 2.9655172E+001, 4.7017323E-002, 1.2316380E+003, 8.4347316E+000, 2.9655172E+001, 4.6403012E-002, 1.2054713E+003, 8.0712284E+000
 3.9310345E+001,-6.4670591E-002, 1.3197829E+003, 8.7592612E+000, 3.9310345E+001,-6.4185225E-002, 1.2843526E+003, 8.3310826E+000, 3.9310345E+001,-6.4087478E-002, 1.2902028E+003, 8.2792006E+000, 3.9310345E+001,-6.4636721E-002, 1.3143401E+003, 8.6457634E+000, 3.9310345E+001,-6.4382801E-002, 1.3050172E+003, 8.5409641E+000, 3.9310345E+001, 4.9072254E-002, 1.3033900E+003, 9.1473757E+000, 3.9310345E+001, 4.9253582E-002, 1.2952933E+003, 8.9069829E+000, 3.9310345E+001, 4.9241006E-002, 1.3052873E+003, 9.0994046E+000, 3.9310345E+001, 4.9538829E-002, 1.3272226E+003, 9.2504258E+000, 3.9310345E+001, 4.9041034E-002, 1.2892343E+003, 9.1301073E+000
 4.8965517E+001,-6.6767293E-002, 1.4252659E+003, 1.0089501E+001, 4.8965517E+001,-6.6580694E-002, 1.4223317E+003, 9.9976907E+000, 4.8965517E+001,-6.6143323E-002, 1.4000097E+003, 9.7315833E+000, 4.8965517E+001,-6.6466292E-002, 1.4176506E+003, 1.0059251E+001, 4.8965517E+001,-6.6270432E-002, 1.4158664E+003, 1.0115492E+001, 4.8965517E+001, 5.1343870E-002, 1.3756843E+003, 9.7769123E+000, 4.8965517E+001, 5.1658298E-002, 1.3582006E+003, 9.4930129E+000, 4.8965517E+001, 5.1776075E-002, 1.3779683E+003, 9.7760815E+000, 4.8965517E+001, 5.2143809E-002, 1.4091159E+003, 1.0198889E+001, 4.8965517E+001, 5.1900767E-002, 1.3820553E+003, 1.0005338E+001
 5.8620690E+001,-6.8291843E-002, 1.5047985E+003, 1.0940960E+001, 5.8620690E+001,-6.8757983E-002, 1.5155119E+003, 1.1046319E+001, 5.8620690E+001,-6.7814771E-002, 1.4831447E+003, 1.0681671E+001, 5.8620690E+001,-6.8204656E-002, 1.4991540E+003, 1.1035851E+001, 5.8620690E+001,-6.8030136E-002, 1.4974232E+003, 1.0981439E+001, 5.8620690E+001, 5.3243767E-002, 1.4203678E+003, 1.0098078E+001, 5.8620690E+001, 5.3774630E-002, 1.4345828E+003, 1.0218965E+001, 5.8620690E+001, 5.3919891E-002, 1.4454854E+003, 1.0300171E+001, 5.8620690E+001, 5.4373578E-002, 1.4691781E+003, 1.0721461E+001, 5.8620690E+001, 5.3684950E-002, 1.4331317E+003, 1.0367405E+001
 6.8275862E+001,-6.9740172E-002, 1.5744006E+003, 1.1644467E+001, 6.8275862E+001,-7.0431920E-002, 1.5937512E+003, 1.1880887E+001, 6.8275862E+001,-6.9421806E-002, 1.5589446E+003, 1.1396524E+001, 6.8275862E+001,-6.9890348E-002, 1.5855154E+003, 1.1836830E+001, 6.8275862E+001,-6.9956820E-002, 1.5791974E+003, 1.1751586E+001, 6.8275862E+001, 5.5479127E-002, 1.4787524E+003, 1.0666326E+001, 6.8275862E+001, 5.6166706E-002, 1.5150329E+003, 1.0948886E+001, 6.8275862E+001, 5.6078845E-002, 1.5062063E+003, 1.0854005E+001, 6.8275862E+001, 5.6249388E-002, 1.5160940E+003, 1.1040948E+001, 6.8275862E+001, 5.5687584E-002, 1.4960554E+003, 1.0967216E+001
 7.7931034E+001,-7.0937364E-002, 1.6390274E+003, 1.2226407E+001, 7.7931034E+001,-7.1285169E-002, 1.6431817E+003, 1.2197281E+001, 7.7931034E+001,-7.0625301E-002, 1.6265335E+003, 1.2017242E+001, 7.7931034E+001,-7.1110070E-002, 1.6435812E+003, 1.2303049E+001, 7.7931034E+001,-7.1164618E-002, 1.6430649E+003, 1.2191445E+001, 7.7931034E+001, 5.7868960E-002, 1.5468638E+003, 1.1366196E+001, 7.7931034E+001, 5.8466337E-002, 1.5637771E+003, 1.1277198E+001, 7.7931034E+001, 5.8015504E-002, 1.5625696E+003, 1.1383438E+001, 7.7931034E+001, 5.8236956E-002, 1.5723270E+003, 1.1430013E+001, 7.7931034E+001, 5.7780312E-002, 1.5539835E+003, 1.1309451E+001
 8.7586207E+001,-7.2283021E-002, 1.7016435E+003, 1.2767244E+001, 8.7586207E+001,-7.2083242E-002, 1.6904729E+003, 1.2481028E+001, 8.7586207E+001,-7.1467363E-002, 1.6722167E+003, 1.2399149E+001, 8.7586207E+001,-7.2246785E-002, 1.6999893E+003, 1.2673208E+001, 8.7586207E+001,-7.2197143E-002, 1.6950161E+003, 1.2510677E+001, 8.7586207E+001, 6.0183323E-002, 1.6136708E+003, 1.1759647E+001, 8.7586207E+001, 6.0368695E-002, 1.6157184E+003, 1.1573702E+001, 8.7586207E+001, 6.0366568E-002, 1.6168745E+003, 1.1736851E+001, 8.7586207E+001, 6.0330366E-002, 1.6226617E+003, 1.1839318E+001, 8.7586207E+001, 5.9891599E-002, 1.5964263E+003, 1.1570562E+001
 9.7241379E+001,-7.2774072E-002, 1.7295877E+003, 1.2801407E+001, 9.7241379E+001,-7.2728964E-002, 1.7304149E+003, 1.2828878E+001, 9.7241379E+001,-7.2198879E-002, 1.7163548E+003, 1.2626431E+001, 9.7241379E+001,-7.3129089E-002, 1.7478051E+003, 1.3019415E+001, 9.7241379E+001,-7.2685865E-002, 1.7300254E+003, 1.2725383E+001, 9.7241379E+001, 6.1810706E-002, 1.6498187E+003, 1.1931371E+001, 9.7241379E+001, 6.2077773E-002, 1.6581056E+003, 1.2036154E+001, 9.7241379E+001, 6.1996679E-002, 1.6579481E+003, 1.2022417E+001, 9.7241379E+001, 6.2289451E-002, 1.6705978E+003, 1.2107127E+001, 9.7241379E+001, 6.1427494E-002, 1.6299305E+003, 1.1731874E+001
