s,kW/m2,kW/m2,Pa,kg/m3
Time,Q1-0,Q2-0,p0,rho
 0.0000000E+000,-3.0602880E+000, 3.0602880E+000, 1.0132500E+005, 8.8318715E-001
 1.0231580E-001,-1.3947570E+000, 1.5427822E+000, 1.0119236E+005, 8.8236444E-001
 2.0110346E-001,-6.0458344E-001, 7.2931897E-001, 1.0087403E+005, 8.8041779E-001
 3.0341926E-001,-4.6432356E-001, 5.5127690E-001, 1.0066469E+005, 8.7922379E-001
 4.0220692E-001,-3.9355299E-001, 4.6656181E-001, 1.0049346E+005, 8.7822437E-001
 5.0099459E-001,-3.4772401E-001, 4.1406235E-001, 1.0034896E+005, 8.7722673E-001
 6.0331038E-001,-3.1456969E-001, 3.7593829E-001, 1.0022276E+005, 8.7623087E-001
 7.0161090E-001,-2.8569577E-001, 3.4719311E-001, 1.0011096E+005, 8.7525712E-001
 8.0126385E-001,-2.6868313E-001, 3.2882301E-001, 1.0001628E+005, 8.7419102E-001
 9.0128891E-001,-2.8027526E-001, 3.5910691E-001, 9.9937608E+004, 8.7161013E-001
 1.0015848E+000,-3.3435654E-001, 4.2641604E-001, 9.9874461E+004, 8.6747403E-001
 1.1018807E+000,-4.0130752E-001, 4.9442212E-001, 9.9819763E+004, 8.6665603E-001
 1.2021767E+000,-4.4136090E-001, 5.2991656E-001, 9.9762016E+004, 8.6967827E-001
 1.3000263E+000,-4.6048382E-001, 5.5024784E-001, 9.9696987E+004, 8.7409315E-001
 1.4003223E+000,-4.6767569E-001, 5.6093911E-001, 9.9625832E+004, 8.7817733E-001
 1.5001289E+000,-4.7066674E-001, 5.6511996E-001, 9.9543675E+004, 8.8096884E-001
 1.6023818E+000,-4.7463054E-001, 5.6402322E-001, 9.9445844E+004, 8.8218888E-001
 1.7019439E+000,-4.8157563E-001, 5.5728573E-001, 9.9341799E+004, 8.8219134E-001
 1.8001605E+000,-4.8559821E-001, 5.4183471E-001, 9.9247604E+004, 8.8154869E-001
 1.9007989E+000,-4.7688376E-001, 5.1723465E-001, 9.9166800E+004, 8.8072763E-001
 2.0014373E+000,-4.4959263E-001, 5.0221543E-001, 9.9096505E+004, 8.8000212E-001
 2.1020757E+000,-4.4158862E-001, 5.0184980E-001, 9.9038586E+004, 8.7858524E-001
 2.2027141E+000,-4.6180319E-001, 5.0441200E-001, 9.8993952E+004, 8.7710129E-001
 2.3003925E+000,-4.8144216E-001, 5.0698104E-001, 9.8958349E+004, 8.7690892E-001
 2.4010309E+000,-4.8293110E-001, 5.0799856E-001, 9.8926596E+004, 8.7733800E-001
 2.5016693E+000,-4.8041507E-001, 5.0793017E-001, 9.8895849E+004, 8.7754056E-001
 2.6023077E+000,-4.7829330E-001, 5.0749610E-001, 9.8866154E+004, 8.7758237E-001
 2.7029461E+000,-4.8155806E-001, 5.0683351E-001, 9.8837477E+004, 8.7759808E-001
 2.8006245E+000,-4.8473218E-001, 5.0605909E-001, 9.8810272E+004, 8.7771658E-001
 2.9012629E+000,-4.8305875E-001, 5.0522778E-001, 9.8784249E+004, 8.7794863E-001
 3.0019013E+000,-4.8266482E-001, 5.0403279E-001, 9.8759315E+004, 8.7811704E-001
 3.1025397E+000,-4.8378624E-001, 5.0251675E-001, 9.8736122E+004, 8.7823756E-001
 3.2002181E+000,-4.8459781E-001, 5.0107099E-001, 9.8715114E+004, 8.7837890E-001
 3.3008565E+000,-4.8491154E-001, 5.0000278E-001, 9.8696005E+004, 8.7851850E-001
 3.4014949E+000,-4.8522837E-001, 4.9935791E-001, 9.8678552E+004, 8.7861715E-001
 3.5021333E+000,-4.8576443E-001, 4.9899382E-001, 9.8663029E+004, 8.7866291E-001
 3.6027717E+000,-4.8648235E-001, 4.9873577E-001, 9.8649269E+004, 8.7866610E-001
 3.7004501E+000,-4.8721820E-001, 4.9852976E-001, 9.8637213E+004, 8.7864100E-001
 3.8010885E+000,-4.8785173E-001, 4.9836844E-001, 9.8626420E+004, 8.7859795E-001
 3.9017269E+000,-4.8835449E-001, 4.9822583E-001, 9.8616595E+004, 8.7854652E-001
 4.0023653E+000,-4.8877626E-001, 4.9806400E-001, 9.8607790E+004, 8.7849918E-001
 4.1000437E+000,-4.8909760E-001, 4.9786962E-001, 9.8599998E+004, 8.7846563E-001
 4.2006821E+000,-4.8936654E-001, 4.9766366E-001, 9.8592989E+004, 8.7844712E-001
 4.3013205E+000,-4.8960015E-001, 4.9746035E-001, 9.8586583E+004, 8.7844173E-001
 4.4019589E+000,-4.8980897E-001, 4.9726054E-001, 9.8580820E+004, 8.7844984E-001
 4.5025973E+000,-4.9002369E-001, 4.9705535E-001, 9.8575654E+004, 8.7847304E-001
 4.6002757E+000,-4.9022455E-001, 4.9684828E-001, 9.8571099E+004, 8.7851100E-001
 4.7009141E+000,-4.9040122E-001, 4.9664744E-001, 9.8567020E+004, 8.7856020E-001
 4.8015525E+000,-4.9056719E-001, 4.9646048E-001, 9.8563305E+004, 8.7861537E-001
 4.9021909E+000,-4.9071930E-001, 4.9629246E-001, 9.8559972E+004, 8.7867157E-001
 5.0028293E+000,-4.9086503E-001, 4.9614036E-001, 9.8556983E+004, 8.7872634E-001
 5.1005077E+000,-4.9100153E-001, 4.9600387E-001, 9.8554339E+004, 8.7877647E-001
 5.2011461E+000,-4.9111968E-001, 4.9588210E-001, 9.8551955E+004, 8.7881954E-001
 5.3017845E+000,-4.9121564E-001, 4.9577480E-001, 9.8549764E+004, 8.7885320E-001
 5.4024229E+000,-4.9129545E-001, 4.9568257E-001, 9.8547782E+004, 8.7887592E-001
 5.5001013E+000,-4.9136439E-001, 4.9560348E-001, 9.8546015E+004, 8.7888894E-001
 5.6007397E+000,-4.9142731E-001, 4.9553440E-001, 9.8544419E+004, 8.7889435E-001
 5.7013781E+000,-4.9148092E-001, 4.9547446E-001, 9.8542952E+004, 8.7889352E-001
 5.8020165E+000,-4.9152127E-001, 4.9542471E-001, 9.8541621E+004, 8.7888773E-001
 5.9026549E+000,-4.9155375E-001, 4.9538318E-001, 9.8540414E+004, 8.7887909E-001
 6.0003333E+000,-4.9158280E-001, 4.9534732E-001, 9.8539339E+004, 8.7887032E-001
 6.1009717E+000,-4.9161248E-001, 4.9531449E-001, 9.8538366E+004, 8.7886324E-001
 6.2016101E+000,-4.9164174E-001, 4.9528354E-001, 9.8537471E+004, 8.7885874E-001
 6.3022485E+000,-4.9166768E-001, 4.9525464E-001, 9.8536660E+004, 8.7885738E-001
 6.4028869E+000,-4.9169242E-001, 4.9522674E-001, 9.8535924E+004, 8.7885945E-001
 6.5005653E+000,-4.9171888E-001, 4.9519901E-001, 9.8535267E+004, 8.7886500E-001
