s,m,m/s
Time,x,U10
 0.000E+00, 6.905E+02, 1.374E-02
 1.129E+00, 8.833E+02, 6.180E-01
 2.032E+00, 6.905E+02, 1.638E+00
 3.018E+00, 6.905E+02, 2.494E+00
 4.077E+00, 6.905E+02, 3.077E+00
 5.017E+00, 6.905E+02, 3.597E+00
 6.018E+00, 6.905E+02, 4.006E+00
 7.050E+00, 6.908E+02, 4.451E+00
 8.023E+00, 6.921E+02, 4.858E+00
 9.031E+00, 6.906E+02, 5.215E+00
 1.004E+01, 6.908E+02, 5.772E+00
 1.102E+01, 6.905E+02, 5.738E+00
 1.203E+01, 6.905E+02, 4.990E+00
 1.301E+01, 6.905E+02, 5.400E+00
 1.402E+01, 6.908E+02, 5.197E+00
 1.501E+01, 6.951E+02, 6.020E+00
 1.600E+01, 6.964E+02, 5.716E+00
 1.702E+01, 7.013E+02, 5.651E+00
 1.801E+01, 7.049E+02, 5.475E+00
 1.901E+01, 7.125E+02, 5.483E+00
 2.001E+01, 7.155E+02, 4.996E+00
 2.101E+01, 7.210E+02, 5.313E+00
 2.201E+01, 7.289E+02, 5.189E+00
 2.301E+01, 7.343E+02, 5.557E+00
 2.401E+01, 7.410E+02, 5.279E+00
 2.501E+01, 7.495E+02, 4.596E+00
 2.601E+01, 7.524E+02, 5.316E+00
 2.700E+01, 7.598E+02, 6.205E+00
 2.801E+01, 7.665E+02, 5.866E+00
 2.900E+01, 7.727E+02, 4.995E+00
 3.000E+01, 7.820E+02, 4.909E+00
 3.101E+01, 7.892E+02, 4.664E+00
 3.201E+01, 7.936E+02, 5.877E+00
 3.301E+01, 7.997E+02, 5.601E+00
 3.401E+01, 8.022E+02, 6.541E+00
 3.500E+01, 8.080E+02, 5.318E+00
 3.600E+01, 8.133E+02, 5.051E+00
 3.701E+01, 8.173E+02, 5.683E+00
 3.800E+01, 8.230E+02, 5.120E+00
 3.901E+01, 8.274E+02, 5.784E+00
 4.001E+01, 8.346E+02, 5.791E+00
 4.100E+01, 8.424E+02, 5.285E+00
 4.200E+01, 8.526E+02, 5.723E+00
 4.300E+01, 8.577E+02, 5.821E+00
 4.401E+01, 8.666E+02, 5.197E+00
 4.501E+01, 8.726E+02, 6.163E+00
 4.600E+01, 8.772E+02, 6.029E+00
 4.701E+01, 8.826E+02, 4.916E+00
 4.801E+01, 8.863E+02, 6.038E+00
 4.900E+01, 8.884E+02, 5.204E+00
 5.001E+01, 8.919E+02, 5.401E+00
 5.101E+01, 8.972E+02, 4.943E+00
 5.200E+01, 9.023E+02, 6.291E+00
 5.301E+01, 9.140E+02, 6.178E+00
 5.401E+01, 9.204E+02, 4.873E+00
 5.500E+01, 9.227E+02, 4.875E+00
 5.601E+01, 9.263E+02, 5.839E+00
 5.701E+01, 9.323E+02, 5.057E+00
 5.800E+01, 9.345E+02, 5.480E+00
 5.900E+01, 9.420E+02, 5.269E+00
 6.001E+01, 9.439E+02, 5.516E+00
