s,m,m/s
Time,"x","U10"
 0.000E+00, 6.905E+02, 1.374E-02
 1.118E+00, 7.989E+02, 8.832E-01
 2.012E+00, 6.905E+02, 2.178E+00
 3.097E+00, 6.905E+02, 3.417E+00
 4.043E+00, 6.905E+02, 4.795E+00
 5.009E+00, 6.905E+02, 6.186E+00
 6.015E+00, 6.906E+02, 6.895E+00
 7.024E+00, 6.954E+02, 8.560E+00
 8.003E+00, 7.025E+02, 9.042E+00
 9.025E+00, 6.905E+02, 1.088E+01
 1.001E+01, 6.905E+02, 1.346E+01
 1.101E+01, 6.905E+02, 1.358E+01
 1.202E+01, 6.905E+02, 1.451E+01
 1.300E+01, 6.905E+02, 1.368E+01
 1.402E+01, 6.905E+02, 1.353E+01
 1.501E+01, 6.905E+02, 1.463E+01
 1.600E+01, 6.908E+02, 1.430E+01
 1.700E+01, 6.916E+02, 1.458E+01
 1.800E+01, 6.905E+02, 1.334E+01
 1.900E+01, 6.905E+02, 1.355E+01
 2.001E+01, 6.907E+02, 1.434E+01
 2.101E+01, 6.905E+02, 1.360E+01
 2.201E+01, 6.905E+02, 1.442E+01
 2.301E+01, 6.905E+02, 1.278E+01
 2.401E+01, 6.905E+02, 1.255E+01
 2.502E+01, 6.906E+02, 1.406E+01
 2.601E+01, 6.905E+02, 1.206E+01
 2.701E+01, 6.921E+02, 1.162E+01
 2.801E+01, 6.956E+02, 1.309E+01
 2.902E+01, 6.905E+02, 1.371E+01
 3.001E+01, 6.905E+02, 1.395E+01
 3.100E+01, 6.908E+02, 1.414E+01
 3.202E+01, 6.905E+02, 1.283E+01
 3.300E+01, 6.906E+02, 1.415E+01
 3.401E+01, 6.922E+02, 1.225E+01
 3.502E+01, 6.938E+02, 1.304E+01
 3.601E+01, 6.924E+02, 1.332E+01
 3.702E+01, 6.980E+02, 1.267E+01
 3.800E+01, 7.040E+02, 1.195E+01
 3.901E+01, 7.098E+02, 1.319E+01
 4.000E+01, 7.129E+02, 1.252E+01
 4.102E+01, 7.145E+02, 1.321E+01
 4.201E+01, 7.223E+02, 1.387E+01
 4.301E+01, 7.300E+02, 1.547E+01
 4.401E+01, 7.975E+02, 1.451E+01
 4.502E+01, 8.015E+02, 1.466E+01
 4.601E+01, 8.051E+02, 1.351E+01
 4.701E+01, 8.093E+02, 1.302E+01
 4.801E+01, 8.049E+02, 1.237E+01
 4.901E+01, 8.021E+02, 1.428E+01
 5.001E+01, 8.065E+02, 1.460E+01
 5.100E+01, 8.118E+02, 1.584E+01
 5.201E+01, 8.165E+02, 1.431E+01
 5.302E+01, 8.194E+02, 1.506E+01
 5.401E+01, 8.123E+02, 1.457E+01
 5.501E+01, 8.189E+02, 1.394E+01
 5.601E+01, 8.314E+02, 1.349E+01
 5.700E+01, 8.212E+02, 1.360E+01
 5.802E+01, 8.243E+02, 1.462E+01
 5.900E+01, 8.260E+02, 1.238E+01
 6.000E+01, 8.288E+02, 1.476E+01
 6.102E+01, 8.326E+02, 1.416E+01
 6.201E+01, 8.376E+02, 1.358E+01
 6.300E+01, 8.443E+02, 1.249E+01
 6.401E+01, 8.322E+02, 1.367E+01
 6.501E+01, 8.406E+02, 1.374E+01
 6.601E+01, 8.588E+02, 1.435E+01
 6.701E+01, 8.634E+02, 1.534E+01
 6.802E+01, 8.608E+02, 1.381E+01
 6.901E+01, 8.256E+02, 1.348E+01
 7.000E+01, 8.265E+02, 1.191E+01
 7.101E+01, 8.265E+02, 1.329E+01
 7.200E+01, 8.265E+02, 1.377E+01
 7.302E+01, 8.265E+02, 1.339E+01
 7.401E+01, 8.270E+02, 1.227E+01
 7.502E+01, 8.379E+02, 1.402E+01
 7.600E+01, 9.044E+02, 1.473E+01
 7.701E+01, 9.079E+02, 1.237E+01
 7.801E+01, 9.012E+02, 1.140E+01
 7.901E+01, 9.005E+02, 1.422E+01
 8.001E+01, 9.068E+02, 1.420E+01
 8.101E+01, 8.909E+02, 1.377E+01
 8.203E+01, 8.894E+02, 1.202E+01
 8.301E+01, 8.896E+02, 1.280E+01
 8.401E+01, 8.922E+02, 1.365E+01
 8.501E+01, 8.929E+02, 1.543E+01
 8.601E+01, 8.928E+02, 1.286E+01
 8.702E+01, 8.936E+02, 1.172E+01
 8.800E+01, 8.942E+02, 1.352E+01
 8.901E+01, 8.926E+02, 1.244E+01
 9.000E+01, 8.955E+02, 1.503E+01
 9.100E+01, 8.973E+02, 1.326E+01
 9.201E+01, 8.975E+02, 1.377E+01
 9.302E+01, 8.976E+02, 1.284E+01
 9.401E+01, 8.995E+02, 1.397E+01
 9.500E+01, 8.995E+02, 1.228E+01
 9.602E+01, 8.995E+02, 1.291E+01
