s,mol/mol,kW
Time,VF,HRR
 0.0000000E+000, 1.4080167E-001, 0.0000000E+000
 5.0226607E-002, 1.4080167E-001, 0.0000000E+000
 1.0011810E-001, 1.4080167E-001, 0.0000000E+000
 1.5012015E-001, 1.4080167E-001, 0.0000000E+000
 2.0018068E-001, 1.4080167E-001, 6.0106022E-008
 2.5008356E-001, 1.4080167E-001, 6.5351149E-006
 3.0011883E-001, 1.4080167E-001, 2.8659990E-006
 3.5017852E-001, 1.4080167E-001, 3.7218926E-006
 4.0004312E-001, 1.4080167E-001, 3.8121951E-006
 4.5011208E-001, 1.4080167E-001, 4.1295296E-006
 5.0018104E-001, 1.4080167E-001, 4.0490298E-006
 5.5004564E-001, 1.4080167E-001, 4.6594451E-006
 6.0010855E-001, 1.4080167E-001, 4.3383042E-006
 6.5009203E-001, 1.4080167E-001, 4.6348953E-006
 7.0005641E-001, 1.4080167E-001, 4.4247954E-006
 7.5000130E-001, 1.4080167E-001, 4.6589007E-006
 8.0011516E-001, 1.4080167E-001, 4.6476302E-006
 8.5001552E-001, 1.4080167E-001, 4.5461749E-006
 9.0010830E-001, 1.4080167E-001, 4.2007489E-006
 9.5014613E-001, 1.4080167E-001, 4.9348005E-006
 1.0000599E+000, 1.4080167E-001, 4.5597281E-006
 1.0500917E+000, 1.4080167E-001, 5.0362841E-006
 1.1001229E+000, 1.4080167E-001, 5.3225128E-006
 1.1500136E+000, 1.4080167E-001, 4.9110444E-006
 1.2000681E+000, 1.4080167E-001, 5.0833919E-006
 1.2500339E+000, 1.4080167E-001, 5.1626538E-006
 1.3000856E+000, 1.4080167E-001, 4.7656561E-006
 1.3500131E+000, 1.4080167E-001, 5.5837211E-006
 1.4001178E+000, 1.4080167E-001, 5.0859531E-006
 1.4501120E+000, 1.4080167E-001, 5.9623861E-006
 1.5001746E+000, 1.4080167E-001, 5.6060482E-006
 1.5501898E+000, 1.4080167E-001, 7.0956924E-006
 1.6001635E+000, 1.4080167E-001, 5.9799155E-006
 1.6501802E+000, 1.4080167E-001, 7.1559412E-006
 1.7001273E+000, 1.4080167E-001, 6.2983102E-006
 1.7501814E+000, 1.4080167E-001, 7.1478306E-006
 1.8001328E+000, 1.4080167E-001, 6.6356994E-006
 1.8500910E+000, 1.4080167E-001, 6.4930993E-006
 1.9001442E+000, 1.4080167E-001, 7.0064442E-006
 1.9500015E+000, 1.4080167E-001, 6.6541220E-006
 2.0001008E+000, 1.4080167E-001, 7.5660810E-006
 2.0501420E+000, 1.4080167E-001, 6.1253336E-006
 2.1000373E+000, 1.4080167E-001, 7.7345119E-006
 2.1500018E+000, 1.4080167E-001, 6.4632186E-006
 2.2000277E+000, 1.4080179E-001, 7.8666884E-006
 2.2501230E+000, 1.4080454E-001, 6.5334721E-006
 2.3000827E+000, 1.4082142E-001, 7.6653773E-006
 2.3501079E+000, 1.4086817E-001, 6.9313224E-006
 2.4000911E+000, 1.4094639E-001, 7.4489716E-006
 2.4500171E+000, 1.4104731E-001, 7.2246628E-006
 2.5000278E+000, 1.4116091E-001, 6.8265405E-006
 2.5500653E+000, 1.4128449E-001, 7.7369496E-006
 2.6001995E+000, 1.4141449E-001, 6.8938214E-006
 2.6501082E+000, 1.4155034E-001, 7.8183941E-006
 2.7000886E+000, 1.4169027E-001, 6.7608087E-006
 2.7500787E+000, 1.4183356E-001, 7.8329620E-006
 2.8001731E+000, 1.4198036E-001, 6.6781832E-006
 2.8500776E+000, 1.4212791E-001, 7.8897433E-006
 2.9001793E+000, 1.4227821E-001, 6.7802156E-006
 2.9501132E+000, 1.4242797E-001, 7.7422744E-006
 3.0001005E+000, 1.4257983E-001, 7.1028766E-006
 3.0501671E+000, 1.4273071E-001, 7.3400350E-006
 3.1000937E+000, 1.4288334E-001, 7.5752150E-006
 3.1501540E+000, 1.4303468E-001, 6.7723641E-006
 3.2000893E+000, 1.4318732E-001, 7.8731094E-006
 3.2500099E+000, 1.4333893E-001, 6.8052211E-006
 3.3000395E+000, 1.4349120E-001, 7.8486020E-006
 3.3501493E+000, 1.4364363E-001, 6.7534799E-006
 3.4000783E+000, 1.4379558E-001, 7.8818662E-006
 3.4500173E+000, 1.4394797E-001, 6.6656736E-006
 3.5001471E+000, 1.4409961E-001, 7.8889368E-006
 3.5500954E+000, 1.4425259E-001, 6.7970093E-006
 3.6001158E+000, 1.4440388E-001, 7.6523969E-006
 3.6501698E+000, 1.4455694E-001, 7.0626478E-006
 3.7001845E+000, 1.4470831E-001, 7.2196013E-006
 3.7501758E+000, 1.4486121E-001, 7.5651172E-006
 3.8001240E+000, 1.4501253E-001, 6.7587741E-006
 3.8500544E+000, 1.4516502E-001, 7.8210369E-006
 3.9000974E+000, 1.4531669E-001, 6.7162698E-006
 3.9500557E+000, 1.4546903E-001, 7.7788368E-006
 4.0001341E+000, 1.4562116E-001, 6.5737444E-006
 4.0500875E+000, 1.4577319E-001, 7.8049798E-006
 4.1001562E+000, 1.4592567E-001, 6.6120852E-006
 4.1501726E+000, 1.4607751E-001, 7.7996803E-006
 4.2001066E+000, 1.4623016E-001, 6.7561595E-006
 4.2500398E+000, 1.4638145E-001, 7.6513519E-006
 4.3001248E+000, 1.4653437E-001, 6.9278596E-006
 4.3501466E+000, 1.4668597E-001, 7.3098778E-006
 4.4001206E+000, 1.4683893E-001, 7.3534403E-006
 4.4500051E+000, 1.4699025E-001, 6.8533454E-006
 4.5000958E+000, 1.4714311E-001, 7.6788187E-006
 4.5501135E+000, 1.4729500E-001, 6.6399312E-006
 4.6000628E+000, 1.4744766E-001, 7.7233776E-006
 4.6500895E+000, 1.4759964E-001, 6.6295839E-006
 4.7000469E+000, 1.4775207E-001, 7.7236737E-006
 4.7500956E+000, 1.4790445E-001, 6.4876658E-006
 4.8001324E+000, 1.4805676E-001, 7.7158811E-006
 4.8501813E+000, 1.4820965E-001, 6.5140024E-006
 4.9001868E+000, 1.4836163E-001, 7.6844867E-006
 4.9500321E+000, 1.4851442E-001, 6.6483135E-006
 5.0000241E+000, 1.4866588E-001, 7.4532864E-006
 5.0500274E+000, 1.4881909E-001, 6.9148786E-006
 5.1000329E+000, 1.4897081E-001, 7.0423876E-006
 5.1501883E+000, 1.4912431E-001, 7.3231625E-006
 5.2000790E+000, 1.4927623E-001, 6.6444173E-006
 5.2501701E+000, 1.4942934E-001, 7.5933437E-006
 5.3001211E+000, 1.4958153E-001, 6.5757805E-006
