s,mol/mol,kW
Time,VF,HRR
 0.0000000E+000, 2.0474053E-001, 0.0000000E+000
 5.0882947E-002, 2.0474053E-001, 0.0000000E+000
 1.0048401E-001, 2.0474053E-001, 0.0000000E+000
 1.5004245E-001, 2.0474053E-001, 0.0000000E+000
 2.0035429E-001, 2.0474053E-001, 1.0398478E-004
 2.5016192E-001, 2.0474053E-001, 4.0828040E-002
 3.0013656E-001, 2.0474053E-001, 1.5251226E-002
 3.5015146E-001, 2.0474053E-001, 2.0889876E-002
 4.0017846E-001, 2.0474053E-001, 2.2451413E-002
 4.5015810E-001, 2.0474053E-001, 2.4824971E-002
 5.0002874E-001, 2.0474053E-001, 2.4141462E-002
 5.5010039E-001, 2.0474053E-001, 2.4591690E-002
 6.0002635E-001, 2.0474053E-001, 2.3954909E-002
 6.5019093E-001, 2.0474053E-001, 2.6923911E-002
 7.0008660E-001, 2.0474053E-001, 2.7113864E-002
 7.5015245E-001, 2.0474053E-001, 2.5386273E-002
 8.0000553E-001, 2.0474053E-001, 2.5814956E-002
 8.5006127E-001, 2.0474053E-001, 2.3917979E-002
 9.0011701E-001, 2.0474053E-001, 2.5968932E-002
 9.5017275E-001, 2.0474053E-001, 2.3642050E-002
 1.0001272E+000, 2.0474053E-001, 2.6732278E-002
 1.0500456E+000, 2.0474053E-001, 2.5032705E-002
 1.1000826E+000, 2.0474053E-001, 2.5879278E-002
 1.1501053E+000, 2.0474053E-001, 2.6719507E-002
 1.2000421E+000, 2.0474053E-001, 2.6829069E-002
 1.2501833E+000, 2.0474053E-001, 2.7066606E-002
 1.3001890E+000, 2.0474053E-001, 2.6879345E-002
 1.3501948E+000, 2.0474053E-001, 3.3504061E-002
 1.4000258E+000, 2.0474053E-001, 2.7949342E-002
 1.4500982E+000, 2.0474053E-001, 3.3885207E-002
 1.5002043E+000, 2.0474053E-001, 3.3894864E-002
 1.5500508E+000, 2.0474053E-001, 3.5955977E-002
 1.6000812E+000, 2.0474053E-001, 3.4920361E-002
 1.6500460E+000, 2.0474053E-001, 3.3919780E-002
 1.7000889E+000, 2.0474053E-001, 3.4317450E-002
 1.7500061E+000, 2.0474053E-001, 3.8345307E-002
 1.8000664E+000, 2.0474053E-001, 3.8502012E-002
 1.8501831E+000, 2.0474053E-001, 3.5277791E-002
 1.9000928E+000, 2.0474053E-001, 3.7860716E-002
 1.9500240E+000, 2.0474053E-001, 3.8350569E-002
 2.0000204E+000, 2.0474053E-001, 3.6388640E-002
 2.0500089E+000, 2.0474053E-001, 3.8777603E-002
 2.1000121E+000, 2.0474053E-001, 4.0274445E-002
 2.1500101E+000, 2.0474053E-001, 4.0328617E-002
 2.2000414E+000, 2.0474053E-001, 3.9340963E-002
 2.2501685E+000, 2.0474104E-001, 4.0046223E-002
 2.3001575E+000, 2.0475288E-001, 3.9893693E-002
 2.3500189E+000, 2.0481159E-001, 4.1072786E-002
 2.4001409E+000, 2.0492475E-001, 4.0623891E-002
 2.4501063E+000, 2.0506516E-001, 4.0383448E-002
 2.5001881E+000, 2.0522042E-001, 4.0525839E-002
 2.5501312E+000, 2.0538733E-001, 4.1525006E-002
 2.6002185E+000, 2.0556409E-001, 4.1766762E-002
 2.6501629E+000, 2.0574886E-001, 4.2231174E-002
 2.7001257E+000, 2.0593962E-001, 4.0948479E-002
 2.7500070E+000, 2.0613446E-001, 4.2837959E-002
 2.8000342E+000, 2.0633313E-001, 4.2581120E-002
 2.8500510E+000, 2.0653409E-001, 4.1468641E-002
 2.9000232E+000, 2.0673646E-001, 4.3282934E-002
 2.9501331E+000, 2.0694016E-001, 4.1994386E-002
 3.0001721E+000, 2.0714426E-001, 4.1549214E-002
 3.0500035E+000, 2.0734826E-001, 4.2647086E-002
 3.1000426E+000, 2.0755238E-001, 4.1070676E-002
 3.1500817E+000, 2.0775679E-001, 4.1635323E-002
 3.2001207E+000, 2.0796141E-001, 4.2422946E-002
 3.2501598E+000, 2.0816593E-001, 4.1217437E-002
 3.3001989E+000, 2.0837032E-001, 4.1488563E-002
 3.3500303E+000, 2.0857432E-001, 4.1954310E-002
 3.4000693E+000, 2.0877818E-001, 4.0766167E-002
 3.4501084E+000, 2.0898243E-001, 4.1424609E-002
 3.5001475E+000, 2.0918665E-001, 4.1065635E-002
 3.5501865E+000, 2.0939077E-001, 4.0432693E-002
 3.6000180E+000, 2.0959446E-001, 4.1096753E-002
 3.6500570E+000, 2.0979810E-001, 4.0693457E-002
 3.7000961E+000, 2.1000210E-001, 4.0306990E-002
 3.7501351E+000, 2.1020609E-001, 4.0365408E-002
 3.8001742E+000, 2.1041004E-001, 4.0290234E-002
 3.8500056E+000, 2.1061353E-001, 4.0036322E-002
 3.9000447E+000, 2.1081699E-001, 4.0468083E-002
 3.9500837E+000, 2.1102086E-001, 3.9893398E-002
 4.0001228E+000, 2.1122466E-001, 3.9711289E-002
 4.0501619E+000, 2.1142849E-001, 3.9664024E-002
 4.1002009E+000, 2.1163231E-001, 3.9486350E-002
 4.1500324E+000, 2.1183563E-001, 3.9487109E-002
 4.2000714E+000, 2.1203900E-001, 3.9684809E-002
 4.2501105E+000, 2.1224275E-001, 3.8926873E-002
 4.3001495E+000, 2.1244646E-001, 3.9380420E-002
 4.3501886E+000, 2.1265022E-001, 3.9309717E-002
 4.4000200E+000, 2.1285350E-001, 3.8905529E-002
 4.4500591E+000, 2.1305676E-001, 3.8826769E-002
 4.5000981E+000, 2.1326049E-001, 3.8891963E-002
 4.5501372E+000, 2.1346415E-001, 3.8887632E-002
 4.6001763E+000, 2.1366783E-001, 3.8843697E-002
 4.6500077E+000, 2.1387110E-001, 3.8684821E-002
 4.7000468E+000, 2.1407431E-001, 3.7938969E-002
 4.7500858E+000, 2.1427798E-001, 3.7918266E-002
 4.8001249E+000, 2.1448164E-001, 3.7958697E-002
 4.8501639E+000, 2.1468525E-001, 3.7937235E-002
 4.9002030E+000, 2.1488889E-001, 3.7896994E-002
 4.9500344E+000, 2.1509207E-001, 3.7939941E-002
 5.0000735E+000, 2.1529527E-001, 3.7951667E-002
 5.0501125E+000, 2.1549890E-001, 3.7908003E-002
 5.1001516E+000, 2.1570249E-001, 3.7915423E-002
 5.1501907E+000, 2.1590611E-001, 3.7069119E-002
 5.2000221E+000, 2.1610929E-001, 3.6959944E-002
 5.2500612E+000, 2.1631245E-001, 3.6932578E-002
 5.3001002E+000, 2.1651608E-001, 3.6946261E-002
 5.3501393E+000, 2.1671965E-001, 3.6948440E-002
