s,mol/mol,kW
Time,"VF","HRR"
 0.0000000E+000, 2.3634489E-001, 0.0000000E+000
 5.0318848E-002, 2.3634489E-001, 0.0000000E+000
 1.0031846E-001, 2.3634489E-001, 0.0000000E+000
 1.5009551E-001, 2.3634489E-001, 0.0000000E+000
 2.0030052E-001, 2.3634489E-001, 4.0533919E-012
 2.5029533E-001, 2.3634489E-001, 4.1752237E-006
 3.0006167E-001, 2.3634489E-001, 1.0863751E-005
 3.5023032E-001, 2.3634489E-001, 2.8292024E-006
 4.0012496E-001, 2.3634489E-001, 3.2457562E-006
 4.5016704E-001, 2.3634489E-001, 3.8727388E-006
 5.0007714E-001, 2.3634489E-001, 3.9068773E-006
 5.5019519E-001, 2.3634489E-001, 4.2175802E-006
 6.0010529E-001, 2.3634489E-001, 4.2200446E-006
 6.5001539E-001, 2.3634489E-001, 4.0702949E-006
 7.0002946E-001, 2.3634489E-001, 3.5926673E-006
 7.5001703E-001, 2.3634489E-001, 4.2571260E-006
 8.0010412E-001, 2.3634489E-001, 3.8525504E-006
 8.5011284E-001, 2.3634489E-001, 4.0870119E-006
 9.0008659E-001, 2.3634489E-001, 4.8967506E-006
 9.5009642E-001, 2.3634489E-001, 4.5618838E-006
 1.0001728E+000, 2.3634489E-001, 5.1890191E-006
 1.0500870E+000, 2.3634489E-001, 5.0891003E-006
 1.1000870E+000, 2.3634489E-001, 4.8851584E-006
 1.1500824E+000, 2.3634489E-001, 5.4599718E-006
 1.2000576E+000, 2.3634489E-001, 5.3309251E-006
 1.2500988E+000, 2.3634489E-001, 5.7956613E-006
 1.3001600E+000, 2.3634489E-001, 5.4528034E-006
 1.3501208E+000, 2.3634489E-001, 5.8043173E-006
 1.4000807E+000, 2.3634489E-001, 6.7754610E-006
 1.4500746E+000, 2.3634489E-001, 5.7754347E-006
 1.5001531E+000, 2.3634489E-001, 6.8037484E-006
 1.5500198E+000, 2.3634489E-001, 5.8037332E-006
 1.6001371E+000, 2.3634489E-001, 6.5536994E-006
 1.6500446E+000, 2.3634489E-001, 6.4690192E-006
 1.7001832E+000, 2.3634489E-001, 6.9910725E-006
 1.7500894E+000, 2.3634489E-001, 6.8931209E-006
 1.8001590E+000, 2.3634489E-001, 7.7183689E-006
 1.8500750E+000, 2.3634489E-001, 7.0636004E-006
 1.9000545E+000, 2.3634489E-001, 8.3105471E-006
 1.9500958E+000, 2.3634489E-001, 6.7708267E-006
 2.0001497E+000, 2.3634489E-001, 7.6074774E-006
 2.0500841E+000, 2.3634489E-001, 6.9959030E-006
 2.1000211E+000, 2.3634489E-001, 7.2032018E-006
 2.1500218E+000, 2.3634489E-001, 7.6326755E-006
 2.2001937E+000, 2.3634490E-001, 7.3896081E-006
 2.2501891E+000, 2.3634546E-001, 8.0224995E-006
 2.3000948E+000, 2.3635627E-001, 8.4522417E-006
 2.3500234E+000, 2.3640375E-001, 7.8201325E-006
 2.4000215E+000, 2.3648997E-001, 8.4784123E-006
 2.4500020E+000, 2.3659583E-001, 7.5991343E-006
 2.5001162E+000, 2.3671256E-001, 8.1215457E-006
 2.5500327E+000, 2.3683673E-001, 8.3935931E-006
 2.6001456E+000, 2.3696824E-001, 7.6126652E-006
 2.6501086E+000, 2.3710617E-001, 8.2069291E-006
 2.7000111E+000, 2.3724761E-001, 8.0914931E-006
 2.7500137E+000, 2.3739227E-001, 8.0500599E-006
 2.8001556E+000, 2.3753995E-001, 7.9694725E-006
 2.8500879E+000, 2.3768937E-001, 8.2550279E-006
 2.9000507E+000, 2.3783842E-001, 8.2380243E-006
 2.9501105E+000, 2.3798895E-001, 8.0238921E-006
 3.0001180E+000, 2.3814030E-001, 8.0322150E-006
 3.0502046E+000, 2.3829195E-001, 8.2656508E-006
 3.1002089E+000, 2.3844288E-001, 8.1854889E-006
 3.1501068E+000, 2.3859398E-001, 8.1667492E-006
 3.2000662E+000, 2.3874506E-001, 8.1446859E-006
 3.2501619E+000, 2.3889680E-001, 7.6106125E-006
 3.3000157E+000, 2.3904820E-001, 8.1363827E-006
 3.3500479E+000, 2.3919843E-001, 8.0236090E-006
 3.4000694E+000, 2.3934969E-001, 7.6961142E-006
 3.4501505E+000, 2.3950146E-001, 8.1136656E-006
 3.5000570E+000, 2.3965268E-001, 7.8366674E-006
 3.5500342E+000, 2.3980318E-001, 8.1095874E-006
 3.6001215E+000, 2.3995446E-001, 7.6751992E-006
 3.6500573E+000, 2.4010570E-001, 8.3648368E-006
 3.7000300E+000, 2.4025636E-001, 7.8288890E-006
 3.7500035E+000, 2.4040729E-001, 7.6119104E-006
 3.8000175E+000, 2.4055866E-001, 8.1972731E-006
 3.8500810E+000, 2.4070973E-001, 8.1737802E-006
 3.9002253E+000, 2.4086113E-001, 7.7295812E-006
 3.9501595E+000, 2.4101220E-001, 7.9632121E-006
 4.0000538E+000, 2.4116323E-001, 7.8849752E-006
 4.0502234E+000, 2.4131385E-001, 7.7699658E-006
 4.1000364E+000, 2.4146508E-001, 7.9634778E-006
 4.1500369E+000, 2.4161619E-001, 7.8460747E-006
 4.2000387E+000, 2.4176721E-001, 7.6481047E-006
 4.2500109E+000, 2.4191808E-001, 7.7638644E-006
 4.3001858E+000, 2.4206962E-001, 7.5330354E-006
 4.3501935E+000, 2.4222172E-001, 8.4183023E-006
 4.4001326E+000, 2.4237206E-001, 8.1307165E-006
 4.4500244E+000, 2.4252255E-001, 7.4774716E-006
 4.5001549E+000, 2.4267426E-001, 8.0057611E-006
 4.5500355E+000, 2.4282571E-001, 7.9955600E-006
 4.6001180E+000, 2.4297594E-001, 7.7975118E-006
 4.6500770E+000, 2.4312726E-001, 7.6375793E-006
 4.7001451E+000, 2.4327867E-001, 7.8623036E-006
 4.7500839E+000, 2.4343002E-001, 8.0667313E-006
