s,mol/mol,kW
Time,"VF","HRR"
 0.0000000E+000, 6.0702751E-001, 0.0000000E+000
 5.0070513E-002, 6.0702751E-001, 0.0000000E+000
 1.0005876E-001, 6.0702751E-001, 1.0203196E-011
 1.5004700E-001, 6.0702751E-001, 1.0290359E-006
 2.0003525E-001, 6.0702751E-001, 1.8255594E-006
 2.5002349E-001, 6.0702751E-001, 1.5927623E-006
 3.0001174E-001, 6.0702751E-001, 2.3942392E-006
 3.5012043E-001, 6.0702751E-001, 2.2138163E-006
 4.0010868E-001, 6.0702751E-001, 2.5757795E-006
 4.5009692E-001, 6.0702751E-001, 2.1662910E-006
 5.0008517E-001, 6.0702751E-001, 2.5880471E-006
 5.5007341E-001, 6.0702751E-001, 2.3036336E-006
 6.0006166E-001, 6.0702751E-001, 2.4051487E-006
 6.5004990E-001, 6.0702751E-001, 2.6219808E-006
 7.0003815E-001, 6.0702751E-001, 2.1700827E-006
 7.5002639E-001, 6.0702751E-001, 2.7749445E-006
 8.0001464E-001, 6.0702751E-001, 2.4020532E-006
 8.5000288E-001, 6.0702751E-001, 2.6742600E-006
 9.0011158E-001, 6.0702751E-001, 2.6999442E-006
 9.5009983E-001, 6.0702751E-001, 2.5361239E-006
 1.0000881E+000, 6.0702751E-001, 2.8336659E-006
 1.0500763E+000, 6.0702751E-001, 2.6077155E-006
 1.1000646E+000, 6.0702751E-001, 2.8109670E-006
 1.1500528E+000, 6.0702751E-001, 2.7587964E-006
 1.2000410E+000, 6.0702751E-001, 2.7560469E-006
 1.2500293E+000, 6.0702751E-001, 2.8416247E-006
 1.3000175E+000, 6.0702751E-001, 2.7735790E-006
 1.3500058E+000, 6.0702751E-001, 2.8461940E-006
 1.4001145E+000, 6.0702751E-001, 2.8238266E-006
 1.4501027E+000, 6.0702751E-001, 2.8336351E-006
 1.5000910E+000, 6.0702751E-001, 2.8562529E-006
 1.5500792E+000, 6.0702751E-001, 2.8419521E-006
 1.6000675E+000, 6.0702751E-001, 2.8629058E-006
 1.6500557E+000, 6.0702751E-001, 2.8607655E-006
 1.7000439E+000, 6.0702751E-001, 2.8676338E-006
 1.7500322E+000, 6.0702751E-001, 2.8802298E-006
 1.8000204E+000, 6.0702751E-001, 2.8774061E-006
 1.8500087E+000, 6.0702751E-001, 2.8842318E-006
 1.9001174E+000, 6.0702751E-001, 2.8856391E-006
 1.9501056E+000, 6.0702751E-001, 2.8873740E-006
 2.0000939E+000, 6.0702751E-001, 2.8901648E-006
 2.0500821E+000, 6.0702751E-001, 2.8921381E-006
 2.1000704E+000, 6.0702751E-001, 2.8941951E-006
 2.1500586E+000, 6.0702751E-001, 2.8952394E-006
 2.2000469E+000, 6.0702751E-001, 2.8963730E-006
 2.2500351E+000, 6.0702773E-001, 2.8973015E-006
 2.3000233E+000, 6.0703313E-001, 2.8979506E-006
 2.3500116E+000, 6.0706093E-001, 2.8987234E-006
 2.4001203E+000, 6.0711546E-001, 2.8992480E-006
 2.4501085E+000, 6.0718341E-001, 2.8994944E-006
 2.5000968E+000, 6.0725857E-001, 2.8998855E-006
 2.5500850E+000, 6.0733953E-001, 2.9002010E-006
 2.6000733E+000, 6.0742531E-001, 2.9006405E-006
 2.6500615E+000, 6.0751500E-001, 2.9018854E-006
 2.7000498E+000, 6.0760776E-001, 2.9037893E-006
 2.7500380E+000, 6.0770283E-001, 2.9045207E-006
 2.8000262E+000, 6.0779958E-001, 2.9048896E-006
 2.8500145E+000, 6.0789751E-001, 2.9025993E-006
 2.9000027E+000, 6.0799621E-001, 2.8992345E-006
 2.9501114E+000, 6.0809553E-001, 2.8953319E-006
 3.0000997E+000, 6.0819515E-001, 2.8925833E-006
 3.0500879E+000, 6.0829481E-001, 2.8942804E-006
 3.1000762E+000, 6.0839457E-001, 2.8984049E-006
 3.1500644E+000, 6.0849434E-001, 2.9010544E-006
 3.2000527E+000, 6.0859412E-001, 2.9022295E-006
 3.2500409E+000, 6.0869387E-001, 2.9030318E-006
 3.3000291E+000, 6.0879360E-001, 2.9035950E-006
 3.3500174E+000, 6.0889330E-001, 2.9036951E-006
 3.4000056E+000, 6.0899298E-001, 2.9046068E-006
 3.4501143E+000, 6.0909274E-001, 2.9051908E-006
 3.5001026E+000, 6.0919248E-001, 2.9054760E-006
 3.5500908E+000, 6.0929207E-001, 2.9059794E-006
 3.6000791E+000, 6.0939164E-001, 2.9065698E-006
 3.6500673E+000, 6.0949119E-001, 2.9066699E-006
 3.7000556E+000, 6.0959073E-001, 2.9071015E-006
 3.7500438E+000, 6.0969025E-001, 2.9076365E-006
 3.8000320E+000, 6.0978975E-001, 2.9081521E-006
 3.8500203E+000, 6.0988923E-001, 2.9082777E-006
 3.9000085E+000, 6.0998870E-001, 2.9086039E-006
 3.9501172E+000, 6.1008828E-001, 2.9089045E-006
 4.0001055E+000, 6.1018785E-001, 2.9092008E-006
 4.0500937E+000, 6.1028729E-001, 2.9097079E-006
 4.1000820E+000, 6.1038673E-001, 2.9101739E-006
 4.1500702E+000, 6.1048615E-001, 2.9101447E-006
 4.2000585E+000, 6.1058556E-001, 2.9114252E-006
 4.2500467E+000, 6.1068497E-001, 2.9115763E-006
 4.3000349E+000, 6.1078438E-001, 2.9117174E-006
 4.3500232E+000, 6.1088379E-001, 2.9122363E-006
 4.4000114E+000, 6.1098318E-001, 2.9133539E-006
 4.4501201E+000, 6.1108269E-001, 2.9212447E-006
 4.5001084E+000, 6.1118219E-001, 2.9207585E-006
 4.5500966E+000, 6.1128157E-001, 2.9195261E-006
 4.6000849E+000, 6.1138095E-001, 2.9174991E-006
 4.6500731E+000, 6.1148032E-001, 2.9158137E-006
 4.7000614E+000, 6.1157970E-001, 2.9142034E-006
 4.7500496E+000, 6.1167907E-001, 2.9126477E-006
 4.8000378E+000, 6.1177843E-001, 2.9112916E-006
 4.8500261E+000, 6.1187780E-001, 2.9104184E-006
 4.9000143E+000, 6.1197716E-001, 2.9096401E-006
