s,mol/mol,kW
Time,"VF","HRR"
 0.0000000E+000, 7.8043504E-002, 0.0000000E+000
 5.0863811E-002, 7.8043504E-002, 0.0000000E+000
 1.0003947E-001, 7.8043504E-002, 0.0000000E+000
 1.5023433E-001, 7.8043504E-002, 0.0000000E+000
 2.0026443E-001, 7.8043504E-002, 2.1843400E-007
 2.5005922E-001, 7.8043504E-002, 4.5881862E-006
 3.0016411E-001, 7.8043504E-002, 3.4813517E-006
 3.5013650E-001, 7.8043504E-002, 3.7585682E-006
 4.0010086E-001, 7.8043504E-002, 4.5350803E-006
 4.5006523E-001, 7.8043504E-002, 4.8534752E-006
 5.0001497E-001, 7.8043504E-002, 4.9628027E-006
 5.5006138E-001, 7.8043504E-002, 5.2397762E-006
 6.0004126E-001, 7.8043504E-002, 3.8663854E-006
 6.5017692E-001, 7.8043504E-002, 5.4234707E-006
 7.0018360E-001, 7.8043504E-002, 4.4671752E-006
 7.5007798E-001, 7.8043504E-002, 5.6696981E-006
 8.0004283E-001, 7.8043504E-002, 5.0461791E-006
 8.5014158E-001, 7.8043504E-002, 5.4616058E-006
 9.0005410E-001, 7.8043504E-002, 5.8329665E-006
 9.5002841E-001, 7.8043504E-002, 5.0864156E-006
 1.0000151E+000, 7.8043504E-002, 5.6989367E-006
 1.0500731E+000, 7.8043504E-002, 6.0656186E-006
 1.1000780E+000, 7.8043504E-002, 5.1462213E-006
 1.1500588E+000, 7.8043504E-002, 5.8648655E-006
 1.2000039E+000, 7.8043504E-002, 5.9482567E-006
 1.2501453E+000, 7.8043504E-002, 5.8676129E-006
 1.3001805E+000, 7.8043504E-002, 6.1269437E-006
 1.3501388E+000, 7.8043504E-002, 6.0916834E-006
 1.4001283E+000, 7.8043504E-002, 6.1279892E-006
 1.4500610E+000, 7.8043504E-002, 6.1088364E-006
 1.5000286E+000, 7.8043504E-002, 6.2956569E-006
 1.5500019E+000, 7.8043504E-002, 6.5809520E-006
 1.6000654E+000, 7.8043504E-002, 5.9591015E-006
 1.6500181E+000, 7.8043504E-002, 6.1422521E-006
 1.7001449E+000, 7.8043504E-002, 6.4711894E-006
 1.7501321E+000, 7.8043504E-002, 6.2275195E-006
 1.8000974E+000, 7.8043504E-002, 6.2910326E-006
 1.8501589E+000, 7.8043504E-002, 6.4370159E-006
 1.9000030E+000, 7.8043504E-002, 6.4301823E-006
 1.9501363E+000, 7.8043504E-002, 6.4838990E-006
 2.0001089E+000, 7.8043504E-002, 6.2873076E-006
 2.0500854E+000, 7.8043504E-002, 7.2406216E-006
