s,mol/mol,kW
Time,VF,HRR
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 5.0004134E-002, 0.0000000E+000, 0.0000000E+000
 1.0000776E-001, 0.0000000E+000, 8.2961058E-012
 1.5001138E-001, 0.0000000E+000, 1.6984071E-007
 2.0000709E-001, 0.0000000E+000, 1.3621040E-006
 2.5005763E-001, 0.0000000E+000, 1.1778446E-006
 3.0004505E-001, 0.0000000E+000, 1.8060879E-006
 3.5003248E-001, 0.0000000E+000, 2.5423872E-006
 4.0001990E-001, 0.0000000E+000, 2.3822602E-006
 4.5000733E-001, 0.0000000E+000, 2.9394290E-006
 5.0005787E-001, 0.0000000E+000, 2.9336072E-006
 5.5004530E-001, 0.0000000E+000, 3.1122221E-006
 6.0003272E-001, 0.0000000E+000, 3.5141409E-006
 6.5002015E-001, 0.0000000E+000, 3.4112608E-006
 7.0000757E-001, 0.0000000E+000, 3.8611933E-006
 7.5005811E-001, 0.0000000E+000, 3.7231127E-006
 8.0004554E-001, 0.0000000E+000, 4.1095294E-006
 8.5003297E-001, 0.0000000E+000, 4.0568901E-006
 9.0002039E-001, 0.0000000E+000, 4.2305889E-006
 9.5000782E-001, 0.0000000E+000, 4.3780623E-006
 1.0000584E+000, 0.0000000E+000, 4.3567952E-006
 1.0500458E+000, 0.0000000E+000, 4.5981008E-006
 1.1000332E+000, 0.0000000E+000, 4.5581749E-006
 1.1500206E+000, 0.0000000E+000, 4.7041130E-006
 1.2000081E+000, 0.0000000E+000, 4.7805051E-006
 1.2500586E+000, 0.0000000E+000, 4.8082598E-006
 1.3000460E+000, 0.0000000E+000, 4.9214585E-006
 1.3500335E+000, 0.0000000E+000, 4.9479862E-006
 1.4000209E+000, 0.0000000E+000, 5.0186409E-006
 1.4500083E+000, 0.0000000E+000, 5.0655651E-006
 1.5000588E+000, 0.0000000E+000, 5.0923248E-006
 1.5500463E+000, 0.0000000E+000, 5.1439053E-006
 1.6000337E+000, 0.0000000E+000, 5.1670620E-006
 1.6500211E+000, 0.0000000E+000, 5.2042184E-006
 1.7000085E+000, 0.0000000E+000, 5.2664841E-006
 1.7500591E+000, 0.0000000E+000, 5.2835287E-006
 1.8000465E+000, 0.0000000E+000, 5.3123124E-006
 1.8500339E+000, 0.0000000E+000, 5.3348874E-006
 1.9000214E+000, 0.0000000E+000, 5.3507789E-006
 1.9500088E+000, 0.0000000E+000, 5.3701295E-006
 2.0000593E+000, 0.0000000E+000, 5.3849066E-006
 2.0500468E+000, 1.6737560E-018, 5.3990197E-006
 2.1000342E+000, 6.0796415E-011, 5.4125631E-006
 2.1500216E+000, 1.0111618E-007, 5.4189073E-006
 2.2000090E+000, 5.7347641E-006, 4.7697168E-006
 2.2500596E+000, 6.5752021E-005, 4.5483009E-006
 2.3000470E+000, 3.0981856E-004, 5.1583414E-006
 2.3500344E+000, 8.6471639E-004, 5.4755429E-006
 2.4000219E+000, 1.7567861E-003, 5.5299159E-006
 2.4500093E+000, 2.9300524E-003, 5.6528784E-006
 2.5000598E+000, 4.3087319E-003, 5.6630247E-006
 2.5500472E+000, 5.8268670E-003, 5.6865676E-006
 2.6000347E+000, 7.4364601E-003, 5.6850553E-006
 2.6500221E+000, 9.1057203E-003, 5.6711229E-006
 2.7000095E+000, 1.0812008E-002, 5.6843335E-006
