s,mol/mol,kW
Time,"VF","HRR"
 0.0000000E+000, 4.1932955E-001, 0.0000000E+000
 5.0103099E-002, 4.1932955E-001, 0.0000000E+000
 1.0024322E-001, 4.1932955E-001, 0.0000000E+000
 1.5009733E-001, 4.1932955E-001, 2.6537459E-013
 2.0032010E-001, 4.1932955E-001, 1.9464066E-006
 2.5012581E-001, 4.1932955E-001, 2.4885815E-006
 3.0015557E-001, 4.1932955E-001, 2.4169354E-006
 3.5019172E-001, 4.1932955E-001, 3.4669114E-006
 4.0001150E-001, 4.1932955E-001, 3.7177834E-006
 4.5015499E-001, 4.1932955E-001, 3.5790631E-006
 5.0010413E-001, 4.1932955E-001, 3.8194064E-006
 5.5005284E-001, 4.1932955E-001, 3.6187385E-006
 6.0008427E-001, 4.1932955E-001, 3.7121446E-006
 6.5012413E-001, 4.1932955E-001, 3.7197582E-006
 7.0003970E-001, 4.1932955E-001, 3.6992615E-006
 7.5009355E-001, 4.1932955E-001, 3.6813057E-006
 8.0005862E-001, 4.1932955E-001, 3.7546705E-006
 8.5015075E-001, 4.1932955E-001, 3.7381220E-006
 9.0011054E-001, 4.1932955E-001, 3.4196446E-006
 9.5007033E-001, 4.1932955E-001, 3.7984301E-006
 1.0000461E+000, 4.1932955E-001, 3.7051227E-006
 1.0500428E+000, 4.1932955E-001, 3.6740308E-006
 1.1000585E+000, 4.1932955E-001, 3.7890362E-006
 1.1500909E+000, 4.1932955E-001, 3.7838243E-006
 1.2001318E+000, 4.1932955E-001, 3.7839539E-006
 1.2500343E+000, 4.1932955E-001, 3.7748126E-006
 1.3001353E+000, 4.1932955E-001, 3.8437332E-006
 1.3500556E+000, 4.1932955E-001, 3.8732828E-006
 1.4001747E+000, 4.1932955E-001, 3.8508019E-006
 1.4500950E+000, 4.1932955E-001, 3.9297383E-006
 1.5000153E+000, 4.1932955E-001, 3.9842884E-006
 1.5501344E+000, 4.1932955E-001, 3.9615512E-006
 1.6000547E+000, 4.1932955E-001, 3.9912984E-006
