s,mol/mol,kW
Time,"VF","HRR"
 0.0000000E+000, 3.5671062E-001, 0.0000000E+000
 1.0029486E-001, 3.5671062E-001, 0.0000000E+000
 2.0021470E-001, 3.5671062E-001, 9.4526128E-006
 3.0020833E-001, 3.5671062E-001, 7.3067091E-006
 4.0004179E-001, 3.5671062E-001, 6.6379066E-006
 5.0002543E-001, 3.5671062E-001, 6.9511131E-006
 6.0000907E-001, 3.5671062E-001, 7.5692997E-006
 7.0018843E-001, 3.5671062E-001, 7.2915624E-006
 8.0014590E-001, 3.5671062E-001, 7.2776957E-006
 9.0006385E-001, 3.5671062E-001, 7.2846388E-006
 1.0001465E+000, 3.5671062E-001, 7.3007030E-006
 1.1000415E+000, 3.5671062E-001, 7.3477582E-006
 1.2000994E+000, 3.5671062E-001, 7.4743125E-006
 1.3001740E+000, 3.5671062E-001, 7.5312404E-006
 1.4000567E+000, 3.5671062E-001, 7.2883643E-006
 1.5000218E+000, 3.5671062E-001, 7.3934118E-006
 1.6000979E+000, 3.5671062E-001, 7.2888390E-006
 1.7001019E+000, 3.5671062E-001, 7.5119570E-006
 1.8000650E+000, 3.5671062E-001, 7.3064174E-006
 1.9000126E+000, 3.5671062E-001, 7.5775869E-006
 2.0000753E+000, 3.5671062E-001, 7.5475557E-006
 2.1000111E+000, 3.5671062E-001, 7.5209822E-006
 2.2000730E+000, 3.5671062E-001, 7.5227437E-006
 2.3000497E+000, 3.5671511E-001, 7.3776810E-006
 2.4000769E+000, 3.5680703E-001, 7.3589797E-006
 2.5000128E+000, 3.5702202E-001, 7.3364671E-006
 2.6000803E+000, 3.5728524E-001, 7.4231649E-006
 2.7000199E+000, 3.5757803E-001, 7.4160025E-006
 2.8001440E+000, 3.5788971E-001, 7.4900914E-006
 2.9001820E+000, 3.5821179E-001, 7.5148846E-006
 3.0000478E+000, 3.5853840E-001, 7.4497342E-006
 3.1000417E+000, 3.5886683E-001, 7.3777845E-006
 3.2000250E+000, 3.5919592E-001, 7.3192467E-006
 3.3001240E+000, 3.5952518E-001, 7.3421703E-006
 3.4000808E+000, 3.5985423E-001, 7.3700800E-006
 3.5000095E+000, 3.6018279E-001, 7.4034957E-006
 3.6001177E+000, 3.6051138E-001, 7.4552343E-006
 3.7000995E+000, 3.6083996E-001, 7.4894951E-006
 3.8001835E+000, 3.6116846E-001, 7.4731511E-006
 3.9000269E+000, 3.6149663E-001, 7.3848501E-006
 4.0000853E+000, 3.6182471E-001, 7.2950950E-006
 4.1000285E+000, 3.6215283E-001, 7.3138123E-006
 4.2000998E+000, 3.6248079E-001, 7.3425447E-006
 4.3001378E+000, 3.6280888E-001, 7.3695040E-006
 4.4000298E+000, 3.6313663E-001, 7.4167027E-006
 4.5000998E+000, 3.6346442E-001, 7.4603742E-006
 4.6001936E+000, 3.6379259E-001, 7.4624299E-006
 4.7000674E+000, 3.6412043E-001, 7.3766649E-006
 4.8000807E+000, 3.6444813E-001, 7.2929190E-006
 4.9000899E+000, 3.6477604E-001, 7.2850712E-006
 5.0000573E+000, 3.6510376E-001, 7.3134022E-006
 5.1000231E+000, 3.6543138E-001, 7.3381114E-006
 5.2000027E+000, 3.6575894E-001, 7.3732248E-006
 5.3000376E+000, 3.6608666E-001, 7.4283314E-006
 5.4000672E+000, 3.6641448E-001, 7.4301262E-006
 5.5001728E+000, 3.6674251E-001, 7.3694069E-006
 5.6001825E+000, 3.6707046E-001, 7.2968995E-006
 5.7001307E+000, 3.6739816E-001, 7.2506165E-006
 5.8001333E+000, 3.6772578E-001, 7.2870537E-006
 5.9000691E+000, 3.6805330E-001, 7.3056071E-006
 6.0000951E+000, 3.6838086E-001, 7.3416392E-006
 6.1000210E+000, 3.6870838E-001, 7.3866474E-006
 6.2001768E+000, 3.6903617E-001, 7.3967174E-006
 6.3000653E+000, 3.6936396E-001, 7.3788673E-006
 6.4000560E+000, 3.6969150E-001, 7.2841188E-006
 6.5000991E+000, 3.7001924E-001, 7.2377811E-006
 6.6000811E+000, 3.7034688E-001, 7.2521304E-006
 6.7000329E+000, 3.7067434E-001, 7.2761790E-006
 6.8001091E+000, 3.7100197E-001, 7.3168983E-006
 6.9000951E+000, 3.7132963E-001, 7.3471356E-006
 7.0000285E+000, 3.7165708E-001, 7.3772758E-006
 7.1000472E+000, 3.7198463E-001, 7.3718338E-006
 7.2000359E+000, 3.7231227E-001, 7.2745793E-006
 7.3000015E+000, 3.7263985E-001, 7.2364428E-006
 7.4000897E+000, 3.7296756E-001, 7.2229867E-006
 7.5000938E+000, 3.7329525E-001, 7.2487771E-006
 7.6000907E+000, 3.7362275E-001, 7.2787030E-006
 7.7000658E+000, 3.7395018E-001, 7.3124295E-006
 7.8001240E+000, 3.7427772E-001, 7.3468791E-006
 7.9001508E+000, 3.7460548E-001, 7.3482766E-006
 8.0000323E+000, 3.7493294E-001, 7.2877701E-006
 8.1000375E+000, 3.7526034E-001, 7.2222785E-006
 8.2001030E+000, 3.7558800E-001, 7.2046942E-006
 8.3000567E+000, 3.7591558E-001, 7.2197491E-006
 8.4000837E+000, 3.7624299E-001, 7.2395571E-006
 8.5001265E+000, 3.7657054E-001, 7.2665913E-006
 8.6000346E+000, 3.7689796E-001, 7.3041907E-006
 8.7000629E+000, 3.7722533E-001, 7.3071207E-006
 8.8000206E+000, 3.7755285E-001, 7.3240936E-006
 8.9000120E+000, 3.7788030E-001, 7.2223721E-006
 9.0000006E+000, 3.7820779E-001, 7.2106849E-006
 9.1001170E+000, 3.7853543E-001, 7.1971386E-006
 9.2000162E+000, 3.7886293E-001, 7.2057514E-006
 9.3001081E+000, 3.7919033E-001, 7.2209928E-006
 9.4001409E+000, 3.7951789E-001, 7.2611256E-006
 9.5000794E+000, 3.7984523E-001, 7.2789902E-006
 9.6001563E+000, 3.8017269E-001, 7.2841259E-006
 9.7000637E+000, 3.8050014E-001, 7.2816214E-006
 9.8000147E+000, 3.8082736E-001, 7.1921485E-006
 9.9000374E+000, 3.8115480E-001, 7.1810923E-006
 1.0000101E+001, 3.8148239E-001, 7.1763048E-006
 1.0100150E+001, 3.8180993E-001, 7.1789793E-006
 1.0200093E+001, 3.8213728E-001, 7.2058492E-006
 1.0300001E+001, 3.8246438E-001, 7.2438474E-006
 1.0400043E+001, 3.8279162E-001, 7.2569735E-006
 1.0500109E+001, 3.8311915E-001, 7.2522858E-006
 1.0600169E+001, 3.8344676E-001, 7.2438967E-006
 1.0700024E+001, 3.8377406E-001, 7.1451690E-006
 1.0800058E+001, 3.8410126E-001, 7.1533345E-006
 1.0900002E+001, 3.8442859E-001, 7.1460510E-006
 1.1000052E+001, 3.8475590E-001, 7.1566943E-006
 1.1100033E+001, 3.8508321E-001, 7.1836522E-006
 1.1200148E+001, 3.8541067E-001, 7.2139255E-006
 1.1300069E+001, 3.8573802E-001, 7.2262990E-006
 1.1400018E+001, 3.8606516E-001, 7.2091305E-006
 1.1500139E+001, 3.8639264E-001, 7.1762893E-006
 1.1600038E+001, 3.8672002E-001, 7.1045213E-006
 1.1700122E+001, 3.8704730E-001, 7.1169906E-006
 1.1800113E+001, 3.8737472E-001, 7.1118796E-006
 1.1900115E+001, 3.8770199E-001, 7.1297895E-006
 1.2000138E+001, 3.8802922E-001, 7.1647128E-006
 1.2100094E+001, 3.8835643E-001, 7.1908687E-006
 1.2200006E+001, 3.8868348E-001, 7.1840712E-006
 1.2300014E+001, 3.8901064E-001, 7.1903853E-006
 1.2400097E+001, 3.8933807E-001, 7.1051215E-006
 1.2500150E+001, 3.8966555E-001, 7.0791661E-006
 1.2600119E+001, 3.8999284E-001, 7.0767356E-006
 1.2700074E+001, 3.9031996E-001, 7.0952474E-006
 1.2800018E+001, 3.9064698E-001, 7.1193683E-006
 1.2900132E+001, 3.9097422E-001, 7.1474466E-006
 1.3000033E+001, 3.9130144E-001, 7.1652449E-006
 1.3100148E+001, 3.9162871E-001, 7.1460468E-006
 1.3200101E+001, 3.9195603E-001, 7.1200990E-006
 1.3300102E+001, 3.9228313E-001, 7.0392789E-006
 1.3400057E+001, 3.9261029E-001, 7.0430957E-006
 1.3500031E+001, 3.9293738E-001, 7.0488886E-006
 1.3600002E+001, 3.9326442E-001, 7.0560117E-006
 1.3700039E+001, 3.9359155E-001, 7.1036513E-006
 1.3800172E+001, 3.9391900E-001, 7.1071315E-006
 1.3900107E+001, 3.9424627E-001, 7.0972222E-006
 1.4000115E+001, 3.9457333E-001, 7.1068145E-006
 1.4100157E+001, 3.9490063E-001, 7.0315000E-006
 1.4200050E+001, 3.9522762E-001, 6.9969689E-006
 1.4300006E+001, 3.9555451E-001, 7.0267493E-006
 1.4400101E+001, 3.9588166E-001, 7.0627361E-006
 1.4500077E+001, 3.9620880E-001, 7.0375005E-006
 1.4600056E+001, 3.9653585E-001, 7.0895005E-006
 1.4700104E+001, 3.9686303E-001, 6.9521669E-006
 1.4800052E+001, 3.9719014E-001, 7.1234695E-006
 1.4900071E+001, 3.9751720E-001, 6.9475139E-006
 1.5000094E+001, 3.9784439E-001, 6.9744604E-006
 1.5100036E+001, 3.9817139E-001, 6.9330853E-006
 1.5200071E+001, 3.9849845E-001, 7.0180932E-006
 1.5300043E+001, 3.9882545E-001, 6.9330687E-006
 1.5400016E+001, 3.9915241E-001, 7.0007037E-006
 1.5500095E+001, 3.9947952E-001, 7.0727472E-006
 1.5600136E+001, 3.9980681E-001, 6.9197554E-006
 1.5700090E+001, 4.0013388E-001, 7.0837952E-006
 1.5800160E+001, 4.0046090E-001, 6.9348885E-006
 1.5900118E+001, 4.0078803E-001, 6.9043100E-006
 1.6000014E+001, 4.0111475E-001, 6.8892349E-006
 1.6100024E+001, 4.0144164E-001, 6.9618954E-006
 1.6200144E+001, 4.0176883E-001, 6.9257532E-006
 1.6300134E+001, 4.0209601E-001, 6.9750504E-006
 1.6400168E+001, 4.0242297E-001, 7.0072834E-006
 1.6500153E+001, 4.0275002E-001, 6.8986823E-006
 1.6600122E+001, 4.0307699E-001, 6.9813571E-006
 1.6700223E+001, 4.0340407E-001, 6.8962819E-006
 1.6800101E+001, 4.0373104E-001, 6.8915087E-006
 1.6900027E+001, 4.0405761E-001, 6.9374189E-006
 1.7000022E+001, 4.0438444E-001, 6.9056586E-006
 1.7100114E+001, 4.0471157E-001, 6.8414339E-006
 1.7200045E+001, 4.0503855E-001, 6.8863371E-006
 1.7300054E+001, 4.0536539E-001, 6.8874258E-006
 1.7400076E+001, 4.0569237E-001, 6.8158632E-006
 1.7500003E+001, 4.0601919E-001, 6.9395978E-006
 1.7600077E+001, 4.0634607E-001, 6.8043476E-006
 1.7700136E+001, 4.0667324E-001, 6.9122013E-006
