s,mol/mol,kW
Time,"VF","HRR"
 0.0000000E+000, 2.1931700E-001, 0.0000000E+000
 1.0206207E-002, 2.1931700E-001, 0.0000000E+000
 2.0370964E-002, 2.1931700E-001, 0.0000000E+000
 3.0639617E-002, 2.1931700E-001, 0.0000000E+000
 4.0323515E-002, 2.1931700E-001, 0.0000000E+000
 5.0231244E-002, 2.1931700E-001, 0.0000000E+000
 6.0120353E-002, 2.1931700E-001, 0.0000000E+000
 7.0152919E-002, 2.1931700E-001, 0.0000000E+000
 8.0079604E-002, 2.1931700E-001, 0.0000000E+000
 9.0260608E-002, 2.1931700E-001, 0.0000000E+000
 1.0015073E-001, 2.1931700E-001, 0.0000000E+000
 1.1004084E-001, 2.1931700E-001, 0.0000000E+000
 1.2022185E-001, 2.1931700E-001, 0.0000000E+000
 1.3011197E-001, 2.1931700E-001, 0.0000000E+000
 1.4000209E-001, 2.1931700E-001, 0.0000000E+000
 1.5018309E-001, 2.1931700E-001, 1.2545729E-007
 1.6007321E-001, 2.1931700E-001, 2.7907213E-006
 1.7025421E-001, 2.1931700E-001, 5.3925763E-006
 1.8014433E-001, 2.1931700E-001, 5.9608739E-006
 1.9003445E-001, 2.1931700E-001, 5.2518138E-006
 2.0021545E-001, 2.1931700E-001, 4.6088807E-006
 2.1010557E-001, 2.1931700E-001, 3.9022244E-006
 2.2028657E-001, 2.1931700E-001, 3.3905487E-006
 2.3020517E-001, 2.1931700E-001, 3.1763074E-006
 2.4015267E-001, 2.1931700E-001, 3.1065282E-006
 2.5010017E-001, 2.1931700E-001, 3.1535179E-006
 2.6004465E-001, 2.1931700E-001, 3.3266427E-006
 2.7017214E-001, 2.1931700E-001, 3.5910282E-006
 2.8020155E-001, 2.1931700E-001, 3.8583461E-006
 2.9015658E-001, 2.1931700E-001, 4.1294050E-006
 3.0011162E-001, 2.1931700E-001, 4.3407929E-006
 3.1016935E-001, 2.1931700E-001, 4.4160518E-006
 3.2007724E-001, 2.1931700E-001, 4.3343115E-006
 3.3017568E-001, 2.1931700E-001, 4.1631607E-006
 3.4008358E-001, 2.1931700E-001, 3.9386823E-006
 3.5018201E-001, 2.1931700E-001, 3.7064721E-006
 3.6008991E-001, 2.1931700E-001, 3.6704033E-006
 3.7018834E-001, 2.1931700E-001, 3.9152465E-006
 3.8009624E-001, 2.1931700E-001, 4.3796114E-006
 3.9000414E-001, 2.1931700E-001, 4.9243304E-006
 4.0010258E-001, 2.1931700E-001, 5.3926403E-006
 4.1001047E-001, 2.1931700E-001, 5.8230999E-006
 4.2010891E-001, 2.1931700E-001, 5.6630555E-006
 4.3001681E-001, 2.1931700E-001, 4.4222985E-006
 4.4011524E-001, 2.1931700E-001, 2.8891487E-006
 4.5010964E-001, 2.1931700E-001, 2.4186226E-006
 4.6004111E-001, 2.1931700E-001, 2.7176934E-006
 4.7014382E-001, 2.1931700E-001, 3.5592650E-006
 4.8014378E-001, 2.1931700E-001, 4.7167872E-006
 4.9020197E-001, 2.1931700E-001, 5.8133867E-006
 5.0014714E-001, 2.1931700E-001, 6.5971138E-006
 5.1009231E-001, 2.1931700E-001, 6.3459151E-006
 5.2017914E-001, 2.1931700E-001, 4.1853226E-006
 5.3010014E-001, 2.1931700E-001, 2.4298989E-006
 5.4014527E-001, 2.1931700E-001, 1.9655406E-006
 5.5002299E-001, 2.1931700E-001, 2.1939710E-006
 5.6011835E-001, 2.1931700E-001, 2.9370145E-006
 5.7009986E-001, 2.1931700E-001, 4.1238351E-006
 5.8002613E-001, 2.1931700E-001, 5.3758479E-006
 5.9015497E-001, 2.1931700E-001, 6.4884676E-006
 6.0008123E-001, 2.1931700E-001, 6.6442033E-006
 6.1008000E-001, 2.1931700E-001, 4.9497358E-006
 6.2001707E-001, 2.1931700E-001, 2.8144627E-006
 6.3008568E-001, 2.1931700E-001, 2.0155521E-006
 6.4015429E-001, 2.1931700E-001, 2.0698114E-006
 6.5012546E-001, 2.1931700E-001, 2.6847408E-006
 6.6007552E-001, 2.1931700E-001, 3.7655095E-006
 6.7009704E-001, 2.1931700E-001, 5.0566577E-006
 6.8011855E-001, 2.1931700E-001, 6.3695456E-006
 6.9014007E-001, 2.1931700E-001, 6.7225401E-006
 7.0016158E-001, 2.1931700E-001, 5.6222508E-006
 7.1014530E-001, 2.1931700E-001, 3.5772393E-006
 7.2015378E-001, 2.1931700E-001, 2.5522077E-006
 7.3000340E-001, 2.1931700E-001, 2.4533911E-006
 7.4001188E-001, 2.1931700E-001, 2.9322114E-006
 7.5011251E-001, 2.1931700E-001, 3.8717547E-006
 7.6001217E-001, 2.1931700E-001, 5.0583201E-006
 7.7016172E-001, 2.1931700E-001, 6.1080665E-006
 7.8009983E-001, 2.1931700E-001, 6.5290280E-006
 7.9003793E-001, 2.1931700E-001, 5.8061775E-006
 8.0004523E-001, 2.1931700E-001, 4.1078432E-006
 8.1005795E-001, 2.1931700E-001, 3.1897750E-006
 8.2011300E-001, 2.1931700E-001, 3.0590434E-006
 8.3003094E-001, 2.1931700E-001, 3.5777186E-006
 8.4005248E-001, 2.1931700E-001, 4.3978125E-006
 8.5000699E-001, 2.1931700E-001, 5.4206133E-006
 8.6014583E-001, 2.1931700E-001, 6.1582531E-006
 8.7008190E-001, 2.1931700E-001, 6.3603984E-006
 8.8001797E-001, 2.1931700E-001, 5.3976596E-006
 8.9013308E-001, 2.1931700E-001, 4.1077789E-006
 9.0008493E-001, 2.1931700E-001, 3.5302333E-006
 9.1011487E-001, 2.1931700E-001, 3.6185513E-006
 9.2013005E-001, 2.1931700E-001, 4.1597565E-006
 9.3010837E-001, 2.1931700E-001, 4.8825053E-006
 9.4019214E-001, 2.1931700E-001, 5.6785399E-006
 9.5000821E-001, 2.1931700E-001, 6.0625335E-006
 9.6002059E-001, 2.1931700E-001, 6.0126305E-006
 9.7003298E-001, 2.1931700E-001, 4.9211801E-006
 9.8002261E-001, 2.1931700E-001, 4.1326468E-006
 9.9008657E-001, 2.1931700E-001, 3.9322145E-006
 1.0000707E+000, 2.1931700E-001, 4.2085596E-006
 1.0101446E+000, 2.1931700E-001, 4.7408199E-006
 1.0201889E+000, 2.1931700E-001, 5.3411404E-006
 1.0300606E+000, 2.1931700E-001, 5.7798929E-006
 1.0401221E+000, 2.1931700E-001, 6.1256566E-006
 1.0501837E+000, 2.1931700E-001, 5.2443834E-006
 1.0601214E+000, 2.1931700E-001, 4.5918131E-006
 1.0700837E+000, 2.1931700E-001, 4.3881854E-006
 1.0800075E+000, 2.1931700E-001, 4.5445280E-006
 1.0901381E+000, 2.1931700E-001, 4.8944146E-006
 1.1001144E+000, 2.1931700E-001, 5.3295169E-006
 1.1101376E+000, 2.1931700E-001, 5.6343775E-006
 1.1200625E+000, 2.1931700E-001, 6.1397427E-006
 1.1301524E+000, 2.1931700E-001, 5.2747125E-006
 1.1400338E+000, 2.1931700E-001, 4.7999761E-006
 1.1501445E+000, 2.1931700E-001, 4.6762392E-006
 1.1600889E+000, 2.1931700E-001, 4.8417972E-006
 1.1700332E+000, 2.1931700E-001, 5.1160077E-006
 1.1800976E+000, 2.1931700E-001, 5.4523032E-006
 1.1900422E+000, 2.1931700E-001, 5.7509387E-006
 1.2001639E+000, 2.1931700E-001, 5.7514880E-006
 1.2100909E+000, 2.1931700E-001, 5.1852386E-006
 1.2201034E+000, 2.1931700E-001, 4.9346709E-006
 1.2300081E+000, 2.1931700E-001, 4.9996705E-006
 1.2400188E+000, 2.1931700E-001, 5.1088154E-006
 1.2501424E+000, 2.1931700E-001, 5.2820938E-006
 1.2600066E+000, 2.1931700E-001, 5.4286859E-006
 1.2701236E+000, 2.1931700E-001, 5.6948901E-006
 1.2801825E+000, 2.1931700E-001, 5.4568594E-006
 1.2900679E+000, 2.1931700E-001, 5.1422759E-006
 1.3001212E+000, 2.1931700E-001, 5.0134035E-006
 1.3100065E+000, 2.1931700E-001, 5.0872631E-006
