s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,mdot_hexane,mdot_heptane,mdot_octane,mdot_decane,mdot_benzene,mdot_toluene,mdot,Tsurf,Tsurf_max,flux,delta
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 9.000E+00, 5.300E-02
 1.000E+01,-8.247E-05,-3.199E-06,-1.472E-06,-9.499E-08,-1.477E-05,-4.566E-06, 1.066E-04, 2.630E+01, 2.731E+01, 4.696E+00, 5.300E-02
 2.001E+01,-1.187E-04,-4.741E-06,-2.217E-06,-1.461E-07,-2.160E-05,-6.760E-06, 1.542E-04, 2.888E+01, 3.395E+01, 9.768E-01, 5.300E-02
 3.000E+01,-1.205E-04,-4.969E-06,-2.361E-06,-1.585E-07,-2.238E-05,-7.100E-06, 1.575E-04, 2.995E+01, 3.997E+01, 9.892E-01, 5.299E-02
 4.001E+01,-1.241E-04,-5.293E-06,-2.559E-06,-1.752E-07,-2.358E-05,-7.586E-06, 1.633E-04, 3.105E+01, 4.467E+01, 1.018E+00, 5.299E-02
 5.001E+01,-1.311E-04,-5.808E-06,-2.864E-06,-2.006E-07,-2.556E-05,-8.357E-06, 1.739E-04, 3.220E+01, 5.068E+01, 1.076E+00, 5.299E-02
 6.001E+01,-1.383E-04,-6.399E-06,-3.228E-06,-2.321E-07,-2.779E-05,-9.258E-06, 1.852E-04, 3.339E+01, 5.740E+01, 1.134E+00, 5.298E-02
 7.000E+01,-1.455E-04,-7.049E-06,-3.646E-06,-2.700E-07,-3.019E-05,-1.026E-05, 1.970E-04, 3.462E+01, 6.568E+01, 1.196E+00, 5.298E-02
 8.000E+01,-5.931E-04,-8.782E-06,-4.681E-06,-3.624E-07,-3.694E-05,-1.282E-05, 6.567E-04, 3.649E+01, 7.229E+01, 2.642E+00, 5.296E-02
 9.000E+01,-3.473E-03,-1.263E-05,-7.084E-06,-5.923E-07,-5.811E-05,-1.843E-05, 3.570E-03, 4.223E+01, 8.097E+01, 7.764E+00, 5.247E-02
 1.000E+02,-1.094E-02,-1.801E-05,-1.055E-05,-9.424E-07,-4.815E-04,-2.618E-05, 1.148E-02, 5.251E+01, 8.446E+01, 1.546E+01, 5.142E-02
 1.100E+02,-2.093E-02,-1.099E-04,-1.309E-05,-1.222E-06,-2.876E-03,-5.105E-05, 2.398E-02, 6.477E+01, 9.280E+01, 2.510E+01, 5.098E-02
 1.200E+02,-2.934E-02,-1.017E-03,-3.492E-05,-1.164E-06,-8.426E-03,-8.613E-04, 3.968E-02, 7.738E+01, 1.075E+02, 3.730E+01, 5.063E-02
