s,kg/m2/s,C,C
Time,"mdot","Tsurf","Tsurf_max"
 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01
 1.000E+01, 2.442E-03, 4.096E+01, 6.629E+02
 2.000E+01, 9.521E-03, 9.328E+01, 1.188E+03
 3.000E+01, 1.850E-02, 1.399E+02, 8.310E+02
 4.000E+01, 2.201E-02, 1.776E+02, 6.147E+02
 5.000E+01, 1.463E-02, 2.364E+02, 5.957E+02
 6.000E+01, 5.305E-03, 2.623E+02, 5.400E+02
 7.001E+01, 1.256E-03, 2.040E+02, 4.164E+02
 8.001E+01, 5.204E-04, 1.641E+02, 3.574E+02
 9.001E+01, 1.435E-04, 1.410E+02, 3.207E+02
 1.000E+02, 0.000E+00, 1.250E+02, 2.939E+02
 1.100E+02, 0.000E+00, 1.140E+02, 2.734E+02
 1.200E+02, 0.000E+00, 1.058E+02, 2.558E+02
