s,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/s/m2,kg/m2/s,C,C,kW/m2,m
Time,"mdot_iso-octane","mdot_nonane","mdot_iso-nonane","mdot_decane","mdot_iso-decane","mdot_undecane","mdot_decalin","mdot","Tsurf","Tsurf_max","flux","delta"
 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.000E+01, 2.000E+01, 3.600E+01, 5.500E-02
 1.002E+01,-9.016E-06,-8.828E-06,-4.159E-06,-3.588E-06,-3.476E-06,-1.132E-06,-2.991E-06, 3.319E-05, 5.005E+01, 5.092E+01, 3.596E+01, 5.500E-02
 2.000E+01,-5.288E-03,-1.565E-03,-2.946E-03,-1.361E-04,-1.190E-04,-5.211E-05,-1.311E-04, 1.024E-02, 1.236E+02, 1.377E+02, 5.116E+01, 5.495E-02
 3.000E+01,-4.409E-03,-6.453E-03,-6.163E-03,-9.462E-04,-1.640E-03,-2.103E-04,-5.384E-04, 2.036E-02, 1.713E+02, 1.888E+02, 2.816E+01, 5.465E-02
 4.000E+01,-2.691E-03,-6.840E-03,-6.517E-03,-2.172E-03,-2.637E-03,-2.803E-04,-7.409E-04, 2.188E-02, 1.795E+02, 1.947E+02, 2.469E+01, 5.422E-02
 5.000E+01,-1.071E-03,-8.568E-03,-6.463E-03,-3.690E-03,-3.522E-03,-5.236E-04,-1.461E-03, 2.530E-02, 1.856E+02, 1.965E+02, 2.502E+01, 5.384E-02
 6.000E+01,-6.336E-04,-7.274E-03,-7.094E-03,-3.860E-03,-2.942E-03,-7.147E-04,-2.107E-03, 2.463E-02, 1.895E+02, 1.968E+02, 2.359E+01, 5.333E-02
 7.000E+01,-3.170E-04,-1.031E-02,-3.881E-03,-4.554E-03,-5.350E-03,-7.545E-04,-2.392E-03, 2.756E-02, 1.917E+02, 1.967E+02, 2.376E+01, 5.291E-02
 8.000E+01,-4.235E-04,-8.215E-03,-3.640E-03,-5.469E-03,-2.982E-03,-1.098E-03,-3.862E-03, 2.569E-02, 1.933E+02, 1.972E+02, 2.310E+01, 5.246E-02
 9.000E+01,-1.558E-04,-4.401E-03,-2.410E-03,-5.400E-03,-5.315E-03,-1.512E-03,-5.685E-03, 2.488E-02, 1.944E+02, 1.976E+02, 2.423E+01, 5.205E-02
 1.000E+02,-8.851E-05,-4.501E-03,-1.467E-03,-4.796E-03,-4.848E-03,-1.608E-03,-7.208E-03, 2.452E-02, 1.948E+02, 1.980E+02, 2.378E+01, 5.168E-02
 1.100E+02,-8.206E-05,-4.580E-03,-9.731E-04,-6.149E-03,-2.072E-03,-1.879E-03,-7.962E-03, 2.370E-02, 1.953E+02, 1.988E+02, 2.433E+01, 5.133E-02
 1.200E+02,-4.611E-05,-2.569E-03,-1.066E-03,-4.380E-03,-1.665E-03,-2.346E-03,-8.694E-03, 2.077E-02, 1.956E+02, 1.999E+02, 2.433E+01, 5.106E-02
 1.300E+02,-4.324E-05,-1.985E-03,-1.003E-03,-3.391E-03,-2.114E-03,-2.605E-03,-9.247E-03, 2.039E-02, 1.955E+02, 1.995E+02, 2.516E+01, 5.084E-02
 1.400E+02,-4.026E-05,-1.264E-03,-6.511E-04,-2.162E-03,-2.178E-03,-2.785E-03,-9.077E-03, 1.816E-02, 1.956E+02, 1.996E+02, 2.487E+01, 5.066E-02
 1.500E+02,-1.186E-05,-7.605E-04,-3.771E-04,-2.135E-03,-1.363E-03,-3.145E-03,-9.155E-03, 1.695E-02, 1.957E+02, 1.999E+02, 2.547E+01, 5.048E-02
 1.600E+02,-3.920E-06,-6.557E-04,-2.130E-04,-1.821E-03,-7.214E-04,-3.058E-03,-8.708E-03, 1.518E-02, 1.956E+02, 2.003E+02, 2.518E+01, 5.030E-02
 1.700E+02,-1.604E-06,-7.799E-04,-1.836E-04,-1.415E-03,-4.200E-04,-3.032E-03,-9.023E-03, 1.486E-02, 1.957E+02, 2.065E+02, 2.583E+01, 5.012E-02
 1.800E+02,-1.530E-06,-5.878E-04,-2.179E-04,-8.251E-04,-3.252E-04,-2.532E-03,-7.884E-03, 1.237E-02, 1.986E+02, 2.251E+02, 2.576E+01, 5.000E-02
 1.900E+02,-3.255E-06,-2.508E-04,-1.540E-04,-5.285E-04,-2.155E-04,-1.569E-03,-4.946E-03, 7.667E-03, 2.027E+02, 2.356E+02, 2.301E+01, 5.000E-02
 2.000E+02,-1.162E-06,-9.686E-05,-4.025E-05,-2.797E-04,-1.291E-04,-6.047E-04,-2.038E-03, 3.190E-03, 1.966E+02, 2.286E+02, 1.295E+01, 5.000E-02
