s,m,mu-m,C,m/s
Time,"z","d","t","v"
 0.0000000E+000, 3.9995000E+002, 7.6900000E+002, 2.3000000E+001, 3.1000000E+000
 1.0000000E+000, 3.9678819E+002, 7.6233144E+002, 1.1506768E+001, 3.1670206E+000
 2.0000000E+000, 3.9363106E+002, 7.5793011E+002, 8.5344889E+000, 3.1512612E+000
 3.0000000E+000, 3.9048479E+002, 7.5401210E+002, 7.6354974E+000, 3.1382917E+000
 3.9900000E+000, 3.8738577E+002, 7.5025773E+002, 7.3458322E+000, 3.1243230E+000
 4.9900000E+000, 3.8426705E+002, 7.4650847E+002, 7.2573281E+000, 3.1117117E+000
 5.9900000E+000, 3.8116090E+002, 7.4276709E+002, 7.2287527E+000, 3.1014848E+000
 6.9800000E+000, 3.7809827E+002, 7.3906084E+002, 7.2204758E+000, 3.0805063E+000
 7.9800000E+000, 3.7502339E+002, 7.3531410E+002, 7.2179265E+000, 3.0707941E+000
 8.9800000E+000, 3.7196351E+002, 7.3156306E+002, 7.2170096E+000, 3.0570989E+000
 9.9700000E+000, 3.6894973E+002, 7.2784349E+002, 7.2182512E+000, 3.0312684E+000
 1.0970000E+001, 3.6592159E+002, 7.2408115E+002, 7.2182244E+000, 3.0184596E+000
 1.1970000E+001, 3.6290950E+002, 7.2031463E+002, 7.2197735E+000, 3.0071459E+000
 1.2960000E+001, 3.5993375E+002, 7.1658012E+002, 7.2201899E+000, 3.0037502E+000
 1.3960000E+001, 3.5693753E+002, 7.1280106E+002, 7.2217944E+000, 2.9871715E+000
 1.4960000E+001, 3.5396300E+002, 7.0901722E+002, 7.2215767E+000, 2.9668919E+000
 1.5960000E+001, 3.5100564E+002, 7.0522750E+002, 7.2230262E+000, 2.9478211E+000
 1.6950000E+001, 3.4809493E+002, 7.0146971E+002, 7.2238102E+000, 2.9277679E+000
 1.7950000E+001, 3.4517337E+002, 6.9766944E+002, 7.2241500E+000, 2.9169316E+000
 1.8950000E+001, 3.4226382E+002, 6.9386326E+002, 7.2253538E+000, 2.9041750E+000
 1.9940000E+001, 3.3939696E+002, 6.9008912E+002, 7.2257596E+000, 2.8859530E+000
 2.0940000E+001, 3.3651317E+002, 6.8627071E+002, 7.2270522E+000, 2.8763854E+000
 2.1940000E+001, 3.3364506E+002, 6.8244091E+002, 7.2160151E+000, 2.8621392E+000
 2.2930000E+001, 3.3082247E+002, 6.7864364E+002, 7.2125948E+000, 2.8412845E+000
 2.3930000E+001, 3.2798593E+002, 6.7480386E+002, 7.2110799E+000, 2.8374382E+000
 2.4930000E+001, 3.2515827E+002, 6.7095621E+002, 7.2127555E+000, 2.8163955E+000
 2.5920000E+001, 3.2238014E+002, 6.6714138E+002, 7.2132983E+000, 2.7964370E+000
 2.6920000E+001, 3.1959124E+002, 6.6328240E+002, 7.2133235E+000, 2.7824884E+000
 2.7920000E+001, 3.1681597E+002, 6.5941654E+002, 7.2144053E+000, 2.7671161E+000
 2.8920000E+001, 3.1405750E+002, 6.5554480E+002, 7.2153021E+000, 2.7527300E+000
 2.9910000E+001, 3.1133833E+002, 6.5170495E+002, 7.2158260E+000, 2.7404472E+000
 3.0910000E+001, 3.0860853E+002, 6.4782065E+002, 7.2170497E+000, 2.7251086E+000
 3.1910000E+001, 3.0588777E+002, 6.4392844E+002, 7.2174349E+000, 2.7131433E+000
 3.2900000E+001, 3.0320966E+002, 6.4006897E+002, 7.2189140E+000, 2.6972998E+000
 3.3900000E+001, 3.0051761E+002, 6.3616245E+002, 7.2198628E+000, 2.6807175E+000
 3.4900000E+001, 2.9784841E+002, 6.3224994E+002, 7.2191522E+000, 2.6582675E+000
 3.5890000E+001, 2.9521940E+002, 6.2837010E+002, 7.2205125E+000, 2.6527645E+000
 3.6890000E+001, 2.9257830E+002, 6.2444358E+002, 7.2214793E+000, 2.6321002E+000
 3.7890000E+001, 2.8995404E+002, 6.2050985E+002, 7.2208645E+000, 2.6162082E+000
 3.8880000E+001, 2.8737374E+002, 6.1660796E+002, 7.2217734E+000, 2.5963407E+000
 3.9880000E+001, 2.8478646E+002, 6.1266004E+002, 7.2223531E+000, 2.5792826E+000
 4.0880000E+001, 2.8221426E+002, 6.0870470E+002, 7.2231822E+000, 2.5652770E+000
 4.1870000E+001, 2.7968441E+002, 6.0478133E+002, 7.2229534E+000, 2.5439327E+000
 4.2870000E+001, 2.7714176E+002, 6.0081094E+002, 7.2244359E+000, 2.5396867E+000
 4.3870000E+001, 2.7461400E+002, 5.9683297E+002, 7.2255995E+000, 2.5202082E+000
 4.4870000E+001, 2.7209985E+002, 5.9284691E+002, 7.2268865E+000, 2.5089774E+000
 4.5860000E+001, 2.6962586E+002, 5.8889214E+002, 7.2268569E+000, 2.4875971E+000
 4.6860000E+001, 2.6714448E+002, 5.8488994E+002, 7.2277465E+000, 2.4746422E+000
 4.7860000E+001, 2.6467867E+002, 5.8087862E+002, 7.2281634E+000, 2.4544501E+000
 4.8850000E+001, 2.6225849E+002, 5.7690108E+002, 7.2285151E+000, 2.4397412E+000
 4.9850000E+001, 2.5982755E+002, 5.7287416E+002, 7.2285887E+000, 2.4203493E+000
 5.0850000E+001, 2.5740718E+002, 5.6883819E+002, 7.2301734E+000, 2.4202957E+000
 5.1840000E+001, 2.5503335E+002, 5.6483584E+002, 7.2306280E+000, 2.3836552E+000
 5.2840000E+001, 2.5264798E+002, 5.6078089E+002, 7.2308185E+000, 2.3727310E+000
 5.3840000E+001, 2.5028654E+002, 5.5672122E+002, 7.2315654E+000, 2.3595909E+000
 5.4830000E+001, 2.4795571E+002, 5.5269142E+002, 7.2320903E+000, 2.3499051E+000
 5.5830000E+001, 2.4562048E+002, 5.4861065E+002, 7.2324695E+000, 2.3188623E+000
 5.6830000E+001, 2.4330712E+002, 5.4452209E+002, 7.2326394E+000, 2.3071666E+000
 5.7830000E+001, 2.4100815E+002, 5.4042446E+002, 7.2339286E+000, 2.2910574E+000
 5.8820000E+001, 2.3874503E+002, 5.3635808E+002, 7.2355450E+000, 2.2800993E+000
 5.9820000E+001, 2.3647270E+002, 5.3223876E+002, 7.2360736E+000, 2.2578738E+000
 6.0820000E+001, 2.3422624E+002, 5.2811127E+002, 7.2351838E+000, 2.2345662E+000
 6.1810000E+001, 2.3201924E+002, 5.2401672E+002, 7.2361854E+000, 2.2285810E+000
 6.2810000E+001, 2.2979854E+002, 5.1986907E+002, 7.2370647E+000, 2.2124731E+000
 6.3810000E+001, 2.2759848E+002, 5.1571090E+002, 7.2372910E+000, 2.1875683E+000
 6.4800000E+001, 2.2543939E+002, 5.1158431E+002, 7.2373865E+000, 2.1737029E+000
 6.5800000E+001, 2.2327601E+002, 5.0740629E+002, 7.2383287E+000, 2.1537975E+000
 6.6800000E+001, 2.2112650E+002, 5.0321632E+002, 7.2394957E+000, 2.1423636E+000
 6.7790000E+001, 2.1901516E+002, 4.9905639E+002, 7.2393852E+000, 2.1228078E+000
 6.8790000E+001, 2.1690703E+002, 4.9484548E+002, 7.2390499E+000, 2.0984117E+000
 6.9790000E+001, 2.1481649E+002, 4.9062376E+002, 7.2399869E+000, 2.0845694E+000
 7.0780000E+001, 2.1275806E+002, 4.8643067E+002, 7.2413838E+000, 2.0703289E+000
 7.1780000E+001, 2.1069713E+002, 4.8218460E+002, 7.2422858E+000, 2.0529825E+000
 7.2780000E+001, 2.0865309E+002, 4.7792428E+002, 7.2417356E+000, 2.0298963E+000
 7.3780000E+001, 2.0663457E+002, 4.7365499E+002, 7.2413553E+000, 2.0106268E+000
 7.4770000E+001, 2.0465162E+002, 4.6941636E+002, 7.2428690E+000, 1.9992118E+000
 7.5770000E+001, 2.0265941E+002, 4.6511918E+002, 7.2444016E+000, 1.9814292E+000
 7.6770000E+001, 2.0068836E+002, 4.6080991E+002, 7.2442732E+000, 1.9596045E+000
 7.7760000E+001, 1.9875838E+002, 4.5653219E+002, 7.2443038E+000, 1.9414332E+000
 7.8760000E+001, 1.9682518E+002, 4.5219711E+002, 7.2450084E+000, 1.9247067E+000
 7.9760000E+001, 1.9490911E+002, 4.4784692E+002, 7.2451037E+000, 1.9053463E+000
 8.0750000E+001, 1.9303525E+002, 4.4352938E+002, 7.2455097E+000, 1.8835247E+000
 8.1750000E+001, 1.9115744E+002, 4.3915204E+002, 7.2462405E+000, 1.8691769E+000
