m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s,m,m/s
U1-z,U1,U1_rms-z,U1_rms,U2-z,U2,U2_rms-z,U2_rms,U3-z,U3,U3_rms-z,U3_rms,U4-z,U4,U4_rms-z,U4_rms,U5-z,U5,U5_rms-z,U5_rms
 2.5000000E-003, 1.6999348E+000, 2.5000000E-003, 4.0609758E-007, 2.5000000E-003, 1.4815631E+000, 2.5000000E-003, 1.0370538E-006, 2.5000000E-003, 1.2352036E+000, 2.5000000E-003, 2.8701560E-006, 2.5000000E-003, 7.2726424E-001, 2.5000000E-003, 7.8075923E-004, 2.5000000E-003, 4.8827263E-001, 2.5000000E-003, 8.0036519E-004
 7.5000000E-003, 1.7493370E+000, 7.5000000E-003, 1.9135179E-006, 7.5000000E-003, 1.6356050E+000, 7.5000000E-003, 1.9100774E-006, 7.5000000E-003, 1.2883159E+000, 7.5000000E-003, 3.0185117E-006, 7.5000000E-003, 7.3799250E-001, 7.5000000E-003, 7.8238334E-004, 7.5000000E-003, 4.9877555E-001, 7.5000000E-003, 7.9814939E-004
 1.2500000E-002, 1.7610513E+000, 1.2500000E-002, 5.2983183E-006, 1.2500000E-002, 1.6576197E+000, 1.2500000E-002, 4.7769214E-006, 1.2500000E-002, 1.2984261E+000, 1.2500000E-002, 3.7082893E-006, 1.2500000E-002, 7.3681253E-001, 1.2500000E-002, 7.8369461E-004, 1.2500000E-002, 4.9855995E-001, 1.2500000E-002, 7.9203386E-004
 1.7500000E-002, 1.7867820E+000, 1.7500000E-002, 1.2893569E-005, 1.7500000E-002, 1.6870419E+000, 1.7500000E-002, 1.1512603E-005, 1.7500000E-002, 1.3077957E+000, 1.7500000E-002, 5.6112404E-006, 1.7500000E-002, 7.3447242E-001, 1.7500000E-002, 7.8542999E-004, 1.7500000E-002, 4.9768133E-001, 1.7500000E-002, 7.8437629E-004
 2.2500000E-002, 1.8133498E+000, 2.2500000E-002, 2.9248144E-005, 2.2500000E-002, 1.7199714E+000, 2.2500000E-002, 2.7610953E-005, 2.2500000E-002, 1.3140151E+000, 2.2500000E-002, 1.2813333E-005, 2.2500000E-002, 7.3156157E-001, 2.2500000E-002, 7.8815723E-004, 2.2500000E-002, 4.9655418E-001, 2.2500000E-002, 7.7631356E-004
 2.7500000E-002, 1.8390877E+000, 2.7500000E-002, 5.9754538E-005, 2.7500000E-002, 1.7562857E+000, 2.7500000E-002, 6.4617730E-005, 2.7500000E-002, 1.3238023E+000, 2.7500000E-002, 3.0564038E-005, 2.7500000E-002, 7.2677881E-001, 2.7500000E-002, 7.8984833E-004, 2.7500000E-002, 4.9522629E-001, 2.7500000E-002, 7.6840020E-004
 3.2500000E-002, 1.8679356E+000, 3.2500000E-002, 1.1600633E-004, 3.2500000E-002, 1.8006726E+000, 3.2500000E-002, 1.4257948E-004, 3.2500000E-002, 1.3328235E+000, 3.2500000E-002, 5.7975840E-005, 3.2500000E-002, 7.2550973E-001, 3.2500000E-002, 7.9359173E-004, 3.2500000E-002, 4.9359296E-001, 3.2500000E-002, 7.6823259E-004
 3.7500000E-002, 1.8880980E+000, 3.7500000E-002, 2.0137452E-004, 3.7500000E-002, 1.8392900E+000, 3.7500000E-002, 2.7480305E-004, 3.7500000E-002, 1.3205325E+000, 3.7500000E-002, 8.3758760E-005, 3.7500000E-002, 7.1005004E-001, 3.7500000E-002, 7.8899182E-004, 3.7500000E-002, 4.8966809E-001, 3.7500000E-002, 7.7326111E-004
 4.2500000E-002, 1.9143632E+000, 4.2500000E-002, 3.0522190E-004, 4.2500000E-002, 1.8867852E+000, 4.2500000E-002, 4.3235537E-004, 4.2500000E-002, 1.4041711E+000, 4.2500000E-002, 1.3383215E-004, 4.2500000E-002, 7.3861370E-001, 4.2500000E-002, 8.0333151E-004, 4.2500000E-002, 5.0198850E-001, 4.2500000E-002, 8.7498192E-004
 4.7500000E-002, 1.9303997E+000, 4.7500000E-002, 3.6868968E-004, 4.7500000E-002, 1.9250024E+000, 4.7500000E-002, 5.2083468E-004, 4.7500000E-002, 9.6376411E-001, 4.7500000E-002, 3.4160929E-004, 4.7500000E-002, 5.9277400E-001, 4.7500000E-002, 8.0126465E-004, 4.7500000E-002, 3.8904347E-001, 4.7500000E-002, 1.2707144E-003
 5.2500000E-002, 1.9363297E+000, 5.2500000E-002, 3.7570374E-004, 5.2500000E-002, 1.9553440E+000, 5.2500000E-002, 4.9773019E-004, 5.2500000E-002, 2.0366637E+000, 5.2500000E-002, 7.4650620E-004, 5.2500000E-002, 1.1457024E+000, 5.2500000E-002, 1.2377251E-003, 5.2500000E-002, 1.1886866E+000, 5.2500000E-002, 3.9746756E-003
 5.7500000E-002, 1.9563402E+000, 5.7500000E-002, 6.0075469E-004, 5.7500000E-002, 2.0011641E+000, 5.7500000E-002, 7.8145175E-004, 5.7500000E-002, 2.5047028E+000, 5.7500000E-002, 9.3561666E-004, 5.7500000E-002, 1.9276719E+000, 5.7500000E-002, 1.7442761E-003, 5.7500000E-002, 1.8553301E+000, 5.7500000E-002, 7.7057331E-003
 6.2500000E-002, 1.9813632E+000, 6.2500000E-002, 7.7568315E-004, 6.2500000E-002, 2.0503423E+000, 6.2500000E-002, 1.1467967E-003, 6.2500000E-002, 2.6244848E+000, 6.2500000E-002, 1.0523573E-003, 6.2500000E-002, 2.8655727E+000, 6.2500000E-002, 3.3097919E-003, 6.2500000E-002, 2.7813685E+000, 6.2500000E-002, 1.2669276E-002
 6.7500000E-002, 2.0157927E+000, 6.7500000E-002, 8.0485353E-004, 6.7500000E-002, 2.1056603E+000, 6.7500000E-002, 1.0217654E-003, 6.7500000E-002, 2.6563591E+000, 6.7500000E-002, 1.6719201E-003, 6.7500000E-002, 3.4328869E+000, 6.7500000E-002, 9.2408529E-003, 6.7500000E-002, 3.5744321E+000, 6.7500000E-002, 3.9574387E-002
 7.2500000E-002, 2.0417108E+000, 7.2500000E-002, 1.2658489E-003, 7.2500000E-002, 2.1500960E+000, 7.2500000E-002, 1.7403945E-003, 7.2500000E-002, 2.6802854E+000, 7.2500000E-002, 1.7371594E-003, 7.2500000E-002, 3.6674656E+000, 7.2500000E-002, 1.5725085E-002, 7.2500000E-002, 3.9976017E+000, 7.2500000E-002, 9.8016754E-002
 7.7500000E-002, 2.0530761E+000, 7.7500000E-002, 1.4265790E-003, 7.7500000E-002, 2.1780116E+000, 7.7500000E-002, 1.7646811E-003, 7.7500000E-002, 2.6983029E+000, 7.7500000E-002, 2.0298759E-003, 7.7500000E-002, 3.7423870E+000, 7.7500000E-002, 2.1427938E-002, 7.7500000E-002, 4.1628201E+000, 7.7500000E-002, 1.5451727E-001
 8.2500000E-002, 2.0584074E+000, 8.2500000E-002, 1.4060340E-003, 8.2500000E-002, 2.1964898E+000, 8.2500000E-002, 1.8898716E-003, 8.2500000E-002, 2.7081420E+000, 8.2500000E-002, 2.0465260E-003, 8.2500000E-002, 3.7641267E+000, 8.2500000E-002, 2.4592028E-002, 8.2500000E-002, 4.2208343E+000, 8.2500000E-002, 1.5133856E-001
 8.7500000E-002, 2.0636549E+000, 8.7500000E-002, 1.1124701E-003, 8.7500000E-002, 2.2106660E+000, 8.7500000E-002, 1.2961043E-003, 8.7500000E-002, 2.7137561E+000, 8.7500000E-002, 1.7974155E-003, 8.7500000E-002, 3.7629551E+000, 8.7500000E-002, 2.3821142E-002, 8.7500000E-002, 4.2499807E+000, 8.7500000E-002, 1.5672739E-001
 9.2500000E-002, 2.0692670E+000, 9.2500000E-002, 1.1512449E-003, 9.2500000E-002, 2.2218410E+000, 9.2500000E-002, 1.4880550E-003, 9.2500000E-002, 2.7317284E+000, 9.2500000E-002, 1.9390012E-003, 9.2500000E-002, 3.7942518E+000, 9.2500000E-002, 2.7977821E-002, 9.2500000E-002, 4.2406945E+000, 9.2500000E-002, 1.9328702E-001
 9.7500000E-002, 2.0196358E+000, 9.7500000E-002, 1.2106566E-003, 9.7500000E-002, 2.0706584E+000, 9.7500000E-002, 1.5532887E-003, 9.7500000E-002, 2.5041434E+000, 9.7500000E-002, 2.0495860E-003, 9.7500000E-002, 3.3928152E+000, 9.7500000E-002, 2.5629948E-002, 9.7500000E-002, 3.6245406E+000, 9.7500000E-002, 1.1207050E-001
