s,g/m2/s
Time,"MLR"
 0.000E+000, 0.000E+000
 1.000E+001, 4.696E-002
 2.000E+001, 1.745E-001
 3.000E+001, 4.780E-001
 4.005E+001, 1.255E+000
 5.005E+001, 2.349E+000
 6.005E+001, 3.118E+000
 7.005E+001, 3.326E+000
 8.005E+001, 3.148E+000
 9.005E+001, 2.781E+000
 1.000E+002, 2.390E+000
 1.100E+002, 2.062E+000
 1.200E+002, 1.822E+000
 1.300E+002, 1.670E+000
 1.400E+002, 1.603E+000
 1.500E+002, 1.615E+000
 1.600E+002, 1.692E+000
 1.700E+002, 1.806E+000
 1.800E+002, 1.928E+000
 1.900E+002, 2.038E+000
 2.000E+002, 2.133E+000
 2.100E+002, 2.221E+000
 2.200E+002, 2.310E+000
 2.300E+002, 2.402E+000
 2.400E+002, 2.493E+000
 2.500E+002, 2.575E+000
 2.600E+002, 2.635E+000
 2.700E+002, 2.665E+000
 2.800E+002, 2.658E+000
 2.900E+002, 2.618E+000
 3.000E+002, 2.552E+000
 3.100E+002, 2.473E+000
 3.200E+002, 2.389E+000
 3.300E+002, 2.307E+000
 3.400E+002, 2.230E+000
 3.500E+002, 2.157E+000
 3.600E+002, 2.084E+000
 3.700E+002, 2.009E+000
 3.800E+002, 1.927E+000
 3.900E+002, 1.835E+000
 4.000E+002, 1.732E+000
 4.100E+002, 1.618E+000
 4.200E+002, 1.494E+000
 4.300E+002, 1.360E+000
 4.400E+002, 1.222E+000
 4.500E+002, 1.082E+000
 4.600E+002, 9.441E-001
 4.700E+002, 8.125E-001
 4.800E+002, 6.904E-001
 4.900E+002, 5.807E-001
 5.000E+002, 4.851E-001
 5.100E+002, 4.045E-001
 5.200E+002, 3.388E-001
 5.300E+002, 2.874E-001
 5.400E+002, 2.485E-001
 5.500E+002, 2.200E-001
 5.600E+002, 1.998E-001
 5.700E+002, 1.860E-001
 5.800E+002, 1.766E-001
 5.900E+002, 1.702E-001
 6.000E+002, 1.658E-001
