s,C,kg/m2/s,m
Time,"temp","MLR","thick"
 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 1.9000000E-002
 5.0100000E+000, 8.7800591E+001, 8.0266990E-018, 1.9000000E-002
 1.0010000E+001, 1.7008876E+002, 2.6846504E-013, 1.9000000E-002
 1.5010000E+001, 2.2462627E+002, 1.2576308E-010, 1.9000000E-002
 2.0000000E+001, 2.6685872E+002, 8.4396289E-009, 1.9000000E-002
 2.5000000E+001, 3.0136998E+002, 1.8796967E-007, 1.9000000E-002
 3.0000000E+001, 3.3039575E+002, 2.0563179E-006, 1.8999995E-002
 3.5000000E+001, 3.5519942E+002, 1.3753293E-005, 1.8999962E-002
 4.0000000E+001, 3.7659366E+002, 6.4183620E-005, 1.8999785E-002
 4.5010000E+001, 3.9503240E+002, 2.2620165E-004, 1.8999092E-002
 5.0010000E+001, 4.1056728E+002, 6.2479777E-004, 1.8996984E-002
 5.5010000E+001, 4.2299780E+002, 1.3742588E-003, 1.8991883E-002
 6.0010000E+001, 4.3225164E+002, 2.4495332E-003, 1.8981925E-002
 6.5010000E+001, 4.3869599E+002, 3.6651231E-003, 1.8965841E-002
 7.0010000E+001, 4.4305680E+002, 4.8302800E-003, 1.8943428E-002
 7.5000000E+001, 4.4604695E+002, 5.8551991E-003, 1.8915265E-002
 8.0000000E+001, 4.4817900E+002, 6.7313729E-003, 1.8882108E-002
 8.5000000E+001, 4.4976885E+002, 7.4797673E-003, 1.8844656E-002
 9.0000000E+001, 4.5100141E+002, 8.1239538E-003, 1.8803549E-002
 9.5000000E+001, 4.5199006E+002, 8.6850333E-003, 1.8759280E-002
 1.0000000E+002, 4.5280614E+002, 9.1797940E-003, 1.8712238E-002
 1.0500000E+002, 4.5349603E+002, 9.6211062E-003, 1.8662739E-002
 1.1000000E+002, 4.5409125E+002, 1.0019042E-002, 1.8611035E-002
 1.1500000E+002, 4.5461293E+002, 1.0380957E-002, 1.8557335E-002
 1.2000000E+002, 4.5507825E+002, 1.0713753E-002, 1.8501809E-002
 1.2500000E+002, 4.5549842E+002, 1.1022211E-002, 1.8444598E-002
 1.3000000E+002, 4.5588188E+002, 1.1310189E-002, 1.8385819E-002
 1.3500000E+002, 4.5623586E+002, 1.1581271E-002, 1.8325570E-002
 1.4000000E+002, 4.5656609E+002, 1.1838542E-002, 1.8263932E-002
 1.4500000E+002, 4.5687650E+002, 1.2084214E-002, 1.8200971E-002
 1.5000000E+002, 4.5717077E+002, 1.2320479E-002, 1.8136743E-002
 1.5500000E+002, 4.5745101E+002, 1.2548660E-002, 1.8071294E-002
 1.6001000E+002, 4.5772061E+002, 1.2770974E-002, 1.8004593E-002
 1.6501000E+002, 4.5798102E+002, 1.2988446E-002, 1.7936734E-002
 1.7001000E+002, 4.5823275E+002, 1.3201431E-002, 1.7867811E-002
 1.7501000E+002, 4.5847778E+002, 1.3411366E-002, 1.7797775E-002
 1.8001000E+002, 4.5871745E+002, 1.3619272E-002, 1.7726640E-002
 1.8501000E+002, 4.5895181E+002, 1.3825286E-002, 1.7654416E-002
 1.9001000E+002, 4.5918194E+002, 1.4030266E-002, 1.7581110E-002
 1.9501000E+002, 4.5940788E+002, 1.4234297E-002, 1.7506728E-002
 2.0001000E+002, 4.5963088E+002, 1.4438353E-002, 1.7431273E-002
 2.0501000E+002, 4.5985125E+002, 1.4642762E-002, 1.7354743E-002
 2.1001000E+002, 4.6006932E+002, 1.4847867E-002, 1.7277135E-002
 2.1501000E+002, 4.6028496E+002, 1.5053627E-002, 1.7198446E-002
 2.2001000E+002, 4.6049858E+002, 1.5260447E-002, 1.7118672E-002
 2.2501000E+002, 4.6070998E+002, 1.5468226E-002, 1.7037806E-002
 2.3001000E+002, 4.6091976E+002, 1.5677451E-002, 1.6955844E-002
 2.3501000E+002, 4.6112855E+002, 1.5888689E-002, 1.6872775E-002
 2.4001000E+002, 4.6133557E+002, 1.6101486E-002, 1.6788589E-002
 2.4501000E+002, 4.6154092E+002, 1.6315846E-002, 1.6703281E-002
 2.5001000E+002, 4.6174518E+002, 1.6532361E-002, 1.6616838E-002
 2.5501000E+002, 4.6194904E+002, 1.6751571E-002, 1.6529248E-002
 2.6001000E+002, 4.6215048E+002, 1.6972068E-002, 1.6440501E-002
 2.6501000E+002, 4.6235092E+002, 1.7194833E-002, 1.6350588E-002
 2.7001000E+002, 4.6255085E+002, 1.7420417E-002, 1.6259495E-002
 2.7501000E+002, 4.6274919E+002, 1.7648019E-002, 1.6167210E-002
 2.8001000E+002, 4.6294665E+002, 1.7878184E-002, 1.6073720E-002
 2.8501000E+002, 4.6314318E+002, 1.8110982E-002, 1.5979011E-002
 2.9001000E+002, 4.6333815E+002, 1.8345912E-002, 1.5883072E-002
 2.9501000E+002, 4.6353221E+002, 1.8583513E-002, 1.5785889E-002
 3.0001000E+002, 4.6372467E+002, 1.8823273E-002, 1.5687450E-002
 3.0501000E+002, 4.6391614E+002, 1.9065692E-002, 1.5587742E-002
 3.1001000E+002, 4.6410722E+002, 1.9311253E-002, 1.5486750E-002
 3.1501000E+002, 4.6429610E+002, 1.9558558E-002, 1.5384460E-002
 3.2001000E+002, 4.6448332E+002, 1.9807880E-002, 1.5280864E-002
 3.2501000E+002, 4.6467012E+002, 2.0060195E-002, 1.5175948E-002
 3.3001000E+002, 4.6485579E+002, 2.0314881E-002, 1.5069698E-002
 3.3501000E+002, 4.6503918E+002, 2.0570802E-002, 1.4962103E-002
 3.4001000E+002, 4.6522124E+002, 2.0828324E-002, 1.4853157E-002
 3.4501000E+002, 4.6540219E+002, 2.1087462E-002, 1.4742851E-002
 3.5001000E+002, 4.6558112E+002, 2.1346838E-002, 1.4631181E-002
 3.5501000E+002, 4.6575802E+002, 2.1605802E-002, 1.4518146E-002
 3.6001000E+002, 4.6593327E+002, 2.1863825E-002, 1.4403750E-002
 3.6501000E+002, 4.6610618E+002, 2.2119272E-002, 1.4288002E-002
 3.7001000E+002, 4.6627791E+002, 2.2371908E-002, 1.4170917E-002
 3.7501000E+002, 4.6644723E+002, 2.2619212E-002, 1.4052516E-002
 3.8001000E+002, 4.6661443E+002, 2.2859804E-002, 1.3932829E-002
 3.8501000E+002, 4.6677852E+002, 2.3091033E-002, 1.3811900E-002
 3.9001000E+002, 4.6694085E+002, 2.3312227E-002, 1.3689781E-002
 3.9501000E+002, 4.6710040E+002, 2.3520886E-002, 1.3566529E-002
 4.0001000E+002, 4.6725832E+002, 2.3716363E-002, 1.3442213E-002
 4.0501000E+002, 4.6741321E+002, 2.3896220E-002, 1.3316909E-002
 4.1001000E+002, 4.6756602E+002, 2.4060279E-002, 1.3190699E-002
 4.1501000E+002, 4.6771769E+002, 2.4208824E-002, 1.3063668E-002
 4.2001000E+002, 4.6786819E+002, 2.4341911E-002, 1.2935896E-002
 4.2501000E+002, 4.6801719E+002, 2.4459415E-002, 1.2807464E-002
 4.3001000E+002, 4.6816671E+002, 2.4563573E-002, 1.2678450E-002
 4.3501000E+002, 4.6831652E+002, 2.4654978E-002, 1.2548922E-002
 4.4001000E+002, 4.6846910E+002, 2.4736358E-002, 1.2418940E-002
 4.4501000E+002, 4.6862443E+002, 2.4808219E-002, 1.2288555E-002
 4.5001000E+002, 4.6878415E+002, 2.4871891E-002, 1.2157815E-002
