s,kg/m2/s
Time,"MLR"
 0.000E+000, 0.000E+000
 2.000E+000, 5.280E-020
 4.010E+000, 2.337E-017
 6.010E+000, 1.391E-015
 8.010E+000, 3.047E-014
 1.001E+001, 3.622E-013
 1.201E+001, 2.843E-012
 1.401E+001, 1.652E-011
 1.601E+001, 7.639E-011
 1.800E+001, 2.945E-010
 2.000E+001, 9.863E-010
 2.200E+001, 2.948E-009
 2.400E+001, 8.004E-009
 2.600E+001, 2.005E-008
 2.800E+001, 4.691E-008
 3.000E+001, 1.035E-007
 3.200E+001, 2.173E-007
 3.400E+001, 4.364E-007
 3.600E+001, 8.432E-007
 3.800E+001, 1.574E-006
 4.000E+001, 2.850E-006
 4.200E+001, 5.020E-006
 4.401E+001, 8.635E-006
 4.601E+001, 1.451E-005
 4.801E+001, 2.384E-005
 5.001E+001, 3.842E-005
 5.201E+001, 6.078E-005
 5.401E+001, 9.450E-005
 5.601E+001, 1.445E-004
 5.801E+001, 2.175E-004
 6.001E+001, 3.224E-004
 6.201E+001, 4.707E-004
 6.401E+001, 6.768E-004
 6.601E+001, 9.840E-004
 6.801E+001, 1.845E-003
 7.001E+001, 3.151E-003
 7.201E+001, 4.833E-003
 7.400E+001, 6.899E-003
 7.600E+001, 9.302E-003
 7.800E+001, 1.194E-002
 8.000E+001, 1.464E-002
 8.200E+001, 1.727E-002
 8.400E+001, 1.968E-002
 8.600E+001, 2.177E-002
 8.800E+001, 2.342E-002
 9.000E+001, 2.452E-002
 9.200E+001, 2.486E-002
 9.400E+001, 2.432E-002
 9.600E+001, 2.332E-002
 9.800E+001, 2.262E-002
 1.000E+002, 2.228E-002
 1.020E+002, 2.211E-002
 1.040E+002, 2.204E-002
 1.060E+002, 2.204E-002
 1.080E+002, 2.209E-002
 1.100E+002, 2.219E-002
 1.120E+002, 2.233E-002
 1.140E+002, 2.249E-002
 1.160E+002, 2.267E-002
 1.180E+002, 2.287E-002
 1.200E+002, 2.308E-002
 1.220E+002, 2.329E-002
 1.240E+002, 2.350E-002
 1.260E+002, 2.369E-002
 1.280E+002, 2.388E-002
 1.300E+002, 2.404E-002
 1.320E+002, 2.418E-002
 1.340E+002, 2.429E-002
 1.360E+002, 2.437E-002
 1.380E+002, 2.442E-002
 1.400E+002, 2.444E-002
 1.420E+002, 2.442E-002
 1.440E+002, 2.437E-002
 1.460E+002, 2.428E-002
 1.480E+002, 2.417E-002
 1.500E+002, 2.403E-002
 1.520E+002, 2.386E-002
 1.540E+002, 2.366E-002
 1.560E+002, 2.345E-002
 1.580E+002, 2.322E-002
 1.600E+002, 2.297E-002
 1.620E+002, 2.271E-002
 1.640E+002, 2.245E-002
 1.660E+002, 2.217E-002
 1.680E+002, 2.189E-002
 1.700E+002, 2.160E-002
 1.720E+002, 2.131E-002
 1.740E+002, 2.102E-002
 1.760E+002, 2.073E-002
 1.780E+002, 2.044E-002
 1.800E+002, 2.015E-002
 1.820E+002, 1.987E-002
 1.840E+002, 1.959E-002
 1.860E+002, 1.931E-002
 1.880E+002, 1.904E-002
 1.900E+002, 1.876E-002
 1.920E+002, 1.850E-002
 1.940E+002, 1.824E-002
 1.960E+002, 1.798E-002
 1.980E+002, 1.773E-002
 2.000E+002, 1.748E-002
 2.020E+002, 1.724E-002
 2.040E+002, 1.700E-002
 2.060E+002, 1.677E-002
 2.080E+002, 1.654E-002
 2.100E+002, 1.631E-002
 2.120E+002, 1.609E-002
 2.140E+002, 1.587E-002
 2.160E+002, 1.566E-002
 2.180E+002, 1.545E-002
 2.200E+002, 1.525E-002
 2.220E+002, 1.505E-002
 2.240E+002, 1.485E-002
 2.260E+002, 1.465E-002
 2.280E+002, 1.446E-002
 2.300E+002, 1.427E-002
 2.320E+002, 1.408E-002
 2.340E+002, 1.391E-002
 2.360E+002, 1.373E-002
 2.380E+002, 1.354E-002
 2.400E+002, 1.336E-002
 2.420E+002, 1.319E-002
 2.440E+002, 1.301E-002
 2.460E+002, 1.284E-002
 2.480E+002, 1.267E-002
 2.500E+002, 1.251E-002
 2.520E+002, 1.234E-002
 2.540E+002, 1.218E-002
 2.560E+002, 1.201E-002
 2.580E+002, 1.185E-002
 2.600E+002, 1.169E-002
 2.620E+002, 1.153E-002
 2.640E+002, 1.137E-002
 2.660E+002, 1.121E-002
 2.680E+002, 1.105E-002
 2.700E+002, 1.090E-002
 2.720E+002, 1.074E-002
 2.740E+002, 1.058E-002
 2.760E+002, 1.042E-002
 2.780E+002, 1.026E-002
 2.800E+002, 1.010E-002
 2.820E+002, 9.940E-003
 2.840E+002, 9.778E-003
 2.860E+002, 9.614E-003
 2.880E+002, 9.449E-003
 2.900E+002, 9.282E-003
 2.920E+002, 9.112E-003
 2.940E+002, 8.940E-003
 2.960E+002, 8.764E-003
 2.980E+002, 8.585E-003
 3.000E+002, 8.402E-003
 3.020E+002, 8.214E-003
 3.040E+002, 8.020E-003
 3.060E+002, 7.821E-003
 3.080E+002, 7.614E-003
 3.100E+002, 7.399E-003
 3.120E+002, 7.176E-003
 3.140E+002, 6.941E-003
 3.160E+002, 6.695E-003
 3.180E+002, 6.435E-003
 3.200E+002, 6.159E-003
 3.220E+002, 5.864E-003
 3.240E+002, 5.548E-003
 3.260E+002, 5.207E-003
 3.280E+002, 4.838E-003
 3.300E+002, 4.436E-003
 3.320E+002, 3.999E-003
 3.340E+002, 3.523E-003
 3.360E+002, 3.009E-003
 3.380E+002, 2.464E-003
 3.400E+002, 1.903E-003
 3.420E+002, 1.358E-003
 3.440E+002, 8.716E-004
 3.460E+002, 4.891E-004
 3.480E+002, 2.336E-004
 3.500E+002, 9.293E-005
 3.520E+002, 3.041E-005
 3.540E+002, 8.116E-006
 3.560E+002, 1.753E-006
 3.580E+002, 3.037E-007
 3.600E+002, 4.177E-008
 3.620E+002, 4.512E-009
 3.640E+002, 3.786E-010
 3.660E+002, 2.442E-011
