s,kW,C,kg/s,m,kW/m2
Time,"HRR","temp","MLR","thick","flux"
 0.000E+000, 0.000E+000, 2.000E+001, 0.000E+000, 1.900E-002,-4.813E-011
 2.012E+000, 0.000E+000, 5.255E+001, 0.000E+000, 1.900E-002, 7.004E+001
 4.010E+000, 0.000E+000, 9.731E+001, 0.000E+000, 1.900E-002, 7.016E+001
 6.009E+000, 0.000E+000, 1.294E+002, 0.000E+000, 1.900E-002, 7.025E+001
 8.008E+000, 3.753E-009, 1.556E+002, 0.000E+000, 1.900E-002, 7.033E+001
 1.000E+001, 5.636E-007, 1.782E+002, 0.000E+000, 1.900E-002, 7.040E+001
 1.200E+001, 6.349E-006, 1.982E+002, 0.000E+000, 1.900E-002, 7.045E+001
 1.401E+001, 4.540E-005, 2.162E+002, 0.000E+000, 1.900E-002, 7.051E+001
 1.600E+001, 2.407E-004, 2.327E+002, 0.000E+000, 1.900E-002, 7.056E+001
 1.800E+001, 1.027E-003, 2.479E+002, 0.000E+000, 1.900E-002, 7.061E+001
 2.001E+001, 3.698E-003, 2.620E+002, 0.000E+000, 1.900E-002, 7.065E+001
 2.201E+001, 1.160E-002, 2.753E+002, 0.000E+000, 1.900E-002, 7.069E+001
 2.401E+001, 3.238E-002, 2.878E+002, 0.000E+000, 1.900E-002, 7.073E+001
 2.601E+001, 8.252E-002, 2.996E+002, 0.000E+000, 1.900E-002, 7.078E+001
 2.800E+001, 1.941E-001, 3.109E+002, 0.000E+000, 1.900E-002, 7.083E+001
 3.000E+001, 4.279E-001, 3.217E+002, 0.000E+000, 1.900E-002, 7.096E+001
 3.201E+001, 8.964E-001, 3.323E+002, 0.000E+000, 1.900E-002, 7.119E+001
 3.400E+001, 1.794E+000, 3.428E+002, 0.000E+000, 1.900E-002, 7.160E+001
 3.601E+001, 3.469E+000, 3.534E+002, 0.000E+000, 1.900E-002, 7.235E+001
 3.800E+001, 6.565E+000, 3.646E+002, 0.000E+000, 1.900E-002, 7.378E+001
 4.000E+001, 1.231E+001, 3.770E+002, 0.000E+000, 1.900E-002, 7.633E+001
 4.200E+001, 2.334E+001, 3.921E+002, 0.000E+000, 1.900E-002, 8.336E+001
 4.400E+001, 4.779E+001, 4.157E+002, 0.000E+000, 1.900E-002, 1.034E+002
 4.600E+001, 1.074E+002, 4.383E+002, 0.000E+000, 1.900E-002, 1.034E+002
 4.800E+001, 2.320E+002, 4.490E+002, 0.000E+000, 1.900E-002, 1.015E+002
 5.000E+001, 4.316E+002, 4.587E+002, 0.000E+000, 1.900E-002, 1.012E+002
 5.200E+001, 6.777E+002, 4.691E+002, 0.000E+000, 1.900E-002, 9.994E+001
 5.400E+001, 9.056E+002, 4.880E+002, 0.000E+000, 1.900E-002, 1.012E+002
 5.600E+001, 9.779E+002, 5.387E+002, 0.000E+000, 1.900E-002, 1.025E+002
 5.800E+001, 8.526E+002, 5.808E+002, 0.000E+000, 1.900E-002, 1.045E+002
 6.000E+001, 8.505E+002, 5.872E+002, 0.000E+000, 1.900E-002, 1.026E+002
 6.200E+001, 8.565E+002, 5.967E+002, 0.000E+000, 1.900E-002, 1.019E+002
 6.400E+001, 7.739E+002, 6.107E+002, 0.000E+000, 1.900E-002, 1.019E+002
 6.600E+001, 7.190E+002, 6.320E+002, 0.000E+000, 1.900E-002, 1.017E+002
 6.800E+001, 5.490E+002, 6.587E+002, 0.000E+000, 1.901E-002, 1.016E+002
 7.000E+001, 6.375E+002, 6.708E+002, 0.000E+000, 1.901E-002, 1.014E+002
 7.200E+001, 7.021E+002, 6.751E+002, 0.000E+000, 1.901E-002, 1.015E+002
 7.400E+001, 6.596E+002, 6.814E+002, 0.000E+000, 1.901E-002, 1.026E+002
 7.600E+001, 6.642E+002, 6.887E+002, 0.000E+000, 1.901E-002, 1.037E+002
 7.800E+001, 6.597E+002, 6.928E+002, 0.000E+000, 1.901E-002, 1.014E+002
 8.000E+001, 5.881E+002, 7.003E+002, 0.000E+000, 1.901E-002, 1.012E+002
 8.200E+001, 5.847E+002, 7.124E+002, 0.000E+000, 1.901E-002, 1.021E+002
 8.400E+001, 6.615E+002, 7.214E+002, 0.000E+000, 1.901E-002, 1.017E+002
 8.600E+001, 7.269E+002, 7.249E+002, 0.000E+000, 1.901E-002, 1.010E+002
 8.800E+001, 7.267E+002, 7.273E+002, 0.000E+000, 1.901E-002, 1.016E+002
 9.000E+001, 7.017E+002, 7.328E+002, 0.000E+000, 1.901E-002, 1.023E+002
 9.200E+001, 6.941E+002, 7.349E+002, 0.000E+000, 1.901E-002, 1.014E+002
 9.400E+001, 6.681E+002, 7.378E+002, 0.000E+000, 1.901E-002, 1.010E+002
 9.600E+001, 6.820E+002, 7.436E+002, 0.000E+000, 1.901E-002, 1.011E+002
 9.800E+001, 7.391E+002, 7.513E+002, 0.000E+000, 1.901E-002, 1.021E+002
 1.000E+002, 7.827E+002, 7.570E+002, 0.000E+000, 1.901E-002, 1.024E+002
 1.020E+002, 7.880E+002, 7.580E+002, 0.000E+000, 1.901E-002, 1.014E+002
 1.040E+002, 7.581E+002, 7.604E+002, 0.000E+000, 1.901E-002, 1.018E+002
 1.060E+002, 7.256E+002, 7.629E+002, 0.000E+000, 1.901E-002, 1.018E+002
 1.080E+002, 7.145E+002, 7.650E+002, 0.000E+000, 1.901E-002, 1.015E+002
 1.100E+002, 7.134E+002, 7.676E+002, 0.000E+000, 1.901E-002, 1.013E+002
 1.120E+002, 7.546E+002, 7.723E+002, 0.000E+000, 1.901E-002, 1.022E+002
 1.140E+002, 7.588E+002, 7.760E+002, 0.000E+000, 1.902E-002, 1.020E+002
 1.160E+002, 7.467E+002, 7.772E+002, 0.000E+000, 1.902E-002, 1.012E+002
 1.180E+002, 7.145E+002, 7.784E+002, 0.000E+000, 1.902E-002, 1.014E+002
 1.200E+002, 6.728E+002, 7.806E+002, 0.000E+000, 1.902E-002, 1.017E+002
 1.220E+002, 6.529E+002, 7.844E+002, 0.000E+000, 1.902E-002, 1.025E+002
 1.240E+002, 6.635E+002, 7.855E+002, 0.000E+000, 1.902E-002, 1.015E+002
 1.260E+002, 6.669E+002, 7.860E+002, 0.000E+000, 1.902E-002, 1.013E+002
 1.280E+002, 6.593E+002, 7.880E+002, 0.000E+000, 1.902E-002, 1.012E+002
 1.300E+002, 6.527E+002, 7.895E+002, 0.000E+000, 1.902E-002, 1.009E+002
 1.320E+002, 6.253E+002, 7.912E+002, 0.000E+000, 1.902E-002, 1.011E+002
 1.340E+002, 5.888E+002, 7.929E+002, 0.000E+000, 1.902E-002, 1.013E+002
 1.360E+002, 5.686E+002, 7.948E+002, 0.000E+000, 1.902E-002, 1.017E+002
 1.380E+002, 5.726E+002, 7.983E+002, 0.000E+000, 1.902E-002, 1.026E+002
 1.400E+002, 5.727E+002, 8.018E+002, 0.000E+000, 1.902E-002, 1.037E+002
 1.420E+002, 5.642E+002, 8.031E+002, 0.000E+000, 1.902E-002, 1.024E+002
 1.440E+002, 5.556E+002, 8.021E+002, 0.000E+000, 1.902E-002, 1.016E+002
 1.460E+002, 5.362E+002, 8.014E+002, 0.000E+000, 1.902E-002, 1.008E+002
 1.480E+002, 5.055E+002, 8.020E+002, 0.000E+000, 1.902E-002, 1.006E+002
