s,kW
Time,"HRR"
 0.000E+000, 0.000E+000
 2.000E+000, 0.000E+000
 4.001E+000, 0.000E+000
 6.009E+000, 0.000E+000
 8.008E+000, 0.000E+000
 1.001E+001, 0.000E+000
 1.201E+001, 0.000E+000
 1.400E+001, 0.000E+000
 1.600E+001, 0.000E+000
 1.800E+001, 0.000E+000
 2.000E+001, 0.000E+000
 2.201E+001, 0.000E+000
 2.401E+001, 0.000E+000
 2.601E+001, 0.000E+000
 2.801E+001, 0.000E+000
 3.000E+001, 0.000E+000
 3.201E+001, 0.000E+000
 3.401E+001, 0.000E+000
 3.601E+001, 0.000E+000
 3.800E+001, 0.000E+000
 4.001E+001, 0.000E+000
 4.201E+001, 0.000E+000
 4.401E+001, 0.000E+000
 4.600E+001, 0.000E+000
 4.801E+001, 0.000E+000
 5.000E+001, 0.000E+000
 5.200E+001, 0.000E+000
 5.400E+001, 0.000E+000
 5.600E+001, 0.000E+000
 5.801E+001, 0.000E+000
 6.001E+001, 0.000E+000
 6.201E+001, 0.000E+000
 6.401E+001, 0.000E+000
 6.601E+001, 0.000E+000
 6.800E+001, 0.000E+000
 7.001E+001, 0.000E+000
 7.200E+001, 0.000E+000
 7.400E+001, 0.000E+000
 7.600E+001, 0.000E+000
 7.801E+001, 5.805E-010
 8.000E+001, 7.576E-009
 8.201E+001, 2.900E-008
 8.400E+001, 7.955E-008
 8.601E+001, 1.911E-007
 8.801E+001, 4.046E-007
 9.001E+001, 7.853E-007
 9.201E+001, 1.474E-006
 9.401E+001, 2.651E-006
 9.601E+001, 4.633E-006
 9.800E+001, 7.952E-006
 1.000E+002, 1.341E-005
 1.020E+002, 2.223E-005
 1.040E+002, 3.660E-005
 1.060E+002, 5.913E-005
 1.080E+002, 9.395E-005
 1.100E+002, 1.476E-004
 1.120E+002, 2.288E-004
 1.140E+002, 3.511E-004
 1.160E+002, 5.330E-004
 1.180E+002, 8.004E-004
 1.200E+002, 1.192E-003
 1.220E+002, 1.759E-003
 1.240E+002, 2.545E-003
 1.260E+002, 3.660E-003
 1.280E+002, 5.244E-003
 1.300E+002, 7.404E-003
 1.320E+002, 1.034E-002
 1.340E+002, 1.440E-002
 1.360E+002, 1.987E-002
 1.380E+002, 2.730E-002
 1.400E+002, 3.688E-002
 1.420E+002, 4.954E-002
 1.440E+002, 6.627E-002
 1.460E+002, 8.826E-002
 1.480E+002, 1.163E-001
 1.500E+002, 1.521E-001
 1.520E+002, 1.986E-001
 1.540E+002, 2.582E-001
 1.560E+002, 3.321E-001
 1.580E+002, 4.264E-001
 1.600E+002, 5.440E-001
 1.620E+002, 6.915E-001
 1.640E+002, 8.728E-001
 1.660E+002, 1.105E+000
 1.680E+002, 1.398E+000
 1.700E+002, 1.759E+000
 1.720E+002, 2.220E+000
 1.740E+002, 2.792E+000
 1.760E+002, 3.523E+000
 1.780E+002, 4.480E+000
 1.800E+002, 5.727E+000
 1.820E+002, 7.347E+000
 1.840E+002, 9.573E+000
 1.860E+002, 1.304E+001
 1.880E+002, 1.899E+001
 1.900E+002, 2.716E+001
 1.920E+002, 3.715E+001
 1.940E+002, 5.020E+001
 1.960E+002, 6.417E+001
 1.980E+002, 7.959E+001
 2.000E+002, 9.561E+001
 2.020E+002, 1.122E+002
 2.040E+002, 1.244E+002
 2.060E+002, 1.444E+002
 2.080E+002, 1.604E+002
 2.100E+002, 1.743E+002
 2.120E+002, 1.887E+002
 2.140E+002, 1.986E+002
 2.160E+002, 2.057E+002
 2.180E+002, 2.143E+002
 2.200E+002, 2.163E+002
 2.220E+002, 2.221E+002
 2.240E+002, 2.230E+002
 2.260E+002, 2.278E+002
 2.280E+002, 2.270E+002
 2.300E+002, 2.268E+002
 2.320E+002, 2.259E+002
 2.340E+002, 2.291E+002
 2.360E+002, 2.294E+002
 2.380E+002, 2.264E+002
 2.400E+002, 2.275E+002
 2.420E+002, 2.286E+002
 2.440E+002, 2.303E+002
 2.460E+002, 2.327E+002
 2.480E+002, 2.336E+002
 2.500E+002, 2.323E+002
 2.520E+002, 2.299E+002
 2.540E+002, 2.328E+002
 2.560E+002, 2.287E+002
 2.580E+002, 2.287E+002
 2.600E+002, 2.306E+002
 2.620E+002, 2.269E+002
 2.640E+002, 2.258E+002
 2.660E+002, 2.221E+002
 2.680E+002, 2.204E+002
 2.700E+002, 2.228E+002
 2.720E+002, 2.206E+002
 2.740E+002, 2.211E+002
 2.760E+002, 2.206E+002
 2.780E+002, 2.194E+002
 2.800E+002, 2.157E+002
 2.820E+002, 2.145E+002
 2.840E+002, 2.112E+002
 2.860E+002, 2.104E+002
 2.880E+002, 2.092E+002
 2.900E+002, 2.066E+002
 2.920E+002, 2.047E+002
 2.940E+002, 2.026E+002
 2.960E+002, 1.977E+002
 2.980E+002, 1.966E+002
 3.000E+002, 1.916E+002
 3.020E+002, 1.847E+002
 3.040E+002, 1.779E+002
 3.060E+002, 1.646E+002
 3.080E+002, 1.579E+002
 3.100E+002, 1.579E+002
 3.120E+002, 1.553E+002
 3.140E+002, 1.540E+002
 3.160E+002, 1.504E+002
 3.180E+002, 1.467E+002
 3.200E+002, 1.390E+002
 3.220E+002, 1.339E+002
 3.240E+002, 1.327E+002
 3.260E+002, 1.304E+002
 3.280E+002, 1.269E+002
 3.300E+002, 1.220E+002
 3.320E+002, 1.171E+002
 3.340E+002, 1.122E+002
 3.360E+002, 1.096E+002
 3.380E+002, 1.084E+002
 3.400E+002, 1.054E+002
 3.420E+002, 1.032E+002
 3.440E+002, 9.998E+001
 3.460E+002, 9.814E+001
 3.480E+002, 9.562E+001
 3.500E+002, 9.378E+001
 3.520E+002, 9.177E+001
 3.540E+002, 8.946E+001
 3.560E+002, 8.773E+001
 3.580E+002, 8.602E+001
 3.600E+002, 8.480E+001
 3.620E+002, 8.343E+001
 3.640E+002, 8.157E+001
 3.660E+002, 8.028E+001
 3.680E+002, 7.871E+001
 3.700E+002, 7.716E+001
 3.720E+002, 7.509E+001
 3.740E+002, 7.356E+001
 3.760E+002, 7.205E+001
 3.780E+002, 7.091E+001
 3.800E+002, 6.968E+001
 3.820E+002, 6.847E+001
 3.840E+002, 6.758E+001
 3.860E+002, 6.665E+001
 3.880E+002, 6.510E+001
 3.900E+002, 6.313E+001
 3.920E+002, 6.176E+001
 3.940E+002, 6.034E+001
 3.960E+002, 5.916E+001
 3.980E+002, 5.806E+001
 4.000E+002, 5.706E+001
 4.020E+002, 5.625E+001
 4.040E+002, 5.552E+001
 4.060E+002, 5.476E+001
 4.080E+002, 5.373E+001
 4.100E+002, 5.269E+001
 4.120E+002, 5.212E+001
 4.140E+002, 5.192E+001
 4.160E+002, 5.180E+001
 4.180E+002, 5.136E+001
 4.200E+002, 5.019E+001
 4.220E+002, 4.934E+001
 4.240E+002, 4.835E+001
 4.260E+002, 4.764E+001
 4.280E+002, 4.687E+001
 4.300E+002, 4.594E+001
 4.320E+002, 4.509E+001
 4.340E+002, 4.422E+001
 4.360E+002, 4.348E+001
 4.380E+002, 4.297E+001
 4.400E+002, 4.232E+001
 4.420E+002, 4.164E+001
 4.440E+002, 4.102E+001
 4.460E+002, 4.051E+001
 4.480E+002, 4.008E+001
 4.500E+002, 3.960E+001
 4.520E+002, 3.905E+001
 4.540E+002, 3.866E+001
 4.560E+002, 3.801E+001
 4.580E+002, 3.736E+001
 4.600E+002, 3.689E+001
 4.620E+002, 3.635E+001
 4.640E+002, 3.586E+001
 4.660E+002, 3.536E+001
 4.680E+002, 3.491E+001
 4.700E+002, 3.459E+001
 4.720E+002, 3.432E+001
 4.740E+002, 3.413E+001
 4.760E+002, 3.379E+001
 4.780E+002, 3.327E+001
 4.800E+002, 3.287E+001
 4.820E+002, 3.255E+001
 4.840E+002, 3.228E+001
 4.860E+002, 3.189E+001
 4.880E+002, 3.144E+001
 4.900E+002, 3.103E+001
 4.920E+002, 3.071E+001
 4.940E+002, 3.031E+001
 4.960E+002, 2.996E+001
 4.980E+002, 2.956E+001
 5.000E+002, 2.920E+001
 5.020E+002, 2.882E+001
 5.040E+002, 2.852E+001
 5.060E+002, 2.832E+001
 5.080E+002, 2.811E+001
 5.100E+002, 2.787E+001
 5.120E+002, 2.760E+001
 5.140E+002, 2.741E+001
 5.160E+002, 2.712E+001
 5.180E+002, 2.670E+001
 5.200E+002, 2.637E+001
 5.220E+002, 2.606E+001
 5.240E+002, 2.569E+001
 5.260E+002, 2.539E+001
 5.280E+002, 2.517E+001
 5.300E+002, 2.497E+001
 5.320E+002, 2.468E+001
 5.340E+002, 2.437E+001
 5.360E+002, 2.412E+001
 5.380E+002, 2.385E+001
 5.400E+002, 2.362E+001
 5.420E+002, 2.341E+001
 5.440E+002, 2.327E+001
 5.460E+002, 2.327E+001
 5.480E+002, 2.312E+001
 5.500E+002, 2.283E+001
 5.520E+002, 2.253E+001
 5.540E+002, 2.224E+001
 5.560E+002, 2.195E+001
 5.580E+002, 2.169E+001
 5.600E+002, 2.143E+001
 5.620E+002, 2.124E+001
 5.640E+002, 2.103E+001
 5.660E+002, 2.083E+001
 5.680E+002, 2.062E+001
 5.700E+002, 2.043E+001
 5.720E+002, 2.026E+001
 5.740E+002, 2.008E+001
 5.760E+002, 1.990E+001
 5.780E+002, 1.968E+001
 5.800E+002, 1.946E+001
 5.820E+002, 1.925E+001
 5.840E+002, 1.903E+001
 5.860E+002, 1.885E+001
 5.880E+002, 1.868E+001
 5.900E+002, 1.853E+001
 5.920E+002, 1.839E+001
 5.940E+002, 1.824E+001
 5.960E+002, 1.810E+001
 5.980E+002, 1.795E+001
 6.000E+002, 1.779E+001
