s,kW/m2
Time,"HRRPUA"
 0.000E+000, 0.000E+000
 2.000E+000, 6.709E-045
 4.010E+000, 1.522E-035
 6.010E+000, 1.249E-029
 8.010E+000, 2.248E-025
 1.001E+001, 4.187E-022
 1.201E+001, 1.740E-019
 1.401E+001, 2.500E-017
 1.601E+001, 1.637E-015
 1.800E+001, 5.987E-014
 2.000E+001, 1.407E-012
 2.200E+001, 2.291E-011
 2.400E+001, 2.742E-010
 2.600E+001, 2.539E-009
 2.800E+001, 1.893E-008
 3.000E+001, 1.174E-007
 3.200E+001, 6.215E-007
 3.400E+001, 2.872E-006
 3.600E+001, 1.179E-005
 3.800E+001, 4.362E-005
 4.000E+001, 1.474E-004
 4.200E+001, 4.595E-004
 4.401E+001, 1.338E-003
 4.601E+001, 3.649E-003
 4.801E+001, 9.380E-003
 5.001E+001, 2.290E-002
 5.201E+001, 5.338E-002
 5.401E+001, 1.194E-001
 5.601E+001, 2.576E-001
 5.801E+001, 5.393E-001
 6.001E+001, 1.105E+000
 6.201E+001, 2.237E+000
 6.401E+001, 4.551E+000
 6.601E+001, 9.456E+000
 6.801E+001, 2.373E+001
 7.001E+001, 1.505E+002
 7.201E+001, 2.605E+002
 7.400E+001, 2.692E+002
 7.600E+001, 2.547E+002
 7.800E+001, 2.455E+002
 8.000E+001, 2.409E+002
 8.200E+001, 2.386E+002
 8.400E+001, 2.380E+002
 8.600E+001, 2.386E+002
 8.800E+001, 2.401E+002
 9.000E+001, 2.424E+002
 9.200E+001, 2.454E+002
 9.400E+001, 2.490E+002
 9.600E+001, 2.532E+002
 9.800E+001, 2.579E+002
 1.000E+002, 2.631E+002
 1.020E+002, 2.688E+002
 1.040E+002, 2.750E+002
 1.060E+002, 2.816E+002
 1.080E+002, 2.887E+002
 1.100E+002, 2.963E+002
 1.120E+002, 3.044E+002
 1.140E+002, 3.129E+002
 1.160E+002, 3.218E+002
 1.180E+002, 3.313E+002
 1.200E+002, 3.412E+002
 1.220E+002, 3.517E+002
 1.240E+002, 3.626E+002
 1.260E+002, 3.740E+002
 1.280E+002, 3.857E+002
 1.300E+002, 3.976E+002
 1.320E+002, 4.095E+002
 1.340E+002, 4.208E+002
 1.360E+002, 4.314E+002
 1.380E+002, 4.406E+002
 1.400E+002, 4.482E+002
 1.420E+002, 4.539E+002
 1.440E+002, 4.577E+002
 1.460E+002, 4.599E+002
 1.480E+002, 4.606E+002
 1.500E+002, 4.603E+002
 1.520E+002, 4.592E+002
 1.540E+002, 4.578E+002
 1.560E+002, 4.561E+002
 1.580E+002, 4.542E+002
 1.600E+002, 4.523E+002
 1.620E+002, 4.501E+002
 1.640E+002, 4.476E+002
 1.660E+002, 4.438E+002
 1.680E+002, 4.369E+002
 1.700E+002, 4.156E+002
 1.720E+002, 2.461E+002
 1.740E+002, 1.757E+002
 1.760E+002, 2.169E+002
 1.780E+002, 2.445E+002
 1.800E+002, 2.597E+002
 1.820E+002, 2.652E+002
 1.840E+002, 2.640E+002
 1.860E+002, 2.583E+002
 1.880E+002, 2.499E+002
 1.900E+002, 2.401E+002
 1.920E+002, 2.297E+002
 1.940E+002, 2.192E+002
 1.960E+002, 2.091E+002
 1.980E+002, 1.994E+002
 2.000E+002, 1.904E+002
 2.020E+002, 1.820E+002
 2.040E+002, 1.743E+002
 2.060E+002, 1.673E+002
 2.080E+002, 1.609E+002
 2.100E+002, 1.550E+002
 2.120E+002, 1.497E+002
 2.140E+002, 1.449E+002
 2.160E+002, 1.405E+002
 2.180E+002, 1.365E+002
 2.200E+002, 1.329E+002
 2.220E+002, 1.295E+002
 2.240E+002, 1.265E+002
 2.260E+002, 1.237E+002
 2.280E+002, 1.211E+002
 2.300E+002, 1.188E+002
 2.320E+002, 1.166E+002
 2.340E+002, 1.145E+002
 2.360E+002, 1.127E+002
 2.380E+002, 1.109E+002
 2.400E+002, 1.093E+002
 2.420E+002, 1.077E+002
 2.440E+002, 1.063E+002
 2.460E+002, 1.049E+002
 2.480E+002, 1.036E+002
 2.500E+002, 1.024E+002
 2.520E+002, 1.012E+002
 2.540E+002, 1.001E+002
 2.560E+002, 9.904E+001
 2.580E+002, 9.803E+001
 2.600E+002, 9.706E+001
 2.620E+002, 9.613E+001
 2.640E+002, 9.524E+001
 2.660E+002, 9.439E+001
 2.680E+002, 9.356E+001
 2.700E+002, 9.277E+001
 2.720E+002, 9.200E+001
 2.740E+002, 9.126E+001
 2.760E+002, 9.054E+001
 2.780E+002, 8.985E+001
 2.800E+002, 8.918E+001
 2.820E+002, 8.853E+001
 2.840E+002, 8.790E+001
 2.860E+002, 8.728E+001
 2.880E+002, 8.669E+001
 2.900E+002, 8.611E+001
 2.920E+002, 8.555E+001
 2.940E+002, 8.500E+001
 2.960E+002, 8.447E+001
 2.980E+002, 8.395E+001
 3.000E+002, 8.344E+001
 3.020E+002, 8.295E+001
 3.040E+002, 8.247E+001
 3.060E+002, 8.200E+001
 3.080E+002, 8.154E+001
 3.100E+002, 8.110E+001
 3.120E+002, 8.066E+001
 3.140E+002, 8.024E+001
 3.160E+002, 7.982E+001
 3.180E+002, 7.941E+001
 3.200E+002, 7.902E+001
 3.220E+002, 7.863E+001
 3.240E+002, 7.825E+001
 3.260E+002, 7.788E+001
 3.280E+002, 7.751E+001
 3.300E+002, 7.716E+001
 3.320E+002, 7.681E+001
 3.340E+002, 7.647E+001
 3.360E+002, 7.614E+001
 3.380E+002, 7.581E+001
 3.400E+002, 7.549E+001
 3.420E+002, 7.517E+001
 3.440E+002, 7.486E+001
 3.460E+002, 7.456E+001
 3.480E+002, 7.426E+001
 3.500E+002, 7.397E+001
 3.520E+002, 7.368E+001
 3.540E+002, 7.340E+001
 3.560E+002, 7.313E+001
 3.580E+002, 7.285E+001
 3.600E+002, 7.259E+001
 3.620E+002, 7.232E+001
 3.640E+002, 7.207E+001
 3.660E+002, 7.181E+001
 3.680E+002, 7.156E+001
 3.700E+002, 7.131E+001
 3.720E+002, 7.107E+001
 3.740E+002, 7.083E+001
 3.760E+002, 7.060E+001
 3.780E+002, 7.037E+001
 3.800E+002, 7.014E+001
 3.820E+002, 6.991E+001
 3.840E+002, 6.969E+001
 3.860E+002, 6.947E+001
 3.880E+002, 6.926E+001
 3.900E+002, 6.905E+001
 3.920E+002, 6.884E+001
 3.940E+002, 6.863E+001
 3.960E+002, 6.842E+001
 3.980E+002, 6.822E+001
 4.000E+002, 6.802E+001
 4.020E+002, 6.782E+001
 4.040E+002, 6.763E+001
 4.060E+002, 6.744E+001
 4.080E+002, 6.725E+001
 4.100E+002, 6.706E+001
 4.120E+002, 6.687E+001
 4.140E+002, 6.669E+001
 4.160E+002, 6.650E+001
 4.180E+002, 6.632E+001
 4.200E+002, 6.614E+001
 4.220E+002, 6.597E+001
 4.240E+002, 6.579E+001
 4.260E+002, 6.562E+001
 4.280E+002, 6.544E+001
 4.300E+002, 6.527E+001
 4.320E+002, 6.510E+001
 4.340E+002, 6.494E+001
 4.360E+002, 6.477E+001
 4.380E+002, 6.461E+001
 4.400E+002, 6.444E+001
 4.420E+002, 6.428E+001
 4.440E+002, 6.412E+001
 4.460E+002, 6.396E+001
 4.480E+002, 6.380E+001
 4.500E+002, 6.364E+001
 4.520E+002, 6.349E+001
 4.540E+002, 6.333E+001
 4.560E+002, 6.318E+001
 4.580E+002, 6.302E+001
 4.600E+002, 6.287E+001
 4.620E+002, 6.272E+001
 4.640E+002, 6.257E+001
 4.660E+002, 6.242E+001
 4.680E+002, 6.227E+001
 4.700E+002, 6.213E+001
 4.720E+002, 6.198E+001
 4.740E+002, 6.183E+001
 4.760E+002, 6.169E+001
 4.780E+002, 6.155E+001
 4.800E+002, 6.140E+001
 4.820E+002, 6.126E+001
 4.840E+002, 6.112E+001
 4.860E+002, 6.098E+001
 4.880E+002, 6.084E+001
 4.900E+002, 6.070E+001
 4.920E+002, 6.056E+001
 4.940E+002, 6.042E+001
 4.960E+002, 6.028E+001
 4.980E+002, 6.015E+001
 5.000E+002, 6.001E+001
 5.020E+002, 5.987E+001
 5.040E+002, 5.974E+001
 5.060E+002, 5.960E+001
 5.080E+002, 5.947E+001
 5.100E+002, 5.933E+001
 5.120E+002, 5.920E+001
 5.140E+002, 5.907E+001
 5.160E+002, 5.894E+001
 5.180E+002, 5.881E+001
 5.200E+002, 5.867E+001
 5.220E+002, 5.854E+001
 5.240E+002, 5.841E+001
 5.260E+002, 5.828E+001
 5.280E+002, 5.815E+001
 5.300E+002, 5.802E+001
 5.320E+002, 5.790E+001
 5.340E+002, 5.777E+001
 5.360E+002, 5.764E+001
 5.380E+002, 5.751E+001
 5.400E+002, 5.739E+001
 5.420E+002, 5.726E+001
 5.440E+002, 5.713E+001
 5.460E+002, 5.701E+001
 5.480E+002, 5.688E+001
 5.500E+002, 5.676E+001
 5.520E+002, 5.663E+001
 5.540E+002, 5.651E+001
 5.560E+002, 5.638E+001
 5.580E+002, 5.626E+001
 5.600E+002, 5.614E+001
 5.620E+002, 5.601E+001
 5.640E+002, 5.589E+001
 5.660E+002, 5.577E+001
 5.680E+002, 5.565E+001
 5.700E+002, 5.552E+001
 5.720E+002, 5.540E+001
 5.740E+002, 5.528E+001
 5.760E+002, 5.516E+001
 5.780E+002, 5.504E+001
 5.800E+002, 5.492E+001
 5.820E+002, 5.480E+001
 5.840E+002, 5.468E+001
 5.860E+002, 5.456E+001
 5.880E+002, 5.444E+001
 5.900E+002, 5.432E+001
 5.920E+002, 5.420E+001
 5.940E+002, 5.408E+001
 5.960E+002, 5.397E+001
 5.980E+002, 5.385E+001
 6.000E+002, 5.373E+001
