s,C,kg/m2/s,m
Time,"temp","MLR","thick"
 0.0000000E+000, 2.0000000E+001, 0.0000000E+000, 1.8500000E-002
 5.0100000E+000, 7.9984185E+001, 4.4465715E-014, 1.8500000E-002
 1.0010000E+001, 1.5464375E+002, 1.2622752E-010, 1.8500000E-002
 1.5010000E+001, 2.0511072E+002, 1.5536453E-008, 1.8500000E-002
 2.0000000E+001, 2.4474945E+002, 4.3961849E-007, 1.8499999E-002
 2.5000000E+001, 2.7757532E+002, 5.3200569E-006, 1.8499990E-002
 3.0000000E+001, 3.0551046E+002, 3.6982971E-005, 1.8499913E-002
 3.5000000E+001, 3.2952342E+002, 1.7320712E-004, 1.8499500E-002
 4.0000000E+001, 3.4999258E+002, 5.9441532E-004, 1.8497909E-002
 4.5010000E+001, 3.6677085E+002, 1.5491141E-003, 1.8493268E-002
 5.0010000E+001, 3.7951385E+002, 3.1145921E-003, 1.8482852E-002
 5.5010000E+001, 3.8841492E+002, 5.0041667E-003, 1.8464433E-002
 6.0010000E+001, 3.9438035E+002, 6.8198091E-003, 1.8437468E-002
 6.5010000E+001, 3.9843981E+002, 8.3600107E-003, 1.8402846E-002
 7.0010000E+001, 4.0133887E+002, 9.6105081E-003, 1.8361897E-002
 7.5000000E+001, 4.0020815E+002, 1.0172865E-002, 1.8317013E-002
 8.0000000E+001, 4.0259925E+002, 1.1281423E-002, 1.8268185E-002
 8.5000000E+001, 4.0447563E+002, 1.2088526E-002, 1.8214987E-002
 9.0000000E+001, 4.0597907E+002, 1.2728806E-002, 1.8158532E-002
 9.5000000E+001, 4.0721864E+002, 1.3260086E-002, 1.8099429E-002
 1.0000000E+002, 4.0554038E+002, 1.3448223E-002, 1.8038524E-002
 1.0500000E+002, 4.0575609E+002, 1.3891624E-002, 1.7976619E-002
 1.1000000E+002, 4.0715499E+002, 1.4384642E-002, 1.7912300E-002
 1.1500000E+002, 4.0830314E+002, 1.4765452E-002, 1.7846015E-002
 1.2000000E+002, 4.0822634E+002, 1.4966085E-002, 1.7778232E-002
 1.2500000E+002, 4.0655535E+002, 1.5049948E-002, 1.7710291E-002
 1.3000000E+002, 4.0793339E+002, 1.5490378E-002, 1.7640822E-002
 1.3500000E+002, 4.0905901E+002, 1.5805562E-002, 1.7569659E-002
 1.4000000E+002, 4.0927153E+002, 1.5972160E-002, 1.7497263E-002
 1.4500000E+002, 4.0731051E+002, 1.5950656E-002, 1.7424962E-002
 1.5000000E+002, 4.0865708E+002, 1.6354034E-002, 1.7351482E-002
 1.5500000E+002, 4.0975786E+002, 1.6632318E-002, 1.7276480E-002
 1.6001000E+002, 4.0944335E+002, 1.6700113E-002, 1.7200403E-002
 1.6501000E+002, 4.0813688E+002, 1.6753156E-002, 1.7124622E-002
 1.7001000E+002, 4.0943159E+002, 1.7116526E-002, 1.7047581E-002
 1.7501000E+002, 4.1048281E+002, 1.7363667E-002, 1.6969189E-002
 1.8001000E+002, 4.0912327E+002, 1.7297843E-002, 1.6890195E-002
 1.8501000E+002, 4.0906376E+002, 1.7532518E-002, 1.6811320E-002
 1.9001000E+002, 4.1027835E+002, 1.7849762E-002, 1.6730850E-002
 1.9501000E+002, 4.1108628E+002, 1.8049976E-002, 1.6649191E-002
 2.0001000E+002, 4.0872338E+002, 1.7907417E-002, 1.6567627E-002
 2.0501000E+002, 4.1008226E+002, 1.8318282E-002, 1.6485232E-002
 2.1001000E+002, 4.1119375E+002, 1.8590959E-002, 1.6401312E-002
 2.1501000E+002, 4.1003525E+002, 1.8547520E-002, 1.6316679E-002
 2.2001000E+002, 4.0994306E+002, 1.8793663E-002, 1.6232109E-002
 2.2501000E+002, 4.1117039E+002, 1.9128573E-002, 1.6145865E-002
 2.3001000E+002, 4.1126242E+002, 1.9248068E-002, 1.6058417E-002
 2.3501000E+002, 4.0989591E+002, 1.9297293E-002, 1.5971133E-002
 2.4001000E+002, 4.1122542E+002, 1.9705265E-002, 1.5882416E-002
 2.4501000E+002, 4.1218825E+002, 1.9969620E-002, 1.5792184E-002
