s,kW,C,kg/m2/s,m,kW/m2
Time,"HRR","temp","MLR","thick","flux"
 0.000E+000, 0.000E+000, 2.000E+001, 0.000E+000, 1.790E-002,-4.653E-011
 2.012E+000, 0.000E+000, 6.737E+001, 2.844E-020, 1.790E-002, 7.506E+001
 4.009E+000, 0.000E+000, 1.363E+002, 2.929E-013, 1.790E-002, 7.540E+001
 6.012E+000, 8.573E-006, 1.874E+002, 6.672E-009, 1.790E-002, 7.564E+001
 8.007E+000, 9.738E-003, 2.289E+002, 7.611E-006, 1.790E-002, 7.575E+001
 1.000E+001, 1.910E+000, 2.644E+002, 1.560E-003, 1.790E-002, 7.677E+001
 1.200E+001, 6.202E+001, 2.979E+002, 5.581E-002, 1.790E-002, 9.648E+001
 1.400E+001, 1.456E+002, 3.204E+002, 6.901E-002, 1.790E-002, 9.527E+001
 1.600E+001, 1.393E+002, 3.674E+002, 8.346E-002, 1.790E-002, 9.714E+001
 1.800E+001, 1.213E+002, 4.103E+002, 4.326E-002, 1.790E-002, 9.818E+001
 2.000E+001, 9.804E+001, 4.546E+002, 6.546E-002, 1.790E-002, 1.066E+002
 2.200E+001, 1.340E+002, 4.855E+002, 4.796E-002, 1.790E-002, 1.012E+002
 2.400E+001, 1.332E+002, 5.039E+002, 6.197E-002, 1.790E-002, 1.029E+002
 2.600E+001, 1.664E+002, 5.174E+002, 2.588E-002, 1.790E-002, 1.021E+002
 2.800E+001, 2.097E+002, 5.266E+002, 5.631E-002, 1.790E-002, 1.023E+002
 3.000E+001, 2.179E+002, 5.333E+002, 4.618E-002, 1.790E-002, 1.034E+002
 3.200E+001, 2.700E+002, 5.400E+002, 3.045E-002, 1.790E-002, 1.029E+002
 3.400E+001, 2.898E+002, 5.488E+002, 5.396E-002, 1.790E-002, 1.028E+002
 3.600E+001, 2.931E+002, 5.562E+002, 4.962E-002, 1.790E-002, 1.023E+002
 3.800E+001, 3.178E+002, 5.667E+002, 3.808E-002, 1.790E-002, 1.036E+002
 4.000E+001, 3.264E+002, 5.791E+002, 5.947E-002, 1.790E-002, 1.041E+002
 4.200E+001, 3.230E+002, 5.852E+002, 5.045E-002, 1.790E-002, 1.025E+002
 4.400E+001, 3.459E+002, 5.917E+002, 5.799E-002, 1.790E-002, 1.024E+002
 4.600E+001, 3.474E+002, 5.997E+002, 6.737E-002, 1.790E-002, 1.037E+002
 4.800E+001, 3.545E+002, 6.089E+002, 5.940E-002, 1.790E-002, 1.052E+002
 5.000E+001, 3.643E+002, 6.144E+002, 7.063E-002, 1.790E-002, 1.024E+002
 5.200E+001, 3.574E+002, 6.235E+002, 5.911E-002, 1.790E-002, 1.044E+002
 5.400E+001, 3.640E+002, 6.301E+002, 6.510E-002, 1.790E-002, 1.037E+002
 5.600E+001, 3.555E+002, 6.341E+002, 5.301E-002, 1.790E-002, 1.034E+002
 5.800E+001, 3.230E+002, 6.414E+002, 3.720E-002, 1.790E-002, 1.051E+002
 6.000E+001, 3.082E+002, 6.491E+002, 9.838E-003, 1.790E-002, 1.060E+002
 6.200E+001, 3.086E+002, 6.603E+002, 1.107E-002, 1.790E-002, 1.079E+002
 6.400E+001, 3.119E+002, 6.683E+002, 1.254E-002, 1.790E-002, 1.080E+002
 6.600E+001, 3.233E+002, 6.739E+002, 1.356E-002, 1.790E-002, 1.076E+002
 6.800E+001, 3.442E+002, 6.768E+002, 1.405E-002, 1.790E-002, 1.053E+002
 7.000E+001, 3.637E+002, 6.805E+002, 1.392E-002, 1.790E-002, 1.058E+002
 7.200E+001, 3.760E+002, 6.881E+002, 1.426E-002, 1.790E-002, 1.055E+002
 7.400E+001, 3.799E+002, 6.912E+002, 1.410E-002, 1.790E-002, 1.053E+002
 7.600E+001, 3.821E+002, 6.974E+002, 1.404E-002, 1.790E-002, 1.065E+002
 7.800E+001, 3.824E+002, 7.024E+002, 1.386E-002, 1.790E-002, 1.060E+002
 8.000E+001, 3.722E+002, 7.061E+002, 1.355E-002, 1.790E-002, 1.056E+002
 8.200E+001, 3.693E+002, 7.096E+002, 1.323E-002, 1.790E-002, 1.057E+002
 8.400E+001, 3.638E+002, 7.146E+002, 1.304E-002, 1.790E-002, 1.063E+002
 8.600E+001, 3.557E+002, 7.175E+002, 1.278E-002, 1.790E-002, 1.056E+002
 8.800E+001, 3.459E+002, 7.208E+002, 1.242E-002, 1.790E-002, 1.057E+002
 9.000E+001, 3.374E+002, 7.249E+002, 1.214E-002, 1.790E-002, 1.061E+002
 9.200E+001, 3.296E+002, 7.301E+002, 1.196E-002, 1.790E-002, 1.071E+002
 9.400E+001, 3.243E+002, 7.328E+002, 1.171E-002, 1.790E-002, 1.070E+002
 9.600E+001, 3.113E+002, 7.357E+002, 1.139E-002, 1.790E-002, 1.063E+002
 9.800E+001, 3.064E+002, 7.394E+002, 1.107E-002, 1.790E-002, 1.074E+002
 1.000E+002, 2.935E+002, 7.411E+002, 1.075E-002, 1.790E-002, 1.063E+002
 1.020E+002, 2.808E+002, 7.443E+002, 1.039E-002, 1.790E-002, 1.066E+002
 1.040E+002, 2.690E+002, 7.488E+002, 1.002E-002, 1.790E-002, 1.084E+002
 1.060E+002, 2.553E+002, 7.568E+002, 9.689E-003, 1.790E-002, 1.115E+002
 1.080E+002, 2.331E+002, 7.661E+002, 9.405E-003, 1.790E-002, 1.129E+002
 1.100E+002, 2.072E+002, 7.607E+002, 8.873E-003, 1.790E-002, 1.076E+002
 1.120E+002, 1.678E+002, 7.613E+002, 7.866E-003, 1.790E-002, 1.078E+002
 1.140E+002, 1.356E+002, 7.656E+002, 6.680E-003, 1.790E-002, 1.086E+002
 1.160E+002, 1.058E+002, 7.721E+002, 5.013E-003, 1.790E-002, 1.103E+002
 1.180E+002, 8.859E+001, 7.677E+002, 2.381E-003, 1.790E-002, 1.022E+002
 1.200E+002, 7.927E+001, 7.536E+002, 2.285E-004, 1.790E-002, 9.172E+001
 1.220E+002, 7.320E+001, 7.540E+002, 5.821E-007, 1.790E-002, 9.303E+001
 1.240E+002, 6.791E+001, 7.537E+002, 2.446E-011, 1.790E-002, 8.828E+001
 1.260E+002, 6.404E+001, 7.495E+002, 1.788E-017, 1.790E-002, 8.559E+001
 1.280E+002, 6.016E+001, 7.540E+002, 0.000E+000, 1.790E-002, 8.811E+001
 1.300E+002, 5.564E+001, 7.594E+002, 0.000E+000, 1.790E-002, 9.003E+001
 1.320E+002, 5.016E+001, 7.640E+002, 0.000E+000, 1.790E-002, 9.049E+001
 1.340E+002, 4.365E+001, 7.646E+002, 0.000E+000, 1.790E-002, 8.860E+001
 1.360E+002, 3.568E+001, 7.551E+002, 0.000E+000, 1.790E-002, 8.312E+001
 1.380E+002, 2.606E+001, 7.529E+002, 0.000E+000, 1.790E-002, 8.218E+001
 1.400E+002, 1.585E+001, 7.498E+002, 0.000E+000, 1.790E-002, 8.071E+001
 1.420E+002, 8.241E+000, 7.452E+002, 0.000E+000, 1.790E-002, 7.916E+001
 1.440E+002, 4.779E+000, 7.424E+002, 0.000E+000, 1.790E-002, 7.865E+001
 1.460E+002, 3.395E+000, 7.415E+002, 0.000E+000, 1.790E-002, 7.865E+001
 1.480E+002, 2.265E+000, 7.397E+002, 0.000E+000, 1.790E-002, 7.840E+001
 1.500E+002, 1.104E+000, 7.388E+002, 0.000E+000, 1.790E-002, 7.825E+001
